ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,38.90,39.25,38.90,39.20,0.00,0.00,,,,,,0.0000,,4934,,,,,,,,41,,,,,0,,,,,,5384,,,
2012/06/28,39.20,39.40,38.80,39.05,-0.15,-0.3827,,,,,,-61.0000,,4935,,,,,,,,61,,,,,0,,,,,,5385,,,
2012/06/29,38.80,39.35,38.80,39.10,0.05,0.128,,,,,,-1.0000,,4941,,,,,,,,60,,,,,0,,,,,,5391,,,
2012/07/02,39.45,39.60,39.15,39.50,0.40,1.023,,,,,,69.0000,,4950,,,,,,,,70,,,,,0,,,,,,5399,,,
2012/07/03,39.70,40.35,39.65,40.10,0.60,1.519,39.3900,,,,,290.0000,,4958,4944,,,,,,,221,90,,,,0,0,,,,,5407,5394,,
2012/07/04,40.30,40.35,39.90,40.20,0.10,0.2494,39.5900,,,,,419.0000,,4961,4950,,,,,,,129,108,,,,0,0,,,,,5410,5399,,
2012/07/05,40.20,40.35,39.85,40.00,-0.20,-0.4975,39.7800,,,,,279.0000,,4963,4955,,76.6667,,,,,140,124,,,,0,0,,,,,5412,5405,,
2012/07/06,39.90,40.10,39.75,39.90,-0.10,-0.25,39.9400,,,,,189.0000,,4966,4960,,70.9877,,,,,90,130,,,,0,0,,,,,5415,5409,,
2012/07/09,39.70,40.20,39.65,39.80,-0.10,-0.2506,40.0000,,,,,127.0000,,4970,4964,,65.1927,,64.5161,54.8387,51.6129,62,128,54.8387,51.6129,61.2903,0,0,,,,,5419,5413,,
2012/07/10,39.70,39.80,39.50,39.50,-0.30,-0.7538,39.8800,39.6350,,,,45.0000,135.6000,4972,4967,4956,50.3856,,45.1613,51.6129,51.6129,82,100,51.6129,51.6129,51.6129,0,0,0,,,,5421,5416,5405,
2012/07/11,39.30,39.50,39.10,39.30,-0.20,-0.5063,39.7000,39.6450,,,,-150.0000,120.6000,4972,4969,4960,42.6381,,32.2581,45.1613,49.4624,195,113,45.1613,49.4624,36.5591,0,0,0,,,,5421,5418,5409,
2012/07/12,39.50,39.50,38.90,38.90,-0.40,-1.0178,39.4800,39.6300,,,,-257.0000,101.0000,4972,4971,4963,31.1446,,0.0000,30.1075,43.0108,107,107,30.1075,43.0108,4.3011,0,0,0,,,,5421,5420,5412,
2012/07/13,38.90,39.30,38.75,38.75,-0.15,-0.3856,39.2500,39.5950,,,,-317.0000,69.4000,4974,4973,4967,27.7755,41.8182,0.0000,20.0717,35.3644,60,101,20.0717,35.3644,-10.5137,0,0,0,,,,5423,5422,5416,
2012/07/16,39.20,39.20,38.75,38.75,0.00,0.00,39.0400,39.5200,,,,-317.0000,30.8000,4974,4974,4969,27.7755,41.8182,0.0000,13.3811,28.0366,32,95,13.3811,28.0366,-15.9299,0,0,0,,,,5423,5423,5418,
2012/07/17,38.75,38.95,38.60,38.70,-0.05,-0.129,38.8800,39.3800,,,,-409.0000,-39.1000,4974,4974,4971,26.4044,40.9325,5.7143,10.8255,22.2996,92,97,10.8255,22.2996,-12.1227,0,0,0,,,,4974,5333,5375,
2012/07/18,38.80,38.95,38.70,38.90,0.20,0.5168,38.8000,39.2500,,,,-248.0000,-105.8000,4978,4975,4972,40.5019,45.9297,18.7500,13.4670,19.3554,161,90,13.4670,19.3554,1.6902,0,0,0,,,,5427,5334,5376,
2012/07/19,39.00,39.30,39.00,39.15,0.25,0.6427,38.8500,39.1650,,,,-146.0000,-148.3000,4982,4977,4974,53.7818,51.5223,34.3750,20.4363,19.7157,102,89,20.4363,19.7157,21.8776,0,0,0,,,,5431,5336,5378,
