ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/28,18.00,18.00,18.00,18.00,0.00,0.00,,,,,,0.0000,,3507,,,,,,,,2,,,,,0,,,,,,3507,,,
2012/05/29,18.20,18.20,18.20,18.20,0.20,1.1111,,,,,,7.0000,,3507,,,,,,,,7,,,,,0,,,,,,3507,,,
2012/05/30,18.20,18.20,18.20,18.20,0.00,0.00,,,,,,7.0000,,3507,,,,,,,,2,,,,,0,,,,,,3507,,,
2012/05/31,18.15,18.20,18.15,18.20,0.00,0.00,,,,,,7.0000,,3507,,,,,,,,3,,,,,0,,,,,,3507,,,
2012/06/01,18.20,18.20,18.20,18.20,0.00,0.00,18.1600,,,,,7.0000,,3507,3507,,,,,,,2,3,,,,0,0,,,,,3507,3507,,
2012/06/04,18.10,18.10,16.95,16.95,-1.25,-6.8681,17.9500,,,,,-25.0000,,3507,3507,,,,,,,32,9,,,,0,0,,,,,3507,3507,,
2012/06/05,16.00,17.50,16.00,16.70,-0.25,-1.4749,17.6500,,,,,-35.0000,,3507,3507,,11.7647,,,,,10,9,,,,0,0,,,,,3507,3507,,
2012/06/06,17.80,17.80,17.00,17.65,0.95,5.6886,17.5400,,,,,-24.0000,,3507,3507,,47.1831,,,,,11,11,,,,0,0,,,,,3507,3507,,
2012/06/07,17.65,17.80,17.65,17.80,0.15,0.8499,17.4600,,,,,-17.0000,,3507,3507,,50.9162,,81.8182,60.6061,53.5354,7,12,60.6061,53.5354,74.7475,0,0,,,,,3507,3507,,
2012/06/08,18.70,18.70,18.40,18.40,0.60,3.3708,17.5000,17.8300,,,,-9.0000,-8.2000,3507,3507,3507,63.3503,,88.8889,70.0337,59.0348,8,13,70.0337,59.0348,92.0314,0,0,0,,,,3507,3507,3507,
2012/06/11,18.65,18.65,17.50,18.60,0.20,1.087,17.8300,17.8900,,,,-5.0000,-8.7000,3507,3507,3507,66.7223,,96.2963,78.7879,65.6192,4,8,78.7879,65.6192,105.1253,0,0,0,,,,3507,3507,3507,
2012/06/12,18.50,18.50,18.50,18.50,-0.10,-0.5376,18.1900,17.9200,,,,-7.0000,-10.1000,3507,3507,3507,63.2317,,92.5926,83.3895,71.5426,2,6,83.3895,71.5426,107.0832,0,0,0,,,,3507,3507,3507,
2012/06/13,18.50,18.50,17.85,18.50,0.00,0.00,18.3600,17.9500,,,,-7.0000,-11.5000,3507,3507,3507,63.2317,56.7568,92.5926,86.4572,76.5141,7,5,86.4572,76.5141,106.3433,0,0,0,,,,3507,3507,3507,
2012/06/14,18.35,18.35,18.35,18.35,-0.15,-0.8108,18.4700,17.9650,,,,-8.0000,-13.0000,3507,3507,3507,56.8118,54.3529,87.0370,86.6505,79.8929,1,4,86.6505,79.8929,100.1656,0,0,0,,,,3507,3507,3507,
2012/06/15,17.70,18.35,17.40,17.90,-0.45,-2.4523,18.3700,17.9350,,,,-20.0000,-15.7000,3507,3507,3507,41.6050,47.7362,70.3704,81.2238,80.3365,12,5,81.2238,80.3365,82.9982,0,0,0,,,,3507,3507,3507,
2012/06/18,18.20,18.20,17.90,17.90,0.00,0.00,18.2300,18.0300,,,,-20.0000,-15.2000,3507,3507,3507,41.6050,47.7362,52.9412,71.7962,77.4898,11,6,71.7962,77.4898,60.4092,0,0,0,,,,3507,3507,3507,
2012/06/19,18.00,18.00,17.60,17.60,-0.30,-1.676,18.0500,18.1200,,,,-26.0000,-14.3000,3507,3507,3507,33.0996,43.5318,15.3846,52.9924,69.3240,6,7,52.9924,69.3240,20.3292,0,0,0,,,,3507,3507,3507,
2012/06/20,17.90,18.10,17.40,17.85,0.25,1.4205,17.9200,18.1400,,,,-12.0000,-13.1000,3507,3507,3507,44.4548,47.7180,34.6154,46.8667,61.8382,14,8,46.8667,61.8382,16.9237,0,0,0,,,,3507,3507,3507,
2012/06/21,17.85,18.00,17.85,17.85,0.00,0.00,17.8200,18.1450,,,,-12.0000,-12.6000,3507,3507,3507,44.4548,47.7180,36.0000,43.2445,55.6403,5,9,43.2445,55.6403,18.4528,0,0,0,,,,3507,3507,3507,
2012/06/22,17.80,18.00,17.65,17.70,-0.15,-0.8403,17.7800,18.0750,17.9525,,,-17.0000,-13.4000,3507,3507,3507,38.7693,45.3190,27.2727,37.9206,49.7337,5,8,37.9206,49.7337,14.2942,0,0,0,,,,3507,3507,3507,
2012/06/25,18.90,18.90,18.25,18.70,1.00,5.6497,17.9400,18.0850,17.9875,,,79.0000,-5.0000,3507,3507,3507,69.7350,59.9592,86.6667,54.1693,51.2122,96,25,54.1693,51.2122,60.0833,0,0,0,,,,3507,3507,3507,
2012/06/26,18.30,18.30,18.20,18.25,-0.45,-2.4064,18.0700,18.0600,17.9900,,,63.0000,2.0000,3507,3507,3507,54.7762,52.9939,56.6667,55.0017,52.4754,16,27,55.0017,52.4754,60.0544,0,0,0,,,,3507,3507,3507,
2012/06/27,18.40,18.60,18.20,18.20,-0.05,-0.274,18.1400,18.0300,17.9900,,,52.0000,7.9000,3507,3507,3507,53.2531,52.2581,53.3333,54.4456,53.1321,11,26,54.4456,53.1321,57.0725,0,0,0,,,,3507,3507,3507,
