ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/15,28.30,28.30,27.80,28.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,22,,,,,0,,,,,,0,,,
2012/06/18,28.70,28.70,27.50,28.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,40,,,,,0,,,,,,0,,,
2012/06/19,28.10,28.30,28.00,28.30,0.30,1.0714,,,,,,39.0000,,0,,,,,,,,39,,,,,0,,,,,,0,,,
2012/06/20,28.94,29.10,28.90,28.90,0.60,2.1201,,,,,,54.0000,,0,,,,,,,,15,,,,,0,,,,,,0,,,
2012/06/21,29.68,30.80,29.20,30.80,1.90,6.5744,28.8000,,,,,78.0000,,0,0,,,,,,,24,28,,,,0,0,,,,,0,0,,
2012/06/22,31.00,31.80,31.00,31.40,0.60,1.9481,29.4800,,,,,97.0000,,0,0,,,,,,,19,27,,,,0,0,,,,,0,0,,
2012/06/25,32.10,33.90,32.10,33.90,2.50,7.9618,30.6600,,,,,125.0000,,0,0,,100.0000,,,,,28,25,,,,0,0,,,,,0,0,,
2012/06/26,33.30,33.50,32.00,32.48,-1.42,-4.1888,31.4960,,,,,58.0000,,0,0,,77.5907,,,,,67,30,,,,0,0,,,,,0,0,,
2012/06/27,32.30,32.30,32.30,32.30,-0.18,-0.5542,32.1760,,,,,57.0000,,0,0,,75.0331,,75.0000,58.3333,52.7778,1,27,58.3333,52.7778,69.4444,0,0,,,,,0,0,,
2012/06/28,32.00,32.00,31.50,31.50,-0.80,-2.4768,32.3160,30.5580,,,,47.0000,55.5000,0,0,0,63.8141,,62.5000,59.7222,55.0926,10,25,59.7222,55.0926,68.9815,0,0,0,,,,0,0,0,
2012/07/02,31.00,33.15,31.00,33.15,1.65,5.2381,32.6660,31.0730,,,,62.0000,61.7000,0,0,0,73.5881,,87.2881,68.9109,59.6987,15,24,68.9109,59.6987,87.3352,0,0,0,,,,0,0,0,
