ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/04/10,4.05,4.21,4.03,4.21,0.00,0.00,,,,,,0.0000,,0,,,,,,,,34000,,,,,0,,,,,,0,,,
2012/04/11,4.20,4.22,4.05,4.05,-0.16,-3.8005,,,,,,-13000.0000,,0,,,,,,,,13000,,,,,0,,,,,,0,,,
2012/04/12,4.10,4.10,3.69,3.69,-0.36,-8.8889,,,,,,-44000.0000,,0,,,,,,,,31000,,,,,0,,,,,,0,,,
2012/04/13,3.68,3.76,3.68,3.76,0.07,1.897,,,,,,-34000.0000,,0,,,,,,,,10000,,,,,0,,,,,,0,,,
2012/04/16,3.70,3.84,3.70,3.84,0.08,2.1277,3.9100,,,,,-22000.0000,,0,0,,,,,,,12000,20000,,,,0,0,,,,,0,0,,
2012/04/17,3.85,3.89,3.85,3.89,0.05,1.3021,3.8460,,,,,-16000.0000,,0,0,,,,,,,6000,14400,,,,0,0,,,,,0,0,,
2012/04/18,3.94,4.10,3.90,3.98,0.09,2.3136,3.8320,,,,,36000.0000,,0,0,,35.8025,,,,,52000,22200,,,,0,0,,,,,0,0,,
2012/04/19,3.90,4.05,3.88,4.00,0.02,0.5025,3.8940,,,,,135000.0000,,0,0,,37.6499,,,,,99000,35800,,,,0,0,,,,,0,0,,
2012/04/20,3.90,3.95,3.90,3.95,-0.05,-1.25,3.9320,,,,,123000.0000,,0,0,,34.6578,,50.0000,50.0000,50.0000,12000,36200,50.0000,50.0000,50.0000,0,0,,,,,0,0,,
2012/04/23,3.79,3.95,3.78,3.90,-0.05,-1.2658,3.9440,3.9270,,,,-305000.0000,-14000.0000,0,0,0,31.6405,,40.7407,46.9136,48.9712,428000,119400,46.9136,48.9712,42.7984,0,0,0,,,,0,0,0,
2012/04/24,3.96,3.96,3.96,3.96,0.06,1.5385,3.9580,3.9020,,,,-301000.0000,-44100.0000,0,0,0,39.2559,,66.6667,53.4979,50.4801,4000,119000,53.4979,50.4801,59.5336,0,0,0,,,,0,0,0,
2012/04/25,3.95,3.95,3.85,3.85,-0.11,-2.7778,3.9320,3.8820,,,,-303000.0000,-73100.0000,0,0,0,31.5287,,40.4762,49.1574,50.0392,2000,109000,49.1574,50.0392,47.3937,0,0,0,,,,0,0,0,
2012/04/27,4.04,4.04,3.87,3.90,0.05,1.2987,3.9120,3.9030,,,,-284000.0000,-97100.0000,0,0,0,38.1675,36.5217,50.0000,49.4382,49.8389,19000,93000,49.4382,49.8389,48.6370,0,0,0,,,,0,0,0,
2012/05/09,3.80,3.85,3.80,3.85,-0.05,-1.2821,3.8920,3.9120,,,,-290000.0000,-122700.0000,0,0,0,34.1896,34.8679,21.8750,40.2505,46.6427,6000,91800,40.2505,46.6427,27.4660,0,0,0,,,,0,0,0,
2012/05/10,4.57,4.57,4.31,4.31,0.46,11.9481,3.9740,3.9590,,,,-267000.0000,-147200.0000,0,0,0,69.3994,55.2196,67.0886,49.1965,47.4940,23000,10800,49.1965,47.4940,52.6016,0,0,0,,,,0,0,0,
2012/05/11,4.17,4.17,4.10,4.10,-0.21,-4.8724,4.0020,3.9800,,,,-275000.0000,-173100.0000,0,0,0,53.6691,47.7837,40.5063,46.2998,47.0959,8000,11600,46.2998,47.0959,44.7075,0,0,0,,,,0,0,0,
2012/05/14,3.99,4.04,3.99,4.04,-0.06,-1.4634,4.0400,3.9860,,,,-279010.0000,-204601.0000,0,0,0,49.7991,45.8589,32.9114,41.8370,45.3430,4010,12002,41.8370,45.3430,34.8251,0,0,0,,,,0,0,0,
2012/05/16,3.85,3.85,3.85,3.85,-0.19,-4.703,4.0300,3.9710,,,,-284010.0000,-246502.0000,0,0,0,39.0883,40.2569,8.8608,30.8449,40.5103,5000,9202,30.8449,40.5103,11.5142,0,0,0,,,,0,0,0,
2012/05/17,3.85,3.85,3.72,3.72,-0.13,-3.3766,4.0040,3.9480,,,,-290010.0000,-287803.0000,0,0,0,33.2216,36.8931,0.0000,20.5633,33.8613,6000,9202,20.5633,33.8613,-6.0327,0,0,0,,,,0,0,0,
2012/05/18,3.71,3.71,3.69,3.69,-0.03,-0.8065,3.8800,3.9270,3.9270,,,-294010.0000,-286704.0000,0,0,0,31.8959,36.1330,0.0000,13.7089,27.1438,4000,5402,13.7089,27.1438,-13.1610,0,0,0,,,,0,0,0,
2012/05/22,3.72,3.73,3.72,3.73,0.04,1.084,3.8060,3.9040,3.9030,,,-290010.0000,-285605.0000,0,0,0,35.9832,37.9912,4.5455,10.6544,21.6473,4000,4602,10.6544,21.6473,-11.3315,0,0,0,,,,0,0,0,
2012/05/24,3.61,3.61,3.52,3.58,-0.15,-4.0214,3.7140,3.8770,3.8795,,,-299010.0000,-285206.0000,0,0,0,28.3317,33.9502,5.7143,9.0077,17.4341,9000,5600,9.0077,17.4341,-7.8452,0,0,0,,,,0,0,0,
