ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,116.00,116.50,114.00,114.00,0.00,0.00,,,,,,0.0000,,7197,,,,,,,,538,,,,,510,,,,,,20610,,,
2012/06/29,114.00,116.50,114.00,115.00,1.00,0.8772,,,,,,701.0000,,7120,,,,,,,,701,,,,,507,,,,,,20530,,,
2012/07/02,116.50,119.00,116.50,119.00,4.00,3.4783,,,,,,1856.0000,,7181,,,,,,,,1155,,,,,649,,,,,,21023,,,
2012/07/03,120.00,120.00,118.00,119.00,0.00,0.00,,,,,,1856.0000,,7227,,,,,,,,1175,,,,,667,,,,,,21115,,,
2012/07/04,119.00,122.50,119.00,120.50,1.50,1.2605,117.5000,,,,,3298.0000,,7226,7191,,,,,,,1442,1002,,,,728,613,,,,,21175,20891,,
2012/07/05,119.50,122.00,119.50,119.50,-1.00,-0.8299,118.6000,,,,,2701.0000,,7225,7197,,,,,,,597,1014,,,,806,672,,,,,21276,21024,,
2012/07/06,119.50,120.50,117.00,118.00,-1.50,-1.2552,119.2000,,,,,1985.0000,,7259,7225,,72.2222,,,,,716,1017,,,,814,733,,,,,21330,21184,,
2012/07/09,117.00,118.00,115.50,116.50,-1.50,-1.2712,118.7000,,,,,1252.0000,,7281,7245,,60.1852,,,,,733,932,,,,819,767,,,,,21251,21230,,
2012/07/10,116.00,117.00,111.00,112.00,-4.50,-3.8627,117.3000,,,,,16.0000,,7118,7223,,37.6157,,8.6957,36.2319,45.4106,1236,944,36.2319,45.4106,17.8744,789,792,,,,,21018,21210,,
2012/07/11,112.00,115.00,111.00,113.00,1.00,0.8929,115.8000,116.6500,,,,1187.0000,1485.2000,7085,7195,7193,43.2870,,17.3913,29.9517,40.2576,1171,890,29.9517,40.2576,9.3398,746,795,704,,,,20967,21169,21030,
2012/07/12,113.00,114.00,110.50,112.00,-1.00,-0.885,114.3000,116.4500,,,,49.0000,1490.1000,6625,7074,7136,39.0293,,12.5000,24.1345,34.8833,1138,998,24.1345,34.8833,2.6369,761,786,729,,,,20521,21018,21021,
2012/07/13,112.50,113.50,111.50,112.00,0.00,0.00,113.1000,116.1500,,,,49.0000,1424.9000,6600,6943,7084,39.0293,,12.5000,20.2563,30.0076,750,1005,20.2563,30.0076,0.7537,591,742,738,,,,20217,20795,20990,
2012/07/16,114.00,114.00,111.50,111.50,-0.50,-0.4464,112.1000,115.4000,,,,-413.0000,1198.0000,6612,6809,7027,36.4481,42.8571,8.3333,16.2820,25.4324,462,951,16.2820,25.4324,-2.0188,532,684,726,,,,20108,20567,20898,
2012/07/17,112.00,116.50,112.00,116.50,5.00,4.4843,113.0000,115.1500,,,,965.0000,1108.9000,6693,6724,6973,64.5680,56.4356,52.1739,28.2460,26.3703,1378,979,28.2460,26.3703,31.9974,604,647,720,,,,20261,20416,20813,
2012/07/18,117.00,117.00,114.00,114.50,-2.00,-1.7167,113.3000,114.5500,,,,154.0000,794.5000,6776,6662,6928,53.2569,51.1336,40.0000,32.1640,28.3015,811,907,32.1640,28.3015,39.8889,552,609,702,,,,20398,20302,20735,
2012/07/19,116.50,119.00,115.50,118.50,4.00,3.4934,114.6000,114.4500,,,,1442.0000,668.6000,6845,6706,6890,67.0924,59.4463,94.1176,52.8152,36.4727,1288,937,52.8152,36.4727,85.5001,591,575,680,,,,20630,20324,20671,
2012/07/20,118.50,119.50,117.50,119.00,0.50,0.4219,116.0000,114.5500,,,,2350.0000,705.1000,6838,6753,6848,68.4913,60.3656,94.4444,66.6916,46.5457,908,969,66.6916,46.5457,106.9835,558,568,655,,,,20862,20453,20624,
2012/07/23,118.00,119.50,117.00,118.00,-1.00,-0.8403,117.3000,114.7000,,,,1422.0000,722.1000,6863,6804,6806,62.1504,57.5205,83.3333,72.2389,55.1101,928,1062,72.2389,55.1101,106.4964,569,575,630,,,,21085,20648,20608,
2012/07/24,117.00,118.50,116.00,117.50,-0.50,-0.4237,117.5000,115.2500,,,,678.0000,788.3000,6869,6839,6781,58.8797,56.0788,77.7778,74.0852,61.4351,744,935,74.0852,61.4351,99.3853,543,563,605,,,,21174,20831,20623,
2012/07/25,115.50,121.00,115.50,118.50,1.00,0.8511,118.3000,115.8000,116.2250,,,2489.0000,918.5000,6899,6863,6763,63.4908,58.3561,73.6842,73.9515,65.6072,1811,1135,73.9515,65.6072,90.6401,564,566,587,,,,21301,21011,20657,
