ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2010/12/23,24.85,25.20,24.85,25.20,0.00,0.00,,,,,,0.0000,,0,,,,,,,,6,,,,,0,,,,,,0,,,
2010/12/24,24.50,25.20,24.50,25.20,0.00,0.00,,,,,,0.0000,,0,,,,,,,,12,,,,,0,,,,,,0,,,
2010/12/27,24.80,25.75,24.80,25.00,-0.20,-0.7937,,,,,,-4.0000,,0,,,,,,,,4,,,,,0,,,,,,0,,,
2010/12/28,25.00,25.70,25.00,25.70,0.70,2.80,,,,,,18.0000,,0,,,,,,,,22,,,,,0,,,,,,0,,,
2010/12/30,24.50,25.00,24.50,25.00,-0.70,-2.7237,25.2200,,,,,16.0000,,0,0,,,,,,,2,9,,,,0,0,,,,,0,0,,
2010/12/31,24.50,25.00,24.50,25.00,0.00,0.00,25.1800,,,,,16.0000,,0,0,,,,,,,4,8,,,,0,0,,,,,0,0,,
2011/01/03,25.70,25.70,25.00,25.00,0.00,0.00,25.1400,,,,,16.0000,,0,0,,43.7500,,,,,4,7,,,,0,0,,,,,0,0,,
2011/01/05,25.75,25.75,25.00,25.75,0.75,3.00,25.2900,,,,,18.0000,,0,0,,64.0000,,,,,2,6,,,,0,0,,,,,0,0,,
2011/01/06,24.50,25.00,24.50,25.00,-0.75,-2.9126,25.1500,,,,,14.0000,,0,0,,44.6927,,40.0000,46.6667,48.8889,4,3,46.6667,48.8889,42.2222,0,0,,,,,0,0,,
2011/01/07,25.25,25.50,25.00,25.50,0.50,2.00,25.2500,25.2350,,,,22.0000,11.6000,0,0,0,55.4455,,80.0000,57.7778,51.8519,8,4,57.7778,51.8519,69.6296,0,0,0,,,,0,0,0,
2011/01/11,24.50,25.50,24.50,25.50,0.00,0.00,25.3500,25.2650,,,,22.0000,13.8000,0,0,0,55.4455,,80.0000,65.1852,56.2963,8,5,65.1852,56.2963,82.9630,0,0,0,,,,0,0,0,
2011/01/12,24.50,24.50,23.75,24.50,-1.00,-3.9216,25.2500,25.1950,,,,14.0000,15.2000,0,0,0,35.5437,,37.5000,55.9568,56.1831,8,6,55.9568,56.1831,55.5041,0,0,0,,,,0,0,0,
2011/01/19,24.00,24.50,24.00,24.00,-0.50,-2.0408,24.9000,25.0950,,,,6.0000,16.2000,0,0,0,29.2452,38.2353,12.5000,41.4712,51.2791,8,7,41.4712,51.2791,21.8553,0,0,0,,,,0,0,0,
2011/01/21,24.00,25.00,24.00,25.00,1.00,4.1667,24.9000,25.0250,,,,8.0000,15.2000,0,0,0,50.3575,49.1189,62.5000,48.4808,50.3464,2,6,48.4808,50.3464,44.7497,0,0,0,,,,0,0,0,
2011/01/26,24.25,25.00,24.25,25.00,0.00,0.00,24.8000,25.0250,,,,8.0000,14.4000,0,0,0,50.3575,49.1189,62.5000,53.1539,51.2822,2,5,53.1539,51.2822,56.8972,0,0,0,,,,0,0,0,
2011/01/27,24.25,25.00,24.25,25.00,0.00,0.00,24.7000,25.0250,,,,8.0000,13.6000,0,0,0,50.3575,49.1189,62.5000,56.2692,52.9445,2,4,56.2692,52.9445,62.9186,0,0,0,,,,0,0,0,
2011/02/08,24.50,25.00,24.50,25.00,0.00,0.00,24.8000,25.0250,,,,8.0000,12.8000,0,0,0,50.3575,49.1189,71.4286,61.3224,55.7371,4,3,61.3224,55.7371,72.4928,0,0,0,,,,0,0,0,
2011/02/10,24.50,25.00,24.50,25.00,0.00,0.00,25.0000,24.9500,,,,8.0000,11.8000,0,0,0,50.3575,49.1189,71.4286,64.6911,58.7218,2,2,64.6911,58.7218,76.6297,0,0,0,,,,0,0,0,
2011/02/11,24.00,25.50,24.00,24.50,-0.50,-2.00,24.9000,24.9000,,,,4.0000,10.8000,0,0,0,36.7240,43.2336,42.8571,57.4131,58.2856,4,2,57.4131,58.2856,55.6682,0,0,0,,,,0,0,0,
2011/02/14,24.00,24.50,24.00,24.50,0.00,0.00,24.8000,24.8000,25.0175,,,4.0000,9.0000,0,0,0,36.7240,43.2336,42.8571,52.5611,56.3774,4,3,52.5611,56.3774,44.9285,0,0,0,,,,0,0,0,
2011/02/15,25.00,25.00,23.75,24.50,0.00,0.00,24.7000,24.7000,24.9825,,,4.0000,7.2000,0,0,0,36.7240,43.2336,42.8571,49.3265,54.0271,8,4,49.3265,54.0271,39.9252,0,0,0,,,,0,0,0,
2011/02/18,25.00,25.00,24.50,24.50,0.00,0.00,24.6000,24.7000,24.9475,,,4.0000,6.2000,0,0,0,36.7240,43.2336,42.8571,47.1700,51.7414,8,5,47.1700,51.7414,38.0273,0,0,0,,,,0,0,0,
2011/02/21,24.00,24.85,24.00,24.85,0.35,1.4286,24.5700,24.7850,24.9400,,,18.0000,7.4000,0,0,0,54.5750,49.2608,62.8571,52.3991,51.9606,14,7,52.3991,51.9606,53.2759,0,0,0,,,,0,0,0,
2011/02/22,24.50,25.05,24.50,24.80,-0.05,-0.2012,24.6300,24.7650,24.8950,,,12.0000,7.8000,0,0,0,52.0574,48.4590,60.0000,54.9327,52.9513,6,8,54.9327,52.9513,58.8955,0,0,0,,,,0,0,0,
2011/02/25,24.00,24.50,24.00,24.50,-0.30,-1.2097,24.6300,24.7150,24.8700,,,8.0000,7.8000,0,0,0,39.0779,43.7931,42.8571,50.9075,52.2701,4,8,50.9075,52.2701,48.1825,0,0,0,,,,0,0,0,
2011/03/01,24.25,24.50,24.00,24.00,-0.50,-2.0408,24.5300,24.6150,24.8200,,,6.0000,7.6000,0,0,0,26.0752,37.2687,14.2857,38.7003,47.7468,2,6,38.7003,47.7468,20.6072,0,0,0,,-0.2092,,0,0,0,
2011/03/07,23.99,25.20,23.99,25.20,1.20,5.00,24.6700,24.6350,24.8300,,,10.0000,7.8000,0,0,0,62.2502,54.8716,82.8571,53.4192,49.6376,4,6,53.4192,49.6376,60.9825,0,0,0,,-0.1468,,0,0,0,
2011/03/11,23.85,23.85,23.85,23.85,-1.35,-5.3571,24.4700,24.5200,24.7350,,,10.0000,8.0000,0,0,0,37.4861,40.8155,6.8966,37.9117,45.7290,0,3,37.9117,45.7290,22.2771,0,0,0,,-0.2039,,0,0,0,
