ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/03/12,54.90,54.90,53.00,53.00,0.00,0.00,,,,,,0.0000,,17794,,,,,,,,91,,,,,0,,,,,,17794,,,
2012/03/13,53.40,53.90,52.50,53.10,0.10,0.1887,,,,,,77.0000,,17794,,,,,,,,77,,,,,0,,,,,,17794,,,
2012/03/14,53.90,55.10,53.40,53.90,0.80,1.5066,,,,,,153.0000,,17794,,,,,,,,76,,,,,0,,,,,,17794,,,
2012/03/15,53.90,54.60,53.00,54.00,0.10,0.1855,,,,,,277.0000,,17794,,,,,,,,124,,,,,0,,,,,,17794,,,
2012/03/16,54.30,56.00,54.00,54.50,0.50,0.9259,53.7000,,,,,424.0000,,17794,17794,,,,,,,147,103,,,,0,0,,,,,17794,17794,,
2012/03/19,54.80,54.90,53.30,53.60,-0.90,-1.6514,53.8200,,,,,328.0000,,17794,17794,,,,,,,96,104,,,,0,0,,,,,17794,17794,,
2012/03/20,54.10,54.10,50.20,51.20,-2.40,-4.4776,53.4400,,,,,106.0000,,17799,17795,,31.2500,,,,,222,133,,,,0,0,,,,,18024,17840,,
2012/03/21,51.00,51.60,49.10,50.40,-0.80,-1.5625,52.7400,,,,,-92.0000,,17799,17796,,26.0417,,,,,198,157,,,,0,0,,,,,17951,17871,,
2012/03/22,50.40,51.30,50.20,50.50,0.10,0.1984,52.0400,,,,,-12.0000,,17799,17797,,27.8455,,20.2899,40.0966,46.6989,80,148,40.0966,46.6989,26.8921,0,0,,,,,17951,17903,,
2012/03/23,50.50,52.00,50.50,52.00,1.50,2.9703,51.5400,52.6200,,,,130.0000,139.1000,17799,17798,17796,49.8588,,42.0290,40.7407,44.7128,142,147,40.7407,44.7128,32.7966,0,0,0,,,,17799,17904,17849,
2012/03/26,52.10,52.80,51.00,51.00,-1.00,-1.9231,51.0200,52.4200,,,,-126.0000,126.5000,17799,17799,17796,40.0772,,27.5362,36.3392,41.9216,256,179,36.3392,41.9216,25.1744,0,0,0,,,,17799,17905,17849,
2012/03/27,51.40,51.50,49.70,49.75,-1.25,-2.451,50.7300,52.0850,,,,-233.0000,95.5000,17799,17799,17797,30.9649,,9.4203,27.3663,37.0698,107,156,27.3663,37.0698,7.9591,0,0,0,,,,17799,17860,17850,
2012/03/28,50.00,50.50,49.00,49.00,-0.75,-1.5075,50.4500,51.5950,,,,-304.0000,49.8000,17799,17799,17798,26.6089,30.3922,0.0000,18.2442,30.7946,71,131,18.2442,30.7946,-6.8567,0,0,0,,,,17799,17829,17850,
2012/03/29,49.00,49.00,45.60,45.60,-3.40,-6.9388,49.4700,50.7550,,,,-574.0000,-35.3000,17799,17799,17798,15.0735,22.2876,0.0000,12.1628,24.5840,270,169,12.1628,24.5840,-12.6797,0,0,0,,,,17799,17799,17851,
2012/03/30,45.00,46.20,44.10,45.60,0.00,0.00,48.1900,49.8650,,,,-574.0000,-135.1000,17799,17799,17798,15.0735,22.2876,15.0000,13.1085,20.7588,102,161,13.1085,20.7588,-2.1921,0,0,0,,,,17799,17799,17851,
2012/04/02,45.10,45.10,44.50,44.90,-0.70,-1.5351,46.9700,48.9950,,,,-658.0000,-233.7000,17799,17799,17799,13.3568,20.9207,9.1954,11.8041,17.7739,84,126,11.8041,17.7739,-0.1354,0,0,0,,,,17799,17799,17852,
2012/04/03,44.90,45.00,42.50,42.80,-2.10,-4.6771,45.5800,48.1550,,,,-733.0000,-317.6000,17799,17799,17799,9.4730,17.4235,2.9126,8.8403,14.7961,75,120,8.8403,14.7961,-3.0712,0,0,0,,,,17799,17799,17829,
2012/04/05,41.50,42.00,40.55,41.50,-1.30,-3.0374,44.0800,47.2650,,,,-811.0000,-389.5000,17803,17800,17799,7.7902,15.6560,7.7551,8.4786,12.6902,78,121,8.4786,12.6902,0.0552,0,0,0,,,,18104,17860,17845,
2012/04/06,41.50,43.80,41.50,42.95,1.45,3.494,43.5500,46.5100,,,,-692.0000,-457.5000,17813,17803,17801,25.5026,24.9228,19.5918,12.1830,12.5212,119,91,12.1830,12.5212,11.5067,0,0,0,,,,18114,17923,17861,
2012/04/09,42.80,42.80,41.00,41.55,-1.40,-3.2596,42.7400,45.4650,49.0425,,,-772.0000,-547.7000,17811,17805,17802,20.8601,22.3378,9.1324,11.1661,12.0695,80,87,11.1661,12.0695,9.3594,0,0,0,,,,18112,17986,17892,
2012/04/10,42.05,43.15,41.80,42.10,0.55,1.3237,42.1800,44.5750,48.4975,,,-659.0000,-601.0000,17818,17809,17804,27.1150,25.6431,15.5779,12.6367,12.2586,113,93,12.6367,12.2586,13.3930,0,0,0,,,,18119,18050,17924,
2012/04/11,41.80,43.40,41.80,43.40,1.30,3.0879,42.3000,43.9400,48.0125,,,-515.0000,-629.2000,17821,17813,17806,40.4621,32.9962,33.7278,19.6671,14.7281,144,106,19.6671,14.7281,29.5451,0,0,0,,,,18122,18115,17957,
2012/04/12,43.30,43.70,42.50,42.80,-0.60,-1.3825,42.5600,43.3200,47.4575,,,-640.0000,-662.8000,17823,17817,17808,36.7362,31.4312,39.8230,26.3857,18.6140,125,116,26.3857,18.6140,41.9293,0,0,0,,,,18124,18119,17989,
2012/04/13,43.00,44.60,43.00,44.00,1.20,2.8037,42.7700,43.1600,46.9575,,,-500.0000,-655.4000,17834,17821,17812,48.1869,37.8614,75.8242,42.8652,26.6977,140,120,42.8652,26.6977,75.2002,0,0,0,,,,18135,18123,18023,
2012/04/16,43.60,44.30,43.30,44.10,0.10,0.2273,43.2800,43.0100,46.4375,,,-389.0000,-636.9000,17834,17826,17816,49.1081,38.3866,79.7753,55.1686,36.1880,111,126,55.1686,36.1880,93.1297,0,0,0,,,,18135,18127,18057,
