ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/18,59.50,59.80,58.50,59.80,0.00,0.00,,,,,,0.0000,,0,,,,,,,,19,,,,,0,,,,,,0,,,
2012/06/20,59.50,59.50,58.00,58.00,-1.80,-3.01,,,,,,-7.0000,,0,,,,,,,,7,,,,,0,,,,,,0,,,
2012/06/21,58.50,59.70,58.00,59.70,1.70,2.931,,,,,,6.0000,,0,,,,,,,,13,,,,,0,,,,,,0,,,
2012/06/22,59.50,59.80,58.50,59.80,0.10,0.1675,,,,,,18.0000,,0,,,,,,,,12,,,,,0,,,,,,0,,,
2012/06/25,57.50,57.80,57.00,57.80,-2.00,-3.3445,59.0200,,,,,4.0000,,0,0,,,,,,,14,13,,,,0,0,,,,,0,0,,
2012/06/26,58.00,58.00,57.50,57.70,-0.10,-0.173,58.6000,,,,,-1.0000,,0,0,,,,,,,5,10,,,,0,0,,,,,0,0,,
2012/06/27,57.00,57.00,56.50,56.50,-1.20,-2.0797,58.3000,,,,,-4.0000,,0,0,,26.0870,,,,,3,9,,,,0,0,,,,,0,0,,
2012/06/28,57.50,58.00,55.50,56.00,-0.50,-0.885,57.5600,,,,,-12.0000,,0,0,,24.0000,,,,,8,8,,,,0,0,,,,,0,0,,
2012/06/29,58.00,58.00,57.00,57.00,1.00,1.7857,57.0000,,,,,-6.0000,,0,0,,36.2416,,34.8837,44.9612,48.3204,6,7,44.9612,48.3204,38.2429,0,0,,,,,0,0,,
2012/07/02,58.00,58.00,57.00,57.00,0.00,0.00,56.8400,57.9300,,,,-6.0000,-0.8000,0,0,0,36.2416,,34.8837,41.6021,46.0810,4,5,41.6021,46.0810,32.6443,0,0,0,,,,0,0,0,
2012/07/03,57.00,57.00,56.50,56.50,-0.50,-0.8772,56.6000,57.6000,,,,-8.0000,-1.6000,0,0,0,32.4753,,23.2558,35.4866,42.5495,2,4,35.4866,42.5495,21.3609,0,0,0,,,,0,0,0,
2012/07/04,55.80,56.00,55.80,56.00,-0.50,-0.885,56.5000,57.4000,,,,-12.0000,-2.1000,0,0,0,28.8745,,11.6279,27.5337,37.5443,4,4,27.5337,37.5443,7.5127,0,0,0,,,,0,0,0,
2012/07/06,56.80,57.00,56.80,57.00,1.00,1.7857,56.7000,57.1300,,,,-2.0000,-2.9000,0,0,0,43.8235,36.5385,60.0000,38.3558,37.8148,10,5,38.3558,37.8148,39.4379,0,0,0,,,,0,0,0,
2012/07/09,56.90,56.90,56.90,56.90,-0.10,-0.1754,56.6800,56.8400,,,,-6.0000,-5.3000,0,0,0,42.7454,36.1592,56.0000,44.2372,39.9556,4,4,44.2372,39.9556,52.8005,0,0,0,,,,0,0,0,
2012/07/11,56.50,56.50,56.30,56.30,-0.60,-1.0545,56.5400,56.6900,,,,-8.0000,-6.5000,0,0,0,36.3134,33.8586,32.0000,40.1581,40.0231,2,4,40.1581,40.0231,40.4282,0,0,0,,,,0,0,0,
2012/07/13,57.00,58.00,57.00,58.00,1.70,3.0195,56.8400,56.7200,,,,5.0000,-5.9000,0,0,0,57.8683,44.7280,100.0000,60.1054,46.7172,13,6,60.1054,46.7172,86.8819,0,0,0,,,,0,0,0,
2012/07/16,58.00,58.00,57.80,57.80,-0.20,-0.3448,57.2000,56.8500,,,,-7.0000,-6.2000,0,0,0,55.2294,43.8041,90.9091,70.3733,54.6026,12,8,70.3733,54.6026,101.9148,0,0,0,,,,0,0,0,
2012/07/17,58.30,58.30,57.70,57.70,-0.10,-0.173,57.3400,57.0200,,,,-12.0000,-6.2000,0,0,0,53.7585,43.3161,76.0000,72.2489,60.4847,5,7,72.2489,60.4847,95.7773,0,0,0,,,,0,0,0,
2012/07/18,58.00,58.00,57.50,57.50,-0.20,-0.3466,57.4600,57.0700,,,,-15.0000,-7.1000,0,0,0,50.5287,42.2882,68.0000,70.8326,63.9340,3,7,70.8326,63.9340,84.6298,0,0,0,,,,0,0,0,
2012/07/20,57.00,57.20,57.00,57.20,-0.30,-0.5217,57.6400,57.0900,57.5100,,,-25.0000,-9.0000,0,0,0,45.5977,40.7074,56.0000,65.8884,64.5855,10,8,65.8884,64.5855,68.4943,0,0,0,,,,0,0,0,
2012/07/23,55.50,56.00,55.50,56.00,-1.20,-2.0979,57.2400,57.0400,57.3200,,,-34.0000,-11.6000,0,0,0,31.0521,34.9985,17.8571,49.8780,59.6830,9,7,49.8780,59.6830,30.2680,0,0,0,,,,0,0,0,
2012/07/24,55.50,56.50,55.50,56.50,0.50,0.8929,56.9800,57.0900,57.2450,,,-13.0000,-11.7000,0,0,0,40.5365,38.8938,35.7143,45.1567,54.8409,21,9,45.1567,54.8409,25.7885,0,0,0,,,,0,0,0,
2012/07/26,56.00,56.00,55.80,55.80,-0.70,-1.2389,56.6000,56.9700,57.0500,,,-21.0000,-13.6000,0,0,0,32.9271,35.6326,10.7143,33.6759,47.7859,8,10,33.6759,47.7859,5.4560,0,0,0,,,,0,0,0,
2012/07/27,55.80,56.00,55.80,56.00,0.20,0.3584,56.3000,56.8800,56.8600,,,-11.0000,-14.1000,0,0,0,36.9829,37.2720,17.8571,28.4030,41.3249,10,11,28.4030,41.3249,2.5591,0,0,0,,,,0,0,0,
2012/07/30,55.80,56.00,55.80,56.00,0.00,0.00,56.0600,56.8500,56.7700,,,-11.0000,-14.4000,0,0,0,36.9829,37.2720,17.8571,24.8877,35.8459,20,13,24.8877,35.8459,2.9714,0,0,0,,,,0,0,0,
2012/08/01,56.50,56.50,55.80,56.30,0.30,0.5357,56.1200,56.6800,56.7000,,,19.0000,-13.0000,0,0,0,44.2628,39.9999,28.5714,26.1156,32.6024,30,17,26.1156,32.6024,13.1420,0,0,0,,-0.5752,,0,0,0,
2012/08/03,55.80,56.00,55.80,56.00,-0.30,-0.5329,56.0200,56.5000,56.6750,,,2.0000,-12.1000,0,0,0,38.8738,38.1882,20.0000,24.0771,29.7607,17,17,24.0771,29.7607,12.7099,0,0,0,,-0.5804,,0,0,0,
2012/08/06,56.00,56.00,55.50,55.50,-0.50,-0.8929,55.9600,56.2800,56.6500,,,-7.0000,-11.6000,0,0,0,31.2616,35.2826,0.0000,16.0514,25.1909,9,17,16.0514,25.1909,-2.2276,0,0,0,,-0.6177,,0,0,0,
