ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,91.20,95.50,91.20,94.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,6,,,,,0,,,,,,0,,,
2012/06/29,93.00,93.00,91.20,92.50,-2.00,-2.1164,,,,,,-13.0000,,0,,,,,,,,13,,,,,0,,,,,,0,,,
2012/07/02,93.00,93.00,90.50,91.00,-1.50,-1.6216,,,,,,-37.0000,,0,,,,,,,,24,,,,,0,,,,,,0,,,
2012/07/03,91.00,92.00,91.00,91.00,0.00,0.00,,,,,,-37.0000,,0,,,,,,,,48,,,,,0,,,,,,0,,,
2012/07/04,90.00,90.00,90.00,90.00,-1.00,-1.0989,91.8000,,,,,-43.0000,,0,0,,,,,,,6,19,,,,0,0,,,,,0,0,,
2012/07/05,90.00,91.00,89.50,90.00,0.00,0.00,90.9000,,,,,-43.0000,,0,0,,,,,,,45,27,,,,0,0,,,,,0,0,,
2012/07/06,89.00,90.00,88.00,90.00,0.00,0.00,90.4000,,,,,-43.0000,,0,0,,0.0000,,,,,9,26,,,,0,0,,,,,0,0,,
2012/07/09,89.30,90.00,89.00,90.00,0.00,0.00,90.2000,,,,,-43.0000,,0,0,,0.0000,,,,,5,22,,,,0,0,,,,,0,0,,
2012/07/10,90.00,90.00,87.00,88.00,-2.00,-2.2222,89.6000,,,,,-60.0000,,0,0,,0.0000,,11.7647,37.2549,45.7516,17,16,37.2549,45.7516,20.2614,0,0,,,,,0,0,,
2012/07/11,87.00,88.00,87.00,87.50,-0.50,-0.5682,89.1000,90.4500,,,,-68.0000,-38.7000,0,0,0,0.0000,,8.3333,27.6144,39.7059,8,16,27.6144,39.7059,3.4314,0,0,0,,,,0,0,0,
2012/07/12,87.50,87.50,84.50,85.50,-2.00,-2.2857,88.2000,89.5500,,,,-94.0000,-48.1000,0,0,0,0.0000,,11.7647,22.3312,33.9143,26,13,22.3312,33.9143,-0.8351,0,0,0,,,,0,0,0,
2012/07/13,85.78,86.00,84.00,85.00,-0.50,-0.5848,87.2000,88.8000,,,,-105.0000,-57.3000,0,0,0,0.0000,,12.5000,19.0541,28.9609,11,13,19.0541,28.9609,-0.7595,0,0,0,,,,0,0,0,
2012/07/16,85.00,85.00,84.50,85.00,0.00,0.00,86.2000,88.2000,,,,-105.0000,-64.1000,0,0,0,0.0000,0.0000,14.2857,17.4646,25.1288,4,13,17.4646,25.1288,2.1363,0,0,0,,,,0,0,0,
2012/07/17,83.00,83.50,82.00,83.00,-2.00,-2.3529,85.2000,87.4000,,,,-124.0000,-72.8000,0,0,0,0.0000,0.0000,11.1111,15.3468,21.8681,19,13,15.3468,21.8681,2.3041,0,0,0,,,,0,0,0,
2012/07/18,83.00,85.00,82.50,84.00,1.00,1.2048,84.5000,86.8000,,,,-102.0000,-78.7000,0,0,0,17.1297,9.2456,25.0000,18.5645,20.7669,22,16,18.5645,20.7669,14.1597,0,0,0,,,,0,0,0,
2012/07/19,83.00,85.00,83.00,84.50,0.50,0.5952,84.3000,86.2500,,,,-63.0000,-80.7000,0,0,0,24.8532,13.6026,31.2500,22.7930,21.4423,39,19,22.7930,21.4423,25.4945,0,0,0,,,,0,0,0,
2012/07/20,84.00,86.00,84.00,85.00,0.50,0.5917,84.3000,85.7500,,,,-33.0000,-79.7000,0,0,0,32.4121,17.9024,37.5000,27.6953,23.5266,30,22,27.6953,23.5266,36.0327,0,0,0,,,,0,0,0,
2012/07/23,86.00,86.00,83.50,83.50,-1.50,-1.7647,84.0000,85.1000,,,,-65.0000,-81.9000,0,0,0,23.7953,15.3950,25.0000,26.7969,24.6167,32,28,26.7969,24.6167,31.1572,0,0,0,,,,0,0,0,
2012/07/24,84.00,85.50,84.00,85.50,2.00,2.3952,84.5000,84.8500,,,,-48.0000,-80.7000,0,0,0,46.5366,29.7141,63.6364,39.0767,29.4367,17,28,39.0767,29.4367,58.3567,0,0,0,,,,0,0,0,
2012/07/25,86.00,86.00,85.00,86.00,0.50,0.5848,84.9000,84.7000,87.5750,,,-15.0000,-75.4000,0,0,0,50.9297,32.8152,100.0000,59.3845,39.4193,33,30,59.3845,39.4193,99.3148,0,0,0,,,,0,0,0,
2012/07/26,84.50,85.00,83.00,84.50,-1.50,-1.7442,84.9000,84.6000,87.0750,,,-26.0000,-68.6000,0,0,0,39.3033,28.6747,62.5000,60.4230,46.4205,11,24,60.4230,46.4205,88.4279,0,0,0,,,,0,0,0,
2012/07/27,82.65,85.50,82.65,85.50,1.00,1.1834,85.0000,84.6500,86.7250,,,-6.0000,-58.7000,0,0,0,48.6764,34.6697,87.5000,69.4487,54.0966,20,22,69.4487,54.0966,100.1528,0,0,0,,,,0,0,0,
