ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/07/10,23.00,26.10,23.00,26.10,0.00,0.00,,,,,,0.0000,,0,,,,,,,,14001,,,,,0,,,,,,0,,,
2012/07/11,25.50,30.00,25.30,30.00,3.90,14.9425,,,,,,28000.0000,,0,,,,,,,,28000,,,,,0,,,,,,0,,,
2012/07/12,30.60,36.63,30.60,34.00,4.00,13.3333,,,,,,80001.0000,,0,,,,,,,,52001,,,,,0,,,,,,0,,,
2012/07/13,35.00,38.00,35.00,35.00,1.00,2.9412,,,,,,114101.0000,,0,,,,,,,,34100,,,,,0,,,,,,0,,,
2012/07/16,34.20,34.50,34.00,34.00,-1.00,-2.8571,31.8200,,,,,104101.0000,,0,0,,,,,,,10000,27620,,,,0,0,,,,,0,0,,
2012/07/17,34.21,34.21,34.21,34.21,0.21,0.6176,33.4420,,,,,108101.0000,,0,0,,,,,,,4000,25620,,,,0,0,,,,,0,0,,
2012/07/18,35.00,35.00,33.80,34.00,-0.21,-0.6139,34.2420,,,,,89101.0000,,0,0,,88.2752,,,,,19000,23820,,,,0,0,,,,,0,0,,
2012/07/19,33.80,33.80,32.70,32.70,-1.30,-3.8235,33.9820,,,,,82101.0000,,0,0,,76.6835,,,,,7000,14820,,,,0,0,,,,,0,0,,
2012/07/20,32.00,32.00,31.83,31.83,-0.87,-2.6606,33.3480,,,,,79101.0000,,0,0,,69.3683,,58.8667,52.9556,50.9852,3000,8600,52.9556,50.9852,56.8963,0,0,,,,,0,0,,
2012/07/25,30.40,30.80,30.40,30.80,-1.03,-3.2359,32.7080,32.2640,,,,76101.0000,76070.8000,0,0,0,61.0891,,43.3071,49.7394,50.5699,3000,7200,49.7394,50.5699,48.0784,0,0,0,,,,0,0,0,
2012/07/27,30.00,30.00,29.60,29.60,-1.20,-3.8961,31.7860,32.6140,,,,73001.0000,83370.9000,0,0,0,52.3534,,0.0000,33.1596,44.7665,3100,7020,33.1596,44.7665,9.9458,0,0,0,,,,0,0,0,
2012/07/30,30.50,30.63,30.50,30.50,0.90,3.0405,31.0860,32.6640,,,,80001.0000,88571.0000,0,0,0,57.7863,,10.7143,25.6778,38.4036,7000,4620,25.6778,38.4036,0.2263,0,0,0,,,,0,0,0,
2012/07/31,30.40,30.40,29.50,29.50,-1.00,-3.2787,30.4460,32.2140,,,,70001.0000,87571.0000,0,0,0,50.1603,60.2286,0.0000,17.1186,31.3086,10000,5220,17.1186,31.3086,-11.2615,0,0,0,,,,0,0,0,
2012/08/01,29.40,29.40,27.36,27.50,-2.00,-6.7797,29.5800,31.4640,,,,28001.0000,78961.0000,0,0,0,38.0947,53.2395,1.8325,12.0232,24.8801,42000,13020,12.0232,24.8801,-13.6907,0,0,0,,,,0,0,0,
