ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/11/13,20.00,20.00,16.70,17.70,0.00,0.00,,,,,,0.0000,,0,,,,,,,,216,,,,,0,,,,,,0,,,
2012/11/14,17.10,17.20,15.68,16.80,-0.90,-5.0847,,,,,,-56.0000,,0,,,,,,,,56,,,,,0,,,,,,0,,,
2012/11/15,16.40,16.40,15.50,15.90,-0.90,-5.3571,,,,,,-80.0000,,0,,,,,,,,24,,,,,0,,,,,,0,,,
2012/11/16,15.70,16.18,15.50,16.00,0.10,0.6289,,,,,,-52.0000,,0,,,,,,,,28,,,,,0,,,,,,0,,,
2012/11/19,15.70,15.70,14.92,15.40,-0.60,-3.75,16.3600,,,,,-84.0000,,0,0,,,,,,,32,71,,,,0,0,,,,,0,0,,
2012/11/20,14.90,15.68,14.80,15.10,-0.30,-1.9481,15.8400,,,,,-329.0000,,0,0,,,,,,,245,77,,,,0,0,,,,,0,0,,
2012/11/21,14.73,15.10,14.64,15.04,-0.06,-0.3974,15.4880,,,,,-384.0000,,0,0,,3.4965,,,,,55,76,,,,0,0,,,,,0,0,,
2012/11/22,15.50,15.50,15.01,15.01,-0.03,-0.1995,15.3100,,,,,-388.0000,,0,0,,3.4530,,,,,4,72,,,,0,0,,,,,0,0,,
2012/11/23,15.57,15.57,15.26,15.26,0.25,1.6656,15.1620,,,,,-382.0000,,0,0,,14.1278,,11.5672,37.1891,45.7297,6,68,37.1891,45.7297,20.1078,0,0,,,,,0,0,,
2012/11/26,15.30,16.00,15.30,15.80,0.54,3.5387,15.2420,15.8010,,,,-378.0000,-213.3000,0,0,0,33.2557,,45.3125,39.8969,43.7854,4,62,39.8969,43.7854,32.1198,0,0,0,,,,0,0,0,
2012/11/28,16.00,16.10,15.80,16.10,0.30,1.8987,15.4420,15.6410,,,,-371.0000,-250.4000,0,0,0,41.8856,,82.9545,54.2494,47.2734,7,15,54.2494,47.2734,68.2014,0,0,0,,,,0,0,0,
2012/11/29,16.00,16.00,16.00,16.00,-0.10,-0.6211,15.6340,15.5610,,,,-372.0000,-282.0000,0,0,0,39.8258,,88.3117,65.6035,53.3835,1,4,65.6035,53.3835,90.0436,0,0,0,,,,0,0,0,
2012/11/30,16.00,16.00,15.50,15.50,-0.50,-3.125,15.7320,15.5210,,,,-376.0000,-311.6000,0,0,0,30.7522,25.9825,58.9041,63.3704,56.7124,4,4,63.3704,56.7124,76.6863,0,0,0,,,,0,0,0,
2012/12/04,16.00,16.31,15.50,15.50,0.00,0.00,15.7800,15.4710,,,,-376.0000,-344.0000,0,0,0,30.7522,25.9825,51.4970,59.4126,57.6125,10,5,59.4126,57.6125,63.0128,0,0,0,,,,0,0,0,
2012/12/05,15.30,16.10,15.30,16.10,0.60,3.871,15.8400,15.5410,,,,-373.0000,-372.9000,0,0,0,50.3135,35.9658,87.4251,68.7501,61.3250,3,5,68.7501,61.3250,83.6003,0,0,0,,,,0,0,0,
2012/12/07,15.50,16.06,15.50,15.94,-0.16,-0.9938,15.8080,15.6250,,,,-3014.0000,-641.4000,0,0,0,46.1425,34.6079,71.5385,69.6796,64.1099,2641,531,69.6796,64.1099,80.8189,0,0,0,,,,0,0,0,
2012/12/10,16.00,16.20,16.00,16.20,0.26,1.6311,15.8480,15.7410,,,,-3010.0000,-904.0000,0,0,0,53.6373,38.7101,89.5238,76.2943,68.1713,4,532,76.2943,68.1713,92.5402,0,0,0,,,,0,0,0,
2012/12/14,16.46,16.46,16.00,16.30,0.10,0.6173,16.0080,15.8700,,,,-2989.0000,-1164.1000,0,0,0,56.4354,40.2819,86.2069,79.5985,71.9804,21,535,79.5985,71.9804,94.8347,0,0,0,,,,0,0,0,
2012/12/17,16.00,16.06,16.00,16.06,-0.24,-1.4724,16.1200,15.9500,,,,-3317.0000,-1457.6000,0,0,0,48.0787,37.7474,65.5172,74.9048,72.9552,328,599,74.9048,72.9552,78.8039,0,0,0,,,,0,0,0,
2012/12/21,16.10,16.10,16.00,16.00,-0.06,-0.3736,16.1000,15.9700,15.8855,,,-3321.0000,-1751.9000,0,0,0,46.0338,37.1105,60.3448,70.0514,71.9873,4,599,70.0514,71.9873,66.1798,0,0,0,,,,0,0,0,
2012/12/22,15.85,16.05,15.85,15.85,-0.15,-0.9375,16.0820,15.9450,15.7930,,,-3329.0000,-2047.7000,0,0,0,40.8246,35.4781,47.4138,62.5056,68.8267,8,73,62.5056,68.8267,49.8633,0,0,0,,,,0,0,0,
2012/12/25,16.00,16.18,16.00,16.00,0.15,0.9464,16.0420,15.9450,15.7530,,,-3323.0000,-2342.8000,0,0,0,47.8994,38.4325,60.3448,61.7853,66.4796,6,73,61.7853,66.4796,52.3968,0,0,0,,,,0,0,0,
2012/12/26,15.39,15.80,15.39,15.80,-0.20,-1.25,15.9420,15.9750,15.7480,,,-3326.0000,-2637.8000,0,0,0,40.2080,36.0327,43.1034,55.5580,62.8391,3,69,55.5580,62.8391,40.9960,0,0,0,,,,0,0,0,
2012/12/27,16.18,16.18,15.90,16.00,0.20,1.2658,15.9300,16.0250,15.7480,,,-3311.0000,-2931.3000,0,0,0,49.8679,40.1122,57.0093,56.0418,60.5733,15,7,56.0418,60.5733,46.9788,0,0,0,,,,0,0,0,
