ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2013/12/26,45.00,74.00,45.00,63.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,277650,,,,,0,,,,,,0,,,
2013/12/27,60.50,63.00,58.43,59.00,-4.00,-6.3492,,,,,,-51161.0000,,0,,,,,,,,51161,,,,,0,,,,,,0,,,
2013/12/30,58.44,59.00,55.58,57.00,-2.00,-3.3898,,,,,,-80461.0000,,0,,,,,,,,29300,,,,,0,,,,,,0,,,
2013/12/31,55.59,61.50,55.21,60.50,3.50,6.1404,,,,,,-28561.0000,,0,,,,,,,,51900,,,,,0,,,,,,0,,,
2014/01/02,58.44,60.49,57.50,58.50,-2.00,-3.3058,59.6000,,,,,-77111.0000,,0,0,,,,,,,48550,91712,,,,0,0,,,,,0,0,,
2014/01/03,58.00,59.49,57.00,58.00,-0.50,-0.8547,58.6000,,,,,-116601.0000,,0,0,,,,,,,39490,44080,,,,0,0,,,,,0,0,,
2014/01/06,59.49,59.49,57.50,58.20,0.20,0.3448,58.4400,,,,,-95401.0000,,0,0,,30.3279,,,,,21200,38088,,,,0,0,,,,,0,0,,
2014/01/07,57.00,59.29,57.00,59.29,1.09,1.8729,58.8980,,,,,-88400.0000,,0,0,,37.0743,,,,,7001,33628,,,,0,0,,,,,0,0,,
2014/01/08,58.00,59.29,56.30,56.50,-2.79,-4.7057,58.0980,,,,,-142600.0000,,0,0,,28.5753,,39.6552,46.5517,48.8506,54200,34088,46.5517,48.8506,41.9540,0,0,,,,,0,0,,
2014/01/09,58.40,58.40,51.49,52.99,-3.51,-6.2124,56.9960,58.2980,,,,-208200.0000,-88849.6000,0,0,0,21.2285,,13.0321,35.3785,44.3599,65600,37498,35.3785,44.3599,17.4158,0,0,0,,,,0,0,0,
2014/01/10,53.00,54.21,51.30,54.21,1.22,2.3023,56.2380,57.4190,,,,-175200.0000,-106369.6000,0,0,0,28.8576,,28.5294,33.0955,40.6051,33000,36200,33.0955,40.6051,18.0763,0,0,0,,,,0,0,0,
2014/01/13,51.80,53.00,51.70,52.00,-2.21,-4.0767,54.9980,56.7190,,,,-190500.0000,-120303.5000,0,0,0,23.8388,,6.8627,24.3512,35.1871,15300,35020,24.3512,35.1871,2.6794,0,0,0,,,,0,0,0,
2014/01/14,52.00,52.00,52.00,52.00,0.00,0.00,53.5400,56.2190,,,,-190500.0000,-131307.4000,0,0,0,23.8388,26.1077,7.6170,18.7732,29.7158,1000,33820,18.7732,29.7158,-3.1122,0,0,0,,,,0,0,0,
2014/01/15,52.00,54.42,52.00,54.00,2.00,3.8462,53.0400,55.5690,,,,-182100.0000,-146661.3000,0,0,0,37.9108,32.5049,32.9670,23.5044,27.6454,8400,24660,23.5044,27.6454,15.2226,0,0,0,,,,0,0,0,
2014/01/16,56.00,56.30,53.50,55.50,1.50,2.7778,53.5420,55.2690,,,,-127100.0000,-151660.2000,0,0,0,46.7634,36.9695,51.2821,32.7636,29.3515,55000,22540,32.7636,29.3515,39.5880,0,0,0,,,,0,0,0,
2014/01/17,55.57,57.36,54.50,55.00,-0.50,-0.9009,53.7000,54.9690,,,,-158400.0000,-155840.1000,0,0,0,44.2403,36.1012,46.3079,37.2784,31.9938,31300,22200,37.2784,31.9938,47.8476,0,0,0,,,,0,0,0,
2014/01/20,56.83,56.84,56.83,56.84,1.84,3.3455,54.6680,54.8330,,,,-152400.0000,-161540.0000,0,0,0,54.9695,41.6074,69.3367,47.9645,37.3173,6000,20340,47.9645,37.3173,69.2588,0,0,0,,,,0,0,0,
2014/01/21,57.89,61.00,57.89,61.00,4.16,7.3188,56.4680,55.0040,,,,-123400.0000,-165040.0000,0,0,0,70.4143,51.8424,100.0000,65.3097,46.6481,29000,25940,65.3097,46.6481,102.6327,0,0,0,,,,0,0,0,
2014/01/22,61.00,61.00,58.50,58.50,-2.50,-4.0984,57.3680,55.2040,,,,-144400.0000,-165220.0000,0,0,0,56.4513,46.4991,74.2268,68.2820,53.8594,21000,28460,68.2820,53.8594,97.1273,0,0,0,,,,0,0,0,
2014/01/23,57.50,57.80,57.00,57.49,-1.01,-1.7265,57.7660,55.6540,56.9760,,,-191400.0000,-163540.0000,0,0,0,51.5004,44.4786,62.2581,66.2740,57.9976,47000,26860,66.2740,57.9976,82.8269,0,0,0,,,,0,0,0,
2014/01/24,57.45,59.50,57.45,59.00,1.51,2.6265,58.5660,56.1330,56.7760,,,-182100.0000,-164230.0000,0,0,0,58.0940,48.1529,77.7778,70.1086,62.0346,9300,22460,70.1086,62.0346,86.2566,0,0,0,,,,0,0,0,
2014/01/27,59.50,62.00,58.50,59.00,0.00,0.00,58.9980,56.8330,56.7760,,,-182100.0000,-163390.0000,0,0,0,58.0940,48.1529,70.0000,70.0724,64.7139,55200,32300,70.0724,64.7139,80.7895,0,0,0,,,,0,0,0,
2014/02/05,58.43,59.00,54.00,55.30,-3.70,-6.2712,57.8580,57.1630,56.6910,,,-254100.0000,-169750.0000,0,0,0,39.2605,40.3635,21.1765,53.7738,61.0672,72000,40900,53.7738,61.0672,39.1869,0,0,0,,,,0,0,0,
2014/02/06,55.00,55.50,55.00,55.50,0.20,0.3617,57.2580,57.3130,56.4410,,,-244550.0000,-175995.0000,0,0,0,40.5114,40.9270,18.7500,42.0992,54.7445,9550,38610,42.0992,54.7445,16.8085,0,0,0,,,,0,0,0,
2014/02/07,57.00,57.89,57.00,57.89,2.39,4.3063,57.3380,57.5520,56.4105,,,-240550.0000,-187340.0000,0,0,0,54.0749,47.4055,48.6250,44.2745,51.2545,4000,30010,44.2745,51.2545,30.3144,0,0,0,,,,0,0,0,
2014/02/10,58.40,60.20,58.40,60.00,2.11,3.6448,57.5380,58.0520,56.5105,,,-213550.0000,-192855.0000,0,0,0,63.0098,52.4299,75.0000,54.5163,52.3418,27000,33550,54.5163,52.3418,58.8654,0,0,0,,0.4666,,0,0,0,
2014/02/11,61.86,61.86,59.50,59.50,-0.50,-0.8333,57.6380,58.3180,56.5755,,,-232550.0000,-200870.0000,0,0,0,59.7067,51.1663,68.7500,59.2609,54.6481,19000,26310,59.2609,54.6481,68.4863,0,0,0,,0.5843,,0,0,0,
2014/02/12,60.00,60.00,57.50,58.00,-1.50,-2.521,58.1780,58.0180,56.5110,,,-248550.0000,-213385.0000,0,0,0,50.2275,47.4256,50.0000,56.1739,55.1567,16000,15110,56.1739,55.1567,58.2083,0,0,0,,0.5502,,0,0,0,
2014/02/13,56.67,59.00,56.67,59.00,1.00,1.7241,58.8780,58.0680,56.6360,,,-242550.0000,-223200.0000,0,0,0,55.8367,50.0799,62.5000,58.2826,56.1987,6000,14400,58.2826,56.1987,62.4505,0,0,0,,0.5970,,0,0,0,
2014/02/14,59.49,60.99,59.00,59.80,0.80,1.3559,59.2600,58.2990,56.9765,,,-221450.0000,-226205.0000,0,0,0,60.1482,52.1865,72.5000,63.0217,58.4730,21100,17820,63.0217,58.4730,72.1191,0,0,0,,0.6906,,0,0,0,
2014/02/17,60.72,61.20,60.00,60.10,0.30,0.5017,59.2800,58.4090,57.2710,,,-201550.0000,-228150.0000,0,0,0,61.8253,52.9980,77.6081,67.8839,61.6100,19900,16400,67.8839,61.6100,80.4317,0,0,0,,0.7801,,0,0,0,
2014/02/18,60.10,60.50,60.00,60.00,-0.10,-0.1664,59.3800,58.5090,57.6710,,,-208550.0000,-230795.0000,0,0,0,60.8018,52.6729,72.8863,69.5513,64.2571,7000,14000,69.5513,64.2571,80.1398,0,0,0,,0.8333,,0,0,0,
2014/02/19,60.50,60.50,58.85,60.15,0.15,0.25,59.8100,58.9940,58.0785,,,-194050.0000,-224790.0000,0,0,0,61.9360,53.1432,67.0520,68.7182,65.7441,14500,13700,68.7182,65.7441,74.6664,0,0,0,,0.8775,,0,0,0,
2014/02/20,58.88,59.99,58.50,59.00,-1.15,-1.9119,59.8100,59.3440,58.3285,,,-211050.0000,-221440.0000,0,0,0,48.9145,49.0655,44.8940,60.7768,64.0884,17000,15900,60.7768,64.0884,54.1538,0,0,0,0.2451,0.8103,0.6877,0,0,0,
2014/02/21,60.00,60.00,57.01,59.99,0.99,1.678,59.8480,59.5540,58.5530,,,-199550.0000,-217340.0000,0,0,0,58.0299,52.4891,63.9692,61.8409,63.3392,11500,13980,61.8409,63.3392,58.8444,0,0,0,0.2235,0.8275,0.7157,0,0,0,
2014/02/24,60.00,60.00,57.01,57.01,-2.98,-4.9675,59.2300,59.2550,58.6535,,,-212550.0000,-217240.0000,0,0,0,35.2867,42.9985,7.5055,43.7291,56.8025,13000,12600,43.7291,56.8025,17.5823,0,0,0,-0.1951,0.5937,0.6913,0,0,0,
2014/02/25,57.01,59.00,57.00,58.10,1.09,1.9119,58.8500,59.1150,58.7165,,,-191550.0000,-213140.0000,0,0,0,44.7850,46.8343,31.5673,39.6752,51.0934,21000,15400,39.6752,51.0934,16.8388,0,0,0,-0.3208,0.4908,0.6512,0,0,0,
2014/02/27,57.01,60.00,57.01,60.00,1.90,3.2702,58.8200,59.3150,58.6665,,,-176550.0000,-205940.0000,0,0,0,57.7550,52.8658,71.4286,50.2597,50.8155,15000,15500,50.2597,50.8155,49.1480,0,0,0,-0.1521,0.5561,0.6322,0,0,0,
2014/03/03,59.99,59.99,57.00,58.00,-2.00,-3.3333,58.6200,59.2150,58.6415,,,-190550.0000,-200740.0000,0,0,0,44.5395,46.7725,23.8095,41.4429,47.6913,14000,14900,41.4429,47.6913,28.9462,0,0,0,-0.3052,0.4414,0.5940,0,0,0,
2014/03/04,57.50,58.93,57.00,58.93,0.93,1.6034,58.4080,59.1280,58.7135,,,-178550.0000,-196450.0000,0,0,0,50.8190,49.7127,55.1429,46.0096,47.1307,12000,15000,46.0096,47.1307,43.7673,0,0,0,-0.2773,0.4207,0.5594,0,0,0,
2014/03/05,58.93,58.93,55.99,57.00,-1.93,-3.2751,58.4060,58.8180,58.6135,,,-213550.0000,-197650.0000,0,0,0,39.6414,44.1869,22.3947,38.1379,44.1331,35000,19400,38.1379,44.1331,26.1476,0,0,0,-0.5018,0.2458,0.4966,0,0,0,
2014/03/06,58.49,58.49,58.00,58.00,1.00,1.7544,58.3860,58.6180,58.5635,,,-210550.0000,-197850.0000,0,0,0,46.9028,47.4863,50.1247,42.1335,43.4666,3000,15800,42.1335,43.4666,39.4674,0,0,0,-0.4976,0.1856,0.4344,0,0,0,
2014/03/07,56.06,58.00,55.51,57.00,-1.00,-1.7241,57.7860,58.3030,58.6485,,,-257550.0000,-204200.0000,0,0,0,40.9859,44.6095,33.1849,39.1506,42.0279,47000,22200,39.1506,42.0279,33.3960,0,0,0,-0.6045,0.0566,0.3589,0,0,0,
2014/03/10,58.41,58.41,57.00,57.00,0.00,0.00,57.5860,58.1030,58.7235,,,-257550.0000,-208850.0000,0,0,0,40.9859,44.6095,33.1849,37.1620,40.4060,2000,19800,37.1620,40.4060,30.6742,0,0,0,-0.6463,-0.0451,0.2781,0,0,0,
