ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/02,7.30,7.65,7.30,7.46,0.00,0.00,,,,,,0.0000,,245,,,,,,,,301,,,,,0,,,,,,245,,,
2012/05/03,7.40,7.49,7.36,7.46,0.00,0.00,,,,,,0.0000,,249,,,,,,,,99,,,,,0,,,,,,249,,,
2012/05/04,7.46,7.81,7.46,7.61,0.15,2.0107,,,,,,115.0000,,253,,,,,,,,115,,,,,0,,,,,,253,,,
2012/05/07,7.55,7.97,7.55,7.56,-0.05,-0.657,,,,,,-1.0000,,230,,,,,,,,116,,,,,0,,,,,,230,,,
2012/05/08,7.56,7.70,7.50,7.50,-0.06,-0.7937,7.5180,,,,,-206.0000,,205,237,,,,,,,205,167,,,,0,0,,,,,205,237,,
2012/05/09,7.36,7.50,6.98,6.98,-0.52,-6.9333,7.4220,,,,,-338.0000,,182,224,,,,,,,132,133,,,,0,0,,,,,182,224,,
2012/05/10,7.10,7.20,7.10,7.17,0.19,2.7221,7.3640,,,,,-46.0000,,173,209,,35.0515,,,,,292,172,,,,0,0,,,,,173,209,,
2012/05/11,7.20,7.20,7.00,7.01,-0.16,-2.2315,7.2440,,,,,-201.0000,,143,187,,29.2599,,,,,155,180,,,,0,0,,,,,143,187,,
2012/05/14,7.02,7.03,6.98,6.98,-0.03,-0.428,7.1280,,,,,-414.0000,,131,167,,28.2111,,0.0000,33.3333,44.4444,213,199,33.3333,44.4444,11.1111,0,0,,,,,131,167,,
2012/05/15,6.98,7.11,6.98,7.09,0.11,1.5759,7.0460,7.2820,,,,-63.0000,-115.4000,93,145,191,37.9909,,11.1111,25.9259,38.2716,351,228,25.9259,38.2716,1.2346,0,0,0,,,,93,145,191,
2012/05/16,7.09,7.10,7.00,7.05,-0.04,-0.5642,7.0600,7.2410,,,,-198.0000,-135.2000,50,118,171,35.8592,,7.0707,19.6409,32.0614,135,229,19.6409,32.0614,-5.2001,0,0,0,,,,50,118,171,
2012/05/17,7.10,7.12,7.01,7.01,-0.04,-0.5674,7.0280,7.1960,,,,-254.0000,-160.6000,45,93,151,33.5971,,3.0303,14.1040,26.0756,56,182,14.1040,26.0756,-9.8391,0,0,0,,,,45,93,151,
2012/05/18,7.01,7.09,6.90,7.00,-0.01,-0.1427,7.0260,7.1350,,,,-389.0000,-211.0000,35,71,129,32.9730,33.0882,12.5000,13.5693,21.9068,135,178,13.5693,21.9068,-3.1056,0,0,0,,,,35,71,129,
2012/05/21,7.05,7.08,6.97,7.00,0.00,0.00,7.0300,7.0790,,,,-389.0000,-249.8000,35,52,110,32.9730,33.0882,16.6667,14.6018,19.4718,137,162,14.6018,19.4718,4.8617,0,0,0,,,,35,52,110,
2012/05/22,7.01,7.23,7.00,7.20,0.20,2.8571,7.0520,7.0490,,,,-354.0000,-264.6000,35,40,93,56.3323,43.0544,90.9091,40.0375,26.3271,35,99,40.0375,26.3271,67.4585,0,0,0,,,,35,40,93,
2012/05/23,7.25,7.25,7.04,7.12,-0.08,-1.1111,7.0660,7.0630,,,,-411.0000,-271.9000,35,37,78,48.2593,40.4269,62.8571,47.6441,33.4327,57,84,47.6441,33.4327,76.0668,0,0,0,,,,35,37,78,
2012/05/24,7.12,7.12,7.00,7.11,-0.01,-0.1404,7.0860,7.0570,,,,-530.0000,-320.3000,35,35,64,47.2438,40.0932,60.0000,51.7627,39.5427,119,96,51.7627,39.5427,76.2027,0,0,0,,,,35,35,64,
2012/05/25,7.11,7.11,6.90,7.00,-0.11,-1.5471,7.0860,7.0560,,,,-610.0000,-361.2000,35,35,53,36.9733,36.4803,28.5714,44.0323,41.0392,80,85,44.0323,41.0392,50.0184,0,0,0,,,,35,35,53,
2012/05/28,7.00,7.10,7.00,7.04,0.04,0.5714,7.0940,7.0620,,,,-550.0000,-374.8000,35,35,44,42.4341,38.6726,40.0000,42.6882,41.5889,60,70,42.6882,41.5889,44.8868,0,0,0,,,,35,35,44,
2012/05/29,7.05,7.17,7.04,7.10,0.06,0.8523,7.0740,7.0630,7.1725,,,-481.0000,-416.6000,42,37,39,50.2007,41.9510,57.1429,47.5064,43.5614,69,77,47.5064,43.5614,55.3964,0,0,0,,,,42,37,39,
2012/05/30,7.10,7.10,6.90,6.91,-0.19,-2.6761,7.0320,7.0490,7.1450,,,-531.0000,-449.9000,43,38,38,33.1865,35.4115,2.8571,32.6233,39.9154,50,75,32.6233,39.9154,18.0392,0,0,0,,,,43,38,38,
2012/05/31,6.91,7.03,6.53,6.83,-0.08,-1.1577,6.9760,7.0310,7.1135,,,-586.0000,-483.1000,45,40,38,28.3344,33.0453,41.6667,35.6378,38.4895,55,62,35.6378,38.4895,29.9343,0,0,0,,,,45,40,38,
2012/06/01,6.70,6.88,6.60,6.83,0.00,0.00,6.9420,7.0140,7.0745,,,-586.0000,-502.8000,47,43,39,28.3344,33.0453,41.6667,37.6474,38.2088,54,57,37.6474,38.2088,36.5246,0,0,0,,,,47,43,39,
2012/06/04,6.38,6.59,6.38,6.59,-0.24,-3.5139,6.8520,6.9730,7.0260,,,-639.0000,-527.8000,45,45,40,17.3658,26.6804,24.1379,33.1442,36.5206,53,56,33.1442,36.5206,26.3915,0,0,0,,,,45,45,40,
