ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/06/10,13.40,14.20,13.35,14.20,0.00,0.00,,,,,,0.0000,,0,,,,,,,,943,,,,,0,,,,,,0,,,
2011/06/13,14.00,14.00,13.40,13.90,-0.30,-2.1127,,,,,,-346.0000,,0,,,,,,,,346,,,,,0,,,,,,0,,,
2011/06/14,13.80,14.00,13.50,13.50,-0.40,-2.8777,,,,,,-432.0000,,0,,,,,,,,86,,,,,0,,,,,,0,,,
2011/06/15,13.60,14.30,13.60,13.65,0.15,1.1111,,,,,,-197.0000,,0,,,,,,,,235,,,,,0,,,,,,0,,,
2011/06/16,13.55,13.55,13.20,13.25,-0.40,-2.9304,13.7000,,,,,-356.0000,,0,0,,,,,,,159,353,,,,0,0,,,,,0,0,,
2011/06/17,13.35,13.35,13.25,13.35,0.10,0.7547,13.5300,,,,,-289.0000,,0,0,,,,,,,67,178,,,,0,0,,,,,0,0,,
2011/06/20,13.45,13.50,12.55,12.95,-0.40,-2.9963,13.3400,,,,,-403.0000,,0,0,,14.2857,,,,,114,132,,,,0,0,,,,,0,0,,
2011/06/21,13.00,13.20,12.80,13.20,0.25,1.9305,13.2800,,,,,-286.0000,,0,0,,26.8293,,,,,117,138,,,,0,0,,,,,0,0,,
2011/06/22,13.35,13.60,13.00,13.05,-0.15,-1.1364,13.1600,,,,,-384.0000,,0,0,,24.2718,,28.5714,42.8571,47.6190,98,111,42.8571,47.6190,33.3333,0,0,,,,,0,0,,
2011/06/23,13.05,13.15,12.90,12.90,-0.15,-1.1494,13.0900,13.3950,,,,-427.0000,-312.0000,0,0,0,21.7805,,20.0000,35.2381,43.4921,43,87,35.2381,43.4921,18.7302,0,0,0,,,,0,0,0,
2011/06/24,12.70,13.10,12.70,12.90,0.00,0.00,13.0000,13.2650,,,,-427.0000,-354.7000,0,0,0,21.7805,,20.0000,30.1587,39.0476,59,86,30.1587,39.0476,12.3810,0,0,0,,,,0,0,0,
2011/06/27,12.90,12.90,12.60,12.80,-0.10,-0.7752,12.9700,13.1550,,,,-505.0000,-370.6000,0,0,0,19.8267,,14.2857,24.8677,34.3210,78,79,24.8677,34.3210,5.9612,0,0,0,,,,0,0,0,
2011/06/28,13.00,13.35,13.00,13.05,0.25,1.9531,12.9400,13.1100,,,,-392.0000,-366.6000,0,0,0,36.8267,28.3019,47.6190,32.4515,33.6978,113,78,32.4515,33.6978,29.9588,0,0,0,,,,0,0,0,
2011/06/29,13.10,13.25,12.95,13.05,0.00,0.00,12.9400,13.0500,,,,-392.0000,-386.1000,0,0,0,36.8267,28.3019,47.6190,37.5073,34.9677,101,78,37.5073,34.9677,42.5867,0,0,0,,,,0,0,0,
2011/06/30,13.00,13.20,12.90,13.20,0.15,1.1494,13.0000,13.0450,,,,-347.0000,-385.2000,0,0,0,46.6083,32.8269,61.9048,45.6398,38.5251,45,79,45.6398,38.5251,59.8694,0,0,0,,,,0,0,0,
2011/07/01,12.55,13.35,12.55,13.20,0.00,0.00,13.0600,13.0300,,,,-347.0000,-391.0000,0,0,0,46.6083,32.8269,61.9048,51.0615,42.7039,65,80,51.0615,42.7039,67.7767,0,0,0,,,,0,0,0,
2011/07/04,13.20,13.20,12.95,12.95,-0.25,-1.8939,13.0900,13.0300,,,,-387.0000,-389.4000,0,0,0,33.9808,29.1748,38.0952,46.7394,44.0490,40,72,46.7394,44.0490,52.1201,0,0,0,,,,0,0,0,
2011/07/05,12.90,13.20,12.90,12.90,-0.05,-0.3861,13.0600,13.0000,,,,-436.0000,-404.4000,0,0,0,31.9061,28.4834,43.7500,45.7429,44.6137,49,60,45.7429,44.6137,48.0015,0,0,0,,,,0,0,0,
2011/07/06,12.90,13.20,12.60,12.90,0.00,0.00,13.0300,12.9850,,,,-436.0000,-409.6000,0,0,0,31.9061,28.4834,43.7500,45.0786,44.7686,79,55,45.0786,44.7686,45.6986,0,0,0,,,,0,0,0,
2011/07/07,12.75,12.90,12.75,12.75,-0.15,-1.1628,12.9400,12.9700,13.1825,,,-483.0000,-415.2000,0,0,0,25.2472,26.2614,25.0000,38.3857,42.6410,47,56,38.3857,42.6410,29.8752,0,0,0,,,,0,0,0,
2011/07/08,12.75,12.90,12.70,12.75,0.00,0.00,12.8500,12.9550,13.1100,,,-483.0000,-420.8000,0,0,0,25.2472,26.2614,25.0000,33.9238,39.7353,72,57,33.9238,39.7353,22.3009,0,0,0,,,,0,0,0,
2011/07/11,12.70,12.85,12.50,12.50,-0.25,-1.9608,12.7600,12.9250,13.0400,,,-626.0000,-432.9000,0,0,0,16.8215,22.7425,0.0000,22.6159,34.0288,143,78,22.6159,34.0288,-0.2100,0,0,0,,,,0,0,0,
2011/07/12,12.40,12.80,12.00,12.80,0.30,2.40,12.7400,12.9000,13.0050,,,-427.0000,-436.4000,0,0,0,43.8199,34.2720,59.2593,34.8303,34.2960,199,108,34.8303,34.2960,35.8990,0,0,0,,,,0,0,0,
2011/07/13,12.85,13.65,12.80,12.80,0.00,0.00,12.7200,12.8750,12.9625,,,-427.0000,-439.9000,0,0,0,43.8199,34.2720,48.4848,39.3818,35.9913,1037,299,39.3818,35.9913,46.1630,0,0,0,,,,0,0,0,
