ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/04/25,9.50,9.84,9.50,9.52,0.00,0.00,,,,,,0.0000,,0,,,,,,,,182,,,,,0,,,,,,0,,,
2011/04/26,9.42,9.52,9.23,9.29,-0.23,-2.416,,,,,,-124.0000,,0,,,,,,,,124,,,,,0,,,,,,0,,,
2011/04/27,9.40,9.40,9.26,9.27,-0.02,-0.2153,,,,,,-178.0000,,0,,,,,,,,54,,,,,0,,,,,,0,,,
2011/04/28,9.32,9.32,9.17,9.17,-0.10,-1.0787,,,,,,-207.0000,,0,,,,,,,,29,,,,,0,,,,,,0,,,
2011/04/29,9.30,9.31,9.17,9.23,0.06,0.6543,9.2960,,,,,-167.0000,,0,0,,,,,,,40,85,,,,0,0,,,,,0,0,,
2011/05/03,9.87,9.87,9.87,9.87,0.64,6.9339,9.3660,,,,,116.0000,,0,0,,,,,,,283,106,,,,0,0,,,,,0,0,,
2011/05/04,10.50,10.55,10.25,10.55,0.68,6.8896,9.6180,,,,,840.0000,,0,0,,79.7688,,,,,724,226,,,,0,0,,,,,0,0,,
2011/05/05,11.25,11.25,11.20,11.25,0.70,6.6351,10.0140,,,,,1459.0000,,0,0,,86.3813,,,,,619,339,,,,0,0,,,,,0,0,,
2011/05/06,11.70,12.00,11.25,11.35,0.10,0.8889,10.4500,,,,,2648.0000,,0,0,,87.1039,,77.0318,59.0106,53.0035,1189,571,59.0106,53.0035,71.0247,0,0,,,,,0,0,,
2011/05/09,11.40,11.70,10.85,11.70,0.35,3.0837,10.9440,10.1200,,,,3283.0000,767.0000,0,0,0,89.4540,,89.3993,69.1402,58.3824,635,690,69.1402,58.3824,90.6557,0,0,0,,,,0,0,0,
2011/05/10,11.70,11.70,11.00,11.30,-0.40,-3.4188,11.2300,10.2980,,,,2980.0000,1065.0000,0,0,0,71.5677,,75.2650,71.1818,62.6489,303,694,71.1818,62.6489,88.2476,0,0,0,,,,0,0,0,
2011/05/11,11.30,11.30,10.75,10.75,-0.55,-4.8673,11.2700,10.4440,,,,2707.0000,1348.1000,0,0,0,53.8136,,55.8304,66.0647,63.7875,273,603,66.0647,63.7875,70.6190,0,0,0,,,,0,0,0,
2011/05/12,10.90,11.50,10.75,11.50,0.75,6.9767,11.3200,10.6670,,,,3812.0000,1747.1000,0,0,0,67.1491,71.6157,82.3322,71.4872,66.3540,1105,701,71.4872,66.3540,81.7534,0,0,0,,,,0,0,0,
2011/05/13,11.35,11.35,11.00,11.00,-0.50,-4.3478,11.2500,10.8500,,,,3003.0000,2068.1000,0,0,0,54.5491,63.9943,53.0516,65.3420,66.0167,809,625,65.3420,66.0167,63.9926,0,0,0,,,,0,0,0,
2011/05/16,11.40,11.40,11.00,11.15,0.15,1.3636,11.1400,11.0420,,,,3233.0000,2408.1000,0,0,0,57.4251,65.2061,51.4286,60.7042,64.2458,230,544,60.7042,64.2458,53.6208,0,0,0,,,,0,0,0,
2011/05/17,10.55,11.05,10.55,10.80,-0.35,-3.139,11.0400,11.1350,,,,3102.0000,2706.7000,0,0,0,48.7821,60.0607,17.2414,46.2166,58.2361,131,509,46.2166,58.2361,22.1776,0,0,0,,,,0,0,0,
2011/05/18,10.85,11.40,10.80,10.85,0.05,0.463,11.0600,11.1650,,,,3385.0000,2961.2000,0,0,0,50.0703,60.5459,20.6897,37.7076,51.3933,283,511,37.7076,51.3933,10.3363,0,0,0,,,,0,0,0,
2011/05/19,11.20,11.20,10.85,10.85,0.00,0.00,10.9300,11.1250,,,,3385.0000,3153.8000,0,0,0,50.0703,60.5459,26.0870,33.8341,45.5402,116,313,33.8341,45.5402,10.4218,0,0,0,,,,0,0,0,
2011/05/20,11.00,11.00,10.60,10.85,0.00,0.00,10.9000,11.0750,,,,3385.0000,3227.5000,0,0,0,50.0703,60.5459,26.0870,31.2517,40.7774,203,192,31.2517,40.7774,12.2004,0,0,0,,,,0,0,0,
2011/05/23,10.80,10.95,10.60,10.85,0.00,0.00,10.8400,10.9900,10.5550,,,3385.0000,3237.7000,0,0,0,50.0703,60.5459,31.5789,31.3608,37.6385,87,164,31.3608,37.6385,18.8053,0,0,0,,,,0,0,0,
2011/05/24,10.65,10.85,10.55,10.60,-0.25,-2.3041,10.8000,10.9200,10.6090,,,3306.0000,3270.3000,0,0,0,39.7137,55.7498,5.2632,22.6616,32.6462,79,153,22.6616,32.6462,2.6923,0,0,0,,,,0,0,0,
2011/05/25,10.50,10.70,10.30,10.40,-0.20,-1.8868,10.7100,10.8850,10.6645,,,3228.0000,3322.4000,0,0,0,33.1343,52.1449,9.0909,18.1380,27.8101,78,112,18.1380,27.8101,-1.2062,0,0,0,,,,0,0,0,
2011/05/26,10.35,10.65,10.35,10.40,0.00,0.00,10.6200,10.7750,10.7210,,,3228.0000,3264.0000,0,0,0,33.1343,52.1449,9.0909,15.1223,23.5809,92,107,15.1223,23.5809,-1.7948,0,0,0,,,,0,0,0,
2011/05/27,10.40,10.80,10.40,10.60,0.20,1.9231,10.5700,10.7350,10.7925,,,3307.0000,3294.4000,0,0,0,46.0136,55.5644,27.2727,19.1725,22.1114,79,83,19.1725,22.1114,13.2946,0,0,0,,,,0,0,0,
