ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/30,38.95,39.50,38.25,39.20,0.00,0.00,,,,,,0.0000,,1226,,,,,,,,27,,,,,0,,,,,,1243,,,
2012/05/31,38.80,38.90,38.40,38.80,-0.40,-1.0204,,,,,,-52.0000,,1225,,,,,,,,52,,,,,0,,,,,,1242,,,
2012/06/01,39.00,39.00,37.00,37.00,-1.80,-4.6392,,,,,,-86.0000,,1225,,,,,,,,34,,,,,0,,,,,,1242,,,
2012/06/04,35.60,36.00,34.45,35.00,-2.00,-5.4054,,,,,,-182.0000,,1225,,,,,,,,96,,,,,0,,,,,,1232,,,
2012/06/05,35.50,35.80,35.00,35.45,0.45,1.2857,37.0900,,,,,-99.0000,,1225,1225,,,,,,,83,58,,,,0,0,,,,,1225,1238,,
2012/06/06,35.50,35.90,35.50,35.55,0.10,0.2821,36.3600,,,,,-61.0000,,1225,1225,,,,,,,38,60,,,,0,0,,,,,1225,1234,,
2012/06/07,35.80,36.25,35.30,35.50,-0.05,-0.1406,35.7000,,,,,-88.0000,,1226,1225,,11.4583,,,,,27,55,,,,0,0,,,,,1226,1230,,
2012/06/08,35.50,36.50,34.80,36.10,0.60,1.6901,35.5200,,,,,-45.0000,,1227,1226,,23.0072,,,,,43,57,,,,0,0,,,,,1227,1227,,
2012/06/11,36.60,36.80,36.35,36.35,0.25,0.6925,35.7900,,,,,-20.0000,,1227,1226,,27.7211,,37.6238,45.8746,48.6249,25,43,45.8746,48.6249,40.3740,0,0,,,,,1227,1226,,
2012/06/12,36.35,36.35,36.30,36.30,-0.05,-0.1376,35.9600,36.5250,,,,-28.0000,-66.1000,1226,1226,1226,27.3197,,40.6593,44.1362,47.1286,8,28,44.1362,47.1286,38.1513,0,0,0,,,,1226,1226,1232,
