ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/14,27.80,27.80,27.50,27.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,8,,,,,0,,,,,,0,,,
2012/05/24,27.50,27.50,27.50,27.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2012/05/25,27.00,27.00,26.00,26.00,-1.50,-5.4545,,,,,,-11.0000,,0,,,,,,,,11,,,,,0,,,,,,0,,,
2012/05/28,26.13,26.13,24.66,25.60,-0.40,-1.5385,,,,,,-49.0000,,0,,,,,,,,38,,,,,0,,,,,,0,,,
2012/05/29,27.00,28.00,27.00,28.00,2.40,9.375,26.9200,,,,,-16.0000,,0,0,,,,,,,33,18,,,,0,0,,,,,0,0,,
2012/05/31,26.90,27.00,26.90,26.90,-1.10,-3.9286,26.8000,,,,,-108.0000,,0,0,,,,,,,92,35,,,,0,0,,,,,0,0,,
2012/06/01,26.51,26.51,25.94,25.94,-0.96,-3.5688,26.4880,,,,,-120.0000,,0,0,,37.7358,,,,,12,37,,,,0,0,,,,,0,0,,
2012/06/11,25.28,25.40,25.20,25.40,-0.54,-2.0817,26.3680,,,,,-152.0000,,0,0,,34.2466,,,,,32,41,,,,0,0,,,,,0,0,,
2012/06/19,26.20,27.00,26.20,26.63,1.23,4.8425,26.5740,,,,,-122.0000,,0,0,,47.5123,,58.9820,52.9940,50.9980,30,39,52.9940,50.9980,56.9860,0,0,,,,,0,0,,
2012/06/20,26.80,27.00,26.80,27.00,0.37,1.3894,26.3740,26.6470,,,,-113.0000,-69.1000,0,0,0,51.0753,,70.0599,58.6826,53.5595,9,35,58.6826,53.5595,68.9288,0,0,0,,,,0,0,0,
2012/06/21,27.57,27.57,27.57,27.57,0.57,2.1111,26.5080,26.6540,,,,-112.0000,-80.3000,0,0,0,56.5304,,87.1257,68.1637,58.4276,1,16,68.1637,58.4276,87.6358,0,0,0,,,,0,0,0,
2012/06/25,27.00,27.00,27.00,27.00,-0.57,-2.0675,26.7200,26.6040,,,,-114.0000,-91.7000,0,0,0,49.8593,,70.0599,68.7957,61.8836,2,14,68.7957,61.8836,82.6199,0,0,0,,,,0,0,0,
2012/06/28,27.57,27.57,26.90,27.20,0.20,0.7407,27.0800,26.7240,,,,-69.0000,-97.5000,0,0,0,52.2327,48.4756,71.4286,69.6734,64.4802,45,17,69.6734,64.4802,80.0596,0,0,0,,,,0,0,0,
2012/06/29,27.10,27.66,27.10,27.66,0.46,1.6912,27.2860,26.9300,,,,-61.0000,-98.7000,0,0,0,57.7523,50.9757,100.0000,79.7822,69.5809,8,13,79.7822,69.5809,100.1849,0,0,0,,,,0,0,0,
2012/07/02,27.70,29.00,27.50,29.00,1.34,4.8445,27.6860,27.0300,,,,-34.0000,-100.5000,0,0,0,69.9075,57.5253,100.0000,86.5215,75.2278,27,16,86.5215,75.2278,109.1090,0,0,0,,,,0,0,0,
2012/07/03,27.23,29.30,26.00,26.10,-2.90,-10.00,27.3920,26.9500,,,,-63.0000,-96.0000,0,0,0,40.0113,43.7316,21.9512,64.9981,71.8179,29,22,64.9981,71.8179,51.3585,0,0,0,,,,0,0,0,
2012/07/05,26.10,26.10,25.70,26.00,-0.10,-0.3831,27.1920,26.9560,,,,-70.0000,-91.0000,0,0,0,39.3156,43.3407,8.3333,46.1098,63.2485,7,23,46.1098,63.2485,11.8324,0,0,0,,,,0,0,0,
2012/07/16,26.80,26.80,26.80,26.80,0.80,3.0769,27.1120,27.0960,,,,-68.0000,-82.6000,0,0,0,47.9964,47.4412,30.5556,40.9251,55.8074,2,14,40.9251,55.8074,11.1605,0,0,0,,,,0,0,0,
2012/07/17,26.80,27.20,26.80,27.20,0.40,1.4925,27.0200,27.1530,,,,-66.0000,-77.0000,0,0,0,52.1070,49.4372,41.6667,41.1723,50.9290,2,13,41.1723,50.9290,21.6588,0,0,0,,,,0,0,0,
2012/07/19,27.50,27.70,27.50,27.70,0.50,1.8382,26.7600,27.2230,26.9350,,,-64.0000,-72.1000,0,0,0,57.1837,51.9267,55.5556,45.9667,49.2749,2,8,45.9667,49.2749,39.3503,0,0,0,,,,0,0,0,
2012/07/20,27.70,27.90,27.70,27.90,0.20,0.722,27.1200,27.2560,26.9550,,,-62.0000,-67.1000,0,0,0,59.2567,52.9378,61.1111,51.0148,49.8549,2,3,51.0148,49.8549,53.3348,0,0,0,,,,0,0,0,
2012/07/23,26.80,27.90,26.50,27.90,0.00,0.00,27.5000,27.3460,26.9750,,,-62.0000,-61.9000,0,0,0,59.2567,52.9378,61.1111,54.3803,51.3633,8,3,54.3803,51.3633,60.4141,0,0,0,,,,0,0,0,
2012/07/24,27.50,27.50,26.00,26.00,-1.90,-6.81,27.3400,27.2260,26.9750,,,-76.0000,-62.6000,0,0,0,35.6466,42.7679,8.3333,39.0313,47.2527,14,5,39.0313,47.2527,22.5885,0,0,0,,,,0,0,0,
2012/07/25,27.00,27.00,27.00,27.00,1.00,3.8462,27.3000,27.1600,27.0450,,,-75.0000,-64.0000,0,0,0,48.5849,48.4536,36.1111,38.0579,44.1877,1,5,38.0579,44.1877,25.7982,0,0,0,,,,0,0,0,
2012/07/26,27.00,27.00,27.00,27.00,0.00,0.00,27.1600,26.9600,26.9950,,,-75.0000,-68.1000,0,0,0,48.5849,48.4536,59.0909,45.0689,44.4815,1,5,45.0689,44.4815,46.2438,0,0,0,,,,0,0,0,
2012/07/27,27.00,27.00,26.55,26.55,-0.45,-1.6667,26.8900,27.0050,26.9775,,,-79.0000,-69.7000,0,0,0,42.9848,46.0059,28.9474,39.6951,42.8860,4,5,39.6951,42.8860,33.3132,0,0,0,,0.0212,,0,0,0,
2012/08/01,26.40,26.40,26.40,26.40,-0.15,-0.565,26.5900,27.0450,27.0005,,,-80.0000,-70.7000,0,0,0,41.0903,45.1761,21.0526,33.4809,39.7510,1,4,33.4809,39.7510,20.9408,0,0,0,,-0.0276,,0,0,0,
2012/08/06,27.00,28.00,27.00,27.30,0.90,3.4091,26.8500,27.0950,27.0955,,,-28.0000,-66.7000,0,0,0,55.2810,50.9654,65.0000,43.9873,41.1631,52,11,43.9873,41.1631,49.6357,0,0,0,,0.0063,,0,0,0,
2012/08/07,27.00,27.00,27.00,27.00,-0.30,-1.0989,26.8500,27.0750,27.1140,,,-33.0000,-63.4000,0,0,0,50.4225,49.0807,50.0000,45.9915,42.7726,5,12,45.9915,42.7726,52.4295,0,0,0,,0.0088,,0,0,0,
2012/08/08,27.50,27.78,27.50,27.78,0.78,2.8889,27.0060,27.0830,27.1530,,,-26.0000,-59.6000,0,0,0,61.0915,53.9145,89.0000,60.3277,48.6243,7,13,60.3277,48.6243,83.7345,0,0,0,,0.0729,,0,0,0,
2012/08/09,27.40,27.50,27.30,27.30,-0.48,-1.7279,27.1560,27.0230,27.1395,,,-40.0000,-57.4000,0,0,0,52.7144,50.6844,65.0000,61.8851,53.0445,14,15,61.8851,53.0445,79.5663,0,0,0,,0.0840,,0,0,0,
2012/08/10,27.50,27.70,27.40,27.70,0.40,1.4652,27.4160,27.0030,27.1745,,,-3.0000,-51.5000,0,0,0,58.4165,53.2316,81.2500,68.3401,58.1431,37,23,68.3401,58.1431,88.7341,0,0,0,,0.1237,,0,0,0,
2012/08/13,27.50,27.78,26.90,27.33,-0.37,-1.3357,27.4220,27.1360,27.1810,,,-39.0000,-47.8000,0,0,0,51.5203,50.5946,58.1250,64.9351,60.4071,36,19,64.9351,60.4071,73.9910,0,0,0,,0.1238,,0,0,0,
2012/08/14,27.50,27.50,27.40,27.40,0.07,0.2561,27.5020,27.1760,27.1680,,,-33.0000,-43.6000,0,0,0,52.7857,51.0946,62.5000,64.1234,61.6458,6,20,64.1234,61.6458,69.0785,0,0,0,0.1360,0.1281,0.0601,0,0,0,
2012/08/15,27.50,27.50,27.30,27.30,-0.10,-0.365,27.4060,27.2060,27.0830,,,-52.0000,-41.3000,0,0,0,50.5250,50.3012,56.2500,61.4989,61.5969,19,22,61.4989,61.5969,61.3030,0,0,0,0.0991,0.1220,0.0725,0,0,0,
2012/08/16,27.50,27.50,27.40,27.40,0.10,0.3663,27.4260,27.2910,27.1480,,,-44.0000,-37.8000,0,0,0,52.9434,51.1291,45.4545,56.1508,59.7815,8,21,56.1508,59.7815,48.8894,0,0,0,0.0822,0.1239,0.0828,0,0,0,
2012/08/17,27.40,27.78,27.30,27.50,0.10,0.365,27.3860,27.4010,27.2230,,,-6.0000,-30.4000,0,0,0,55.5508,52.0013,68.1818,60.1611,59.9080,38,21,60.1611,59.9080,60.6673,0,0,0,0.0785,0.1319,0.0926,0,0,0,
2012/08/20,27.60,27.60,27.40,27.40,-0.10,-0.3636,27.4000,27.4110,27.2530,,,-13.0000,-28.9000,0,0,0,52.0874,51.0082,56.8182,59.0468,59.6210,7,15,59.0468,59.6210,57.8985,0,0,0,0.0577,0.1286,0.0998,0,0,0,
2012/08/21,27.60,27.60,27.40,27.40,0.00,0.00,27.4000,27.4510,27.2630,,,-13.0000,-26.9000,0,0,0,52.0874,51.0082,56.8182,58.3039,59.1820,5,15,58.3039,59.1820,56.5479,0,0,0,0.0398,0.1247,0.1048,0,0,0,
2012/08/22,27.60,27.60,27.40,27.40,0.00,0.00,27.4200,27.4130,27.2480,,,-13.0000,-25.6000,0,0,0,52.0874,51.0082,56.8182,57.8087,58.7242,6,12,57.8087,58.7242,55.9777,0,0,0,0.0245,0.1201,0.1078,0,0,0,
2012/08/23,27.50,28.00,27.50,28.00,0.60,2.1898,27.5400,27.4830,27.2530,,,3.0000,-21.3000,0,0,0,70.8985,57.3526,100.0000,71.8725,63.1070,16,14,71.8725,63.1070,89.4035,0,0,0,0.0883,0.1631,0.1189,0,0,0,
2012/08/24,28.00,29.00,27.80,28.50,0.50,1.7857,27.7400,27.5630,27.2830,,,96.0000,-11.4000,0,0,0,79.1029,61.8446,70.5882,71.4444,65.8861,93,25,71.4444,65.8861,82.5610,0,0,0,0.1853,0.2347,0.1421,0,0,0,
2012/08/27,29.36,31.30,29.10,30.60,2.10,7.3684,28.3800,27.8900,27.5130,,,213.0000,13.8000,0,0,0,91.3681,74.2643,82.5000,75.1296,68.9673,117,47,75.1296,68.9673,87.4542,0,0,0,0.5019,0.4557,0.2048,0,0,0,
2012/08/28,30.60,31.10,30.21,30.60,0.00,0.00,29.0200,28.2100,27.6930,,,213.0000,38.4000,0,0,0,91.3681,74.2643,82.5000,77.5864,71.8403,37,53,77.5864,71.8403,89.0786,0,0,0,0.6702,0.6237,0.2886,0,0,0,
2012/08/29,30.61,30.61,30.00,30.01,-0.59,-1.9281,29.5420,28.4810,27.8435,,,155.0000,59.1000,0,0,0,73.8354,66.9751,67.7500,74.3076,72.6627,58,64,74.3076,72.6627,77.5973,0,0,0,0.6600,0.7011,0.3711,0,0,0,
2012/08/30,30.30,32.00,30.30,32.00,1.99,6.6311,30.3420,28.9410,28.1160,,,189.0000,82.4000,0,0,0,85.2732,75.7376,100.0000,82.8717,76.0657,34,67,82.8717,76.0657,96.4837,0,0,0,0.8663,0.9125,0.4793,0,0,0,
2012/08/31,32.20,32.60,32.00,32.60,0.60,1.875,31.1620,29.4510,28.4260,,,208.0000,103.8000,0,0,0,87.2844,77.6850,100.0000,88.5812,80.2375,19,53,88.5812,80.2375,105.2684,0,0,0,1.0180,1.1156,0.6066,0,0,0,
2012/09/03,34.00,34.00,32.70,33.50,0.90,2.7607,31.7420,30.0610,28.7360,,,245.0000,129.6000,0,0,0,89.7933,80.2757,92.4242,89.8622,83.4458,37,37,89.8622,83.4458,102.6950,0,0,0,1.1635,1.3338,0.7520,0,0,0,
2012/09/04,33.00,33.50,32.80,33.50,0.00,0.00,32.3220,30.6710,29.0610,,,245.0000,155.4000,0,0,0,89.7933,80.2757,92.3077,90.6774,85.8563,54,40,90.6774,85.8563,100.3195,0,0,0,1.1800,1.4895,0.8995,0,0,0,
2012/09/05,34.00,34.00,33.20,34.00,0.50,1.4925,33.1200,31.3310,29.3720,,,262.0000,182.9000,0,0,0,91.1848,81.6818,100.0000,93.7849,88.4992,17,32,93.7849,88.4992,104.3564,0,0,0,1.1759,1.6345,1.0465,0,0,0,
2012/09/06,34.00,35.50,34.00,35.30,1.30,3.8235,33.7800,32.0610,29.7720,,,314.0000,214.0000,0,0,0,93.8154,84.7626,96.8750,94.8149,90.6044,52,35,94.8149,90.6044,103.2360,0,0,0,1.2586,1.8331,1.2038,0,0,0,
2012/09/07,35.00,35.60,35.00,35.50,0.20,0.5666,34.3600,32.7610,30.1620,,,331.0000,237.5000,0,0,0,94.1384,85.1809,98.2143,95.9481,92.3856,17,35,95.9481,92.3856,103.0729,0,0,0,1.2480,1.9838,1.3598,0,0,0,
2012/09/10,35.10,35.30,34.39,35.00,-0.50,-1.4085,34.6600,33.2010,30.5455,,,308.0000,247.0000,0,0,0,81.3890,79.2477,89.2857,93.7273,92.8328,23,32,93.7273,92.8328,95.5161,0,0,0,1.0873,2.0394,1.4957,0,0,0,
2012/09/11,35.50,36.50,35.50,36.50,1.50,4.2857,35.2600,33.7910,31.0005,,,340.0000,259.7000,0,0,0,87.4889,83.1002,100.0000,95.8182,93.8280,32,28,95.8182,93.8280,99.7986,0,0,0,1.0937,2.1793,1.6325,0,0,0,
2012/09/12,37.00,37.50,37.00,37.00,0.50,1.3699,35.8600,34.4900,31.4855,,,409.0000,285.1000,0,0,0,88.9390,84.1689,90.9091,94.1818,93.9459,69,38,94.1818,93.9459,94.6536,0,0,0,1.0745,2.3040,1.7668,0,0,0,
2012/09/13,38.00,38.00,36.50,37.00,0.00,0.00,36.2000,34.9900,31.9655,,,409.0000,307.1000,0,0,0,88.9390,84.1689,81.1321,89.8319,92.5746,38,35,89.8319,92.5746,84.3466,0,0,0,0.9739,2.3755,1.8885,0,0,0,
2012/09/14,37.20,37.40,36.70,37.20,0.20,0.5405,36.5400,35.4500,32.4505,,,454.0000,331.7000,0,0,0,89.6312,84.6315,84.6154,88.0931,91.0807,45,41,88.0931,91.0807,82.1177,0,0,0,0.8509,2.4203,1.9949,0,0,0,
