ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/28,6.56,6.56,6.29,6.29,0.00,0.00,,,,,,0.0000,,0,,,,,,,,3,,,,,0,,,,,,0,,,
2012/05/29,6.30,6.68,6.20,6.64,0.35,5.5644,,,,,,30.0000,,0,,,,,,,,30,,,,,0,,,,,,0,,,
2012/05/30,6.62,6.62,6.32,6.40,-0.24,-3.6145,,,,,,-13.0000,,0,,,,,,,,43,,,,,0,,,,,,0,,,
2012/05/31,6.35,6.52,6.35,6.35,-0.05,-0.7813,,,,,,-25.0000,,0,,,,,,,,12,,,,,0,,,,,,0,,,
2012/06/01,6.50,6.64,6.01,6.01,-0.34,-5.3543,6.3380,,,,,-43.0000,,0,0,,,,,,,18,21,,,,0,0,,,,,0,0,,
2012/06/04,5.59,6.37,5.59,6.37,0.36,5.99,6.3540,,,,,-18.0000,,0,0,,,,,,,25,25,,,,0,0,,,,,0,0,,
2012/06/05,6.32,6.78,6.00,6.78,0.41,6.4364,6.3820,,,,,14.0000,,0,0,,64.0000,,,,,32,26,,,,0,0,,,,,0,0,,
2012/06/06,6.50,6.70,6.35,6.70,-0.08,-1.1799,6.4420,,,,,0.0000,,0,0,,60.6717,,,,,14,20,,,,0,0,,,,,0,0,,
2012/06/07,6.69,6.70,6.35,6.36,-0.34,-5.0746,6.4440,,,,,-9.0000,,0,0,,47.9534,,64.7059,54.9020,51.6340,9,19,54.9020,51.6340,61.4379,0,0,,,,,0,0,,
2012/06/08,6.36,6.36,6.25,6.25,-0.11,-1.7296,6.4920,6.4150,,,,-29.0000,-9.3000,0,0,0,44.3445,,55.4622,55.0887,52.7856,20,20,55.0887,52.7856,59.6950,0,0,0,,,,0,0,0,
2012/06/11,6.49,6.49,6.49,6.49,0.24,3.84,6.5160,6.4350,,,,-28.0000,-12.1000,0,0,0,53.5058,,75.6303,61.9359,55.8357,1,15,61.9359,55.8357,74.1363,0,0,0,,,,0,0,0,
2012/06/12,6.25,6.45,6.08,6.45,-0.04,-0.6163,6.4500,6.4160,,,,-37.0000,-18.8000,0,0,0,51.8004,,72.2689,65.3802,59.0172,9,10,65.3802,59.0172,78.1063,0,0,0,,,,0,0,0,
2012/06/13,6.59,6.59,6.59,6.59,0.14,2.1705,6.4280,6.4350,,,,-36.0000,-21.1000,0,0,0,57.4908,55.5556,84.0336,71.5980,63.2108,1,8,71.5980,63.2108,88.3725,0,0,0,,,,0,0,0,
2012/06/14,6.30,6.50,6.26,6.30,-0.29,-4.4006,6.4160,6.4300,,,,-63.0000,-24.9000,0,0,0,44.4473,49.7288,59.6639,67.6200,64.6805,27,11,67.6200,64.6805,73.4989,0,0,0,,,,0,0,0,
2012/06/15,6.59,6.59,6.25,6.25,-0.05,-0.7937,6.4160,6.4540,,,,-426.0000,-63.2000,0,0,0,42.4544,48.7667,32.0513,55.7637,61.7083,363,80,55.7637,61.7083,43.8747,0,0,0,,,,0,0,0,
2012/06/18,6.56,6.56,6.26,6.49,0.24,3.84,6.4160,6.4660,,,,-420.0000,-103.4000,0,0,0,54.2656,53.4793,66.1290,59.2188,60.8785,6,81,59.2188,60.8785,55.8996,0,0,0,,,,0,0,0,
2012/06/19,6.30,6.50,6.27,6.50,0.01,0.1541,6.4260,6.4380,,,,-413.0000,-146.1000,0,0,0,54.7302,53.6730,67.7419,62.0599,61.2723,7,80,62.0599,61.2723,63.6351,0,0,0,,,,0,0,0,
