ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/06/21,4.92,5.00,4.92,4.99,0.00,0.00,,,,,,0.0000,,5000,,,,,,,,40,,,,,0,,,,,,5000,,,
2011/06/22,4.93,5.00,4.91,5.00,0.01,0.2004,,,,,,31.0000,,5000,,,,,,,,31,,,,,0,,,,,,5000,,,
2011/06/23,4.90,4.90,4.70,4.85,-0.15,-3.00,,,,,,-102.0000,,5000,,,,,,,,133,,,,,0,,,,,,5000,,,
2011/06/24,4.67,4.82,4.52,4.78,-0.07,-1.4433,,,,,,-296.0000,,5000,,,,,,,,194,,,,,0,,,,,,5000,,,
2011/06/27,4.55,4.70,4.51,4.66,-0.12,-2.5105,4.8560,,,,,-435.0000,,5000,5000,,,,,,,139,107,,,,0,0,,,,,5000,5000,,
2011/06/28,4.52,4.60,4.48,4.48,-0.18,-3.8627,4.7540,,,,,-530.0000,,5000,5000,,,,,,,95,118,,,,0,0,,,,,5000,5000,,
2011/06/29,4.30,4.49,4.22,4.22,-0.26,-5.8036,4.5980,,,,,-982.0000,,5000,5000,,1.2658,,,,,452,202,,,,0,0,,,,,5000,5000,,
2011/06/30,4.22,4.33,4.22,4.30,0.08,1.8957,4.4880,,,,,-912.0000,,5000,5000,,11.9639,,,,,70,190,,,,0,0,,,,,5000,5000,,
2011/07/01,4.31,4.32,4.17,4.26,-0.04,-0.9302,4.3840,,,,,-988.0000,,5000,5000,,11.2336,,10.8434,36.9478,45.6493,76,166,36.9478,45.6493,19.5448,0,0,,,,,5000,5000,,
2011/07/04,4.26,4.29,4.25,4.26,0.00,0.00,4.3040,4.5800,,,,-988.0000,-520.2000,5000,5000,5000,11.2336,,10.8434,28.2463,39.8483,21,142,28.2463,39.8483,5.0424,0,0,0,,,,5000,5000,5000,
2011/07/05,4.26,4.28,4.16,4.20,-0.06,-1.4085,4.2480,4.5010,,,,-1147.0000,-634.9000,5000,5000,5000,9.9249,,5.4054,20.6327,33.4431,159,155,20.6327,33.4431,-4.9881,0,0,0,,,,5000,5000,5000,
2011/07/06,4.18,4.20,4.10,4.20,0.00,0.00,4.2440,4.4210,,,,-1147.0000,-752.7000,5000,5000,5000,9.9249,,13.8889,18.3848,28.4236,26,70,18.3848,28.4236,-1.6930,0,0,0,,,,5000,5000,5000,
2011/07/07,4.20,4.30,4.12,4.16,-0.04,-0.9524,4.2160,4.3520,,,,-1240.0000,-866.5000,5000,5000,5000,8.9267,8.9109,10.0000,15.5898,24.1457,93,75,15.5898,24.1457,-1.5219,0,0,0,,,,5000,5000,5000,
