ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/04/27,8.50,8.58,8.40,8.58,0.00,0.00,,,,,,0.0000,,1,,,,,,,,22,,,,,0,,,,,,1,,,
2012/04/30,8.50,8.77,8.50,8.77,0.19,2.2145,,,,,,4.0000,,1,,,,,,,,4,,,,,0,,,,,,1,,,
2012/05/02,8.50,9.15,8.30,9.15,0.38,4.333,,,,,,27.0000,,1,,,,,,,,23,,,,,0,,,,,,1,,,
2012/05/03,8.80,9.12,8.60,9.12,-0.03,-0.3279,,,,,,19.0000,,1,,,,,,,,8,,,,,0,,,,,,1,,,
2012/05/07,8.60,8.88,8.33,8.33,-0.79,-8.6623,8.7900,,,,,-11.0000,,1,2,,,,,,,30,17,,,,0,0,,,,,1,2,,
2012/05/08,8.82,8.82,8.12,8.50,0.17,2.0408,8.7740,,,,,21.0000,,1,2,,,,,,,32,19,,,,0,0,,,,,1,2,,
2012/05/09,8.31,8.67,8.20,8.67,0.17,2.00,8.7540,,,,,30.0000,,1,2,,52.6012,,,,,9,20,,,,0,0,,,,,1,2,,
2012/05/10,8.30,8.63,8.20,8.20,-0.47,-5.421,8.5640,,,,,24.0000,,1,2,,39.6687,,,,,6,17,,,,0,0,,,,,1,2,,
2012/05/11,8.20,8.59,8.20,8.50,0.30,3.6585,8.4400,,,,,42.0000,,1,2,,49.2296,,36.8932,45.6311,48.5437,18,19,45.6311,48.5437,39.8058,0,0,,,,,1,2,,
2012/05/14,8.01,8.48,7.91,8.48,-0.02,-0.2353,8.4700,8.6300,,,,31.0000,18.7000,1,2,2,48.6133,,45.9677,45.7433,47.6102,11,15,45.7433,47.6102,42.0094,0,0,0,,,,1,2,2,
