ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/24,47.20,47.40,46.95,47.05,0.00,0.00,,,,,,0.0000,,134,,,,,,,,39,,,,,0,,,,,,178,,,
2012/05/25,47.05,47.20,47.00,47.20,0.15,0.3188,,,,,,17.0000,,132,,,,,,,,17,,,,,0,,,,,,176,,,
2012/05/28,47.30,47.60,47.15,47.60,0.40,0.8475,,,,,,41.0000,,130,,,,,,,,24,,,,,0,,,,,,174,,,
2012/05/29,50.00,50.00,48.00,48.70,1.10,2.3109,,,,,,114.0000,,129,,,,,,,,73,,,,,0,,,,,,173,,,
2012/05/30,48.20,48.40,48.00,48.40,-0.30,-0.616,47.7900,,,,,90.0000,,128,131,,,,,,,24,35,,,,0,0,,,,,172,175,,
2012/05/31,48.00,48.50,47.80,48.50,0.10,0.2066,48.0800,,,,,133.0000,,126,129,,,,,,,43,36,,,,0,0,,,,,170,173,,
2012/06/01,47.90,48.00,47.20,47.20,-1.30,-2.6804,48.0800,,,,,112.0000,,124,127,,52.2388,,,,,21,37,,,,0,0,,,,,168,172,,
2012/06/04,46.50,46.50,45.20,45.90,-1.30,-2.7542,47.7400,,,,,50.0000,,118,125,,35.6415,,,,,62,44,,,,0,0,,,,,162,169,,
2012/06/05,46.00,46.80,46.00,46.80,0.90,1.9608,47.3600,,,,,99.0000,,118,123,,49.0815,,33.3333,44.4444,48.1481,49,39,44.4444,48.1481,37.0370,0,0,,,,,162,167,,
2012/06/06,46.50,47.00,46.50,47.00,0.20,0.4274,47.0800,47.4350,,,,132.0000,78.8000,117,121,126,51.7675,,37.5000,42.1296,46.1420,33,41,42.1296,46.1420,34.1049,0,0,0,,,,161,165,170,
2012/06/07,47.50,47.50,47.00,47.00,0.00,0.00,46.7800,47.4300,,,,132.0000,92.0000,117,119,124,51.7675,,37.5000,40.5864,44.2901,13,35,40.5864,44.2901,33.1790,0,0,0,,,,161,163,168,
2012/06/08,47.00,47.30,47.00,47.00,0.00,0.00,46.7400,47.4100,,,,132.0000,103.5000,117,117,122,51.7675,,37.5000,39.5576,42.7126,8,33,39.5576,42.7126,33.2476,0,0,0,,,,117,153,162,
2012/06/11,47.00,47.60,46.95,47.60,0.60,1.2766,47.0800,47.4100,,,,174.0000,116.8000,119,118,121,62.1248,54.3307,72.7273,50.6142,45.3465,42,29,50.6142,45.3465,61.1496,0,0,0,,,,163,153,161,
2012/06/12,47.40,47.40,47.40,47.40,-0.20,-0.4202,47.2000,47.2800,,,,172.0000,122.6000,118,118,120,57.2107,52.5260,66.6667,55.9650,48.8860,2,19,55.9650,48.8860,70.1230,0,0,0,,,,162,153,160,
2012/06/13,47.50,47.50,47.10,47.40,0.00,0.00,47.2800,47.1800,,,,172.0000,130.8000,117,118,119,57.2107,52.5260,78.5714,63.5005,53.7575,15,16,63.5005,53.7575,82.9865,0,0,0,,,,161,153,159,
2012/06/14,47.60,48.20,47.15,48.00,0.60,1.2658,47.4800,47.1300,,,,197.0000,137.2000,120,118,119,68.1085,57.5593,93.3333,73.4448,60.3199,25,18,73.4448,60.3199,99.6945,0,0,0,,,,164,154,158,
