ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/12/18,57.89,58.00,57.89,58.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,4000,,,,,0,,,,,,0,,,
2012/12/19,60.63,60.63,57.60,57.60,-0.40,-0.6897,,,,,,-2001.0000,,0,,,,,,,,2001,,,,,0,,,,,,0,,,
2012/12/20,58.00,58.00,58.00,58.00,0.40,0.6944,,,,,,-1001.0000,,0,,,,,,,,1000,,,,,0,,,,,,0,,,
2012/12/27,57.00,57.00,53.00,53.19,-4.81,-8.2931,,,,,,-37001.0000,,0,,,,,,,,36000,,,,,0,,,,,,0,,,
2013/01/03,53.00,53.20,53.00,53.20,0.01,0.0188,55.9980,,,,,-17001.0000,,0,0,,,,,,,20000,12600,,,,0,0,,,,,0,0,,
2013/01/04,55.00,55.00,55.00,55.00,1.80,3.3835,55.3980,,,,,-16001.0000,,0,0,,,,,,,1000,12000,,,,0,0,,,,,0,0,,
2013/01/16,53.50,53.50,53.50,53.50,-1.50,-2.7273,54.5780,,,,,-19001.0000,,0,0,,24.7758,,,,,3000,12200,,,,0,0,,,,,0,0,,
2013/01/18,53.50,53.50,51.30,51.30,-2.20,-4.1121,53.2380,,,,,-25001.0000,,0,0,,19.1176,,,,,6000,13200,,,,0,0,,,,,0,0,,
2013/01/21,53.68,53.68,53.68,53.68,2.38,4.6394,53.3360,,,,,-24999.0000,,0,0,,37.6134,,25.5091,41.8364,47.2788,2,6000,41.8364,47.2788,30.9515,0,0,,,,,0,0,,
2013/01/22,51.30,51.30,51.30,51.30,-2.38,-4.4337,52.9560,54.4770,,,,-30999.0000,-17300.5000,0,0,0,29.5144,,0.0000,27.8909,40.8162,6000,3200,27.8909,40.8162,2.0404,0,0,0,,,,0,0,0,
2013/01/24,49.50,49.50,49.00,49.00,-2.30,-4.4834,51.7560,53.5770,,,,-34999.0000,-20800.4000,0,0,0,23.6171,,0.0000,18.5939,33.4088,4000,3800,18.5939,33.4088,-11.0357,0,0,0,,,,0,0,0,
2013/01/25,47.41,47.41,47.41,47.41,-1.59,-3.2449,50.5380,52.5580,,,,-36999.0000,-24300.2000,0,0,0,20.2591,,0.0000,12.3960,26.4045,2000,3600,12.3960,26.4045,-15.6211,0,0,0,,,,0,0,0,
2013/01/28,45.41,45.41,45.41,45.41,-2.00,-4.2185,49.3600,51.2990,,,,-38999.0000,-28100.0000,0,0,0,16.6793,21.0841,0.0000,8.2640,20.3577,2000,2800,8.2640,20.3577,-15.9234,0,0,0,,,,0,0,0,
2013/02/06,45.41,46.00,45.41,46.00,0.59,1.2993,47.8240,50.5800,,,,-28999.0000,-27299.8000,0,0,0,21.5843,23.3502,6.1522,7.5601,16.0918,10000,4800,7.5601,16.0918,-9.5034,0,0,0,,,,0,0,0,
