ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2014/10/07,42.00,55.26,42.00,54.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,42,,,,,0,,,,,,0,,,
2014/10/08,52.40,54.00,50.20,52.25,-2.25,-4.1284,,,,,,-43.0000,,0,,,,,,,,43,,,,,0,,,,,,0,,,
2014/10/09,54.50,54.50,54.50,54.50,2.25,4.3062,,,,,,-41.0000,,0,,,,,,,,2,,,,,0,,,,,,0,,,
2014/10/13,54.50,54.50,52.05,52.30,-2.20,-4.0367,,,,,,-48.0000,,0,,,,,,,,7,,,,,0,,,,,,0,,,
2014/10/14,51.80,51.80,48.30,49.00,-3.30,-6.3098,52.5100,,,,,-85.0000,,0,0,,,,,,,37,26,,,,0,0,,,,,0,0,,
2014/10/16,50.00,50.00,50.00,50.00,1.00,2.0408,51.6100,,,,,-82.0000,,0,0,,,,,,,3,18,,,,0,0,,,,,0,0,,
2014/10/17,48.45,48.45,48.45,48.45,-1.55,-3.10,50.8500,,,,,-87.0000,,0,0,,25.8964,,,,,5,10,,,,0,0,,,,,0,0,,
2014/10/20,48.00,48.00,46.55,46.55,-1.90,-3.9216,49.2600,,,,,-94.0000,,0,0,,21.9150,,,,,7,11,,,,0,0,,,,,0,0,,
2014/10/21,46.50,47.50,46.08,47.50,0.95,2.0408,48.3000,,,,,-83.0000,,0,0,,28.5097,,41.4781,47.1594,49.0531,11,12,47.1594,49.0531,43.3719,0,0,,,,,0,0,,
2014/10/23,48.00,48.00,48.00,48.00,0.50,1.0526,48.1000,50.3050,,,,-72.0000,-63.5000,0,0,0,32.1299,,22.8029,39.0405,45.7156,11,7,39.0405,45.7156,25.6904,0,0,0,,,,0,0,0,
2014/10/27,47.00,47.10,44.84,44.84,-3.16,-6.5833,47.0680,49.3390,,,,-81.0000,-71.6000,0,0,0,23.2145,,0.0000,26.0270,39.1527,9,8,26.0270,39.1527,-0.2244,0,0,0,,,,0,0,0,
2014/10/28,44.65,44.80,43.23,43.50,-1.34,-2.9884,46.0780,48.4640,,,,-99.0000,-77.2000,0,0,0,20.3422,,2.3957,18.1499,32.1518,18,11,18.1499,32.1518,-9.8538,0,0,0,,,,0,0,0,
2014/10/29,42.00,42.20,41.61,42.00,-1.50,-3.4483,45.1680,47.2140,,,,-127.0000,-85.8000,0,0,0,17.4431,21.4612,3.8273,13.3757,25.8931,28,15,13.3757,25.8931,-11.6591,0,0,0,,,,0,0,0,
2014/10/30,41.61,42.20,41.50,42.00,0.00,0.00,44.0680,46.1840,,,,-127.0000,-93.7000,0,0,0,17.4431,21.4612,5.8824,10.8779,20.8880,20,17,10.8779,20.8880,-9.1423,0,0,0,,,,0,0,0,
2014/10/31,41.80,42.00,41.40,42.00,0.00,0.00,42.8680,45.4840,,,,-127.0000,-97.9000,0,0,0,17.4431,21.4612,8.5106,10.0888,17.2883,18,18,10.0888,17.2883,-4.3101,0,0,0,,,,0,0,0,
2014/11/03,42.70,42.70,41.80,41.80,-0.20,-0.4762,42.2600,44.6640,,,,-143.0000,-104.0000,0,0,0,16.8886,21.2097,6.0606,8.7461,14.4409,16,20,8.7461,14.4409,-2.6435,0,0,0,,,,0,0,0,
2014/11/04,41.40,41.60,41.40,41.60,-0.20,-0.4785,41.8800,43.9790,,,,-154.0000,-110.7000,0,0,0,16.2679,20.9420,3.0303,6.8408,11.9075,11,18,6.8408,11.9075,-3.2926,0,0,0,,,,0,0,0,
2014/11/05,40.50,40.50,40.50,40.50,-1.10,-2.6442,41.5800,43.3740,,,,-154.0000,-116.7000,0,0,0,13.0925,19.4678,0.0000,4.5606,9.4585,0,13,4.5606,9.4585,-5.2354,0,0,0,,,,0,0,0,
2014/11/10,42.50,43.00,42.00,43.00,2.50,6.1728,41.7800,42.9240,,,,-125.0000,-120.9000,0,0,0,43.2849,31.4350,37.8788,15.6666,11.5279,29,14,15.6666,11.5279,23.9441,0,0,0,,,,0,0,0,
2014/11/11,43.00,43.50,40.09,41.00,-2.00,-4.6512,41.5800,42.2240,46.2645,,,-148.0000,-128.5000,0,0,0,32.4593,27.8262,19.3206,16.8846,13.3135,23,15,16.8846,13.3135,24.0269,0,0,0,,,,0,0,0,
2014/11/12,40.50,40.50,40.09,40.50,-0.50,-1.2195,41.3200,41.7900,45.5645,,,-191.0000,-139.5000,0,0,0,30.1939,26.9815,12.0235,15.2642,13.9637,43,21,15.2642,13.9637,17.8652,0,0,0,,,,0,0,0,
2014/11/13,40.50,40.50,40.50,40.50,0.00,0.00,41.1000,41.4900,44.9770,,,-191.0000,-148.7000,0,0,0,30.1939,26.9815,12.0235,14.1840,14.0371,4,19,14.1840,14.0371,14.4776,0,0,0,,,,0,0,0,
2014/11/14,40.50,40.50,40.50,40.50,0.00,0.00,41.1000,41.3400,44.2770,,,-191.0000,-155.1000,0,0,0,30.1939,26.9815,12.0235,13.4638,13.8460,7,21,13.4638,13.8460,12.6993,0,0,0,,,,0,0,0,
2014/11/17,40.50,40.50,40.00,40.00,-0.50,-1.2346,40.5000,41.1400,43.6620,,,-200.0000,-162.4000,0,0,0,26.9443,25.9583,0.0000,8.9759,12.2226,9,17,8.9759,12.2226,2.4823,0,0,0,,,,0,0,0,
2014/11/18,39.71,40.00,39.71,40.00,0.00,0.00,40.3000,40.9400,43.2120,,,-200.0000,-169.7000,0,0,0,26.9443,25.9583,7.6517,8.5345,10.9933,4,13,8.5345,10.9933,3.6169,0,0,0,,,,0,0,0,
2014/11/19,40.00,40.00,40.00,40.00,0.00,0.00,40.2000,40.7600,42.7120,,,-200.0000,-175.4000,0,0,0,26.9443,25.9583,7.6517,8.2402,10.0756,4,5,8.2402,10.0756,4.5695,0,0,0,,-3.3740,,0,0,0,
2014/11/20,38.48,39.50,38.39,38.90,-1.10,-2.75,39.8800,40.4900,42.2345,,,-210.0000,-181.0000,0,0,0,19.1211,23.4217,9.9804,8.8203,9.6572,10,6,8.8203,9.6572,7.1466,0,0,0,,-3.3281,,0,0,0,
2014/11/21,38.50,38.50,38.30,38.30,-0.60,-1.5424,39.4400,40.2700,41.8220,,,-215.0000,-187.1000,0,0,0,16.0675,22.1346,0.0000,5.8802,8.3982,5,6,5.8802,8.3982,0.8443,0,0,0,,-3.3021,,0,0,0,
2014/11/24,38.50,38.50,38.00,38.00,-0.30,-0.7833,39.0400,39.7700,41.3470,,,-217.0000,-196.3000,0,0,0,14.6626,21.4904,0.0000,3.9201,6.9055,2,5,3.9201,6.9055,-2.0506,0,0,0,,-3.2680,,0,0,0,
2014/11/25,38.21,38.80,38.20,38.20,0.20,0.5263,38.6800,39.4900,40.8570,,,-211.0000,-202.6000,0,0,0,20.2418,23.1176,8.0000,5.2801,6.3637,6,5,5.2801,6.3637,3.1129,0,0,0,,-3.1881,,0,0,0,
2014/11/26,38.00,38.30,38.00,38.00,-0.20,-0.5236,38.2800,39.2400,40.5150,,,-220.0000,-205.5000,0,0,0,18.7693,22.6065,0.0000,3.5201,5.4158,9,6,3.5201,5.4158,-0.2714,0,0,0,,-3.1051,,0,0,0,
2014/11/27,38.30,38.50,38.00,38.50,0.50,1.3158,38.2000,39.0400,40.2650,,,-210.0000,-207.4000,0,0,0,33.3212,27.0080,20.0000,9.0134,6.6150,10,6,9.0134,6.6150,13.8101,0,0,0,,-2.9648,,0,0,0,
2014/11/28,38.94,39.00,38.00,38.50,0.00,0.00,38.2400,38.8400,40.0900,,,-210.0000,-209.3000,0,0,0,33.3212,27.0080,25.0000,14.3422,9.1907,40,13,14.3422,9.1907,24.6452,0,0,0,,-2.8211,,0,0,0,
2014/12/01,38.00,38.00,38.00,38.00,-0.50,-1.2987,38.2400,38.6400,39.8900,,,-211.0000,-210.4000,0,0,0,26.4882,25.2959,0.0000,9.5615,9.3143,1,13,9.5615,9.3143,10.0558,0,0,0,0.8047,-2.7163,-3.1186,0,0,0,
2014/12/02,39.00,40.00,38.70,39.80,1.80,4.7368,38.5600,38.6200,39.7800,,,-186.0000,-209.0000,0,0,0,61.0200,40.1869,90.0000,36.3743,18.3343,25,17,36.3743,18.3343,72.4543,0,0,0,1.0544,-2.4596,-2.9868,0,0,0,
2014/12/03,40.00,40.68,39.43,40.00,0.20,0.5025,38.9600,38.6200,39.6900,,,-156.0000,-204.6000,0,0,0,63.3176,41.5980,74.6269,49.1252,28.5979,30,21,49.1252,28.5979,90.1796,0,0,0,1.2357,-2.2145,-2.8323,0,0,0,
2014/12/04,39.30,40.00,39.30,40.00,0.00,0.00,39.2600,38.7300,39.6100,,,-156.0000,-199.2000,0,0,0,63.3176,41.5980,74.6269,57.6257,38.2739,4,20,57.6257,38.2739,96.3295,0,0,0,1.3362,-1.9972,-2.6653,0,0,0,
2014/12/05,40.00,40.00,40.00,40.00,0.00,0.00,39.5600,38.9000,39.5850,,,-156.0000,-193.3000,0,0,0,63.3176,41.5980,74.6269,63.2928,46.6135,2,12,63.2928,46.6135,96.6513,0,0,0,1.3777,-1.8043,-2.4931,0,0,0,
2014/12/08,40.50,40.50,40.00,40.35,0.35,0.875,40.0300,39.1350,39.4525,,,-139.0000,-185.5000,0,0,0,68.8667,44.5690,87.6866,71.4240,54.8837,17,15,71.4240,54.8837,104.5048,0,0,0,1.4217,-1.6046,-2.3154,0,0,0,
2014/12/09,40.30,43.15,40.30,42.20,1.85,4.5849,40.5100,39.5350,39.5125,,,-90.0000,-173.4000,0,0,0,84.1117,57.1413,81.5534,74.8005,61.5226,49,20,74.8005,61.5226,101.3562,0,0,0,1.6530,-1.2823,-2.1088,0,0,0,
2014/12/10,42.20,42.50,41.70,42.00,-0.20,-0.4739,40.9100,39.9350,39.5875,,,-135.0000,-164.9000,0,0,0,79.0877,55.6527,77.6699,75.7570,66.2674,45,23,75.7570,66.2674,94.7361,0,0,0,1.7243,-1.0311,-1.8932,0,0,0,
2014/12/11,40.38,42.50,40.38,42.50,0.50,1.1905,41.4100,40.3350,39.6875,,,-120.0000,-155.9000,0,0,0,82.2656,58.5946,87.3786,79.6309,70.7219,15,25,79.6309,70.7219,97.4488,0,0,0,1.7769,-0.7827,-1.6711,0,0,0,
2014/12/12,42.00,42.00,42.00,42.00,-0.50,-1.1765,41.8100,40.6850,39.7625,,,-124.0000,-147.3000,0,0,0,69.5778,54.6403,74.1573,77.8063,73.0834,4,26,77.8063,73.0834,87.2523,0,0,0,1.6834,-0.6190,-1.4607,0,0,0,
2014/12/15,42.30,42.50,42.00,42.00,0.00,0.00,42.1400,41.0850,39.8625,,,-124.0000,-138.6000,0,0,0,69.5778,54.6403,70.1299,75.2475,73.8048,17,26,75.2475,73.8048,78.1330,0,0,0,1.5632,-0.4837,-1.2653,0,0,0,
