ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2014/11/14,16.00,20.00,16.00,19.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,141,,,,,0,,,,,,0,,,
2014/11/17,18.41,18.41,17.12,17.50,-1.50,-7.8947,,,,,,-26.0000,,0,,,,,,,,26,,,,,0,,,,,,0,,,
2014/11/18,17.54,18.30,17.54,18.30,0.80,4.5714,,,,,,34.0000,,0,,,,,,,,60,,,,,0,,,,,,0,,,
2014/11/19,18.48,18.50,18.40,18.40,0.10,0.5464,,,,,,117.0000,,0,,,,,,,,83,,,,,0,,,,,,0,,,
2014/11/20,18.90,19.50,18.90,19.40,1.00,5.4348,18.5200,,,,,207.0000,,0,0,,,,,,,90,80,,,,0,0,,,,,0,0,,
2014/11/21,20.00,20.00,18.60,19.00,-0.40,-2.0619,18.5200,,,,,156.0000,,0,0,,,,,,,51,62,,,,0,0,,,,,0,0,,
2014/11/24,19.00,19.00,18.94,18.94,-0.06,-0.3158,18.8080,,,,,149.0000,,0,0,,49.2228,,,,,7,58,,,,0,0,,,,,0,0,,
2014/11/25,18.70,18.93,18.70,18.93,-0.01,-0.0528,18.9340,,,,,118.0000,,0,0,,49.0702,,,,,31,52,,,,0,0,,,,,0,0,,
2014/11/26,19.00,19.00,18.40,18.40,-0.53,-2.7998,18.9340,,,,,104.0000,,0,0,,40.9907,,60.0000,53.3333,51.1111,14,38,53.3333,51.1111,57.7778,0,0,,,,,0,0,,
2014/11/27,18.90,19.00,18.50,19.00,0.60,3.2609,18.8540,18.6870,,,,160.0000,101.9000,0,0,0,51.7772,,65.2778,57.3148,53.1790,56,31,57.3148,53.1790,65.5864,0,0,0,,,,0,0,0,
2014/11/28,19.00,19.00,18.90,18.90,-0.10,-0.5263,18.8340,18.6770,,,,145.0000,116.4000,0,0,0,49.9510,,55.2846,56.6381,54.3320,15,24,56.6381,54.3320,61.2501,0,0,0,,,,0,0,0,
2014/12/03,18.90,18.90,18.70,18.90,0.00,0.00,18.8260,18.8170,,,,145.0000,133.5000,0,0,0,49.9510,,31.2500,48.1754,52.2798,15,26,48.1754,52.2798,39.9665,0,0,0,,,,0,0,0,
2014/12/04,18.20,18.20,18.20,18.20,-0.70,-3.7037,18.6800,18.8070,,,,143.0000,144.4000,0,0,0,36.8503,43.1034,0.0000,32.1169,45.5588,2,20,32.1169,45.5588,5.2331,0,0,0,,,,0,0,0,
2014/12/08,18.20,18.20,18.20,18.20,0.00,0.00,18.6400,18.7870,,,,143.0000,147.0000,0,0,0,36.8503,43.1034,0.0000,21.4113,37.5097,2,18,21.4113,37.5097,-10.7855,0,0,0,,,,0,0,0,
2014/12/11,18.20,18.20,18.20,18.20,0.00,0.00,18.4800,18.6670,,,,143.0000,140.6000,0,0,0,36.8503,43.1034,0.0000,14.2742,29.7645,1,7,14.2742,29.7645,-16.7064,0,0,0,,,,0,0,0,
2014/12/12,19.05,19.05,18.50,18.60,0.40,2.1978,18.4200,18.6270,,,,165.0000,141.5000,0,0,0,49.8404,47.7791,47.0588,25.2024,28.2438,22,8,25.2024,28.2438,19.1196,0,0,0,,,,0,0,0,
2014/12/15,19.05,19.05,19.00,19.00,0.40,2.1505,18.4400,18.6330,,,,168.0000,143.4000,0,0,0,59.7707,52.0755,94.1176,48.1741,34.8872,3,6,48.1741,34.8872,74.7479,0,0,0,,,,0,0,0,
2014/12/17,19.05,19.05,19.05,19.05,0.05,0.2632,18.6100,18.6450,,,,175.0000,149.1000,0,0,0,60.9309,52.6072,100.0000,65.4494,45.0746,7,7,65.4494,45.0746,106.1990,0,0,0,,,,0,0,0,
2014/12/25,18.10,18.10,18.10,18.10,-0.95,-4.9869,18.5900,18.6150,,,,173.0000,156.0000,0,0,0,36.7597,42.7714,0.0000,43.6330,44.5941,2,7,43.6330,44.5941,41.7107,0,0,0,,,,0,0,0,
2014/12/26,18.30,18.30,18.30,18.30,0.20,1.105,18.6100,18.5450,18.6160,,,178.0000,157.8000,0,0,0,42.5202,45.1276,21.0526,36.1062,41.7648,5,7,36.1062,41.7648,24.7890,0,0,0,,,,0,0,0,
2014/12/27,18.60,18.60,18.60,18.60,0.30,1.6393,18.6100,18.5150,18.5960,,,181.0000,161.4000,0,0,0,50.6171,48.5911,52.6316,41.6146,41.7147,3,4,41.6146,41.7147,41.4145,0,0,0,,,,0,0,0,
2014/12/30,18.60,18.60,18.60,18.60,0.00,0.00,18.5300,18.4850,18.6510,,,181.0000,165.0000,0,0,0,50.6171,48.5911,52.6316,45.2870,42.9055,1,3,45.2870,42.9055,50.0499,0,0,0,,,,0,0,0,
2014/12/31,17.77,17.77,17.77,17.77,-0.83,-4.4624,18.2740,18.4420,18.6245,,,180.0000,168.7000,0,0,0,32.4218,40.2303,0.0000,30.1913,38.6674,1,2,30.1913,38.6674,13.2391,0,0,0,,,,0,0,0,
2015/01/05,18.00,18.00,18.00,18.00,0.23,1.2943,18.2540,18.4220,18.6045,,,185.0000,172.9000,0,0,0,39.6372,43.1855,17.9688,26.1171,34.4840,5,3,26.1171,34.4840,9.3834,0,0,0,,,,0,0,0,
2015/01/06,18.59,18.59,18.59,18.59,0.59,3.2778,18.3120,18.4610,18.5640,,,188.0000,177.4000,0,0,0,54.5691,50.0911,64.0625,38.7656,35.9112,3,2,38.7656,35.9112,44.4744,0,0,0,,,,0,0,0,
2015/01/07,18.00,18.00,18.00,18.00,-0.59,-3.1737,18.1920,18.4010,18.5140,,,186.0000,179.5000,0,0,0,42.0784,44.2268,17.9688,31.8333,34.5519,2,2,31.8333,34.5519,26.3961,0,0,0,,-0.1810,,0,0,0,
2015/01/09,18.00,18.00,18.00,18.00,0.00,0.00,18.0720,18.3010,18.4670,,,186.0000,181.3000,0,0,0,42.0784,44.2268,27.7108,30.4591,33.1876,2,2,30.4591,33.1876,25.0022,0,0,0,,-0.1945,,0,0,0,
2015/01/12,18.00,18.00,18.00,18.00,0.00,0.00,18.1180,18.1960,18.4205,,,186.0000,182.4000,0,0,0,42.0784,44.2268,27.7108,29.5430,31.9728,5,3,29.5430,31.9728,24.6836,0,0,0,,-0.2028,,0,0,0,
2015/01/19,18.00,18.00,18.00,18.00,0.00,0.00,18.1180,18.1860,18.4005,,,186.0000,183.7000,0,0,0,42.0784,44.2268,27.7108,28.9323,30.9593,3,3,28.9323,30.9593,24.8784,0,0,0,,-0.2070,,0,0,0,
2015/01/20,18.59,19.05,18.55,18.55,0.55,3.0556,18.1100,18.2110,18.3780,,,257.0000,191.6000,0,0,0,59.8453,51.6935,60.9375,39.6007,33.8398,71,16,39.6007,33.8398,51.1226,0,0,0,,-0.1640,,0,0,0,
2015/01/21,18.50,18.70,18.20,18.70,0.15,0.8086,18.2500,18.2210,18.3680,,,297.0000,203.2000,0,0,0,63.5086,53.5438,72.6562,50.6192,39.4329,40,24,50.6192,39.4329,72.9918,0,0,0,,-0.1165,,0,0,0,
