ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2017/10/26,89.00,107.00,89.00,107.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,148,,,,,0,,,,,,0,,,
2017/10/27,105.02,107.00,101.01,104.00,-3.00,-2.8037,,,,,,-74.0000,,0,,,,,,,,74,,,,,0,,,,,,0,,,
2017/10/30,102.50,102.50,99.50,100.60,-3.40,-3.2692,,,,,,-117.0000,,0,,,,,,,,43,,,,,0,,,,,,0,,,
2017/10/31,99.61,100.90,99.61,100.40,-0.20,-0.1988,,,,,,-127.0000,,0,,,,,,,,10,,,,,0,,,,,,0,,,
2017/11/01,99.80,100.00,99.80,100.00,-0.40,-0.3984,102.4000,,,,,-133.0000,,0,0,,,,,,,6,56,,,,0,0,,,,,0,0,,
2017/11/02,99.01,100.90,98.00,100.49,0.49,0.49,101.0980,,,,,-66.0000,,0,0,,,,,,,67,40,,,,0,0,,,,,0,0,,
2017/11/03,100.00,100.00,98.00,99.50,-0.99,-0.9852,100.1980,,,,,-90.0000,,0,0,,5.7783,,,,,24,30,,,,0,0,,,,,0,0,,
2017/11/06,100.38,100.38,100.00,100.00,0.50,0.5025,100.0780,,,,,-83.0000,,0,0,,12.0044,,,,,7,22,,,,0,0,,,,,0,0,,
2017/11/07,100.00,100.00,96.70,98.00,-2.00,-2.00,99.5980,,,,,-134.0000,,0,0,,9.1137,,50.0000,50.0000,50.0000,51,31,50.0000,50.0000,50.0000,0,0,,,,,0,0,,
2017/11/08,99.00,100.00,98.00,100.00,2.00,2.0408,99.5980,100.9990,,,,-120.0000,-94.4000,0,0,0,29.4888,,32.0388,44.0129,48.0043,14,32,44.0129,48.0043,36.0302,0,0,0,,,,0,0,0,
2017/11/10,99.00,99.00,97.50,98.00,-2.00,-2.00,99.1000,100.0990,,,,-143.0000,-108.7000,0,0,0,23.2375,,22.4138,36.8132,44.2740,23,23,36.8132,44.2740,21.8918,0,0,0,,,,0,0,0,
2017/11/13,98.50,99.00,97.79,97.80,-0.20,-0.2041,98.7600,99.4790,,,,-190.0000,-120.3000,0,0,0,22.6610,,26.1905,33.2723,40.6067,47,28,33.2723,40.6067,18.6035,0,0,0,,,,0,0,0,
2017/11/14,98.09,98.39,97.71,98.39,0.59,0.6033,98.4380,99.2580,,,,-184.0000,-127.0000,0,0,0,28.9046,22.7013,40.2381,35.5942,38.9359,6,28,35.5942,38.9359,28.9109,0,0,0,,,,0,0,0,
2017/11/15,98.39,98.49,98.09,98.49,0.10,0.1016,98.5360,99.0670,,,,-178.0000,-132.1000,0,0,0,30.0531,23.2324,42.6190,37.9358,38.6026,6,19,37.9358,38.6026,36.6024,0,0,0,,,,0,0,0,
2017/11/16,99.29,99.99,98.02,98.02,-0.47,-0.4772,98.1400,98.8690,,,,-206.0000,-139.4000,0,0,0,27.5436,22.4419,35.8696,37.2471,38.1507,28,22,37.2471,38.1507,35.4398,0,0,0,,,,0,0,0,
2017/11/17,98.01,98.30,97.00,97.00,-1.02,-1.0406,97.9400,98.5200,,,,-216.0000,-154.4000,0,0,0,22.6238,20.7688,8.1522,27.5488,34.6167,10,19,27.5488,34.6167,13.4128,0,0,0,,,,0,0,0,
2017/11/20,98.31,99.00,97.00,97.79,0.79,0.8144,97.9380,98.3490,,,,-197.0000,-165.1000,0,0,0,33.6402,25.4638,33.0303,29.3760,32.8698,19,13,29.3760,32.8698,22.3882,0,0,0,,,,0,0,0,
2017/11/21,97.80,98.30,97.01,97.40,-0.39,-0.3988,97.7400,98.0890,,,,-220.0000,-178.8000,0,0,0,31.0236,24.6763,13.3333,24.0284,29.9227,23,17,24.0284,29.9227,12.2399,0,0,0,,,,0,0,0,
2017/11/22,98.00,98.00,97.70,97.70,0.30,0.308,97.5820,98.0590,,,,-211.0000,-186.5000,0,0,0,35.6443,26.5817,23.4114,23.8227,27.8894,9,17,23.8227,27.8894,15.6895,0,0,0,,,,0,0,0,
2017/11/24,98.29,98.29,97.50,97.50,-0.20,-0.2047,97.4780,97.8090,99.4040,,,-218.0000,-196.3000,0,0,0,33.8312,26.1015,16.7224,21.4560,25.7449,7,13,21.4560,25.7449,12.8781,0,0,0,,,,0,0,0,
2017/11/27,96.01,98.28,96.01,98.28,0.78,0.80,97.7340,97.8370,98.9680,,,-216.0000,-203.6000,0,0,0,46.5541,31.3757,57.0352,33.3157,28.2685,2,12,33.3157,28.2685,43.4101,0,0,0,,,,0,0,0,
2017/11/28,98.00,98.00,96.02,96.71,-1.57,-1.5975,97.5180,97.7280,98.6035,,,-227.0000,-207.3000,0,0,0,31.7899,27.1248,17.5879,28.0731,28.2034,11,10,28.0731,28.2034,27.8126,0,0,0,,,,0,0,0,
2017/11/29,96.99,96.99,96.10,96.10,-0.61,-0.6308,97.2580,97.4990,98.3785,,,-231.0000,-212.0000,0,0,0,27.6949,25.6517,2.2613,19.4692,25.2920,4,6,19.4692,25.2920,7.8236,0,0,0,,,,0,0,0,
2017/11/30,95.00,95.50,95.00,95.49,-0.61,-0.6348,96.8160,97.1990,98.1330,,,-245.0000,-218.7000,0,0,0,23.9870,24.2170,12.2500,17.0628,22.5489,14,7,17.0628,22.5489,6.0905,0,0,0,,,,0,0,0,
2017/12/01,95.49,95.49,95.49,95.49,0.00,0.00,96.4140,96.9460,97.9075,,,-245.0000,-222.6000,0,0,0,23.9870,24.2170,12.2500,15.4585,20.1854,2,6,15.4585,20.1854,6.0047,0,0,0,,,,0,0,0,
2017/12/04,95.00,95.30,95.00,95.30,-0.19,-0.199,95.8180,96.7760,97.6480,,,-248.0000,-225.8000,0,0,0,22.6281,23.7251,9.0909,13.3360,17.9023,3,6,13.3360,17.9023,4.2034,0,0,0,,-1.6694,,0,0,0,
