ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/12/14,78.94,97.28,78.94,90.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,211,,,,,0,,,,,,0,,,
2018/12/17,89.00,91.89,84.78,84.78,-5.22,-5.80,,,,,,-99.0000,,0,,,,,,,,99,,,,,0,,,,,,0,,,
2018/12/18,84.78,84.78,78.09,81.80,-2.98,-3.515,,,,,,-223.0000,,0,,,,,,,,124,,,,,0,,,,,,0,,,
2018/12/19,84.80,87.39,82.40,82.40,0.60,0.7335,,,,,,-168.0000,,0,,,,,,,,55,,,,,0,,,,,,0,,,
2018/12/20,83.00,83.00,81.01,81.50,-0.90,-1.0922,84.0960,,,,,-191.0000,,0,0,,,,,,,23,102,,,,0,0,,,,,0,0,,
2018/12/21,83.79,83.79,83.00,83.00,1.50,1.8405,82.6960,,,,,-173.0000,,0,0,,,,,,,18,63,,,,0,0,,,,,0,0,,
2018/12/22,82.00,83.00,82.00,83.00,0.00,0.00,82.3400,,,,,-173.0000,,0,0,,18.7500,,,,,7,45,,,,0,0,,,,,0,0,,
2018/12/24,81.51,82.50,80.00,80.00,-3.00,-3.6145,81.9800,,,,,-188.0000,,0,0,,14.1892,,,,,15,23,,,,0,0,,,,,0,0,,
2018/12/25,80.00,82.69,79.70,82.69,2.69,3.3625,82.0380,,,,,-171.0000,,0,0,,31.9895,,23.9708,41.3236,47.1079,17,16,41.3236,47.1079,29.7551,0,0,,,,,0,0,,
2018/12/26,80.50,81.18,80.00,81.18,-1.51,-1.8261,81.9740,83.0350,,,,-184.0000,-157.0000,0,0,0,28.0676,,22.3913,35.0128,43.0762,13,14,35.0128,43.0762,18.8861,0,0,0,,,,0,0,0,
2018/12/27,83.17,83.17,82.99,82.99,1.81,2.2296,81.9720,82.3340,,,,-180.0000,-175.0000,0,0,0,38.8512,,52.6882,40.9046,42.3523,4,11,40.9046,42.3523,38.0092,0,0,0,,,,0,0,0,
2018/12/28,83.00,83.38,80.50,81.00,-1.99,-2.3979,81.5720,81.9560,,,,-205.0000,-185.6000,0,0,0,32.4359,,16.9051,32.9048,39.2031,25,14,32.9048,39.2031,20.3080,0,0,0,,,,0,0,0,
2019/01/02,83.00,83.00,80.80,82.50,1.50,1.8519,82.0720,82.0260,,,,-145.0000,-177.8000,0,0,0,41.2158,34.1772,68.4597,44.7564,41.0542,60,23,44.7564,41.0542,52.1607,0,0,0,,,,0,0,0,
2019/01/03,82.99,82.99,80.70,81.00,-1.50,-1.8182,81.7340,81.8860,,,,-224.0000,-183.4000,0,0,0,35.6557,31.9699,31.7848,40.4325,40.8470,79,36,40.4325,40.8470,39.6036,0,0,0,,,,0,0,0,
2019/01/04,80.90,82.40,80.70,82.00,1.00,1.2346,81.8980,81.9360,,,,-181.0000,-182.4000,0,0,0,41.9235,35.0220,62.5000,47.7884,43.1608,43,42,47.7884,43.1608,57.0435,0,0,0,,,,0,0,0,
