ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/21,14.00,14.00,13.95,13.95,0.00,0.00,,,,,,0.0000,,24155,,,,,,,,8,,,,,0,,,,,,24155,,,
2012/05/22,14.30,14.30,14.00,14.00,0.05,0.3584,,,,,,13.0000,,24155,,,,,,,,13,,,,,0,,,,,,24155,,,
2012/05/23,13.95,13.95,13.80,13.80,-0.20,-1.4286,,,,,,1.0000,,24155,,,,,,,,12,,,,,0,,,,,,24155,,,
2012/05/24,13.80,13.80,13.70,13.70,-0.10,-0.7246,,,,,,-4.0000,,24155,,,,,,,,5,,,,,0,,,,,,24155,,,
2012/05/25,13.70,13.70,13.50,13.60,-0.10,-0.7299,13.8100,,,,,-29.0000,,24155,24155,,,,,,,25,12,,,,0,0,,,,,24155,24155,,
2012/05/28,13.60,13.70,13.60,13.60,0.00,0.00,13.7400,,,,,-29.0000,,24155,24155,,,,,,,6,12,,,,0,0,,,,,24155,24155,,
2012/05/29,13.70,13.90,13.70,13.90,0.30,2.2059,13.7200,,,,,2.0000,,24155,24155,,46.6667,,,,,31,15,,,,0,0,,,,,24155,24155,,
2012/05/30,13.80,13.85,13.80,13.85,-0.05,-0.3597,13.7300,,,,,-2.0000,,24155,24155,,43.2099,,,,,4,14,,,,0,0,,,,,24155,24155,,
2012/05/31,13.80,13.80,13.70,13.70,-0.15,-1.083,13.7300,,,,,-6.0000,,24155,24155,,34.1131,,25.0000,41.6667,47.2222,4,14,41.6667,47.2222,30.5556,0,0,,,,,24155,24155,,
2012/06/01,13.70,13.70,13.60,13.70,0.00,0.00,13.7500,13.7800,,,,-6.0000,-6.0000,24155,24155,24155,34.1131,,25.0000,36.1111,43.5185,10,11,36.1111,43.5185,21.2963,0,0,0,,,,24155,24155,24155,
