ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,7.63,7.63,7.53,7.53,0.00,0.00,,,,,,0.0000,,109,,,,,,,,66,,,,,0,,,,,,109,,,
2012/06/29,7.52,7.62,7.52,7.57,0.04,0.5312,,,,,,103.0000,,109,,,,,,,,103,,,,,0,,,,,,109,,,
2012/07/02,7.64,7.98,7.60,7.90,0.33,4.3593,,,,,,319.0000,,109,,,,,,,,216,,,,,0,,,,,,109,,,
2012/07/03,8.00,8.10,7.91,8.08,0.18,2.2785,,,,,,707.0000,,109,,,,,,,,388,,,,,0,,,,,,109,,,
2012/07/04,8.08,8.15,8.04,8.08,0.00,0.00,7.8320,,,,,707.0000,,109,109,,,,,,,131,180,,,,0,0,,,,,109,109,,
2012/07/05,8.10,8.10,7.96,8.08,0.00,0.00,7.9420,,,,,707.0000,,109,109,,,,,,,133,194,,,,0,0,,,,,109,109,,
2012/07/06,8.10,8.10,7.94,7.96,-0.12,-1.4851,8.0200,,,,,635.0000,,109,109,,82.0896,,,,,72,188,,,,0,0,,,,,109,109,,
2012/07/09,8.00,8.00,7.91,8.00,0.04,0.5025,8.0400,,,,,718.0000,,109,109,,83.2869,,,,,83,161,,,,0,0,,,,,109,109,,
2012/07/10,7.95,7.96,7.78,7.80,-0.20,-2.50,7.9840,,,,,583.0000,,109,109,,59.4433,,44.4444,48.1481,49.3827,135,110,48.1481,49.3827,45.6790,0,0,,,,,109,109,,
2012/07/11,7.80,7.88,7.75,7.77,-0.03,-0.3846,7.9220,7.8770,,,,488.0000,496.7000,109,109,109,56.5303,,39.6825,45.3263,48.0306,95,103,45.3263,48.0306,39.9177,0,0,0,,,,109,109,109,
2012/07/12,7.80,7.80,7.68,7.70,-0.07,-0.9009,7.8460,7.8940,,,,370.0000,533.7000,109,109,109,49.7094,,18.1818,36.2781,44.1131,118,100,36.2781,44.1131,20.6082,0,0,0,,,,109,109,109,
2012/07/13,7.70,7.72,7.65,7.65,-0.05,-0.6494,7.7840,7.9020,,,,261.0000,549.5000,109,109,109,45.0502,,0.0000,24.1854,37.4705,109,108,24.1854,37.4705,-2.3848,0,0,0,,,,109,109,109,
2012/07/16,7.61,7.70,7.57,7.64,-0.01,-0.1307,7.7120,7.8760,,,,200.0000,537.6000,109,109,109,44.0591,55.1402,12.0690,20.1466,31.6959,61,103,20.1466,31.6959,-2.9520,0,0,0,,,,109,109,109,
2012/07/17,7.64,7.75,7.52,7.72,0.08,1.0471,7.6960,7.8400,,,,351.0000,502.0000,109,109,109,53.8136,58.5232,34.4828,24.9253,29.4390,151,106,24.9253,29.4390,15.8979,0,0,0,,,,109,109,109,
2012/07/18,7.76,7.80,7.60,7.60,-0.12,-1.5544,7.6620,7.7920,,,,269.0000,458.2000,109,109,109,40.9581,52.0946,13.7931,21.2146,26.6975,82,104,21.2146,26.6975,10.2486,0,0,0,,,,109,109,109,
2012/07/19,7.63,7.69,7.60,7.62,0.02,0.2632,7.6460,7.7460,,,,425.0000,430.0000,109,109,109,43.6504,53.0326,20.8333,21.0875,24.8275,156,111,21.0875,24.8275,13.6074,0,0,0,,,,109,109,109,
2012/07/20,7.62,7.71,7.60,7.63,0.01,0.1312,7.6420,7.7130,,,,510.0000,417.5000,109,109,109,45.1510,53.5290,25.0000,22.3917,24.0156,85,107,22.3917,24.0156,19.1438,0,0,0,,,,109,109,109,
2012/07/23,7.60,7.60,7.42,7.50,-0.13,-1.7038,7.6140,7.6630,,,,291.0000,374.8000,109,109,109,31.8989,46.5522,17.3913,20.7249,22.9187,219,138,20.7249,22.9187,16.3373,0,0,0,,,,109,109,109,
2012/07/24,7.50,7.50,7.50,7.50,0.00,0.00,7.5700,7.6330,,,,291.0000,345.6000,109,109,109,31.8989,46.5522,21.0526,20.8341,22.2238,51,118,20.8341,22.2238,18.0547,0,0,0,,,,109,109,109,
2012/07/25,7.50,7.65,7.43,7.55,0.05,0.6667,7.5600,7.6110,7.7440,,,392.0000,336.0000,109,109,109,41.4213,49.5613,34.2105,25.2929,23.2469,101,122,25.2929,23.2469,29.3851,0,0,0,,,,109,109,109,
2012/07/26,7.55,7.55,7.51,7.53,-0.02,-0.2649,7.5420,7.5940,7.7440,,,368.0000,335.8000,109,109,109,38.8161,48.3729,28.9474,26.5111,24.3349,24,96,26.5111,24.3349,30.8634,0,0,0,,,,109,109,109,
2012/07/27,7.59,7.69,7.59,7.66,0.13,1.7264,7.5480,7.5950,7.7485,,,513.0000,361.0000,109,109,109,58.9532,55.8752,63.1579,38.7267,29.1322,145,108,38.7267,29.1322,57.9157,0,0,0,,,,109,109,109,
2012/07/30,7.75,7.75,7.65,7.65,-0.01,-0.1305,7.5780,7.5960,7.7360,,,266.0000,367.6000,109,109,109,57.2149,55.2021,60.5263,45.9932,34.7525,247,113,45.9932,34.7525,68.4746,0,0,0,,,,109,109,109,
2012/07/31,7.79,8.04,7.67,7.80,0.15,1.9608,7.6380,7.6040,7.7220,,,714.0000,403.9000,109,109,109,72.0492,62.5793,61.2903,51.0923,40.1991,448,193,51.0923,40.1991,72.8786,0,0,0,,,,109,109,109,
2012/08/01,7.80,8.09,7.78,7.86,0.06,0.7692,7.7000,7.6300,7.7110,,,983.0000,475.3000,109,109,109,76.0372,65.0880,65.6716,55.9521,45.4501,269,226,55.9521,45.4501,76.9560,0,0,0,,,,109,109,109,
2012/08/03,7.84,7.86,7.72,7.73,-0.13,-1.6539,7.7400,7.6410,7.6935,,,838.0000,516.6000,109,109,109,55.4626,56.1848,46.2687,52.7243,47.8748,145,250,52.7243,47.8748,62.4231,0,0,0,,-0.0437,,109,109,109,
2012/08/06,7.80,7.98,7.71,7.73,0.00,0.00,7.7540,7.6510,7.6820,,,838.0000,549.4000,109,109,109,55.4626,56.1848,45.4545,50.3010,48.6835,130,247,50.3010,48.6835,53.5360,0,0,0,,-0.0379,,109,109,109,
2012/08/07,7.83,8.08,7.73,7.93,0.20,2.5873,7.8100,7.6940,7.6785,,,1447.0000,665.0000,109,109,109,72.1546,64.9603,75.7576,58.7865,52.0512,609,320,58.7865,52.0512,72.2572,0,0,0,,-0.0169,,109,109,109,
2012/08/08,8.00,8.00,7.86,7.86,-0.07,-0.8827,7.8220,7.7300,7.6815,,,1101.0000,746.0000,109,109,109,62.3414,60.3455,60.3448,59.3060,54.4695,346,299,59.3060,54.4695,68.9790,0,0,0,,-0.0059,,109,109,109,
