ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/20,28.10,28.70,28.00,28.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,71100,,,,,0,,,,,,0,,,
2012/06/21,27.00,28.20,27.00,28.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,11000,,,,,0,,,,,,0,,,
2012/06/22,27.60,27.70,27.50,27.60,-0.40,-1.4286,,,,,,-17000.0000,,0,,,,,,,,17000,,,,,0,,,,,,0,,,
2012/06/25,27.50,28.10,27.50,28.10,0.50,1.8116,,,,,,27000.0000,,0,,,,,,,,44000,,,,,0,,,,,,0,,,
2012/06/26,27.95,27.95,26.79,26.79,-1.31,-4.6619,27.6980,,,,,12000.0000,,0,0,,,,,,,15000,31620,,,,0,0,,,,,0,0,,
2012/06/27,26.60,26.80,26.50,26.50,-0.29,-1.0825,27.3980,,,,,-51000.0000,,0,0,,,,,,,63000,30000,,,,0,0,,,,,0,0,,
2012/06/28,26.00,27.04,26.00,26.50,0.00,0.00,27.0980,,,,,-51000.0000,,0,0,,20.0000,,,,,37000,35200,,,,0,0,,,,,0,0,,
2012/06/29,26.00,27.10,26.00,26.40,-0.10,-0.3774,26.8580,,,,,-152500.0000,,0,0,,19.0840,,,,,101500,52100,,,,0,0,,,,,0,0,,
2012/07/02,27.20,27.57,26.50,27.20,0.80,3.0303,26.6780,,,,,-71500.0000,,0,0,,43.7964,,44.4444,48.1481,49.3827,81000,59500,48.1481,49.3827,45.6790,0,0,,,,,0,0,,
2012/07/03,27.00,27.10,27.00,27.10,-0.10,-0.3676,26.7400,27.2190,,,,-75500.0000,-37950.0000,0,0,0,41.8779,,50.0000,48.7654,49.1770,4000,57300,48.7654,49.1770,47.9424,0,0,0,,,,0,0,0,
2012/07/04,27.00,27.40,27.00,27.10,0.00,0.00,26.8600,27.1290,,,,-75500.0000,-45500.0000,0,0,0,41.8779,,52.3810,49.9706,49.4415,10000,46700,49.9706,49.4415,51.0288,0,0,0,,,,0,0,0,
