ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/22,21.60,22.50,21.40,21.95,0.00,0.00,,,,,,0.0000,,109,,,,,,,,697,,,,,0,,,,,,109,,,
2012/06/25,22.10,22.60,21.95,22.20,0.25,1.139,,,,,,728.0000,,93,,,,,,,,728,,,,,0,,,,,,93,,,
2012/06/26,22.30,22.30,20.80,21.20,-1.00,-4.5045,,,,,,32.0000,,79,,,,,,,,696,,,,,0,,,,,,79,,,
2012/06/27,21.10,21.75,21.10,21.60,0.40,1.8868,,,,,,277.0000,,99,,,,,,,,245,,,,,0,,,,,,99,,,
2012/06/28,21.80,21.90,21.25,21.30,-0.30,-1.3889,21.6500,,,,,107.0000,,91,94,,,,,,,170,507,,,,0,0,,,,,91,94,,
2012/06/29,21.50,21.65,21.30,21.50,0.20,0.939,21.5600,,,,,326.0000,,101,93,,,,,,,219,411,,,,0,0,,,,,101,93,,
2012/07/02,22.15,22.40,21.80,22.20,0.70,3.2558,21.5600,,,,,981.0000,,113,97,,54.3860,,,,,655,397,,,,0,0,,,,,113,97,,
2012/07/03,22.20,22.50,21.85,22.25,0.05,0.2252,21.7700,,,,,1423.0000,,109,103,,55.3265,,,,,442,346,,,,0,0,,,,,109,103,,
2012/07/04,22.30,22.50,22.00,22.10,-0.15,-0.6742,21.8700,,,,,1014.0000,,106,104,,51.5035,,72.2222,57.4074,52.4691,409,379,57.4074,52.4691,67.2840,0,0,,,,,106,104,,
2012/07/05,22.00,22.30,21.75,21.75,-0.35,-1.5837,21.9600,21.8050,,,,713.0000,560.1000,86,103,99,43.1543,,52.7778,55.8642,53.6008,301,405,55.8642,53.6008,60.3909,0,0,0,,,,86,103,99,
2012/07/06,21.55,21.85,21.40,21.50,-0.25,-1.1494,21.9600,21.7600,,,,421.0000,602.2000,65,96,94,37.8895,,41.1765,50.9683,52.7233,292,419,50.9683,52.7233,47.4582,0,0,0,,,,65,96,94,
2012/07/09,21.40,21.50,21.20,21.20,-0.30,-1.3953,21.7600,21.6600,,,,189.0000,548.3000,55,84,90,32.2277,,7.1429,36.3598,47.2688,232,335,36.3598,47.2688,14.5418,0,0,0,,,,55,84,90,
2012/07/10,21.05,21.35,20.75,20.80,-0.40,-1.8868,21.4700,21.6200,,,,-34.0000,541.7000,36,70,86,26.0093,36.7816,2.8571,25.1923,39.9100,223,291,25.1923,39.9100,-4.2432,0,0,0,,,,36,70,86,
2012/07/11,20.60,21.25,20.60,21.05,0.25,1.2019,21.2600,21.5650,,,,92.0000,523.2000,51,59,81,35.3632,40.5113,23.6842,24.6896,34.8365,126,234,24.6896,34.8365,4.3957,0,0,0,,,,51,59,81,
2012/07/12,21.05,21.10,20.60,20.75,-0.30,-1.4252,21.0600,21.5100,,,,-151.0000,497.4000,29,47,75,29.9170,37.6068,7.8947,19.0913,29.5881,243,223,19.0913,29.5881,-1.9023,0,0,0,,,,29,47,75,
2012/07/13,20.60,20.80,20.50,20.55,-0.20,-0.9639,20.8700,21.4150,,,,-258.0000,439.0000,24,39,67,26.6353,35.7431,2.5000,13.5609,24.2457,107,186,13.5609,24.2457,-7.8088,0,0,0,,,,24,39,67,
2012/07/16,20.80,20.90,20.35,20.35,-0.20,-0.9732,20.7000,21.2300,,,,-371.0000,303.8000,24,33,58,23.5371,33.9098,0.0000,9.0406,19.1773,113,162,9.0406,19.1773,-11.2329,0,0,0,,,,24,33,58,
2012/07/17,20.40,20.75,20.40,20.70,0.35,1.7199,20.6800,21.0750,,,,-264.0000,135.1000,30,32,51,38.5480,39.8041,17.9487,12.0100,16.7882,107,139,12.0100,16.7882,2.4535,0,0,0,,,,30,32,51,
