ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2017/09/30,31.00,40.40,31.00,40.40,0.00,0.00,,,,,,0.0000,,0,,,,,,,,130,,,,,0,,,,,,0,,,
2017/10/02,39.00,45.50,38.50,42.50,2.10,5.198,,,,,,245.0000,,0,,,,,,,,245,,,,,0,,,,,,0,,,
2017/10/03,41.00,42.50,40.00,40.30,-2.20,-5.1765,,,,,,154.0000,,0,,,,,,,,91,,,,,0,,,,,,0,,,
2017/10/05,40.00,40.00,35.00,35.90,-4.40,-10.9181,,,,,,96.0000,,0,,,,,,,,58,,,,,0,,,,,,0,,,
2017/10/06,35.00,35.30,32.81,34.00,-1.90,-5.2925,38.6200,,,,,10.0000,,0,0,,,,,,,86,122,,,,0,0,,,,,0,0,,
2017/10/11,34.00,34.00,32.00,32.20,-1.80,-5.2941,36.9800,,,,,-42.0000,,0,0,,,,,,,52,106,,,,0,0,,,,,0,0,,
2017/10/12,32.00,32.10,31.67,31.80,-0.40,-1.2422,34.8400,,,,,-59.0000,,0,0,,16.4063,,,,,17,60,,,,0,0,,,,,0,0,,
2017/10/13,32.00,32.49,32.00,32.20,0.40,1.2579,33.2200,,,,,-13.0000,,0,0,,19.4277,,,,,46,51,,,,0,0,,,,,0,0,,
2017/10/16,32.20,32.20,30.80,31.00,-1.20,-3.7267,32.2400,,,,,-55.0000,,0,0,,17.1908,,1.3605,33.7868,44.5956,42,48,33.7868,44.5956,12.1693,0,0,,,,,0,0,,
2017/10/17,30.80,30.90,29.90,29.90,-1.10,-3.5484,31.4200,35.0200,,,,-105.0000,23.1000,0,0,0,15.2583,,0.0000,22.5246,37.2386,50,41,22.5246,37.2386,-6.9035,0,0,0,,,,0,0,0,
2017/10/18,29.80,30.00,29.50,29.80,-0.10,-0.3344,30.9400,33.9600,,,,-114.0000,11.7000,0,0,0,15.0735,,2.3077,15.7856,30.0876,9,32,15.7856,30.0876,-12.8184,0,0,0,,,,0,0,0,
2017/10/19,29.50,29.50,28.80,29.05,-0.75,-2.5168,30.3900,32.6150,,,,-149.0000,-27.7000,0,0,0,13.5915,,2.2321,11.2678,23.8143,35,36,11.2678,23.8143,-13.8253,0,0,0,,,,0,0,0,
2017/10/20,29.20,29.20,29.09,29.15,0.10,0.3442,29.7800,31.5000,,,,-143.0000,-57.4000,0,0,0,14.9297,15.8055,5.3846,9.3067,18.9785,6,28,9.3067,18.9785,-10.0367,0,0,0,,,,0,0,0,
2017/10/23,29.00,29.05,28.90,29.00,-0.15,-0.5146,29.3800,30.8100,,,,-151.0000,-82.1000,0,0,0,14.5248,15.6498,3.8462,7.4865,15.1478,8,21,7.4865,15.1478,-7.8360,0,0,0,,,,0,0,0,
2017/10/24,29.10,29.10,29.00,29.00,0.00,0.00,29.2000,30.3100,,,,-151.0000,-98.2000,0,0,0,14.5248,15.6498,5.4201,6.7977,12.3645,70,25,6.7977,12.3645,-4.3358,0,0,0,,,,0,0,0,
2017/10/25,29.10,29.60,29.10,29.60,0.60,2.069,29.1600,30.0500,,,,-134.0000,-107.4000,0,0,0,26.0730,19.4276,21.6802,11.7585,12.1625,17,27,11.7585,12.1625,10.9507,0,0,0,,,,0,0,0,
2017/10/26,30.00,30.52,30.00,30.09,0.49,1.6554,29.3680,29.8790,,,,-37.0000,-105.2000,0,0,0,34.7168,22.5192,37.9412,20.4861,14.9370,97,39,20.4861,14.9370,31.5842,0,0,0,,,,0,0,0,
2017/10/27,30.15,30.15,29.90,29.90,-0.19,-0.6314,29.5180,29.6490,,,,-48.0000,-108.7000,0,0,0,32.9255,22.1595,52.3810,31.1177,20.3306,11,40,31.1177,20.3306,52.6920,0,0,0,,,,0,0,0,
2017/10/30,29.90,30.10,29.80,30.00,0.10,0.3344,29.7180,29.5490,,,,-20.0000,-105.2000,0,0,0,35.0423,22.8668,69.7674,44.0010,28.2207,28,44,44.0010,28.2207,75.5615,0,0,0,,,,0,0,0,
2017/10/31,29.90,30.00,29.90,30.00,0.00,0.00,29.9180,29.5590,32.2895,,,-20.0000,-96.7000,0,0,0,35.0423,22.8668,69.7674,52.5898,36.3437,9,32,52.5898,36.3437,85.0819,0,0,0,,,,0,0,0,
