ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2009/10/19,9.19,9.19,8.64,8.64,0.00,0.00,,,,,,0.0000,,469,,,,,,,,104,,,,,0,,,,,,469,,,
2009/10/20,8.04,8.87,8.04,8.08,-0.56,-6.4815,,,,,,-131.0000,,469,,,,,,,,131,,,,,0,,,,,,469,,,
2009/10/21,7.61,8.08,7.55,7.62,-0.46,-5.6931,,,,,,-173.0000,,469,,,,,,,,42,,,,,0,,,,,,469,,,
2009/10/22,7.62,8.04,7.62,8.04,0.42,5.5118,,,,,,-72.0000,,469,,,,,,,,101,,,,,0,,,,,,469,,,
2009/10/23,7.62,7.62,7.48,7.58,-0.46,-5.7214,7.9920,,,,,-175.0000,,469,469,,,,,,,103,96,,,,0,0,,,,,469,469,,
2009/10/26,7.58,7.58,7.05,7.05,-0.53,-6.9921,7.6740,,,,,-230.0000,,469,469,,,,,,,55,86,,,,0,0,,,,,469,469,,
2009/10/27,6.61,6.85,6.56,6.56,-0.49,-6.9504,7.3700,,,,,-314.0000,,469,469,,14.3836,,,,,84,77,,,,0,0,,,,,469,469,,
2009/10/28,6.21,7.00,6.21,6.44,-0.12,-1.8293,7.1340,,,,,-541.0000,,469,469,,13.7076,,,,,227,114,,,,0,0,,,,,469,469,,
2009/10/29,6.44,6.44,6.00,6.35,-0.09,-1.3975,6.7960,,,,,-640.0000,,466,469,,13.1513,,10.9718,36.9906,45.6635,99,113,36.9906,45.6635,19.6447,0,0,,,,,466,469,,
2009/10/30,6.58,6.58,6.20,6.20,-0.15,-2.3622,6.5200,7.2560,,,,-650.0000,-292.6000,466,468,469,12.1640,,6.9686,26.9833,39.4368,10,95,26.9833,39.4368,2.0763,0,0,0,,,,466,468,469,
2009/11/02,6.10,6.12,6.10,6.12,-0.08,-1.2903,6.3340,7.0040,,,,-656.0000,-358.2000,466,468,469,11.6064,,5.7692,19.9119,32.9285,6,85,19.9119,32.9285,-6.1212,0,0,0,,,,466,468,469,
2009/11/03,5.91,6.54,5.83,6.54,0.42,6.8627,6.3300,6.8500,,,,-591.0000,-404.2000,466,467,468,31.4143,,32.1267,23.9835,29.9468,65,81,23.9835,29.9468,12.0569,0,0,0,,,,466,467,468,
2009/11/04,6.56,6.99,6.50,6.50,-0.04,-0.6116,6.3420,6.7380,,,,-645.0000,-451.4000,466,467,468,30.6299,21.9895,37.4302,28.4657,29.4531,54,46,28.4657,29.4531,26.4909,0,0,0,,,,466,467,468,
2009/11/05,6.95,6.95,6.51,6.51,0.01,0.1538,6.3740,6.5850,,,,-617.0000,-505.9000,466,467,468,31.1457,22.2117,38.8571,31.9295,30.2786,28,32,31.9295,30.2786,35.2314,0,0,0,,,,466,467,468,
2009/11/06,6.52,6.52,6.52,6.52,0.01,0.1536,6.4380,6.4790,,,,-613.0000,-549.7000,466,467,468,31.7546,22.4526,58.9744,40.9445,33.8339,4,31,40.9445,33.8339,55.1656,0,0,0,,,,466,467,468,
2009/11/09,6.13,6.32,6.11,6.11,-0.41,-6.2883,6.4360,6.3850,,,,-627.0000,-589.4000,466,467,467,22.1270,19.7209,23.9316,35.2735,34.3138,14,33,35.2735,34.3138,37.1930,0,0,0,,,,466,467,467,
2009/11/10,6.20,6.20,6.20,6.20,0.09,1.473,6.3680,6.3490,,,,-623.0000,-620.3000,466,467,467,27.8863,21.9936,31.8966,34.1479,34.2585,4,20,34.1479,34.2585,33.9267,0,0,0,,,,466,467,467,
2009/11/11,6.20,6.20,6.20,6.20,0.00,0.00,6.3080,6.3250,,,,-623.0000,-628.5000,466,467,467,27.8863,21.9936,31.8966,33.3974,33.9715,7,11,33.3974,33.9715,32.2494,0,0,0,,,,466,467,467,
2009/11/12,6.32,6.63,6.32,6.63,0.43,6.9355,6.3320,6.3530,,,,-597.0000,-624.2000,466,467,467,52.2055,32.8092,68.9655,45.2535,37.7321,26,11,45.2535,37.7321,60.2961,0,0,0,,,,466,467,467,
2009/11/13,7.09,7.09,7.05,7.08,0.45,6.7873,6.4440,6.4410,6.8485,,,-529.0000,-612.1000,466,467,467,66.4247,41.9913,99.2063,63.2378,46.2340,68,23,63.2378,46.2340,97.2453,0,0,0,,,,466,467,467,
