ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2010/03/08,50.00,52.00,50.00,52.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,44,,,,,0,,,,,,0,,,
2010/03/09,50.36,52.00,50.30,52.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,86,,,,,0,,,,,,0,,,
2010/03/10,50.50,52.00,50.50,52.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,6,,,,,0,,,,,,0,,,
2010/03/11,52.00,52.00,52.00,52.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,2,,,,,0,,,,,,0,,,
2010/03/12,52.00,52.00,52.00,52.00,0.00,0.00,52.0000,,,,,0.0000,,0,0,,,,,,,2,28,,,,0,0,,,,,0,0,,
2010/03/15,52.60,54.00,52.60,54.00,2.00,3.8462,52.4000,,,,,26.0000,,0,0,,,,,,,26,24,,,,0,0,,,,,0,0,,
2010/03/16,55.00,56.31,55.00,56.31,2.31,4.2778,53.2620,,,,,40.0000,,0,0,,100.0000,,,,,14,10,,,,0,0,,,,,0,0,,
2010/03/17,56.31,63.50,56.31,63.50,7.19,12.7686,55.5620,,,,,92.0000,,0,0,,100.0000,,,,,52,19,,,,0,0,,,,,0,0,,
2010/03/18,63.50,65.50,62.00,63.50,0.00,0.00,57.8620,,,,,92.0000,,0,0,,100.0000,,87.0968,62.3656,54.1219,22,23,62.3656,54.1219,78.8530,0,0,,,,,0,0,,
2010/03/19,65.00,66.84,65.00,65.00,1.50,2.3622,60.4620,56.2310,,,,102.0000,35.2000,0,0,0,100.0000,,88.8755,71.2022,59.8153,10,24,71.2022,59.8153,93.9760,0,0,0,,,,0,0,0,
2010/03/22,63.50,63.50,61.76,61.76,-3.24,-4.9846,62.0140,57.2070,,,,95.0000,44.7000,0,0,0,69.8026,,68.9106,70.4384,63.3563,7,21,70.4384,63.3563,84.6024,0,0,0,,,,0,0,0,
2010/03/23,61.00,61.00,58.00,58.00,-3.76,-6.0881,62.3520,57.8070,,,,89.0000,53.6000,0,0,0,49.1385,,40.4313,60.4360,62.3829,6,19,60.4360,62.3829,56.5422,0,0,0,,,,0,0,0,
2010/03/24,59.38,59.38,57.50,57.50,-0.50,-0.8621,61.1520,58.3570,,,,79.0000,61.5000,0,0,0,46.9219,63.4146,37.0620,52.6447,59.1368,10,11,52.6447,59.1368,39.6604,0,0,0,,,,0,0,0,
2010/03/25,58.67,59.78,58.67,59.78,2.28,3.9652,60.4080,59.1350,,,,88.0000,70.3000,0,0,0,57.4298,67.3733,50.4213,51.9036,56.7257,9,8,51.9036,56.7257,42.2592,0,0,0,,,,0,0,0,
2010/03/26,61.05,61.05,61.05,61.05,1.27,2.1245,59.6180,60.0400,,,,102.0000,80.5000,0,0,0,62.4047,69.3861,51.0980,51.6350,55.0288,14,9,51.6350,55.0288,44.8474,0,0,0,,,,0,0,0,
2010/03/29,61.10,61.20,61.05,61.20,0.15,0.2457,59.5060,60.7600,,,,107.0000,88.6000,0,0,0,63.0172,69.6275,46.4387,49.9029,53.3202,5,8,49.9029,53.3202,43.0684,0,0,0,,,,0,0,0,
2010/03/30,62.00,62.00,62.00,62.00,0.80,1.3072,60.3060,61.3290,,,,109.0000,95.5000,0,0,0,66.5095,70.9600,48.1799,49.3286,51.9897,2,8,49.3286,51.9897,44.0064,0,0,0,,,,0,0,0,
2010/03/31,62.00,62.50,61.00,62.50,0.50,0.8065,61.3060,61.2290,,,,116.0000,97.9000,0,0,0,68.7245,71.8034,53.5332,50.7301,51.5698,7,7,50.7301,51.5698,49.0507,0,0,0,,,,0,0,0,
2010/04/01,62.00,62.50,62.00,62.00,-0.50,-0.80,61.7500,61.0790,,,,100.0000,98.7000,0,0,0,63.6712,69.5983,75.0000,58.8201,53.9866,16,8,58.8201,53.9866,68.4871,0,0,0,,,,0,0,0,
2010/04/02,63.00,63.30,63.00,63.00,1.00,1.6129,62.1400,60.8790,58.5550,,,110.0000,99.5000,0,0,0,69.1206,71.5074,94.8276,70.8226,59.5986,10,8,70.8226,59.5986,93.2706,0,0,0,,,,0,0,0,
2010/04/06,63.68,63.78,63.50,63.50,0.50,0.7937,62.6000,61.0530,59.1300,,,117.0000,101.7000,0,0,0,71.6703,72.4511,95.5414,79.0622,66.0864,7,8,79.0622,66.0864,105.0137,0,0,0,,,,0,0,0,
2010/04/07,63.50,63.75,63.50,63.75,0.25,0.3937,62.9500,61.6280,59.7175,,,130.0000,105.8000,0,0,0,73.0076,72.9399,99.4129,85.8458,72.6729,13,10,85.8458,72.6729,112.1915,0,0,0,,,,0,0,0,
2010/04/08,63.50,64.00,63.00,64.00,0.25,0.3922,63.2500,62.2780,60.3175,,,157.0000,113.6000,0,0,0,74.4545,73.4538,100.0000,90.5638,78.6365,27,14,90.5638,78.6365,114.4185,0,0,0,,,,0,0,0,
2010/04/09,64.00,66.50,64.00,66.50,2.50,3.9063,64.1500,62.9500,61.0425,,,167.0000,121.5000,0,0,0,84.4547,78.0094,100.0000,93.7092,83.6608,10,13,93.7092,83.6608,113.8062,0,0,0,,,,0,0,0,
2010/04/12,67.15,68.20,67.15,68.00,1.50,2.2556,65.1500,63.6450,61.8425,,,178.0000,129.1000,0,0,0,87.8728,80.2301,97.2222,94.8802,87.4006,11,13,94.8802,87.4006,109.8395,0,0,0,,,,0,0,0,
2010/04/13,68.42,70.52,68.42,70.52,2.52,3.7059,66.5540,64.5770,62.6685,,,186.0000,137.0000,0,0,0,91.5975,83.3176,100.0000,96.5868,90.4627,8,13,96.5868,90.4627,108.8351,0,0,0,,4.2577,,0,0,0,
2010/04/14,71.05,71.30,70.00,70.50,-0.02,-0.0284,67.9040,65.4270,63.3780,,,178.0000,143.9000,0,0,0,91.3303,83.2051,91.3978,94.8572,91.9275,8,12,94.8572,91.9275,100.7165,0,0,0,,4.4287,,0,0,0,
2010/04/15,70.50,71.30,68.40,69.15,-1.35,-1.9149,68.9340,66.0920,63.6605,,,141.0000,146.4000,0,0,0,73.8775,75.6801,74.0964,87.9369,90.5973,37,14,87.9369,90.5973,82.6161,0,0,0,,4.4044,,0,0,0,
2010/04/16,68.40,68.63,68.00,68.63,-0.52,-0.752,69.3600,66.7550,63.9170,,,109.0000,147.3000,0,0,0,67.8816,72.9093,67.8313,81.2350,87.4765,32,19,81.2350,87.4765,68.7520,0,0,0,,4.2938,,0,0,0,
2010/04/19,68.00,68.00,66.51,68.00,-0.63,-0.918,69.3600,67.2550,64.0670,,,94.0000,145.7000,0,0,0,60.7173,69.5442,60.2410,74.2370,83.0634,15,20,74.2370,83.0634,56.5843,0,0,0,,4.1079,,0,0,0,
2010/04/20,68.00,68.00,68.00,68.00,0.00,0.00,68.8560,67.7050,64.3790,,,94.0000,143.4000,0,0,0,60.7173,69.5442,60.2410,69.5717,78.5661,1,18,69.5717,78.5661,51.5827,0,0,0,,3.9154,,0,0,0,
2010/04/21,68.50,70.00,68.50,68.60,0.60,0.8824,68.4760,68.1900,64.9090,,,107.0000,141.1000,0,0,0,65.6842,71.0582,63.0137,67.3857,74.8393,13,19,67.3857,74.8393,52.4784,0,0,0,,3.7679,,0,0,0,
2010/04/22,70.00,70.00,67.93,68.00,-0.60,-0.8746,68.2460,68.5900,65.4340,,,94.0000,134.8000,0,0,0,57.0310,67.4028,31.1065,55.2926,68.3237,13,14,55.2926,68.3237,29.2303,0,0,0,,3.5615,,0,0,0,
2010/04/23,68.10,68.10,68.10,68.10,0.10,0.1471,68.1400,68.7500,65.8500,,,97.0000,127.8000,0,0,0,58.1341,67.7049,33.1942,47.9265,61.5247,3,9,47.9265,61.5247,20.7301,0,0,0,-1.2889,3.3672,4.0116,0,0,0,
2010/04/26,68.50,68.50,68.50,68.50,0.40,0.5874,68.2400,68.8000,66.2225,,,98.0000,119.8000,0,0,0,62.7270,68.9600,41.5449,45.7993,56.2829,1,6,45.7993,56.2829,24.8321,0,0,0,-1.2850,3.2085,3.8510,0,0,0,
2010/04/27,66.98,67.50,66.98,67.50,-1.00,-1.4599,68.1400,68.4980,66.5375,,,95.0000,110.7000,0,0,0,47.1945,62.3513,20.6681,37.4222,49.9960,3,6,37.4222,49.9960,12.2747,0,0,0,-1.4131,2.9678,3.6744,0,0,0,
2010/04/28,66.70,67.00,65.00,66.00,-1.50,-2.2222,67.6200,68.0480,66.7375,,,85.0000,101.4000,0,0,0,32.6444,53.8989,20.0000,31.6148,43.8689,10,6,31.6148,43.8689,7.1066,0,0,0,-1.6777,2.6258,3.4646,0,0,0,
2010/04/29,67.50,68.00,67.50,68.00,2.00,3.0303,67.6200,67.9330,67.0125,,,103.0000,97.6000,0,0,0,54.8942,61.4919,60.0000,41.0765,42.9381,18,7,41.0765,42.9381,37.3534,0,0,0,-1.5636,2.4874,3.2692,0,0,0,
2010/04/30,68.00,68.00,66.00,67.00,-1.00,-1.4706,67.4000,67.7700,67.2625,,,92.0000,95.9000,0,0,0,45.8139,56.4230,40.0000,40.7177,42.1980,11,8,40.7177,42.1980,37.7571,0,0,0,-1.5973,2.2709,3.0695,0,0,0,
2010/05/05,66.70,66.70,65.00,65.00,-2.00,-2.9851,66.7000,67.4700,67.3625,,,84.0000,94.9000,0,0,0,32.7946,47.8220,0.0000,27.1451,37.1804,8,10,27.1451,37.1804,7.0747,0,0,0,-1.8459,1.9158,2.8388,0,0,0,
2010/05/06,64.61,64.61,64.61,64.61,-0.39,-0.60,66.1220,67.1310,67.4180,,,83.0000,93.8000,0,0,0,30.7498,46.3200,0.0000,18.0968,30.8192,1,9,18.0968,30.8192,-7.3481,0,0,0,-2.0066,1.5847,2.5880,0,0,0,
2010/05/07,64.60,64.60,64.00,64.60,-0.01,-0.0155,65.8420,66.7310,67.4605,,,75.0000,90.6000,0,0,0,30.6909,46.2793,13.3333,16.5089,26.0491,8,9,16.5089,26.0491,-2.5713,0,0,0,-2.0505,1.3064,2.3317,0,0,0,
2010/05/10,63.00,64.00,63.00,64.00,-0.60,-0.9288,65.0420,66.3310,67.4605,,,69.0000,88.1000,0,0,0,26.9723,43.7648,18.1818,17.0666,23.0549,6,6,17.0666,23.0549,5.0899,0,0,0,-2.0897,1.0256,2.0704,0,0,0,
2010/05/13,65.00,65.00,65.00,65.00,1.00,1.5625,64.6420,66.0210,67.3855,,,84.0000,86.8000,0,0,0,41.2170,48.8207,40.0000,24.7110,23.6070,15,7,24.7110,23.6070,26.9192,0,0,0,-1.9148,0.8737,1.8311,0,0,0,
2010/05/20,65.00,65.00,65.00,65.00,0.00,0.00,64.6420,65.6710,67.2355,,,84.0000,85.4000,0,0,0,41.2170,48.8207,40.0000,29.8074,25.6738,1,6,29.8074,25.6738,38.0746,0,0,0,-1.7382,0.7448,1.6138,0,0,0,
2010/05/25,62.00,62.00,61.28,61.28,-3.72,-5.7231,63.9760,65.0490,66.7735,,,76.0000,83.5000,0,0,0,20.1561,34.9211,0.0000,19.8716,23.7397,8,7,19.8716,23.7397,12.1353,0,0,0,-2.0406,0.3385,1.3588,0,0,0,
2010/05/26,61.00,61.00,61.00,61.00,-0.28,-0.4569,63.2560,64.5490,66.2985,,,75.0000,82.5000,0,0,0,19.2669,34.1234,0.0000,13.2477,20.2424,1,6,13.2477,20.2424,-0.7416,0,0,0,-2.1837,-0.0060,1.0858,0,0,0,
2010/05/28,61.57,62.00,61.57,62.00,1.00,1.6393,62.8560,63.9490,65.9410,,,78.0000,80.0000,0,0,0,32.1040,39.5073,17.5439,14.6798,18.3882,3,5,14.6798,18.3882,7.2630,0,0,0,-2.0511,-0.1961,0.8294,0,0,0,
2010/06/01,62.00,62.00,62.00,62.00,0.00,0.00,62.2560,63.4490,65.6095,,,78.0000,78.6000,0,0,0,32.1040,39.5073,25.0000,18.1198,18.2987,4,3,18.1198,18.2987,17.7621,0,0,0,-1.8755,-0.3428,0.5950,0,0,0,
2010/06/08,62.00,62.00,62.00,62.00,0.00,0.00,61.6560,63.1490,65.3095,,,78.0000,78.0000,0,0,0,32.1040,39.5073,25.0000,20.4132,19.0036,3,3,20.4132,19.0036,23.2326,0,0,0,-1.6781,-0.4538,0.3852,0,0,0,
2010/06/11,60.00,60.00,60.00,60.00,-2.00,-3.2258,61.4000,62.6880,64.9095,,,74.0000,77.1000,0,0,0,20.7186,32.5912,0.0000,13.6088,17.2053,4,3,13.6088,17.2053,6.4158,0,0,0,-1.7286,-0.6952,0.1691,0,0,0,
2010/06/18,59.00,59.00,59.00,59.00,-1.00,-1.6667,61.0000,62.1280,64.4295,,,73.0000,76.9000,0,0,0,17.0834,29.7504,0.0000,9.0725,14.4944,1,3,9.0725,14.4944,-1.7711,0,0,0,-1.8004,-0.9561,-0.0559,0,0,0,
2010/06/22,59.00,59.00,59.00,59.00,0.00,0.00,60.4000,61.6280,63.9795,,,73.0000,77.3000,0,0,0,17.0834,29.7504,0.0000,6.0484,11.6790,4,3,6.0484,11.6790,-5.2130,0,0,0,-1.7500,-1.1496,-0.2747,0,0,0,
2010/06/23,59.20,59.20,59.20,59.20,0.20,0.339,59.8400,61.0480,63.5345,,,75.0000,76.4000,0,0,0,21.0717,31.1782,6.6667,6.2545,9.8709,2,2,6.2545,9.8709,-0.9783,0,0,0,-1.5961,-1.2722,-0.4742,0,0,0,
2010/06/28,58.50,59.10,58.50,59.00,-0.20,-0.3378,59.2400,60.4480,63.0595,,,-529.0000,15.1000,0,0,0,19.9218,30.5019,14.2857,8.9315,9.5578,604,123,8.9315,9.5578,7.6791,0,0,0,-1.4329,-1.3697,-0.6533,0,0,0,
2010/06/29,58.50,59.20,58.50,59.00,0.00,0.00,59.0400,60.2200,62.6345,,,-529.0000,-45.4000,0,0,0,19.9218,30.5019,14.2857,10.7163,9.9439,906,303,10.7163,9.9439,12.2610,0,0,0,-1.2436,-1.4305,-0.8087,0,0,0,
2010/06/30,59.20,59.20,59.20,59.20,0.20,0.339,59.0800,60.0400,62.2945,,,-229.0000,-75.8000,0,0,0,25.7560,32.2508,20.0000,13.8108,11.2329,300,363,13.8108,11.2329,18.9667,0,0,0,-1.0194,-1.4459,-0.9362,0,0,0,
2010/07/07,58.50,58.50,58.50,58.50,-0.70,-1.1824,58.9800,59.6900,61.8195,,,-230.0000,-106.6000,0,0,0,19.7214,29.4236,0.0000,9.2072,10.5577,1,362,9.2072,10.5577,6.5063,0,0,0,-0.8978,-1.4973,-1.0484,0,0,0,
2010/07/22,58.50,58.50,58.50,58.50,0.00,0.00,58.8400,59.3400,61.3945,,,-230.0000,-137.4000,0,0,0,19.7214,29.4236,0.0000,6.1382,9.0845,2,362,6.1382,9.0845,0.2455,0,0,0,-0.7554,-1.5205,-1.1428,0,0,0,
2010/07/26,56.00,56.00,55.96,55.96,-2.54,-4.3419,58.2320,58.7360,60.9425,62.2867,,-238.0000,-169.0000,0,0,0,8.8665,21.3439,0.0000,4.0921,7.4204,8,243,4.0921,7.4204,-2.5644,0,0,0,-0.9298,-1.7239,-1.2590,0,0,0,
2010/07/28,55.00,56.00,55.00,56.00,0.04,0.0715,57.6320,58.3360,60.5120,62.3533,,-235.0000,-199.9000,0,0,0,9.8047,21.7132,23.8095,10.6646,8.5018,3,62,10.6646,8.5018,14.9902,0,0,0,-0.9624,-1.8605,-1.3793,0,0,0,
2010/08/03,54.50,54.50,54.50,54.50,-1.50,-2.6786,56.6920,57.8860,60.0070,62.3950,,-237.0000,-230.9000,0,0,0,6.7006,18.2145,0.0000,7.1097,8.0378,2,3,7.1097,8.0378,5.2536,0,0,0,-1.0987,-2.0660,-1.5167,0,0,0,
2010/08/04,54.34,54.34,51.15,54.00,-0.50,-0.9174,55.7920,57.3860,59.5070,62.4283,,-243.0000,-262.5000,0,0,0,5.9475,17.2063,35.4037,16.5411,10.8722,6,4,16.5411,10.8722,27.8788,0,0,0,-1.1626,-2.2433,-1.6620,0,0,0,
2010/08/06,53.50,54.00,53.50,54.00,0.00,0.00,54.8920,56.8660,58.9570,62.4617,,-243.0000,-294.3000,0,0,0,5.9475,17.2063,35.4037,22.8286,14.8577,4,4,22.8286,14.8577,38.7705,0,0,0,-1.1115,-2.3567,-1.8009,0,0,0,
2010/08/10,53.75,54.00,53.75,54.00,0.00,0.00,54.5000,56.3660,58.4070,62.4950,,-243.0000,-265.7000,0,0,0,5.9475,17.2063,35.4037,27.0203,18.9119,2,3,27.0203,18.9119,43.2372,0,0,0,-0.9883,-2.4186,-1.9245,0,0,0,
2010/08/11,54.00,54.00,54.00,54.00,0.00,0.00,54.1000,55.8660,58.0430,62.4950,,-243.0000,-237.1000,0,0,0,5.9475,17.2063,38.7755,30.9387,22.9208,1,3,30.9387,22.9208,46.9745,0,0,0,-0.8242,-2.4396,-2.0275,0,0,0,
2010/08/12,53.00,53.00,53.00,53.00,-1.00,-1.8519,53.8000,55.2460,57.6430,62.4398,,-247.0000,-238.9000,0,0,0,4.0565,14.8742,25.1701,29.0158,24.9525,4,3,29.0158,24.9525,37.1425,0,0,0,-0.7688,-2.5080,-2.1236,0,0,0,
2010/08/13,52.50,52.50,52.50,52.50,-0.50,-0.9434,53.5000,54.6460,57.1680,62.2565,,-248.0000,-240.7000,0,0,0,3.4067,13.8503,27.8351,28.6222,26.1757,1,2,28.6222,26.1757,33.5152,0,0,0,-0.7189,-2.5729,-2.2135,0,0,0,
