ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/19,85.50,85.90,84.00,85.40,0.00,0.00,,,,,,0.0000,,10616,,,,,,,,139,,,,,0,,,,,,10616,,,
2012/06/20,86.00,86.70,85.00,85.40,0.00,0.00,,,,,,0.0000,,10620,,,,,,,,169,,,,,0,,,,,,10620,,,
2012/06/21,86.00,88.30,85.40,86.90,1.50,1.7564,,,,,,280.0000,,10615,,,,,,,,280,,,,,7,,,,,,10622,,,
2012/06/22,86.00,86.70,85.50,86.20,-0.70,-0.8055,,,,,,98.0000,,10621,,,,,,,,182,,,,,0,,,,,,10621,,,
2012/06/25,86.20,90.00,86.20,89.50,3.30,3.8283,86.6800,,,,,542.0000,,10628,10620,,,,,,,444,242,,,,0,1,,,,,10628,10622,,
2012/06/26,89.50,91.00,86.30,86.50,-3.00,-3.352,86.9000,,,,,62.0000,,10611,10619,,,,,,,480,311,,,,0,1,,,,,10611,10621,,
2012/06/27,87.50,87.80,86.50,86.50,0.00,0.00,87.1200,,,,,62.0000,,10611,10618,,56.4706,,,,,198,316,,,,0,1,,,,,10611,10619,,
2012/06/28,86.60,87.50,84.50,85.20,-1.30,-1.5029,86.7800,,,,,-173.0000,,10611,10617,,47.7137,,,,,235,307,,,,0,0,,,,,10611,10617,,
2012/06/29,85.50,86.10,85.00,85.40,0.20,0.2347,86.6200,,,,,-36.0000,,10611,10615,,49.1689,,20.0000,40.0000,46.6667,137,298,40.0000,46.6667,26.6667,0,0,,,,,10611,10615,,
2012/07/02,85.50,87.20,84.80,85.90,0.50,0.5855,85.9000,86.2900,,,,191.0000,102.6000,10613,10612,10616,53.0860,,21.5385,33.8462,42.3932,227,255,33.8462,42.3932,16.7521,0,0,1,,,,10613,10612,10617,
2012/07/03,87.00,87.50,86.50,86.50,0.60,0.6985,85.9000,86.4000,,,,344.0000,137.0000,10611,10612,10616,57.7719,,30.7692,32.8205,39.2023,153,190,32.8205,39.2023,20.0570,0,0,1,,,,10611,10612,10616,
2012/07/04,87.50,87.50,86.50,86.70,0.20,0.2312,85.9400,86.5300,,,,542.0000,191.2000,10615,10613,10615,59.3942,,33.8462,33.1624,37.1890,198,190,33.1624,37.1890,25.1092,0,0,1,,,,10615,10613,10616,
2012/07/05,87.30,87.80,86.80,87.50,0.80,0.9227,86.4000,86.5900,,,,900.0000,253.2000,10619,10614,10616,65.7164,58.6777,46.1538,37.4929,37.2903,358,214,37.4929,37.2903,37.8981,0,0,0,,,,10619,10614,10616,
2012/07/06,86.50,86.50,81.70,81.70,-5.80,-6.6286,85.6600,86.1400,,,,577.0000,301.1000,10614,10615,10615,27.9103,38.5298,0.0000,24.9953,33.1919,323,251,24.9953,33.1919,8.6019,0,0,0,,,,10614,10615,10615,
2012/07/09,80.10,80.80,79.10,79.80,-1.90,-2.3256,84.4400,85.1700,,,,365.0000,283.4000,10613,10615,10613,22.7626,34.3187,8.0460,19.3455,28.5765,212,248,19.3455,28.5765,0.8836,0,0,0,,,,10613,10615,10613,
2012/07/10,75.70,78.30,75.30,76.70,-3.10,-3.8847,82.4800,84.1900,,,,168.0000,294.0000,10612,10615,10613,16.7235,28.7297,11.2000,16.6303,24.5944,197,257,16.6303,24.5944,0.7022,0,0,0,,,,10612,10615,10613,
2012/07/11,76.70,78.40,76.70,77.10,0.40,0.5215,80.5600,83.2500,,,,259.0000,313.7000,10612,10614,10614,20.0095,30.3269,14.4000,15.8869,21.6919,91,236,15.8869,21.6919,4.2768,0,0,0,,,,10612,10614,10614,
2012/07/12,77.10,78.50,76.00,76.00,-1.10,-1.4267,78.2600,82.3300,,,,176.0000,348.6000,10611,10613,10614,17.7042,28.4165,5.6000,12.4579,18.6139,83,181,12.4579,18.6139,0.1459,0,0,0,,,,10611,10613,10614,
2012/07/13,76.00,77.40,76.00,76.90,0.90,1.1842,77.3000,81.4800,,,,240.0000,376.2000,10611,10612,10614,26.0672,32.2271,12.8000,12.5719,16.5999,64,129,12.5719,16.5999,4.5160,0,0,0,,,,10611,10612,10614,
2012/07/16,78.00,78.00,72.00,72.00,-4.90,-6.3719,75.7400,80.0900,83.1900,,,119.0000,369.0000,10611,10612,10613,15.6661,24.4854,0.0000,8.3813,13.8604,121,111,8.3813,13.8604,-2.5769,0,0,0,,,,10611,10612,10613,
2012/07/17,71.50,73.30,71.50,73.00,1.00,1.3889,75.0000,78.7400,82.5700,,,171.0000,351.7000,10611,10612,10613,23.1734,28.3191,9.2025,8.6550,12.1253,52,82,8.6550,12.1253,1.7145,0,0,0,,,,10611,10612,10613,
2012/07/18,72.00,72.80,71.50,71.50,-1.50,-2.0548,73.8800,77.2200,81.8750,,,147.0000,312.2000,10611,10611,10613,19.9730,26.1469,0.0000,5.7700,10.0068,24,68,5.7700,10.0068,-2.7037,0,0,0,,,,10611,10611,10613,
2012/07/19,72.00,72.50,70.80,72.00,0.50,0.6993,73.0800,75.6700,81.1300,,,248.0000,247.0000,10612,10612,10612,24.1624,28.1509,12.0000,7.8467,9.2868,101,72,7.8467,9.2868,4.9664,0,0,0,,,,10612,10612,10612,
2012/07/20,72.20,72.20,71.00,71.00,-1.00,-1.3889,71.9000,74.6000,80.3700,,,190.0000,208.3000,10610,10611,10612,21.4655,26.5775,2.5974,6.0969,8.2235,58,71,6.0969,8.2235,1.8438,0,0,0,,,,10610,10611,10612,
2012/07/23,71.00,71.00,66.10,66.40,-4.60,-6.4789,70.7800,73.2600,79.2150,,,59.0000,177.7000,10611,10611,10612,13.2821,20.7558,2.4194,4.8711,7.1060,131,73,4.8711,7.1060,0.4012,0,0,0,,,,10611,10611,10612,
2012/07/24,66.30,67.00,64.20,65.70,-0.70,-1.0542,69.3200,72.1600,78.1750,,,-13.0000,159.6000,10611,10611,10612,12.4176,20.0275,10.4895,6.7439,6.9853,72,77,6.7439,6.9853,6.2610,0,0,0,,-7.3844,,10611,10611,10612,
2012/07/25,64.90,67.00,64.40,65.80,0.10,0.1522,68.1800,71.0300,77.1400,,,56.0000,139.3000,10610,10611,10611,13.3840,20.4624,11.5942,8.3607,7.4438,69,86,8.3607,7.4438,10.1945,0,0,0,,-7.4106,,10610,10611,10611,
2012/07/26,66.80,70.40,66.80,70.40,4.60,6.9909,67.8600,70.4700,76.4000,,,206.0000,142.3000,10609,10611,10611,46.1712,37.5152,44.9275,20.5496,11.8124,150,96,20.5496,11.8124,38.0241,0,0,0,,-6.9797,,10609,10611,10611,
2012/07/27,71.50,74.80,71.50,71.50,1.10,1.5625,67.9600,69.9300,75.7050,,,396.0000,157.9000,10609,10610,10611,51.4454,40.8249,68.8679,36.6557,20.0935,190,122,36.6557,20.0935,69.7802,0,0,0,,-6.4748,,10609,10610,10611,
2012/07/30,71.70,73.30,71.60,71.90,0.40,0.5594,69.0600,69.9200,75.0050,,,498.0000,195.8000,10609,10610,10611,53.4362,42.0427,72.6415,48.6510,29.6127,102,116,48.6510,29.6127,86.7276,0,0,0,,-5.9735,,10609,10610,10611,
2012/07/31,72.20,73.20,72.00,72.00,0.10,0.1391,70.3200,69.8200,74.2800,,,575.0000,236.2000,10609,10610,10611,54.0020,42.3661,73.5849,56.9623,38.7292,77,117,56.9623,38.7292,93.4285,0,0,0,,-5.5047,,10609,10610,10611,
2012/08/01,72.00,72.10,71.40,72.00,0.00,0.00,71.5600,69.8700,73.5450,,,575.0000,279.0000,10609,10609,10610,54.0020,42.3661,73.5849,62.5032,46.6539,82,120,62.5032,46.6539,94.2018,0,0,0,,-5.0747,,10609,10609,10610,
