ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,392.00,402.00,390.00,396.50,0.00,0.00,,,,,,0.0000,,35548,,,,,,,,261,,,,,486,,,,,,38336,,,
2012/06/28,397.00,402.50,387.50,393.00,-3.50,-0.8827,,,,,,-156.0000,,35527,,,,,,,,156,,,,,474,,,,,,38271,,,
2012/06/29,393.00,397.00,388.00,397.00,4.00,1.0178,,,,,,2.0000,,35482,,,,,,,,158,,,,,484,,,,,,38234,,,
2012/07/02,399.00,402.00,392.00,394.00,-3.00,-0.7557,,,,,,-227.0000,,35468,,,,,,,,229,,,,,510,,,,,,38180,,,
2012/07/03,400.00,401.50,393.00,395.00,1.00,0.2538,395.1000,,,,,11.0000,,35439,35493,,,,,,,238,208,,,,489,489,,,,,38138,38233,,
2012/07/04,402.00,419.00,402.00,412.00,17.00,4.3038,398.2000,,,,,1051.0000,,35263,35436,,,,,,,1040,364,,,,487,489,,,,,38203,38206,,
2012/07/05,413.00,423.00,413.00,417.00,5.00,1.2136,403.0000,,,,,2066.0000,,35045,35340,,80.5970,,,,,1015,536,,,,461,486,,,,,38230,38198,,
2012/07/06,417.00,420.00,402.50,411.00,-6.00,-1.4388,405.8000,,,,,1654.0000,,34972,35238,,66.3391,,,,,412,586,,,,431,476,,,,,38130,38177,,
2012/07/09,409.00,413.00,406.00,408.00,-3.00,-0.7299,408.6000,,,,,1497.0000,,34971,35139,,59.9733,,57.7465,52.5822,50.8607,157,572,52.5822,50.8607,56.0250,423,458,,,,,38141,38169,,
2012/07/10,407.50,407.50,379.50,383.00,-25.00,-6.1275,406.2000,400.6500,,,,754.0000,665.2000,34984,35048,35271,30.6053,,8.0460,37.7368,46.4861,743,673,37.7368,46.4861,20.2382,390,438,464,,,,38077,38157,38195,
2012/07/11,377.00,386.50,377.00,386.50,3.50,0.9138,401.1000,399.6500,,,,980.0000,763.2000,34957,34986,35211,35.8802,,20.6522,32.0419,41.6713,226,510,32.0419,41.6713,12.7830,369,415,452,,,,38016,38119,38163,
2012/07/12,386.50,386.50,374.00,378.00,-8.50,-2.1992,393.3000,398.1500,,,,802.0000,859.0000,34960,34969,35155,29.3733,,8.1633,24.0824,35.8083,178,343,24.0824,35.8083,0.6304,373,397,442,,,,38029,38079,38138,
2012/07/13,376.00,381.00,373.50,379.00,1.00,0.2646,386.9000,396.3500,,,,940.0000,952.8000,34955,34966,35102,31.1364,39.1304,11.1111,19.7586,30.4584,138,288,19.7586,30.4584,-1.6410,374,386,431,,,,38014,38056,38116,
2012/07/16,381.00,381.00,352.50,353.50,-25.50,-6.7282,376.0000,392.3000,,,,382.0000,1013.7000,34961,34964,35051,17.6522,29.0810,1.4184,13.6452,24.8540,558,368,13.6452,24.8540,-8.7724,332,368,413,,,,37753,37978,38074,
2012/07/17,351.00,364.50,342.00,364.50,11.00,3.1117,372.3000,389.2500,,,,806.0000,1093.2000,34963,34960,35004,32.7321,36.7278,27.7778,18.3561,22.6880,424,304,18.3561,22.6880,9.6921,216,333,386,,,,37803,37923,38040,
2012/07/18,361.00,378.00,359.50,369.50,5.00,1.3717,368.9000,385.0000,,,,1326.0000,1120.7000,34882,34945,34966,38.8410,39.9391,35.2564,23.9895,23.1219,520,363,23.9895,23.1219,25.7248,208,301,358,,,,37927,37906,38013,
2012/07/19,361.00,368.00,353.50,358.50,-11.00,-2.977,365.0000,379.1500,,,,781.0000,992.2000,34898,34932,34951,31.3297,35.6024,23.2394,23.7395,23.3277,545,437,23.7395,23.3277,24.5630,222,270,334,,,,37949,37890,37984,
2012/07/20,358.50,371.00,356.00,364.00,5.50,1.5342,362.0000,374.4500,,,,1248.0000,951.6000,34880,34917,34942,38.4692,39.2032,33.5878,27.0223,24.5592,467,502,27.0223,24.5592,31.9483,244,244,315,,,,38101,37907,37981,
2012/07/23,361.00,365.00,356.00,363.50,-0.50,-0.1374,364.0000,370.0000,,,,1040.0000,905.9000,34859,34897,34930,38.0378,38.9870,48.3146,34.1197,27.7461,208,432,34.1197,27.7461,46.8670,232,224,296,,,,38103,37977,37978,
2012/07/24,360.00,363.50,357.00,363.50,0.00,0.00,363.8000,368.0500,384.3500,,,1040.0000,934.5000,34849,34874,34917,38.0378,38.9870,48.3146,38.8513,31.4478,122,372,38.8513,31.4478,53.6584,235,228,280,,,,38096,38036,37980,
2012/07/25,359.00,363.50,356.00,363.50,0.00,0.00,362.6000,365.7500,382.7000,,,1040.0000,940.5000,34854,34868,34907,38.0378,38.9870,55.1282,44.2770,35.7242,73,283,44.2770,35.7242,61.3825,246,236,268,,,,38112,38073,37989,
