ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2013/07/24,75.00,75.00,71.40,73.00,0.00,0.00,,,,,,0.0000,,15706,,,,,,,,3101,,,,,0,,,,,,15706,,,
2013/07/25,73.00,80.20,72.00,78.00,5.00,6.8493,,,,,,3045.0000,,15431,,,,,,,,3045,,,,,45,,,,,,15476,,,
2013/07/26,77.80,81.10,76.50,77.20,-0.80,-1.0256,,,,,,873.0000,,15387,,,,,,,,2172,,,,,65,,,,,,15452,,,
2013/07/29,77.00,77.80,73.60,74.20,-3.00,-3.886,,,,,,-196.0000,,15327,,,,,,,,1069,,,,,65,,,,,,15392,,,
2013/07/30,75.00,76.50,74.50,74.70,0.50,0.6739,75.4200,,,,,576.0000,,15304,15432,,,,,,,772,2031,,,,65,48,,,,,15369,15480,,
2013/07/31,74.70,79.90,74.70,79.90,5.20,6.9612,76.8000,,,,,2308.0000,,15192,15329,,,,,,,1732,1758,,,,20,52,,,,,15212,15381,,
2013/08/01,82.80,84.50,78.00,78.80,-1.10,-1.3767,76.9600,,,,,-147.0000,,15135,15269,,68.5897,,,,,2455,1640,,,,0,43,,,,,15135,15312,,
2013/08/02,78.10,81.80,77.10,80.30,1.50,1.9036,77.5800,,,,,1476.0000,,15127,15217,,71.8391,,,,,1623,1530,,,,20,34,,,,,15147,15251,,
2013/08/05,80.00,80.80,78.10,78.10,-2.20,-2.7397,78.3600,,,,,663.0000,,15118,15175,,60.7740,,51.1450,50.3817,50.1272,813,1479,50.3817,50.1272,50.8906,20,25,,,,,15138,15200,,
2013/08/06,78.00,80.20,77.20,80.20,2.10,2.6889,79.4600,77.4400,,,,1934.0000,1053.2000,15020,15119,15275,66.6567,,65.6000,55.4545,51.9030,1271,1578,55.4545,51.9030,62.5574,20,16,32,,,,15040,15135,15307,
2013/08/07,80.00,80.40,78.00,78.20,-2.00,-2.4938,79.1200,77.9600,,,,699.0000,1123.1000,14924,15065,15197,56.9038,,42.2018,51.0369,51.6143,1235,1479,51.0369,51.6143,49.8822,20,16,34,,,,14944,15081,15231,
2013/08/08,78.70,79.00,76.90,77.10,-1.10,-1.4066,78.7800,77.8700,,,,-27.0000,815.9000,14900,15018,15144,51.8925,,32.1101,44.7280,49.3188,726,1133,44.7280,49.3188,35.5462,20,20,32,,,,14920,15038,15175,
2013/08/09,77.00,78.10,76.00,77.90,0.80,1.0376,78.3000,77.9400,,,,640.0000,792.6000,14894,14971,15094,55.3260,59.6838,34.0000,41.1520,46.5966,667,942,41.1520,46.5966,30.2628,20,20,27,,,,14914,14991,15121,
2013/08/12,77.80,78.00,76.50,76.50,-1.40,-1.7972,77.9800,78.1700,,,,97.0000,821.9000,14894,14926,15051,48.1146,56.2860,18.3673,33.5571,42.2501,543,888,33.5571,42.2501,16.1712,20,20,22,,,,14914,14946,15073,
2013/08/13,76.50,77.00,74.50,76.80,0.30,0.3922,77.3000,78.3800,,,,908.0000,855.1000,14806,14884,15001,49.7973,56.8601,23.0000,30.0381,38.1794,811,796,30.0381,38.1794,13.7554,20,20,18,,,,14826,14904,15019,
2013/08/14,77.20,77.70,75.50,76.30,-0.50,-0.651,76.9200,78.0200,,,,482.0000,672.5000,14800,14859,14962,46.7642,55.5340,24.6575,28.2446,34.8678,426,634,28.2446,34.8678,14.9981,20,20,18,,,,14820,14879,14980,
2013/08/15,75.40,79.00,74.60,79.00,2.70,3.5387,77.3000,78.0400,,,,1241.0000,811.3000,14795,14838,14928,61.8297,60.9052,71.4286,42.6392,37.4583,759,641,42.6392,37.4583,53.0011,20,20,20,,,,14815,14858,14948,
2013/08/16,79.00,80.50,78.50,80.00,1.00,1.2658,77.7200,78.0100,,,,3645.0000,1028.2000,14585,14776,14874,66.0942,62.7245,91.6667,58.9817,44.6327,2404,988,58.9817,44.6327,87.6796,20,20,20,,,,14605,14796,14894,
