ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,34.30,34.40,33.85,33.85,0.00,0.00,,,,,,0.0000,,15,,,,,,,,347,,,,,0,,,,,,15,,,
2012/06/29,34.00,36.20,34.00,36.00,2.15,6.3516,,,,,,1673.0000,,35,,,,,,,,1673,,,,,0,,,,,,35,,,
2012/07/02,36.20,36.50,35.70,35.80,-0.20,-0.5556,,,,,,405.0000,,2,,,,,,,,1268,,,,,0,,,,,,2,,,
2012/07/03,36.65,36.70,35.70,35.80,0.00,0.00,,,,,,405.0000,,0,,,,,,,,985,,,,,0,,,,,,0,,,
2012/07/04,36.30,36.40,35.85,36.15,0.35,0.9777,35.5200,,,,,1078.0000,,4,11,,,,,,,673,989,,,,0,0,,,,,4,11,,
2012/07/05,36.30,36.65,35.80,35.80,-0.35,-0.9682,35.9100,,,,,306.0000,,0,8,,,,,,,772,1074,,,,0,0,,,,,0,8,,
2012/07/06,36.00,36.10,34.85,34.90,-0.90,-2.514,35.6900,,,,,-293.0000,,3,2,,63.2911,,,,,599,859,,,,0,0,,,,,3,2,,
2012/07/09,34.50,35.20,34.50,34.80,-0.10,-0.2865,35.4900,,,,,-586.0000,,3,2,,61.4251,,,,,293,664,,,,0,0,,,,,3,2,,
2012/07/10,35.00,35.00,34.00,34.00,-0.80,-2.2989,35.1300,,,,,-1066.0000,,0,2,,47.8744,,5.2632,35.0877,45.0292,480,563,35.0877,45.0292,15.2047,0,0,,,,,0,2,,
2012/07/11,34.00,34.60,34.00,34.50,0.50,1.4706,34.8000,35.1600,,,,-855.0000,106.7000,0,1,6,55.2744,,18.5185,29.5647,39.8744,211,471,29.5647,39.8744,8.9452,0,0,0,,,,0,1,6,
2012/07/12,34.80,34.95,34.40,34.60,0.10,0.2899,34.5600,35.2350,,,,-584.0000,48.3000,0,1,5,56.7481,,22.2222,27.1172,35.6220,271,370,27.1172,35.6220,10.1076,0,0,0,,,,0,1,5,
2012/07/13,34.50,34.60,33.85,34.10,-0.50,-1.4451,34.4000,35.0450,,,,-817.0000,-200.7000,0,1,1,47.3811,,8.7719,21.0021,30.7487,233,297,21.0021,30.7487,1.5089,0,0,0,,,,0,1,1,
2012/07/16,34.60,34.60,33.60,33.70,-0.40,-1.173,34.1800,34.8350,,,,-976.0000,-338.8000,0,0,1,40.9001,48.8189,3.2787,15.0943,25.5306,159,270,15.0943,25.5306,-5.7782,0,0,0,,,,0,0,1,
2012/07/17,33.60,33.90,33.45,33.85,0.15,0.4451,34.1500,34.6400,,,,-646.0000,-443.9000,1,0,1,44.3269,50.1047,12.5000,14.2295,21.7635,330,240,14.2295,21.7635,-0.8385,0,0,0,,,,1,0,1,
2012/07/18,33.85,33.95,33.30,33.45,-0.40,-1.1817,33.9400,34.3700,,,,-934.0000,-645.1000,0,0,1,37.3894,46.6923,5.3571,11.2721,18.2664,288,256,11.2721,18.2664,-2.7166,0,0,0,,,,0,0,1,
2012/07/19,33.90,34.30,33.65,34.10,0.65,1.9432,33.8400,34.2000,,,,-623.0000,-738.0000,11,2,2,52.0296,52.4349,42.1053,21.5498,19.3609,311,264,21.5498,19.3609,25.9277,0,0,0,,,,11,2,2,
2012/07/20,34.10,35.25,34.10,34.85,0.75,2.1994,33.9900,34.1950,,,,-128.0000,-721.5000,3,3,2,63.7621,58.1145,79.4872,40.8623,26.5280,495,316,40.8623,26.5280,69.5308,28,6,3,,,,31,9,5,
2012/07/23,34.75,34.75,34.15,34.35,-0.50,-1.4347,34.1200,34.1500,,,,-312.0000,-694.1000,0,3,2,53.3278,53.4710,53.8462,45.1902,32.7487,184,321,45.1902,32.7487,70.0732,31,12,6,,,,31,15,7,
2012/07/24,34.10,34.70,34.10,34.45,0.10,0.2911,34.2400,34.1950,,,,-86.0000,-596.1000,0,3,2,55.0916,54.2683,58.9744,49.7849,38.4275,226,300,49.7849,38.4275,72.4999,35,19,9,,,,35,22,11,
2012/07/25,34.25,35.00,34.25,34.65,0.20,0.5806,34.4800,34.2100,34.6850,,,240.0000,-486.6000,2,3,2,58.8259,55.9163,69.2308,56.2669,44.3739,326,308,56.2669,44.3739,80.0528,0,19,9,,,,2,22,11,
