ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,47.70,48.40,47.15,47.70,0.00,0.00,,,,,,0.0000,,2821,,,,,,,,612,,,,,0,,,,,,8492,,,
2012/06/29,47.50,50.20,47.50,49.20,1.50,3.1447,,,,,,894.0000,,2820,,,,,,,,894,,,,,0,,,,,,8750,,,
2012/07/02,51.50,51.50,49.50,49.50,0.30,0.6098,,,,,,1652.0000,,2811,,,,,,,,758,,,,,93,,,,,,8630,,,
2012/07/03,49.50,50.50,48.50,49.90,0.40,0.8081,,,,,,2097.0000,,2827,,,,,,,,445,,,,,101,,,,,,8740,,,
2012/07/04,51.00,51.00,49.90,50.00,0.10,0.2004,49.2600,,,,,2841.0000,,2831,2823,,,,,,,744,690,,,,146,68,,,,,8869,8697,,
2012/07/05,50.60,51.00,49.80,50.00,0.00,0.00,49.7200,,,,,2841.0000,,2820,2823,,,,,,,499,668,,,,171,102,,,,,8913,8781,,
2012/07/06,50.40,50.50,48.30,49.50,-0.50,-1.00,49.7800,,,,,2542.0000,,2815,2822,,82.1429,,,,,299,549,,,,183,139,,,,,8920,8815,,
2012/07/09,50.00,50.80,49.50,50.00,0.50,1.0101,49.8800,,,,,3286.0000,,2821,2824,,85.2941,,,,,744,546,,,,0,120,,,,,8765,8842,,
2012/07/10,50.50,50.60,47.85,48.20,-1.80,-3.60,49.5400,,,,,2700.0000,,2809,2820,,48.3979,,24.1379,41.3793,47.1264,586,574,41.3793,47.1264,29.8851,0,100,,,,,8728,8840,,
2012/07/11,48.20,49.40,48.00,49.30,1.10,2.2822,49.4000,49.3300,,,,3255.0000,2210.8000,2814,2817,2820,60.8251,,45.0000,42.5862,45.6130,555,536,42.5862,45.6130,36.5326,191,109,88,,,,8979,8862,8779,
