ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,27.40,27.50,26.15,26.40,0.00,0.00,,,,,,0.0000,,59034,,,,,,,,9899,,,,,0,,,,,,86778,,,
2012/06/29,26.20,27.10,26.20,26.90,0.50,1.8939,,,,,,4753.0000,,59581,,,,,,,,4753,,,,,420,,,,,,87151,,,
2012/07/02,27.20,28.00,27.15,28.00,1.10,4.0892,,,,,,10491.0000,,59923,,,,,,,,5738,,,,,555,,,,,,93678,,,
2012/07/03,28.00,28.30,27.70,28.05,0.05,0.1786,,,,,,13915.0000,,59842,,,,,,,,3424,,,,,722,,,,,,93764,,,
2012/07/04,28.05,28.35,27.90,28.05,0.00,0.00,27.4800,,,,,13915.0000,,59396,59556,,,,,,,3298,5422,,,,799,499,,,,,92994,90874,,
2012/07/05,28.05,28.45,27.95,28.35,0.30,1.0695,27.8700,,,,,17779.0000,,59372,59623,,,,,,,3864,4215,,,,729,645,,,,,93279,92174,,
2012/07/06,28.50,28.90,28.35,28.65,0.30,1.0582,28.2200,,,,,23491.0000,,60866,59880,,100.0000,,,,,5712,4407,,,,169,595,,,,,94160,93575,,
2012/07/09,28.75,29.20,28.65,29.00,0.35,1.2216,28.4200,,,,,27793.0000,,62813,60458,,100.0000,,,,,4302,4120,,,,0,484,,,,,95688,93977,,
2012/07/10,29.00,29.45,28.90,29.25,0.25,0.8621,28.6600,,,,,36447.0000,,67903,62071,,100.0000,,93.9394,64.6465,54.8822,8654,5166,64.6465,54.8822,84.1751,0,339,,,,,100936,95412,,
2012/07/11,29.50,31.25,29.40,31.00,1.75,5.9829,29.2500,28.3650,,,,51302.0000,19988.6000,76280,65447,62502,100.0000,,95.0495,74.7808,61.5150,14855,7477,74.7808,61.5150,101.3124,876,355,427,,,,110189,98851,94862,
2012/07/12,30.90,31.25,30.10,30.20,-0.80,-2.5806,29.6200,28.7450,,,,45673.0000,24555.9000,76101,68793,64208,78.4921,,74.3902,74.6506,65.8936,5629,7830,74.6506,65.8936,92.1647,1090,427,536,,,,109544,102104,97139,
2012/07/13,29.80,30.30,29.80,29.80,-0.40,-1.3245,29.8500,29.0350,,,,42237.0000,28304.3000,75782,71776,65828,69.5206,,59.1549,69.4854,67.0908,3436,7375,69.4854,67.0908,74.2745,1622,718,656,,,,109707,105213,99394,
2012/07/16,30.05,30.35,29.80,29.80,0.00,0.00,30.0100,29.2150,,,,42237.0000,31478.9000,75732,74360,67409,69.5206,79.3103,56.7164,65.2291,66.4703,2170,6948,65.2291,66.4703,62.7467,1798,1077,780,,,,109833,108042,101010,
2012/07/17,29.80,30.15,29.10,29.75,-0.05,-0.1678,30.1100,29.3850,,,,39994.0000,34086.8000,75681,75916,68993,68.1192,78.5714,54.5455,61.6679,64.8695,2243,5666,61.6679,64.8695,55.2647,1951,1467,903,,,,109910,109837,102624,
2012/07/18,29.80,30.00,29.60,29.70,-0.05,-0.1681,29.8500,29.5500,,,,38767.0000,36572.0000,75626,75785,70616,66.5102,77.7809,46.5517,56.6291,62.1227,1227,2941,56.6291,62.1227,45.6421,2106,1713,1034,,,,109931,109785,104318,
2012/07/19,29.95,30.55,29.95,30.35,0.65,2.1886,29.8800,29.7500,,,,42443.0000,39038.4000,75145,75594,72193,75.5274,80.5554,65.3846,59.5476,61.2643,3676,2550,59.5476,61.2643,56.1142,2638,2023,1225,,,,109981,109873,105988,
2012/07/20,30.55,30.85,30.10,30.10,-0.25,-0.8237,29.9400,29.8950,,,,39619.0000,40651.2000,74765,75390,73583,67.1791,76.5449,51.0638,56.7197,59.7495,2824,2428,56.7197,59.7495,50.6602,2724,2243,1481,,,,109861,109904,107558,
2012/07/23,29.70,30.20,28.85,28.90,-1.20,-3.9867,29.7600,29.8850,,,,35307.0000,41402.6000,74277,75099,74730,41.0461,60.7165,2.0833,38.5076,52.6688,4312,2856,38.5076,52.6688,10.1851,2572,2398,1738,,,,108821,109701,108872,
2012/07/24,28.80,29.20,28.10,28.20,-0.70,-2.4221,29.4500,29.7800,,,,30521.0000,40810.0000,73270,74617,75267,32.2612,53.6558,3.1746,26.7299,44.0225,4786,3365,26.7299,44.0225,-7.8553,2520,2512,1990,,,,106230,108965,109401,
2012/07/25,28.00,28.40,27.90,28.00,-0.20,-0.7092,29.1100,29.4800,28.9225,,,26501.0000,38329.9000,72970,74086,74936,30.0557,51.7791,3.3898,18.9499,35.6650,4020,3923,18.9499,35.6650,-14.4803,2332,2558,2135,,,,104876,107954,108870,
2012/07/26,28.00,28.95,28.00,28.75,0.75,2.6786,28.7900,29.3350,29.0400,,,30492.0000,36811.8000,72353,73528,74561,46.5108,57.8153,28.8136,22.2378,31.1892,3991,3986,22.2378,31.1892,4.3348,2418,2514,2268,,,,104848,106928,108400,
2012/07/27,29.00,29.15,28.80,28.80,0.05,0.1739,28.5300,29.2350,29.1350,,,34061.0000,35994.2000,71194,72814,74102,47.4990,58.1959,30.5085,24.9947,29.1244,3569,4135,24.9947,29.1244,16.7353,2304,2430,2337,,,,103641,105684,107794,
2012/07/30,29.10,29.20,28.80,28.90,0.10,0.3472,28.5300,29.1450,29.1800,,,36879.0000,35458.4000,70731,72104,73602,49.7278,59.0029,33.8983,27.9626,28.7371,2818,3836,27.9626,28.7371,26.4134,2386,2392,2395,,,,103060,104531,107116,
2012/07/31,29.10,29.10,28.70,29.00,0.10,0.346,28.6900,29.0700,29.2275,,,39405.0000,35399.5000,70272,71505,73061,52.1647,59.8485,37.2881,31.0711,29.5151,2526,3384,31.0711,29.5151,34.1830,2315,2351,2432,,,,103371,103960,106462,
2012/08/01,29.00,30.20,28.75,29.90,0.90,3.1034,29.0700,29.0900,29.3200,,,46026.0000,36125.4000,69641,70839,72463,68.6022,66.6099,67.7966,43.3129,34.1144,6621,3905,43.3129,34.1144,61.7100,3457,2576,2567,,,,104880,103960,105957,
2012/08/03,27.60,28.25,27.50,27.90,-2.00,-6.689,28.9000,28.8450,29.2975,,,37099.0000,35591.0000,68731,70115,71821,35.7986,47.3003,14.8148,33.8136,34.0141,8927,4892,33.8136,34.0141,33.4125,2862,2665,2589,,-0.0311,,104174,103826,105377,
2012/08/06,28.25,28.70,28.05,28.25,0.35,1.2545,28.7900,28.6600,29.2775,,,42182.0000,35847.3000,68891,69654,71234,41.6571,50.0639,27.7778,31.8016,33.2766,5083,5195,31.8016,33.2766,28.8517,2533,2711,2570,,-0.0802,,105006,104099,104891,
2012/08/07,28.60,29.50,28.25,28.80,0.55,1.9469,28.7700,28.6500,29.2675,,,51746.0000,37491.2000,68432,69194,70649,50.2227,54.1828,48.1481,37.2505,34.6012,9564,6544,37.2505,34.6012,42.5489,2753,2784,2588,,-0.0738,,106048,104696,104614,
2012/08/08,29.10,29.50,29.00,29.20,0.40,1.3889,28.8100,28.7500,29.2650,,,57176.0000,40156.7000,68628,68865,70185,55.8762,56.9969,62.9630,45.8213,38.3413,5430,7125,45.8213,38.3413,60.7814,1975,2716,2534,,-0.0361,,106020,105226,104593,
2012/08/09,29.20,29.75,29.20,29.40,0.20,0.6849,28.7100,28.8900,29.1850,,,61305.0000,43637.1000,68558,68649,69744,58.6912,58.3909,70.3704,54.0043,43.5623,4129,6626,54.0043,43.5623,74.8884,1805,2386,2481,,0.0098,,106613,105573,104766,
2012/08/10,29.20,29.40,29.05,29.05,-0.35,-1.1905,28.9400,28.9200,29.1275,,,58298.0000,46417.7000,68665,68636,69375,51.7570,54.9879,57.4074,55.1387,47.4211,3007,5442,55.1387,47.4211,70.5739,1967,2207,2436,,0.0178,,107282,106194,105010,
2012/08/13,29.20,29.85,29.15,29.65,0.60,2.0654,29.2200,29.0050,29.1200,,,62219.0000,49233.5000,69487,68755,69204,61.1897,59.4117,79.6296,63.3023,52.7148,3921,5210,63.3023,52.7148,84.4773,2431,2187,2449,,0.0717,,108175,106828,105463,
2012/08/14,29.75,29.95,29.20,29.30,-0.35,-1.1804,29.3200,29.0450,29.0950,,,59979.0000,51543.5000,69725,69013,69104,53.8231,55.9147,66.6667,64.4238,56.6178,2240,3745,64.4238,56.6178,80.0357,2159,2068,2426,,0.0851,,108141,107247,105971,
2012/08/15,29.25,29.50,29.25,29.40,0.10,0.3413,29.3600,29.0850,29.0775,,,61188.0000,53721.8000,69874,69263,69064,55.6535,56.7089,77.5510,68.7995,60.6784,1209,2901,68.7995,60.6784,85.0418,2037,2080,2398,0.1908,0.1027,0.0073,108168,107676,106451,
2012/08/16,29.35,29.80,29.15,29.20,-0.20,-0.6803,29.3200,29.0150,29.0525,,,57192.0000,54838.4000,68774,69306,68977,50.8188,54.5642,60.5263,66.0418,62.4662,3996,2874,66.0418,62.4662,73.1930,2308,2181,2283,0.1473,0.0994,0.0257,107468,107847,106710,
2012/08/17,29.20,29.70,29.15,29.30,0.10,0.3425,29.3700,29.1550,29.0000,,,59574.0000,57085.9000,71796,69932,69284,53.2553,55.4825,61.7647,64.6161,63.1828,2382,2749,64.6161,63.1828,67.4826,2407,2269,2238,0.1245,0.1036,0.0413,110809,108553,107373,
2012/08/20,29.30,29.80,29.25,29.40,0.10,0.3413,29.3200,29.2700,28.9650,,,61975.0000,59065.2000,71744,70383,69569,55.8783,56.4430,42.1053,57.1125,61.1594,2401,2445,57.1125,61.1594,49.0187,2578,2298,2242,0.1158,0.1137,0.0558,110928,109103,107966,
2012/08/21,29.50,29.70,29.30,29.35,-0.05,-0.1701,29.3300,29.3250,28.9875,,,60215.0000,59912.1000,71878,70814,69914,54.0583,55.7865,33.3333,49.1861,57.1683,1760,2349,49.1861,57.1683,33.2217,2299,2326,2197,0.0968,0.1163,0.0679,110783,109631,108439,
2012/08/22,29.25,29.70,29.25,29.30,-0.05,-0.1704,29.3100,29.3350,29.0425,,,57447.0000,59939.2000,71576,71154,70208,52.0248,55.0875,27.7778,42.0500,52.1289,2768,2661,42.0500,52.1289,21.8923,2234,2365,2223,0.0723,0.1130,0.0769,110415,110081,108879,
2012/08/23,29.30,29.35,28.80,28.85,-0.45,-1.5358,29.2400,29.2800,29.0850,,,54515.0000,59260.2000,71561,71712,70509,36.9956,49.0534,4.3478,29.4826,44.5801,2932,2448,29.4826,44.5801,-0.7124,2353,2374,2278,-0.0058,0.0733,0.0762,110069,110601,109224,
2012/08/24,28.65,28.70,28.05,28.40,-0.45,-1.5598,29.0600,29.2150,29.0675,,,50244.0000,58454.8000,70625,71477,70705,27.4720,43.8174,18.4211,25.7954,38.3185,4271,2826,25.7954,38.3185,0.7492,2250,2343,2306,-0.1132,0.0054,0.0620,108938,110227,109390,
2012/08/27,28.40,28.65,28.15,28.60,0.20,0.7042,28.9000,29.1100,29.0575,,,52947.0000,57527.6000,70294,71187,70785,36.2275,46.5819,31.4286,27.6731,34.7701,2703,2886,27.6731,34.7701,13.4793,2243,2276,2287,-0.1502,-0.0318,0.0433,108633,109768,109436,
2012/08/28,28.80,29.55,28.80,28.90,0.30,1.049,28.8100,29.0700,29.0575,,,59740.0000,57503.7000,69310,70674,70744,47.6113,50.5626,48.5714,34.6392,34.7265,6793,3893,34.6392,34.7265,34.4648,2398,2296,2311,-0.1280,-0.0368,0.0273,109860,109584,109608,
2012/08/29,29.10,29.35,28.95,29.05,0.15,0.519,28.7600,29.0350,29.0600,,,62133.0000,57598.2000,69374,70233,70694,52.6795,52.4936,57.1429,42.1404,37.1978,2393,3818,42.1404,37.1978,52.0258,2288,2307,2336,-0.0888,-0.0282,0.0162,109756,109452,109766,
2012/08/30,29.15,29.20,28.70,28.80,-0.25,-0.8606,28.7500,28.9950,29.0050,,,59851.0000,57864.1000,69005,69722,70717,44.1392,49.0128,42.8571,42.3793,38.9250,2282,3688,42.3793,38.9250,49.2881,2192,2274,2324,-0.0917,-0.0412,0.0047,109291,109296,109949,
2012/08/31,28.60,28.80,28.40,28.45,-0.35,-1.2153,28.7600,28.9100,29.0325,,,57652.0000,57671.9000,68712,69339,70408,34.6909,44.5057,24.2424,36.3337,38.0612,2199,3274,36.3337,38.0612,32.8787,2165,2257,2300,-0.1335,-0.0787,-0.0120,108970,109303,109765,
2012/09/03,28.45,28.45,27.85,27.95,-0.50,-1.7575,28.6300,28.7650,29.0175,,,52393.0000,56713.7000,67016,68684,69936,25.3783,38.9271,5.4054,26.0243,34.0489,5259,3785,26.0243,34.0489,9.9750,2129,2234,2255,-0.2163,-0.1472,-0.0390,106961,108968,109368,
