ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2007/09/20,27.65,30.30,27.65,29.70,0.00,0.00,,,,,,0.0000,,181,,,,,,,,133,,,,,0,,,,,,181,,,
2007/09/21,29.70,30.30,29.00,29.00,-0.70,-2.3569,,,,,,-41.0000,,181,,,,,,,,41,,,,,0,,,,,,181,,,
2007/09/26,27.00,29.80,27.00,29.80,0.80,2.7586,,,,,,-20.0000,,181,,,,,,,,21,,,,,0,,,,,,181,,,
2007/09/27,27.80,31.80,27.80,31.80,2.00,6.7114,,,,,,36.0000,,181,,,,,,,,56,,,,,0,,,,,,181,,,
2007/09/28,34.00,34.00,32.00,34.00,2.20,6.9182,30.8600,,,,,147.0000,,181,181,,,,,,,111,72,,,,0,0,,,,,181,181,,
2007/09/29,34.00,35.00,32.00,33.90,-0.10,-0.2941,31.7000,,,,,72.0000,,181,181,,,,,,,75,60,,,,0,0,,,,,181,181,,
2007/10/01,33.90,34.80,32.10,33.90,0.00,0.00,32.6800,,,,,72.0000,,181,181,,86.2069,,,,,32,59,,,,0,0,,,,,181,181,,
2007/10/02,33.90,34.00,32.20,33.90,0.00,0.00,33.5000,,,,,72.0000,,181,181,,86.2069,,,,,13,57,,,,0,0,,,,,181,181,,
2007/10/03,33.50,33.50,32.20,33.50,-0.40,-1.1799,33.8400,,,,,61.0000,,181,181,,78.4191,,81.2500,60.4167,53.4722,11,48,60.4167,53.4722,74.3056,0,0,,,,,181,181,,
2007/10/04,31.30,33.30,31.30,33.25,-0.25,-0.7463,33.6900,32.2750,,,,48.0000,44.7000,181,181,181,73.4430,,78.1250,66.3194,57.7546,13,28,66.3194,57.7546,83.4491,0,0,0,,,,181,181,181,
2007/10/05,33.25,33.25,31.50,31.50,-1.75,-5.2632,33.2100,32.4550,,,,26.0000,47.3000,181,181,181,47.9074,,56.2500,62.9630,59.4907,22,18,62.9630,59.4907,69.9074,0,0,0,,,,181,181,181,
2007/10/08,31.00,31.00,29.30,30.90,-0.60,-1.9048,32.6100,32.6450,,,,15.0000,52.9000,181,181,181,41.9119,,43.0556,56.3272,58.4362,11,14,56.3272,58.4362,52.1091,0,0,0,,,,181,181,181,
2007/10/09,32.80,33.00,32.50,32.50,1.60,5.178,32.3300,32.9150,,,,29.0000,57.8000,181,181,181,58.5225,63.4615,56.1404,56.2649,57.7124,14,14,56.2649,57.7124,53.3698,0,0,0,,,,181,181,181,
2007/10/11,34.75,34.75,30.60,33.50,1.00,3.0769,32.3300,33.0850,,,,48.0000,59.0000,193,183,182,65.8472,66.9304,73.6842,62.0713,59.1654,19,15,62.0713,59.1654,67.8832,0,0,0,,,,193,183,182,
2007/10/12,33.00,33.50,32.35,32.35,-1.15,-3.4328,32.1500,32.9200,,,,36.0000,47.9000,193,186,183,52.9446,59.8072,55.4545,59.8657,59.3988,12,15,59.8657,59.3988,60.7995,0,0,0,,,,193,186,183,
2007/10/15,32.30,32.30,30.50,31.80,-0.55,-1.7002,32.2100,32.7100,,,,17.0000,42.4000,193,188,185,47.5925,56.6610,45.8716,55.2010,57.9996,19,15,55.2010,57.9996,49.6039,0,0,0,,,,193,188,185,
