ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/04/17,19.80,19.80,18.50,18.50,0.00,0.00,,,,,,0.0000,,15847,,,,,,,,20,,,,,0,,,,,,15847,,,
2012/04/18,19.00,19.00,19.00,19.00,0.50,2.7027,,,,,,5.0000,,15847,,,,,,,,5,,,,,0,,,,,,15847,,,
2012/04/19,18.60,18.60,18.50,18.50,-0.50,-2.6316,,,,,,-7.0000,,15847,,,,,,,,12,,,,,0,,,,,,15847,,,
2012/04/20,18.90,19.00,18.60,19.00,0.50,2.7027,,,,,,7.0000,,15847,,,,,,,,14,,,,,0,,,,,,15847,,,
2012/04/23,18.60,19.00,17.80,19.00,0.00,0.00,18.8000,,,,,7.0000,,15847,15848,,,,,,,86,27,,,,0,0,,,,,15847,15848,,
2012/04/24,19.00,20.00,19.00,20.00,1.00,5.2632,19.1000,,,,,30.0000,,15847,15848,,,,,,,23,28,,,,0,0,,,,,15847,15848,,
2012/04/25,20.00,20.00,19.80,20.00,0.00,0.00,19.3000,,,,,30.0000,,15852,15849,,80.0000,,,,,16,30,,,,0,0,,,,,15852,15849,,
2012/04/26,19.50,20.00,19.50,20.00,0.00,0.00,19.6000,,,,,30.0000,,15852,15850,,80.0000,,,,,110,49,,,,0,0,,,,,15852,15850,,
2012/04/27,19.70,20.50,19.70,20.50,0.50,2.50,19.9000,,,,,38.0000,,15852,15851,,84.4720,,100.0000,66.6667,55.5556,8,48,66.6667,55.5556,88.8889,0,0,,,,,15852,15851,,
2012/04/30,20.80,21.20,20.50,21.20,0.70,3.4146,20.3400,19.5700,,,,113.0000,25.3000,15852,15852,15850,88.7123,,100.0000,77.7778,62.9630,75,46,77.7778,62.9630,107.4074,0,0,0,,,,15852,15852,15850,
2012/05/02,21.00,21.00,20.90,20.90,-0.30,-1.4151,20.5200,19.8100,,,,106.0000,35.9000,15852,15853,15850,77.7880,,91.1765,82.2440,69.3900,7,43,82.2440,69.3900,107.9521,0,0,0,,,,15852,15853,15850,
2012/05/03,20.60,20.60,20.20,20.20,-0.70,-3.3493,20.5600,19.9300,,,,77.0000,43.1000,15867,15856,15852,57.8435,,70.5882,78.3588,72.3796,29,45,78.3588,72.3796,90.3171,0,0,0,,,,15867,15856,15852,
2012/05/04,21.00,21.00,20.00,20.80,0.60,2.9703,20.7200,20.1600,,,,146.0000,58.4000,15867,15859,15854,66.6410,71.6981,88.2353,81.6509,75.4700,69,37,81.6509,75.4700,94.0127,0,0,0,,,,15867,15859,15854,
2012/05/07,20.00,20.95,20.00,20.95,0.15,0.7212,20.8100,20.3550,,,,173.0000,75.0000,15867,15862,15856,68.6064,72.5458,88.6364,83.9794,78.3065,27,41,83.9794,78.3065,95.3253,0,0,0,,,,15867,15862,15856,
2012/05/08,20.30,20.70,20.10,20.70,-0.25,-1.1933,20.7100,20.5250,,,,138.0000,88.1000,15867,15865,15858,61.3744,68.7993,70.5882,79.5157,78.7096,35,33,79.5157,78.7096,81.1280,0,0,0,,,,15867,15865,15858,
2012/05/09,20.30,20.30,20.00,20.30,-0.40,-1.9324,20.5900,20.5550,,,,109.0000,96.0000,15867,15868,15860,51.0435,63.1105,47.0588,68.6967,75.3719,29,37,68.6967,75.3719,55.3463,0,0,0,,,,15867,15868,15860,
2012/05/10,19.90,20.30,19.90,20.30,0.00,0.00,20.6100,20.5850,,,,109.0000,103.9000,15867,15868,15862,51.0435,63.1105,40.0000,59.1312,69.9583,5,33,59.1312,69.9583,37.4768,0,0,0,,,,15867,15868,15862,
2012/05/11,20.50,20.60,20.30,20.30,0.00,0.00,20.5100,20.6150,,,,109.0000,111.8000,15867,15868,15863,51.0435,63.1105,30.7692,49.6772,63.1980,53,29,49.6772,63.1980,22.6356,0,0,0,,,,15867,15868,15863,
2012/05/14,20.60,20.60,20.60,20.60,0.30,1.4778,20.4400,20.6250,,,,111.0000,119.1000,15867,15868,15865,59.8108,65.8593,63.6364,54.3302,60.2421,2,24,54.3302,60.2421,42.5066,0,0,0,,,,15867,15868,15865,
2012/05/15,20.10,20.50,20.00,20.00,-0.60,-2.9126,20.3000,20.5050,20.0375,,,99.0000,117.7000,15867,15868,15866,41.8316,56.6496,9.0909,39.2505,53.2449,12,20,39.2505,53.2449,11.2617,0,0,0,,,,15867,15868,15866,
2012/05/16,19.50,20.00,19.50,20.00,0.00,0.00,20.2400,20.4150,20.1125,,,99.0000,117.0000,15867,15868,15868,41.8316,56.6496,33.3333,37.2781,47.9226,14,17,37.2781,47.9226,15.9891,0,0,0,,,,15867,15868,15868,
2012/05/17,20.00,20.00,20.00,20.00,0.00,0.00,20.1800,20.3950,20.1625,,,99.0000,119.2000,15867,15868,15868,41.8316,56.6496,34.4828,36.3463,44.0638,1,16,36.3463,44.0638,20.9113,0,0,0,,,,15867,15868,15868,
2012/05/21,20.00,21.20,20.00,21.20,1.20,6.00,20.3600,20.4350,20.2975,,,133.0000,117.9000,15867,15868,15868,71.4704,68.1971,100.0000,57.5642,48.5640,34,12,57.5642,48.5640,75.5647,0,0,0,,,,15867,15868,15868,
2012/05/22,21.00,21.90,21.00,21.20,0.00,0.00,20.4800,20.4600,20.4075,,,133.0000,113.9000,15867,15868,15868,71.4704,68.1971,70.8333,61.9872,53.0384,21,16,61.9872,53.0384,79.8850,0,0,0,,,,15867,15868,15868,
2012/05/23,20.40,20.40,20.30,20.30,-0.90,-4.2453,20.5400,20.4200,20.4725,,,131.0000,113.2000,15867,15868,15868,46.1011,55.0973,33.3333,52.4359,52.8376,2,14,52.4359,52.8376,51.6327,0,0,0,,,,15867,15868,15868,
2012/05/24,20.20,20.20,20.00,20.00,-0.30,-1.4778,20.5400,20.3900,20.4725,,,127.0000,115.0000,15867,15868,15868,40.3693,51.5000,20.8333,41.9017,49.1923,4,12,41.9017,49.1923,27.3206,0,0,0,,0.2857,,15867,15868,15868,
2012/05/25,20.00,20.20,20.00,20.20,0.20,1.00,20.5800,20.3800,20.4825,,,132.0000,117.3000,15867,15868,15868,45.7639,53.6986,29.1667,37.6567,45.3471,5,13,37.6567,45.3471,22.2759,0,0,0,,0.2516,,15867,15868,15868,
2012/05/28,20.20,20.20,20.00,20.00,-0.20,-0.9901,20.3400,20.3500,20.4825,,,106.0000,117.0000,15867,15868,15868,41.2823,51.1682,20.8333,32.0489,40.9144,26,11,32.0489,40.9144,14.3180,0,0,0,,0.2061,,15867,15868,15868,
2012/05/29,19.80,20.00,19.80,20.00,0.00,0.00,20.1000,20.2900,20.4575,,,106.0000,116.5000,15867,15868,15868,41.2823,51.1682,20.8333,28.3104,36.7130,8,9,28.3104,36.7130,11.5051,0,0,0,,0.1680,,15867,15868,15868,
2012/05/30,20.00,20.15,19.80,20.15,0.15,0.75,20.0700,20.3050,20.4050,,,115.0000,118.1000,15867,15868,15868,46.8985,53.1391,16.6667,24.4292,32.6184,9,10,24.4292,32.6184,8.0506,0,0,0,,0.1483,,15867,15868,15868,
2012/05/31,19.85,19.85,19.85,19.85,-0.30,-1.4888,20.0400,20.2900,20.3525,,,114.0000,119.6000,15867,15868,15868,38.1427,48.8384,2.3810,17.0798,27.4389,1,9,17.0798,27.4389,-3.6385,0,0,0,,0.1072,,15867,15868,15868,
2012/06/01,19.85,20.00,19.85,20.00,0.15,0.7557,20.0000,20.2900,20.3425,,,116.0000,121.3000,15867,15868,15868,44.3738,51.0014,9.5238,14.5611,23.1463,2,9,14.5611,23.1463,-2.6092,0,0,0,,0.0858,,15867,15868,15868,
2012/06/04,20.00,20.00,19.00,19.00,-1.00,-5.00,19.8000,20.0700,20.2525,,,99.0000,117.9000,15867,15868,15868,24.5719,39.0072,0.0000,9.7074,18.6667,17,7,9.7074,18.6667,-8.2111,0,0,0,,-0.0118,,15867,15868,15868,
2012/06/05,19.70,19.70,19.30,19.30,0.30,1.5789,19.6600,19.8800,20.1700,,,104.0000,115.0000,15867,15868,15868,35.0123,43.3661,25.0000,14.8049,17.3794,5,6,14.8049,17.3794,9.6560,0,0,0,-0.3898,-0.0642,0.1307,15867,15868,15868,
2012/06/06,19.75,19.75,19.75,19.75,0.45,2.3316,19.5800,19.8250,20.1225,,,105.0000,112.4000,15867,15868,15868,47.9742,49.2957,62.5000,30.7033,21.8207,1,5,30.7033,21.8207,48.4685,0,0,0,-0.3189,-0.0686,0.0909,15867,15868,15868,
