ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/12/01,16.85,17.00,16.85,17.00,0.00,0.00,,,,,,0.0000,,65,,,,,,,,14,,,,,0,,,,,,65,,,
2011/12/02,16.55,16.95,16.55,16.90,-0.10,-0.5882,,,,,,-11.0000,,65,,,,,,,,11,,,,,0,,,,,,65,,,
2011/12/05,16.60,16.80,16.60,16.80,-0.10,-0.5917,,,,,,-21.0000,,65,,,,,,,,10,,,,,0,,,,,,65,,,
2011/12/06,16.60,16.70,16.50,16.70,-0.10,-0.5952,,,,,,-32.0000,,65,,,,,,,,11,,,,,0,,,,,,65,,,
2011/12/07,16.75,16.75,16.50,16.70,0.00,0.00,16.8200,,,,,-32.0000,,65,66,,,,,,,3,9,,,,0,0,,,,,65,66,,
2011/12/08,16.75,16.75,16.30,16.65,-0.05,-0.2994,16.7500,,,,,-36.0000,,65,66,,,,,,,4,7,,,,0,0,,,,,65,66,,
2011/12/09,16.30,16.60,16.25,16.60,-0.05,-0.3003,16.6900,,,,,-51.0000,,65,66,,0.0000,,,,,15,8,,,,0,0,,,,,65,66,,
2011/12/12,16.00,16.50,16.00,16.10,-0.50,-3.012,16.5500,,,,,-86.0000,,65,66,,0.0000,,,,,35,13,,,,0,0,,,,,65,66,,
2011/12/13,16.75,16.75,16.10,16.70,0.60,3.7267,16.5500,,,,,-81.0000,,65,66,,46.3519,,70.0000,56.6667,52.2222,5,12,56.6667,52.2222,65.5556,0,0,,,,,65,66,,
2011/12/14,16.70,16.70,16.70,16.70,0.00,0.00,16.5500,16.6850,,,,-81.0000,-43.1000,65,66,66,46.3519,,73.6842,62.3392,55.5945,1,12,62.3392,55.5945,75.8285,0,0,0,,,,65,66,66,
2011/12/15,16.65,16.65,16.30,16.55,-0.15,-0.8982,16.5300,16.6400,,,,-93.0000,-52.4000,65,66,66,39.7234,,68.7500,64.4761,58.5551,12,13,64.4761,58.5551,76.3182,0,0,0,,,,65,66,66,
2011/12/16,16.20,16.50,16.20,16.50,-0.05,-0.3021,16.5100,16.6000,,,,-96.0000,-60.9000,65,66,66,37.5741,,66.6667,65.2063,60.7721,3,11,65.2063,60.7721,74.0746,0,0,0,,,,65,66,66,
2011/12/19,16.20,16.45,15.70,16.45,-0.05,-0.303,16.5800,16.5650,,,,-129.0000,-71.7000,65,66,66,35.2832,34.2857,71.4286,67.2804,62.9416,33,10,67.2804,62.9416,75.9581,0,0,0,,,,65,66,66,
2011/12/20,16.15,16.40,15.95,16.40,-0.05,-0.304,16.5200,16.5350,,,,-153.0000,-83.8000,65,66,66,32.8778,33.2494,66.6667,67.0758,64.3196,24,14,67.0758,64.3196,72.5882,0,0,0,,,,65,66,66,
2011/12/21,16.60,16.95,16.50,16.65,0.25,1.5244,16.5100,16.5300,,,,-119.0000,-92.5000,65,66,66,52.3636,42.6971,76.0000,70.0505,66.2299,34,21,70.0505,66.2299,77.6917,0,0,0,,,,65,66,66,
2011/12/22,16.75,16.75,16.75,16.75,0.10,0.6006,16.5500,16.5400,,,,-118.0000,-100.7000,65,66,66,58.1897,46.0303,84.0000,74.7004,69.0534,1,19,74.7004,69.0534,85.9943,0,0,0,,,,65,66,66,
2011/12/23,16.20,16.70,16.20,16.70,-0.05,-0.2985,16.5900,16.5500,,,,-181.0000,-113.7000,65,66,66,54.2115,44.6148,80.0000,76.4669,71.5246,63,31,76.4669,71.5246,86.3516,0,0,0,,,,65,66,66,
2011/12/26,16.75,16.75,16.55,16.65,-0.05,-0.2994,16.6300,16.6050,,,,-262.0000,-131.3000,65,66,66,50.1013,43.1666,76.0000,76.3113,73.1201,81,40,76.3113,73.1201,82.6935,0,0,0,,,,65,66,66,
2011/12/27,17.15,17.15,16.65,16.80,0.15,0.9009,16.7100,16.6150,,,,-183.0000,-141.5000,65,66,66,60.8006,48.6243,75.8621,76.1615,74.1339,79,51,76.1615,74.1339,80.2167,0,0,0,,,,65,66,66,
2011/12/28,17.10,17.10,17.10,17.10,0.30,1.7857,16.8000,16.6550,16.6700,,,-182.0000,-151.6000,65,66,66,74.1191,57.5239,96.5517,82.9583,77.0754,1,45,82.9583,77.0754,94.7240,0,0,0,,,,65,66,66,
2011/12/29,17.05,17.05,16.80,16.80,-0.30,-1.7544,16.8100,16.6800,16.6600,,,-184.0000,-160.7000,65,66,66,52.6520,48.3811,75.8621,80.5929,78.2479,2,45,80.5929,78.2479,85.2828,0,0,0,,,,65,66,66,
2011/12/30,17.05,17.05,16.50,16.50,-0.30,-1.7857,16.7700,16.6800,16.6400,,,-190.0000,-170.1000,65,66,66,39.0723,41.2320,45.8333,69.0064,75.1674,6,33,69.0064,75.1674,56.6843,0,0,0,,,,65,66,66,
2012/01/02,16.95,16.95,16.95,16.95,0.45,2.7273,16.8300,16.7300,16.6475,,,-189.0000,-176.1000,65,66,66,58.3897,52.6752,78.9474,72.3200,74.2183,1,17,72.3200,74.2183,68.5236,0,0,0,,,,65,66,66,
2012/01/03,17.05,17.05,17.05,17.05,0.10,0.59,16.8800,16.7950,16.6650,,,-188.0000,-179.6000,65,66,66,61.6335,54.8084,89.4737,78.0379,75.4915,1,2,78.0379,75.4915,83.1308,0,0,0,,,,65,66,66,
2012/01/04,16.95,16.95,16.85,16.85,-0.20,-1.173,16.8300,16.8150,16.6725,,,-191.0000,-186.8000,65,66,66,51.9196,49.9007,68.4211,74.8323,75.2717,3,2,74.8323,75.2717,73.9534,0,0,0,,,,65,66,66,
2012/01/05,16.75,16.95,16.50,16.95,0.10,0.5935,16.8600,16.8350,16.6875,,,-180.0000,-193.0000,65,66,66,56.0735,52.2337,69.2308,72.9651,74.5029,11,4,72.9651,74.5029,69.8896,0,0,0,,0.1363,,65,66,66,
