ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/07,23.60,23.70,23.10,23.10,0.00,0.00,,,,,,0.0000,,75,,,,,,,,262,,,,,0,,,,,,375,,,
2012/06/08,23.10,23.20,22.95,23.20,0.10,0.4329,,,,,,56.0000,,76,,,,,,,,56,,,,,0,,,,,,376,,,
2012/06/11,23.55,23.60,23.15,23.55,0.35,1.5086,,,,,,189.0000,,81,,,,,,,,133,,,,,0,,,,,,381,,,
2012/06/12,23.00,23.35,23.00,23.15,-0.40,-1.6985,,,,,,124.0000,,84,,,,,,,,65,,,,,0,,,,,,384,,,
2012/06/13,23.45,23.60,23.15,23.20,0.05,0.216,23.2400,,,,,171.0000,,91,82,,,,,,,47,112,,,,0,0,,,,,391,381,,
2012/06/14,23.20,23.20,22.85,23.10,-0.10,-0.431,23.2400,,,,,100.0000,,64,80,,,,,,,71,74,,,,0,0,,,,,364,379,,
2012/06/15,22.90,23.40,22.90,23.20,0.10,0.4329,23.2400,,,,,505.0000,,71,79,,54.5455,,,,,405,144,,,,27,5,,,,,404,385,,
2012/06/18,23.50,23.50,22.95,23.00,-0.20,-0.8621,23.1300,,,,,203.0000,,81,79,,44.7761,,,,,302,178,,,,0,5,,,,,387,386,,
2012/06/19,23.00,23.20,22.85,22.90,-0.10,-0.4348,23.0800,,,,,89.0000,,84,79,,40.4313,,5.8824,35.2941,45.0980,114,187,35.2941,45.0980,15.6863,0,5,,,,,390,387,,
2012/06/20,22.95,23.10,22.85,22.90,0.00,0.00,23.0200,23.1300,,,,89.0000,152.6000,92,79,81,40.4313,,6.6667,25.7516,38.6492,113,201,25.7516,38.6492,-0.0436,0,5,3,,,,398,389,385,
2012/06/21,22.75,23.60,22.75,23.30,0.40,1.7467,23.0600,23.1500,,,,900.0000,242.6000,88,84,82,61.7885,,64.7059,38.7364,38.6783,811,349,38.7364,38.6783,38.8526,52,16,8,,,,446,405,392,
2012/06/22,22.85,23.30,22.85,23.15,-0.15,-0.6438,23.0500,23.1450,,,,727.0000,309.7000,88,87,83,53.2045,,47.0588,41.5105,39.6224,173,302,41.5105,39.6224,45.2869,35,17,11,,,,429,410,397,
2012/06/25,23.15,23.45,23.00,23.00,-0.15,-0.6479,23.0500,23.0900,,,,475.0000,338.3000,89,89,84,45.6022,47.6190,29.4118,37.4776,38.9074,252,292,37.4776,38.9074,34.6179,33,24,15,,,,427,418,402,
2012/06/26,22.80,23.10,22.80,23.00,0.00,0.00,23.0700,23.0750,,,,475.0000,373.4000,79,88,84,45.6022,47.6190,29.4118,34.7890,37.5346,123,294,34.7890,37.5346,29.2977,26,29,17,,,,410,422,405,
2012/06/27,23.00,23.10,22.95,23.00,0.00,0.00,23.0900,23.0550,,,,475.0000,403.8000,81,86,83,45.6022,47.6190,29.4118,32.9966,36.0219,186,309,32.9966,36.0219,26.9459,56,40,23,,,,442,431,410,
2012/06/28,23.00,23.45,22.85,22.95,-0.05,-0.2174,23.0200,23.0400,,,,276.0000,421.4000,85,85,85,42.1344,46.1912,23.5294,29.8409,33.9616,199,186,29.8409,33.9616,21.5994,42,38,27,,,,432,429,417,
2012/06/29,22.85,23.35,22.85,23.00,0.05,0.2179,22.9900,23.0200,,,,500.0000,420.9000,82,84,86,46.9733,47.8956,29.4118,29.6978,32.5403,224,196,29.6978,32.5403,24.0128,25,36,27,,,,412,426,418,
2012/07/02,23.20,23.20,23.00,23.05,0.05,0.2174,23.0000,23.0250,,,,588.0000,459.4000,89,84,86,51.8091,49.6358,35.2941,31.5633,32.2146,88,164,31.5633,32.2146,30.2605,21,34,29,,,,281,396,407,
2012/07/03,23.20,23.80,23.10,23.40,0.35,1.5184,23.0800,23.0750,,,,1093.0000,559.8000,96,87,88,72.7126,59.8708,61.9048,41.6771,35.3688,505,240,41.6771,35.3688,54.2937,0,29,29,,,,267,367,395,
2012/07/04,23.45,23.75,23.45,23.75,0.35,1.4957,23.2300,23.1600,23.1450,,,1465.0000,697.4000,103,92,89,82.0539,67.1529,95.0000,59.4514,43.3963,372,277,59.4514,43.3963,91.5615,0,18,29,,,,274,334,383,
2012/07/05,24.40,24.40,23.75,23.75,0.00,0.00,23.3900,23.2050,23.1775,,,1465.0000,753.9000,104,96,90,82.0539,67.1529,59.3750,59.4259,48.7395,247,287,59.4259,48.7395,80.7987,0,9,24,,,,274,302,365,
2012/07/06,23.75,23.90,23.50,23.75,0.00,0.00,23.5400,23.2650,23.2050,,,1465.0000,827.7000,96,98,91,82.0539,67.1529,59.3750,59.4090,52.2960,167,275,59.4090,52.2960,73.6349,0,4,20,,,,266,272,349,
2012/07/09,23.75,23.75,23.20,23.35,-0.40,-1.6842,23.6000,23.3000,23.1950,,,1349.0000,915.1000,87,98,91,48.9567,52.9077,32.2581,50.3587,51.6502,116,281,50.3587,51.6502,47.7755,0,0,17,,,,257,268,332,
2012/07/10,23.50,23.85,23.30,23.55,0.20,0.8565,23.6300,23.3550,23.2150,,,1636.0000,1031.2000,86,96,92,58.9028,57.7915,45.1613,48.6262,50.6422,287,237,48.6262,50.6422,44.5942,0,0,14,,,,256,265,316,
2012/07/11,23.75,23.75,23.30,23.30,-0.25,-1.0616,23.5400,23.3850,23.2200,,,1439.0000,1127.6000,90,93,93,45.5803,50.6312,29.0323,42.0949,47.7931,197,202,42.0949,47.7931,30.6985,0,0,9,,,,260,263,298,
2012/07/12,23.70,23.70,23.20,23.25,-0.05,-0.2146,23.4400,23.4150,23.2275,,,1359.0000,1235.9000,90,91,93,43.2335,49.2986,17.8571,34.0156,43.2006,80,169,34.0156,43.2006,15.6457,0,0,5,,0.1015,,260,260,281,
2012/07/13,23.25,23.25,22.95,22.95,-0.30,-1.2903,23.2800,23.4100,23.2150,,,975.0000,1283.4000,85,88,93,31.5409,42.0535,0.0000,22.6771,36.3594,384,212,22.6771,36.3594,-4.6876,0,0,2,,0.0615,,255,258,265,
2012/07/16,23.00,23.20,22.85,22.85,-0.10,-0.4357,23.1800,23.3900,23.2075,,,835.0000,1308.1000,88,89,93,28.4619,39.9202,0.0000,15.1181,29.2790,140,217,15.1181,29.2790,-13.2038,0,0,0,,0.0214,,258,258,263,
2012/07/17,22.85,23.20,22.85,22.90,0.05,0.2188,23.0500,23.3400,23.2075,,,1227.0000,1321.5000,91,90,93,32.4202,41.5379,3.2258,11.1540,23.2373,392,238,11.1540,23.2373,-13.0127,0,0,0,,-0.0062,,261,259,262,
2012/07/18,23.10,23.10,23.00,23.00,0.10,0.4367,22.9900,23.2650,23.2125,,,1313.0000,1306.3000,92,90,92,40.3424,44.7818,14.2857,12.1979,19.5575,86,216,12.1979,19.5575,-2.5213,0,0,0,,-0.0198,,262,259,261,
2012/07/19,23.20,23.50,23.05,23.45,0.45,1.9565,23.0300,23.2350,23.2200,,,1756.0000,1335.4000,122,96,93,63.4681,56.6029,60.0000,28.1319,22.4156,443,289,28.1319,22.4156,39.5645,1,0,0,,0.0057,,293,266,263,
2012/07/20,23.45,23.45,23.15,23.40,-0.05,-0.2132,23.1200,23.2000,23.2325,,,1715.0000,1360.4000,126,105,96,60.3490,55.1712,55.0000,37.0880,27.3064,41,220,37.0880,27.3064,56.6510,0,0,0,,0.0216,,296,274,266,
2012/07/23,23.40,23.40,22.90,22.95,-0.45,-1.9231,23.1400,23.1600,23.2300,,,1431.0000,1368.6000,121,111,100,39.4239,44.1961,11.1111,28.4290,27.6806,284,249,28.4290,27.6806,29.9258,3,1,0,,-0.0020,,294,281,270,
