ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/08/29,42.00,45.00,42.00,44.73,0.00,0.00,,,,,,0.0000,,0,,,,,,,,10,,,,,0,,,,,,0,,,
2011/08/30,43.00,44.00,42.80,44.00,-0.73,-1.632,,,,,,-15.0000,,0,,,,,,,,15,,,,,0,,,,,,0,,,
2011/08/31,41.50,43.00,40.85,41.30,-2.70,-6.1364,,,,,,-68.0000,,0,,,,,,,,53,,,,,0,,,,,,0,,,
2011/09/01,39.60,41.50,39.20,41.50,0.20,0.4843,,,,,,-12.0000,,0,,,,,,,,56,,,,,0,,,,,,0,,,
2011/09/02,41.00,41.00,38.00,38.00,-3.50,-8.4337,41.9060,,,,,-87.0000,,0,0,,,,,,,75,41,,,,0,0,,,,,0,0,,
2011/09/05,36.58,38.50,36.29,36.77,-1.23,-3.2368,40.3140,,,,,-105.0000,,0,0,,,,,,,18,43,,,,0,0,,,,,0,0,,
2011/09/06,34.00,38.00,34.00,34.20,-2.57,-6.9894,38.3540,,,,,-175.0000,,0,0,,1.8298,,,,,70,54,,,,0,0,,,,,0,0,,
2011/09/07,35.00,41.50,32.00,32.15,-2.05,-5.9942,36.5240,,,,,-278.0000,,0,0,,1.4937,,,,,103,64,,,,0,0,,,,,0,0,,
2011/09/08,40.70,43.40,32.70,34.50,2.35,7.3095,35.1240,,,,,-125.0000,,0,0,,21.3664,,19.2308,39.7436,46.5812,153,83,39.7436,46.5812,26.0684,0,0,,,,,0,0,,
2011/09/13,33.80,35.78,33.80,35.78,1.28,3.7101,34.6800,38.2930,,,,-118.0000,-98.3000,0,0,0,30.5272,,31.5000,36.9957,43.3860,7,70,36.9957,43.3860,24.2151,0,0,0,,,,0,0,0,
