ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/02,56.00,57.50,56.00,57.20,0.00,0.00,,,,,,0.0000,,0,,,,,,,,47,,,,,0,,,,,,0,,,
2012/05/03,57.50,57.50,57.00,57.20,0.00,0.00,,,,,,0.0000,,0,,,,,,,,23,,,,,0,,,,,,0,,,
2012/05/07,57.00,57.50,57.00,57.20,0.00,0.00,,,,,,0.0000,,0,,,,,,,,68,,,,,0,,,,,,0,,,
2012/05/08,57.00,57.20,57.00,57.00,-0.20,-0.3497,,,,,,-26.0000,,0,,,,,,,,26,,,,,0,,,,,,0,,,
2012/05/09,55.60,57.00,55.60,57.00,0.00,0.00,57.1200,,,,,-26.0000,,0,0,,,,,,,8,34,,,,0,0,,,,,0,0,,
2012/05/10,57.20,57.20,57.00,57.00,0.00,0.00,57.0800,,,,,-26.0000,,0,0,,,,,,,10,27,,,,0,0,,,,,0,0,,
2012/05/11,57.20,57.20,57.00,57.00,0.00,0.00,57.0400,,,,,-26.0000,,0,0,,0.0000,,,,,6,23,,,,0,0,,,,,0,0,,
2012/05/14,57.00,57.20,57.00,57.00,0.00,0.00,57.0000,,,,,-26.0000,,0,0,,0.0000,,,,,76,25,,,,0,0,,,,,0,0,,
2012/05/17,57.10,57.10,56.50,56.50,-0.50,-0.8772,56.9000,,,,,-28.0000,,0,0,,0.0000,,47.3684,49.1228,49.7076,2,20,49.1228,49.7076,47.9532,0,0,,,,,0,0,,
2012/05/21,57.00,57.57,57.00,57.20,0.70,1.2389,56.9400,57.0300,,,,0.0000,-15.8000,0,0,0,56.7994,,81.2183,59.8213,53.0788,28,24,59.8213,53.0788,73.3062,0,0,0,,,,0,0,0,
2012/05/22,57.20,57.20,57.00,57.00,-0.20,-0.3497,56.9400,57.0100,,,,-22.0000,-18.0000,0,0,0,47.5412,,71.0660,63.5695,56.5757,22,26,63.5695,56.5757,77.5571,0,0,0,,,,0,0,0,
2012/05/23,54.00,57.20,54.00,57.00,0.00,0.00,56.9400,56.9900,,,,-22.0000,-20.2000,0,0,0,47.5412,,84.0336,70.3909,61.1808,5,26,70.3909,61.1808,88.8111,0,0,0,,,,0,0,0,
2012/05/24,54.00,54.00,54.00,54.00,-3.00,-5.2632,56.3400,56.6700,,,,-23.0000,-22.5000,0,0,0,10.5162,15.2174,0.0000,46.9273,56.4296,1,11,46.9273,56.4296,27.9226,0,0,0,,,,0,0,0,
2012/05/25,55.00,57.00,55.00,56.10,2.10,3.8889,56.2600,56.5800,,,,7.0000,-19.2000,0,0,0,45.9048,43.4037,58.8235,50.8927,54.5840,30,17,50.8927,54.5840,43.5101,0,0,0,,,,0,0,0,
