ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/21,83.00,83.00,83.00,83.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,9,,,,,0,,,,,,0,,,
2012/06/22,82.50,82.50,82.50,82.50,-0.50,-0.6024,,,,,,-2.0000,,0,,,,,,,,2,,,,,0,,,,,,0,,,
2012/06/25,83.00,83.00,83.00,83.00,0.50,0.6061,,,,,,-1.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2012/06/26,82.00,82.80,82.00,82.50,-0.50,-0.6024,,,,,,-10.0000,,0,,,,,,,,9,,,,,0,,,,,,0,,,
2012/06/28,82.50,83.00,82.50,83.00,0.50,0.6061,82.8000,,,,,5.0000,,0,0,,,,,,,15,7,,,,0,0,,,,,0,0,,
2012/06/29,84.50,84.50,84.00,84.00,1.00,1.2048,83.0000,,,,,11.0000,,0,0,,,,,,,6,6,,,,0,0,,,,,0,0,,
2012/07/02,84.50,84.80,84.00,84.80,0.80,0.9524,83.4600,,,,,34.0000,,0,0,,73.6842,,,,,23,10,,,,0,0,,,,,0,0,,
2012/07/03,84.50,85.00,84.50,85.00,0.20,0.2358,83.8600,,,,,40.0000,,0,0,,75.2475,,,,,6,11,,,,0,0,,,,,0,0,,
2012/07/04,85.00,85.00,85.00,85.00,0.00,0.00,84.3600,,,,,40.0000,,0,0,,75.2475,,100.0000,66.6667,55.5556,15,13,66.6667,55.5556,88.8889,0,0,,,,,0,0,,
2012/07/05,84.50,84.50,84.50,84.50,-0.50,-0.5882,84.6600,83.7300,,,,39.0000,15.6000,0,0,0,61.9902,,83.3333,72.2222,61.1111,1,10,72.2222,61.1111,94.4444,0,0,0,,,,0,0,0,
2012/07/06,85.00,85.00,84.50,84.50,0.00,0.00,84.7600,83.8800,,,,39.0000,19.5000,0,0,0,61.9902,,83.3333,75.9259,66.0494,12,11,75.9259,66.0494,95.6790,0,0,0,,,,0,0,0,
2012/07/09,83.50,84.00,83.50,84.00,-0.50,-0.5917,84.6000,84.0300,,,,34.0000,23.1000,0,0,0,49.4457,,66.6667,72.8395,68.3128,5,7,72.8395,68.3128,81.8930,0,0,0,,,,0,0,0,
2012/07/10,84.00,84.00,84.00,84.00,0.00,0.00,84.4000,84.1300,,,,34.0000,26.6000,0,0,0,49.4457,60.0000,60.0000,68.5597,68.3951,2,7,68.5597,68.3951,68.8889,0,0,0,,,,0,0,0,
2012/07/11,83.00,83.00,83.00,83.00,-1.00,-1.1905,84.0000,84.1800,,,,30.0000,30.6000,0,0,0,31.2393,49.2537,0.0000,45.7064,60.8322,4,4,45.7064,60.8322,15.4550,0,0,0,,,,0,0,0,
2012/07/12,83.50,83.50,82.70,82.70,-0.30,-0.3614,83.6400,84.1500,,,,21.0000,32.2000,0,0,0,27.5830,46.5265,0.0000,30.4710,50.7118,9,6,30.4710,50.7118,-10.0107,0,0,0,,,,0,0,0,
2012/07/13,83.50,83.50,83.00,83.00,0.30,0.3628,83.3400,84.0500,,,,23.0000,33.4000,0,0,0,36.5013,49.5726,13.0435,24.6618,42.0285,2,4,24.6618,42.0285,-10.0715,0,0,0,,,,0,0,0,
2012/07/16,83.00,83.00,82.00,82.00,-1.00,-1.2048,82.9400,83.7700,,,,16.0000,31.6000,0,0,0,24.4547,41.0661,0.0000,16.4412,33.4994,7,4,16.4412,33.4994,-17.6751,0,0,0,,,,0,0,0,
2012/07/17,82.00,82.00,82.00,82.00,0.00,0.00,82.5400,83.4700,,,,16.0000,29.2000,0,0,0,24.4547,41.0661,0.0000,10.9608,25.9865,1,4,10.9608,25.9865,-19.0906,0,0,0,,,,0,0,0,
2012/07/18,82.00,82.00,81.20,81.40,-0.60,-0.7317,82.2200,83.1100,,,,0.0000,25.2000,0,0,0,19.0287,36.5836,5.2632,9.0616,20.3449,16,7,9.0616,20.3449,-13.5050,0,0,0,,,,0,0,0,
2012/07/19,81.00,81.00,80.60,80.60,-0.80,-0.9828,81.8000,82.7200,83.2250,,,-6.0000,20.7000,0,0,0,14.0432,31.5712,0.0000,6.0411,15.5769,6,6,6.0411,15.5769,-13.0307,0,0,0,,,,0,0,0,
2012/07/20,80.50,80.50,80.00,80.50,-0.10,-0.1241,81.3000,82.3200,83.1000,,,-10.0000,15.8000,0,0,0,13.5122,30.9921,12.5000,8.1940,13.1160,4,6,8.1940,13.1160,-1.6498,0,0,0,,,,0,0,0,
2012/07/23,80.00,80.00,80.00,80.00,-0.50,-0.6211,80.9000,81.9200,82.9750,,,-13.0000,11.1000,0,0,0,11.0135,28.1735,0.0000,5.4627,10.5649,3,6,5.4627,10.5649,-4.7417,0,0,0,,,,0,0,0,
2012/07/24,80.00,80.00,80.00,80.00,0.00,0.00,80.5000,81.5200,82.8250,,,-13.0000,6.4000,0,0,0,11.0135,28.1735,0.0000,3.6418,8.2572,7,7,3.6418,8.2572,-5.5890,0,0,0,,,,0,0,0,
2012/07/25,80.00,80.00,80.00,80.00,0.00,0.00,80.2200,81.2200,82.7000,,,-13.0000,2.1000,0,0,0,11.0135,28.1735,0.0000,2.4279,6.3141,10,6,2.4279,6.3141,-5.3446,0,0,0,,,,0,0,0,
2012/07/26,80.00,80.00,80.00,80.00,0.00,0.00,80.1000,80.9500,82.5500,,,-13.0000,-1.3000,0,0,0,11.0135,28.1735,0.0000,1.6186,4.7489,25,9,1.6186,4.7489,-4.6421,0,0,0,,,,0,0,0,
2012/07/27,80.00,82.00,80.00,82.00,2.00,2.50,80.4000,80.8500,82.4500,,,-4.0000,-4.0000,0,0,0,64.8808,52.5966,100.0000,34.4124,14.6367,9,10,34.4124,14.6367,73.9637,0,0,0,,-1.3268,,0,0,0,
2012/07/30,81.00,81.00,80.00,80.00,-2.00,-2.439,80.4000,80.6500,82.2100,,,-9.0000,-6.5000,0,0,0,37.5813,38.3653,0.0000,22.9416,17.4050,5,11,22.9416,17.4050,34.0147,0,0,0,,-1.3275,,0,0,0,
2012/07/31,80.00,80.00,80.00,80.00,0.00,0.00,80.4000,80.4500,81.9600,,,-9.0000,-9.0000,0,0,0,37.5813,38.3653,0.0000,15.2944,16.7015,7,11,15.2944,16.7015,12.4802,0,0,0,,-1.3130,,0,0,0,
