ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2016/03/30,38.30,38.30,35.10,35.20,0.00,0.00,,,,,,0.0000,,19755,,,,,,,,2324,,,,,0,,,,,,19755,,,
2016/03/31,35.00,35.40,34.80,34.80,-0.40,-1.1364,,,,,,-765.0000,,19757,,,,,,,,765,,,,,0,,,,,,19757,,,
2016/04/01,34.90,36.50,34.90,35.40,0.60,1.7241,,,,,,-153.0000,,19779,,,,,,,,612,,,,,0,,,,,,19779,,,
2016/04/06,35.40,35.60,34.95,35.20,-0.20,-0.565,,,,,,-499.0000,,19755,,,,,,,,346,,,,,0,,,,,,19755,,,
2016/04/07,35.40,36.30,35.10,35.70,0.50,1.4205,35.2600,,,,,44.0000,,19788,19768,,,,,,,543,918,,,,0,0,,,,,19788,19768,,
2016/04/08,35.20,36.40,35.20,35.70,0.00,0.00,35.3600,,,,,44.0000,,19787,19774,,,,,,,272,507,,,,0,0,,,,,19787,19774,,
2016/04/11,36.50,39.25,36.10,39.25,3.55,9.944,36.2500,,,,,1307.0000,,19777,19778,,88.5714,,,,,1263,607,,,,0,0,,,,,19777,19778,,
2016/04/12,42.00,42.80,39.25,42.50,3.25,8.2803,37.6700,,,,,3516.0000,,19731,19768,,93.4426,,,,,2209,926,,,,0,0,,,,,19731,19768,,
2016/04/13,40.60,44.80,39.65,42.00,-0.50,-1.1765,39.0300,,,,,2108.0000,,19809,19779,,86.6261,,72.0000,57.3333,52.4444,1408,1139,57.3333,52.4444,67.1111,0,0,,,,,20009,19819,,
2016/04/14,43.30,46.15,42.30,45.60,3.60,8.5714,41.0100,38.1350,,,,3441.0000,904.3000,19761,19774,19771,91.7966,,95.1542,69.9403,58.2764,1333,1297,69.9403,58.2764,93.2681,0,0,0,,,,19961,19854,19811,
2016/04/15,44.00,44.80,43.15,43.20,-2.40,-5.2632,42.5100,38.9350,,,,2661.0000,1170.4000,19757,19768,19771,70.1120,,73.7778,71.2194,62.5907,780,1398,71.2194,62.5907,88.4769,0,0,0,,,,19957,19888,19831,
2016/04/18,42.90,42.90,40.50,41.50,-1.70,-3.9352,42.9600,39.6050,,,,2056.0000,1452.5000,19701,19753,19765,58.3882,,58.4821,66.9737,64.0517,605,1267,66.9737,64.0517,72.8176,0,0,0,,,,19901,19913,19845,
2016/04/19,41.50,41.85,40.15,40.35,-1.15,-2.7711,42.5300,40.1000,,,,1574.0000,1625.2000,19681,19743,19756,51.4098,64.4258,47.5113,60.4862,62.8632,482,921,60.4862,62.8632,55.7322,0,0,0,,,,19881,19943,19856,
2016/04/20,40.60,41.50,39.40,39.85,-0.50,-1.2392,42.1000,40.5650,,,,1145.0000,1789.6000,19670,19715,19747,48.3923,62.5154,42.4658,54.4794,60.0686,429,725,54.4794,60.0686,43.3010,0,0,0,,,,19870,19915,19867,
2016/04/21,39.45,42.45,38.85,41.80,1.95,4.8934,41.3400,41.1750,,,,1823.0000,1967.5000,19733,19709,19742,59.5138,66.7145,56.7164,55.2251,58.4541,678,594,55.2251,58.4541,48.7670,0,0,0,,,,19933,19909,19882,
2016/04/22,41.45,41.65,39.60,39.80,-2.00,-4.7847,40.6600,41.5850,,,,1294.0000,2092.5000,19658,19690,19729,47.0378,59.2839,13.0137,41.1546,52.6876,529,544,41.1546,52.6876,18.0886,0,0,0,,,,19858,19890,19889,
2016/04/25,39.75,39.75,38.00,38.40,-1.40,-3.5176,40.0400,41.5000,,,,1024.0000,2064.2000,19663,19682,19717,39.9951,54.6369,4.9080,29.0724,44.8159,270,477,29.0724,44.8159,-2.4145,0,0,0,,,,19863,19882,19897,
2016/04/26,38.10,39.65,38.00,39.40,1.00,2.6042,39.8500,41.1900,,,,1231.0000,1835.7000,19669,19680,19711,46.8200,57.2482,17.1779,25.1076,38.2464,207,422,25.1076,38.2464,-1.1702,0,0,0,,,,19869,19880,19911,
2016/04/27,39.10,39.50,38.60,38.60,-0.80,-2.0305,39.6000,40.8500,,,,1020.0000,1726.9000,19651,19676,19695,42.2110,54.5097,8.8235,19.6796,32.0575,211,379,19.6796,32.0575,-5.0763,0,0,0,,,,19851,19876,19895,
2016/04/28,38.50,38.50,37.00,37.15,-1.45,-3.7565,38.6700,40.0050,39.0700,,,698.0000,1452.6000,19641,19657,19683,34.7671,49.7996,2.5424,13.9672,26.0274,322,307,13.9672,26.0274,-10.1533,0,0,0,,,,19801,19849,19879,
2016/04/29,36.30,36.95,36.10,36.50,-0.65,-1.7497,38.0100,39.3350,39.1350,,,424.0000,1228.9000,19647,19655,19672,31.7547,47.7805,6.2992,11.4112,21.1553,274,256,11.4112,21.1553,-8.0771,0,0,0,,,,19767,19831,19860,
2016/05/03,36.50,37.50,36.20,36.40,-0.10,-0.274,37.6100,38.8250,39.2150,,,294.0000,1052.7000,19641,19651,19666,31.2547,47.4576,4.7244,9.1823,17.1643,130,228,9.1823,17.1643,-6.7818,0,0,0,,,,19761,19811,19846,
2016/05/04,36.40,36.40,35.60,35.75,-0.65,-1.7857,36.8800,38.3650,39.2325,,,58.0000,901.1000,19644,19646,19663,27.8363,45.2873,2.1898,6.8514,13.7267,236,234,6.8514,13.7267,-6.8990,0,0,0,,,,19704,19778,19829,
2016/05/05,36.30,39.30,35.60,37.50,1.75,4.8951,36.6600,38.1300,39.3475,,,557.0000,842.3000,19698,19655,19665,46.6781,51.7660,31.4050,15.0359,14.1631,499,292,15.0359,14.1631,16.7816,0,0,0,,,,19698,19747,19811,
