ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/09/03,255.00,270.00,250.00,259.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,172501,,,,,0,,,,,,0,,,
2012/09/04,259.50,264.00,256.00,260.00,0.50,0.1927,,,,,,43362.0000,,0,,,,,,,,43362,,,,,0,,,,,,0,,,
2012/09/05,261.00,268.00,259.00,262.00,2.00,0.7692,,,,,,96594.0000,,0,,,,,,,,53232,,,,,0,,,,,,0,,,
2012/09/06,260.00,260.00,260.00,260.00,-2.00,-0.7634,,,,,,86594.0000,,0,,,,,,,,10000,,,,,0,,,,,,0,,,
2012/09/07,261.00,264.00,260.88,262.00,2.00,0.7692,260.7000,,,,,103794.0000,,0,0,,,,,,,17200,59259,,,,0,0,,,,,0,0,,
2012/09/10,263.00,263.00,261.80,261.80,-0.20,-0.0763,261.1600,,,,,99594.0000,,0,0,,,,,,,4200,25598,,,,0,0,,,,,0,0,,
2012/09/11,259.00,265.00,259.00,259.00,-2.80,-1.0695,260.9600,,,,,86388.0000,,0,0,,47.3684,,,,,13206,19567,,,,0,0,,,,,0,0,,
2012/09/12,259.00,259.00,259.00,259.00,0.00,0.00,260.3600,,,,,86388.0000,,0,0,,47.3684,,,,,1010,9123,,,,0,0,,,,,0,0,,
2012/09/13,258.00,258.00,258.00,258.00,-1.00,-0.3861,259.9600,,,,,83388.0000,,0,0,,41.1335,,40.0000,46.6667,48.8889,3000,7723,46.6667,48.8889,42.2222,0,0,,,,,0,0,,
2012/09/14,258.00,258.00,255.00,255.00,-3.00,-1.1628,258.5600,259.6300,,,,77288.0000,76339.0000,0,0,0,27.9087,,0.0000,31.1111,42.9630,6100,5503,31.1111,42.9630,7.4074,0,0,0,,,,0,0,0,
2012/09/17,165.00,253.00,165.00,248.00,-7.00,-2.7451,255.8000,258.4800,,,,63288.0000,82667.8000,0,0,0,14.6871,,80.5825,47.6016,44.5092,14000,7463,47.6016,44.5092,53.7864,0,0,0,,,,0,0,0,
2012/09/18,245.00,245.00,245.00,245.00,-3.00,-1.2097,253.0000,256.9800,,,,61288.0000,84460.4000,0,0,0,11.8097,,80.0000,58.4011,49.1398,2000,5222,58.4011,49.1398,76.9236,0,0,0,,,,0,0,0,
2012/09/19,242.00,249.00,242.00,249.00,4.00,1.6327,251.0000,255.6800,,,,70293.0000,81830.3000,0,0,0,32.8563,30.9091,84.0000,66.9340,55.0712,9005,6821,66.9340,55.0712,90.6597,0,0,0,,,,0,0,0,
2012/09/20,245.00,245.00,245.00,245.00,-4.00,-1.6064,248.4000,254.1800,,,,70278.0000,80198.7000,0,0,0,25.5417,26.6762,80.0000,71.2894,60.4773,15,6224,71.2894,60.4773,92.9136,0,0,0,,,,0,0,0,
2012/09/21,242.20,245.00,240.00,245.00,0.00,0.00,246.4000,252.4800,,,,70278.0000,76847.1000,0,0,0,25.5417,26.6762,80.0000,74.1929,65.0491,4020,5808,74.1929,65.0491,92.4804,0,0,0,,,,0,0,0,
2012/09/24,243.00,250.00,242.00,242.00,-3.00,-1.2245,245.2000,250.5000,,,,67277.0000,73615.4000,0,0,0,20.5909,23.7706,81.9149,76.7669,68.9551,3001,3608,76.7669,68.9551,92.3906,0,0,0,,,,0,0,0,
2012/09/26,230.00,251.05,230.00,250.90,8.90,3.6777,246.3800,249.6900,,,,70279.0000,72004.5000,0,0,0,53.0134,43.6384,92.3656,81.9665,73.2922,3002,3808,81.9665,73.2922,99.3150,0,0,0,,,,0,0,0,
2012/10/01,239.50,240.00,237.00,240.00,-10.90,-4.3444,244.5800,247.7900,,,,61279.0000,69493.6000,0,0,0,33.1322,32.3674,80.6452,81.5260,76.0368,9000,3807,81.5260,76.0368,92.5045,0,0,0,,,,0,0,0,
2012/10/05,240.00,240.00,240.00,240.00,0.00,0.00,243.5800,245.9900,,,,61279.0000,67282.7000,0,0,0,33.1322,32.3674,85.2273,82.7598,78.2778,1000,4004,82.7598,78.2778,91.7237,0,0,0,,,,0,0,0,
2012/10/08,245.00,246.00,245.00,246.00,6.00,2.50,243.7800,245.0900,252.3600,,,74279.0000,66981.8000,0,0,0,48.4548,42.1547,76.0095,80.5097,79.0218,13000,5800,80.5097,79.0218,83.4855,0,0,0,,,,0,0,0,
2012/10/09,245.00,279.00,245.00,252.00,6.00,2.439,245.7800,245.4900,251.9850,,,98279.0000,70480.9000,0,0,0,59.5717,50.0415,44.8980,68.6391,75.5609,24000,10000,68.6391,75.5609,54.7956,0,0,0,,,,0,0,0,
