ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/10/05,81.00,100.00,71.00,72.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,167281,,,,,0,,,,,,0,,,
2012/10/08,72.00,72.00,59.50,71.00,-1.00,-1.3889,,,,,,-71001.0000,,0,,,,,,,,71001,,,,,0,,,,,,0,,,
2012/10/09,64.13,64.13,63.00,63.00,-8.00,-11.2676,,,,,,-77001.0000,,0,,,,,,,,6000,,,,,0,,,,,,0,,,
2012/10/11,62.50,63.00,62.50,63.00,0.00,0.00,,,,,,-77001.0000,,0,,,,,,,,8000,,,,,0,,,,,,0,,,
2012/10/12,62.50,63.00,62.50,63.00,0.00,0.00,66.4000,,,,,-77001.0000,,0,0,,,,,,,4000,51256,,,,0,0,,,,,0,0,,
2012/10/15,62.00,62.60,58.50,59.50,-3.50,-5.5556,63.9000,,,,,-145661.0000,,0,0,,,,,,,68660,31532,,,,0,0,,,,,0,0,,
2012/10/16,59.50,59.50,54.00,55.00,-4.50,-7.563,60.7000,,,,,-194021.0000,,0,0,,0.0000,,,,,48360,27004,,,,0,0,,,,,0,0,,
2012/10/17,54.50,54.50,49.50,50.17,-4.83,-8.7818,58.1340,,,,,-402121.0000,,0,0,,0.0000,,,,,208100,67424,,,,0,0,,,,,0,0,,
2012/10/18,49.50,49.50,46.34,46.50,-3.67,-7.3151,54.8340,,,,,-588121.0000,,0,0,,0.0000,,0.2982,33.4327,44.4776,186000,103024,33.4327,44.4776,11.3430,0,0,,,,,0,0,,
2012/10/19,45.50,48.00,43.55,43.70,-2.80,-6.0215,50.9740,58.6870,,,,-886121.0000,-251804.9000,0,0,0,0.0000,,0.5272,22.4642,37.1398,298000,161824,22.4642,37.1398,-6.8869,0,0,0,,,,0,0,0,
2012/10/22,43.70,53.00,42.70,52.00,8.30,18.9931,49.4740,56.6870,,,,-723381.0000,-324143.0000,0,0,0,34.3324,,43.3971,29.4419,34.5738,162740,180640,29.4419,34.5738,19.1779,0,0,0,,,,0,0,0,
2012/10/23,52.63,59.00,51.00,54.00,2.00,3.8462,49.2740,54.9870,,,,-663081.0000,-383351.0000,0,0,0,40.2628,,55.6650,38.1829,35.7768,60300,183028,38.1829,35.7768,42.9950,0,0,0,,,,0,0,0,
2012/10/24,54.00,55.00,52.80,53.00,-1.00,-1.8519,49.8400,53.9870,,,,-711281.0000,-446779.0000,0,0,0,38.1933,26.0101,50.7389,42.3682,37.9740,48200,151048,42.3682,37.9740,51.1568,0,0,0,,,,0,0,0,
2012/10/25,52.50,52.50,51.78,52.50,-0.50,-0.9434,51.0400,52.9370,,,,-726697.0000,-511748.6000,0,0,0,37.0506,25.6567,49.2462,44.6609,40.2030,15416,116931,44.6609,40.2030,53.5768,0,0,0,,,,0,0,0,
2012/10/26,51.78,52.00,50.00,50.00,-2.50,-4.7619,52.3000,51.6370,,,,-762947.0000,-580343.2000,0,0,0,31.4120,23.8865,43.4524,44.2581,41.5547,36250,64581,44.2581,41.5547,49.6649,0,0,0,,,,0,0,0,
2012/10/30,49.00,49.00,45.00,46.00,-4.00,-8.00,51.1000,50.2870,,,,-807647.0000,-646541.8000,0,0,0,24.3090,21.3190,20.2454,36.2538,39.7877,44700,40973,36.2538,39.7877,29.1861,0,0,0,,,,0,0,0,
2012/10/31,45.50,47.00,45.50,46.00,0.00,0.00,49.5000,49.3870,,,,-807647.0000,-707904.4000,0,0,0,24.3090,21.3190,20.2454,30.9177,36.8310,34000,35713,30.9177,36.8310,19.0910,0,0,0,,,,0,0,0,
2012/11/01,45.50,46.00,45.50,46.00,0.00,0.00,48.1000,48.9700,,,,-807647.0000,-748457.0000,0,0,0,24.3090,21.3190,20.2454,27.3603,33.6741,12200,28513,27.3603,33.6741,14.7326,0,0,0,,,,0,0,0,
2012/11/05,47.50,47.50,47.00,47.30,1.30,2.8261,47.0600,49.0500,,,,-801647.0000,-769809.6000,0,0,0,32.8380,24.7326,28.2209,27.6471,31.6651,6000,26630,27.6471,31.6651,19.6111,0,0,0,,,,0,0,0,
2012/11/06,47.90,47.90,47.00,47.00,-0.30,-0.6342,46.4600,49.3800,54.0335,,,-821647.0000,-763362.2000,0,0,0,31.8443,24.4654,14.2857,23.1933,28.8412,20000,23380,23.1933,28.8412,11.8976,0,0,0,,,,0,0,0,
2012/11/07,47.00,47.89,47.00,47.89,0.89,1.8936,46.8380,48.9690,52.8280,,,-799647.0000,-770988.8000,0,0,0,38.4724,27.0173,28.9000,25.0955,27.5926,22000,18840,25.0955,27.5926,20.1014,0,0,0,,,,0,0,0,
2012/11/08,49.47,49.47,49.00,49.47,1.58,3.2992,47.5320,48.5160,51.7515,,,-784647.0000,-783145.4000,0,0,0,49.0317,31.4993,59.6000,36.5970,30.5941,15000,15040,36.5970,30.5941,48.6029,0,0,0,,,,0,0,0,
2012/11/09,50.40,50.40,49.00,49.30,-0.17,-0.3436,48.1920,48.1460,51.0665,,,-820647.0000,-794082.0000,0,0,0,47.9688,31.2738,61.4286,44.8742,35.3541,36000,19800,44.8742,35.3541,63.9144,0,0,0,,,,0,0,0,
2012/11/12,48.00,49.00,46.00,47.00,-2.30,-4.6653,48.1320,47.5960,50.2665,,,-876147.0000,-809027.0000,0,0,0,35.4812,28.2860,37.0370,42.2618,37.6567,55500,29700,42.2618,37.6567,51.4721,0,0,0,,,,0,0,0,
2012/11/13,46.00,47.36,45.70,46.00,-1.00,-2.1277,47.9320,47.1960,49.4165,,,-891147.0000,-821847.0000,0,0,0,31.2383,27.0599,10.2041,31.5759,35.6298,15000,28700,31.5759,35.6298,23.4682,0,0,0,,,,0,0,0,
2012/11/14,45.50,45.50,45.00,45.20,-0.80,-1.7391,47.3940,47.1160,48.7015,,,-915147.0000,-832597.0000,0,0,0,28.0215,26.0734,3.7037,22.2852,31.1816,24000,29100,22.2852,31.1816,4.4924,0,0,0,,-4.4938,,0,0,0,
2012/11/15,45.30,46.00,45.00,45.00,-0.20,-0.4425,46.5000,47.0160,48.2015,,,-957147.0000,-847547.0000,0,0,0,27.1818,25.8168,0.0000,14.8568,25.7400,42000,34500,14.8568,25.7400,-6.9096,0,0,0,,-4.4285,,0,0,0,
2012/11/16,45.80,45.80,45.00,45.00,0.00,0.00,45.6400,46.9160,47.9430,,,-957147.0000,-862497.0000,0,0,0,27.1818,25.8168,0.0000,9.9045,20.4615,4000,28100,9.9045,20.4615,-11.2094,0,0,0,,-4.3269,,0,0,0,
2012/11/19,44.50,45.78,44.50,45.00,0.00,0.00,45.2400,46.6860,47.8680,,,-957147.0000,-878047.0000,0,0,0,27.1818,25.8168,8.4746,9.4279,16.7836,10000,19000,9.4279,16.7836,-5.2836,0,0,0,,-4.1979,,0,0,0,
2012/11/20,45.78,45.78,45.00,45.25,0.25,0.5556,45.0900,46.5110,47.9455,,,-939147.0000,-889797.0000,0,0,0,31.6087,26.9832,12.7119,10.5225,14.6966,18000,19600,10.5225,14.6966,2.1744,0,0,0,,-4.0291,,0,0,0,
2012/11/21,44.70,45.20,44.70,45.20,-0.05,-0.1105,45.0900,46.2420,47.6055,,,-941147.0000,-903947.0000,0,0,0,31.1541,26.8910,11.8644,10.9698,13.4543,2000,15200,10.9698,13.4543,6.0008,0,0,0,,-3.8549,,0,0,0,
2012/11/22,45.70,46.00,45.50,46.00,0.80,1.7699,45.2900,45.8950,47.2055,,,-938047.0000,-919287.0000,0,0,0,46.0502,31.0081,33.3333,18.4243,15.1110,3100,7420,18.4243,15.1110,25.0510,0,0,0,,-3.6107,,0,0,0,
2012/11/23,46.50,46.50,45.00,46.00,0.00,0.00,45.4900,45.5650,46.8555,,,-938047.0000,-931027.0000,0,0,0,46.0502,31.0081,52.4476,29.7654,19.9958,6000,7820,29.7654,19.9958,49.3046,0,0,0,,-3.3782,,0,0,0,
2012/11/26,46.84,46.84,46.00,46.50,0.50,1.087,45.7900,45.5150,46.5555,,,-926047.0000,-936017.0000,0,0,0,54.8436,33.7819,85.4701,48.3336,29.4417,12000,8220,48.3336,29.4417,86.1174,0,0,0,1.6397,-3.1177,-3.9375,0,0,0,
2012/11/28,45.50,46.70,45.50,46.50,0.00,0.00,46.0400,45.5650,46.3805,,,-926047.0000,-939507.0000,0,0,0,54.8436,33.7819,85.4701,60.7124,39.8653,14000,7420,60.7124,39.8653,102.4067,0,0,0,1.6952,-2.8781,-3.7256,0,0,0,
2012/11/29,46.70,46.84,46.50,46.84,0.34,0.7312,46.3680,45.7290,46.4225,,,-920047.0000,-939997.0000,0,0,0,61.0587,35.8684,100.0000,73.8083,51.1796,6000,8220,73.8083,51.1796,119.0656,0,0,0,1.7524,-2.6304,-3.5066,0,0,0,
2012/12/03,46.00,46.80,46.00,46.80,-0.04,-0.0854,46.5280,45.9090,46.4625,,,-944047.0000,-938687.0000,0,0,0,59.8949,35.7239,98.2906,81.9691,61.4428,24000,12400,81.9691,61.4428,123.0216,0,0,0,1.7553,-2.4095,-3.2872,0,0,0,
2012/12/05,46.50,46.50,46.35,46.50,-0.30,-0.641,46.6280,46.0590,46.4875,,,-961127.0000,-939085.0000,0,0,0,51.1247,34.5842,84.1121,82.6834,68.5230,17080,14616,82.6834,68.5230,111.0043,0,0,0,1.6867,-2.2330,-3.0763,0,0,0,
2012/12/06,46.50,46.50,46.10,46.50,0.00,0.00,46.6280,46.2090,46.4475,,,-961127.0000,-939483.0000,0,0,0,51.1247,34.5842,84.1121,83.1597,73.4019,25000,17216,83.1597,73.4019,102.6752,0,0,0,1.6114,-2.0692,-2.8749,0,0,0,
2012/12/07,46.30,46.50,45.60,46.00,-0.50,-1.0753,46.5280,46.2840,46.3975,,,-968127.0000,-942381.0000,0,0,0,37.8303,32.5260,54.3478,73.5557,73.4532,7000,15816,73.5557,73.4532,73.7608,0,0,0,1.4683,-1.9572,-2.6914,0,0,0,
2012/12/10,45.60,46.00,45.00,45.50,-0.50,-1.087,46.2600,46.3140,46.2780,,,-993127.0000,-947579.0000,0,0,0,28.8331,30.5431,27.1739,58.0951,68.3338,25000,19616,58.0951,68.3338,37.6177,0,0,0,1.2869,-1.8871,-2.5305,0,0,0,
2012/12/11,45.50,45.50,45.30,45.30,-0.20,-0.4396,45.9600,46.2440,46.0695,,,-1017127.0000,-955487.0000,0,0,0,25.8788,29.7516,16.3043,44.1649,60.2775,24000,19616,44.1649,60.2775,11.9396,0,0,0,1.1264,-1.8265,-2.3897,0,0,0,
2012/12/12,45.20,46.30,44.80,46.10,0.80,1.766,45.8800,46.2540,45.9095,,,-974627.0000,-959145.0000,0,0,0,50.3149,36.8881,63.7255,50.6851,57.0800,42500,24700,50.6851,57.0800,37.8952,0,0,0,1.1124,-1.6945,-2.2507,0,0,0,
2012/12/13,44.65,45.60,44.65,45.00,-1.10,-2.3861,45.5800,46.1040,45.8095,,,-978628.0000,-964403.1000,0,0,0,32.5880,32.0102,15.9817,39.1173,51.0924,4001,20500,39.1173,51.0924,15.1670,0,0,0,0.9460,-1.6594,-2.1324,0,0,0,
2012/12/14,45.60,47.00,45.60,46.31,1.31,2.9111,45.6420,46.0850,45.8250,,,-869628.0000,-958761.2000,0,0,0,55.1631,41.9781,70.6383,49.6243,50.6031,109000,40900,49.6243,50.6031,47.6668,0,0,0,0.9981,-1.5086,-2.0077,0,0,0,
2012/12/17,45.30,47.00,44.80,46.31,0.00,0.00,45.8040,46.0320,45.8805,,,-869628.0000,-953719.3000,0,0,0,55.1631,41.9781,70.6383,56.6290,52.6117,160000,67900,56.6290,52.6117,64.6635,0,0,0,1.0151,-1.3732,-1.8808,0,0,0,
2012/12/18,36.50,47.00,36.50,45.00,-1.31,-2.8288,45.7440,45.8520,45.8805,,,-1063628.0000,-965677.4000,0,0,0,37.2163,35.7420,80.9524,64.7368,56.6534,194000,101900,64.7368,56.6534,80.9035,0,0,0,0.8396,-1.3560,-1.7758,0,0,0,
2012/12/19,44.65,47.00,44.65,45.00,0.00,0.00,45.5240,45.7020,45.8805,,,-1063628.0000,-975927.5000,0,0,0,37.2163,35.7420,80.9524,70.1420,61.1496,162000,125800,70.1420,61.1496,88.1268,0,0,0,0.7180,-1.3271,-1.6861,0,0,0,
2012/12/21,45.78,46.66,44.80,45.00,0.00,0.00,45.5240,45.5520,45.8805,,,-1063628.0000,-986177.6000,0,0,0,37.2163,35.7420,80.9524,73.7454,65.3482,186000,162200,73.7454,65.3482,90.5399,0,0,0,0.6349,-1.2893,-1.6067,0,0,0,
2012/12/22,45.00,45.00,44.80,44.80,-0.20,-0.4444,45.2220,45.4320,45.8580,,,-1079628.0000,-997327.7000,0,0,0,34.2745,34.7196,79.0476,75.5128,68.7364,16000,143600,75.5128,68.7364,89.0657,0,0,0,0.5533,-1.2609,-1.5375,0,0,0,
2012/12/24,45.00,46.66,44.80,45.00,0.20,0.4464,44.9600,45.3820,45.8480,,,-913628.0000,-989377.8000,0,0,0,39.9688,36.6950,80.9524,77.3260,71.5996,166000,144800,77.3260,71.5996,88.7788,0,0,0,0.5267,-1.2084,-1.4717,0,0,0,
2012/12/26,46.00,46.31,46.00,46.31,1.31,2.9111,45.2220,45.4830,45.8635,,,-410628.0000,-928727.9000,0,0,0,64.2877,47.9492,93.4286,82.6935,75.2976,503000,206600,82.6935,75.2976,97.4854,0,0,0,0.6764,-1.0489,-1.3872,0,0,0,
2012/12/27,44.50,46.10,44.50,46.00,-0.31,-0.6694,45.4220,45.4730,45.8635,,,-429628.0000,-874228.0000,0,0,0,57.6552,45.8452,90.4762,85.2878,78.6276,19000,178000,85.2878,78.6276,98.6080,0,0,0,0.7206,-0.9368,-1.2971,0,0,0,
2013/01/02,45.16,45.16,45.16,45.16,-0.84,-1.8261,45.4540,45.4890,45.7965,,,-430100.0000,-819375.2000,0,0,0,43.1723,40.5814,82.4762,84.3506,80.5353,472,140894,84.3506,80.5353,91.9811,0,0,0,0.6269,-0.9053,-1.2187,0,0,0,
2013/01/04,46.00,46.84,45.16,46.84,1.68,3.7201,45.8620,45.5420,45.8135,,,-384800.0000,-770892.4000,0,0,0,64.5464,52.4845,98.4762,89.0591,83.3766,45300,146754,89.0591,83.3766,100.4242,0,0,0,0.7720,-0.7363,-1.1222,0,0,0,
2013/01/07,45.70,45.70,44.50,44.50,-2.34,-4.9957,45.7620,45.3610,45.6965,,,-407033.0000,-724632.9000,0,0,0,39.6316,40.2367,0.0000,59.3727,75.3753,22233,118001,59.3727,75.3753,27.3676,0,0,0,0.5442,-0.7821,-1.0542,0,0,0,
2013/01/08,45.80,45.80,45.80,45.80,1.30,2.9213,45.6600,45.4410,45.6465,,,-406033.0000,-658873.4000,0,0,0,51.9869,47.6418,55.5556,58.1003,69.6170,1000,17601,58.1003,69.6170,35.0671,0,0,0,0.5581,-0.7054,-0.9844,0,0,0,
2013/01/09,46.00,46.20,45.80,46.00,0.20,0.4367,45.6600,45.5410,45.6215,,,-391033.0000,-591613.9000,0,0,0,53.7350,48.7084,64.1026,60.1011,66.4450,15000,16801,60.1011,66.4450,47.4132,0,0,0,0.5810,-0.6213,-0.9118,0,0,0,
