ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/02/23,15.45,15.90,15.45,15.90,0.00,0.00,,,,,,0.0000,,132,,,,,,,,9102,,,,,0,,,,,,132,,,
2012/02/24,17.00,17.00,17.00,17.00,1.10,6.9182,,,,,,6735.0000,,152,,,,,,,,6735,,,,,0,,,,,,152,,,
2012/02/29,18.00,18.00,16.40,16.70,-0.30,-1.7647,,,,,,-7718.0000,,66,,,,,,,,14453,,,,,0,,,,,,66,,,
2012/03/01,16.45,17.85,16.45,17.85,1.15,6.8862,,,,,,5381.0000,,63,,,,,,,,13099,,,,,0,,,,,,63,,,
2012/03/02,18.60,18.95,18.00,18.20,0.35,1.9608,17.1300,,,,,15671.0000,,144,112,,,,,,,10290,10735,,,,0,0,,,,,144,112,,
2012/03/03,18.00,18.30,17.50,18.10,-0.10,-0.5495,17.5700,,,,,10677.0000,,143,114,,,,,,,4994,9914,,,,0,0,,,,,143,114,,
2012/03/05,18.00,18.60,17.10,17.25,-0.85,-4.6961,17.6200,,,,,5850.0000,,331,150,,67.5325,,,,,4827,9532,,,,0,0,,,,,331,150,,
2012/03/06,17.40,17.65,16.40,17.00,-0.25,-1.4493,17.6800,,,,,1033.0000,,489,234,,62.6506,,,,,4817,7605,,,,0,0,,,,,489,234,,
2012/03/07,16.50,18.00,16.50,17.80,0.80,4.7059,17.6700,,,,,8492.0000,,626,347,,70.7657,,67.1429,55.7143,51.9048,7459,6477,55.7143,51.9048,63.3333,0,0,,,,,626,347,,
2012/03/08,18.00,18.15,17.50,17.50,-0.30,-1.6854,17.5300,17.3300,,,,4541.0000,5066.2000,512,421,266,64.4629,,43.1373,51.5219,51.7772,3951,5209,51.5219,51.7772,51.0115,0,0,0,,,,512,421,266,
2012/03/09,17.75,17.75,17.10,17.40,-0.10,-0.5714,17.3900,17.4800,,,,1514.0000,5217.6000,687,529,322,62.2453,,39.2157,47.4199,50.3247,3027,4816,47.4199,50.3247,41.6101,0,0,0,,,,687,529,322,
