ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/14,6.32,6.36,6.25,6.36,0.00,0.00,,,,,,0.0000,,29,,,,,,,,14,,,,,0,,,,,,29,,,
2012/06/15,6.20,6.65,6.20,6.65,0.29,4.5597,,,,,,208.0000,,29,,,,,,,,208,,,,,0,,,,,,29,,,
2012/06/18,7.00,7.00,6.65,6.93,0.28,4.2105,,,,,,378.0000,,29,,,,,,,,170,,,,,0,,,,,,29,,,
2012/06/19,6.93,6.96,6.81,6.90,-0.03,-0.4329,,,,,,254.0000,,29,,,,,,,,124,,,,,0,,,,,,29,,,
2012/06/20,6.90,7.10,6.85,7.05,0.15,2.1739,6.7780,,,,,368.0000,,29,30,,,,,,,114,126,,,,0,0,,,,,29,30,,
2012/06/21,6.95,7.05,6.86,7.00,-0.05,-0.7092,6.9060,,,,,212.0000,,29,30,,,,,,,156,154,,,,0,0,,,,,29,30,,
2012/06/22,7.00,7.02,6.98,6.98,-0.02,-0.2857,6.9720,,,,,-4.0000,,29,30,,87.8049,,,,,216,156,,,,0,0,,,,,29,30,,
2012/06/25,7.05,7.10,6.98,7.06,0.08,1.1461,6.9980,,,,,154.0000,,29,30,,89.0830,,,,,158,153,,,,0,0,,,,,29,30,,
2012/06/26,7.06,7.09,7.02,7.08,0.02,0.2833,7.0340,,,,,285.0000,,29,30,,89.4157,,97.7778,65.9259,55.3086,131,155,65.9259,55.3086,87.1605,0,0,,,,,29,30,,
2012/06/27,7.02,7.08,7.02,7.08,0.00,0.00,7.0400,6.9090,,,,285.0000,214.0000,29,30,30,89.4157,,97.7778,76.5432,62.3868,187,169,76.5432,62.3868,104.8560,0,0,0,,,,29,30,30,
2012/06/28,7.06,7.37,7.06,7.22,0.14,1.9774,7.0840,6.9950,,,,786.0000,292.6000,29,30,30,91.9035,,79.1667,77.4177,67.3971,501,238,77.4177,67.3971,97.4588,0,0,0,,,,29,30,30,
2012/06/29,7.22,7.39,7.10,7.35,0.13,1.8006,7.1580,7.0650,,,,995.0000,371.3000,29,30,30,93.5839,,93.1034,82.6463,72.4802,209,237,82.6463,72.4802,102.9785,0,0,0,,,,29,30,30,
2012/07/02,7.35,7.35,7.27,7.29,-0.06,-0.8163,7.2040,7.1010,,,,934.0000,426.9000,29,30,30,83.9356,87.2000,81.4815,82.2580,75.7395,61,217,82.2580,75.7395,95.2951,0,0,0,,,,29,30,30,
2012/07/03,7.28,7.29,7.22,7.25,-0.04,-0.5487,7.2380,7.1360,,,,795.0000,481.0000,29,30,30,77.5401,84.2586,73.5849,79.3670,76.9486,139,219,79.3670,76.9486,84.2037,0,0,0,,,,29,30,30,
2012/07/04,7.21,7.34,7.21,7.24,-0.01,-0.1379,7.2700,7.1550,,,,685.0000,512.7000,29,30,30,75.8073,83.4905,63.4146,74.0495,75.9823,110,204,74.0495,75.9823,70.1841,0,0,0,,,,29,30,30,
2012/07/05,7.25,7.30,7.22,7.22,-0.02,-0.2762,7.2700,7.1770,,,,582.0000,549.7000,29,30,30,71.9484,81.8624,58.5366,68.8785,73.6144,103,124,68.8785,73.6144,59.4069,0,0,0,,,,29,30,30,
2012/07/06,7.20,7.40,7.20,7.35,0.13,1.8006,7.2700,7.2140,,,,739.0000,624.0000,29,30,30,79.9208,84.0658,86.8421,74.8664,74.0317,157,114,74.8664,74.0317,76.5358,0,0,0,,,,29,30,30,
2012/07/09,7.26,7.39,7.25,7.39,0.04,0.5442,7.2900,7.2470,,,,822.0000,690.8000,29,30,30,81.8278,84.6901,97.3684,82.3671,76.8102,83,118,82.3671,76.8102,93.4809,0,0,0,,,,29,30,30,
2012/07/10,7.28,7.39,7.23,7.24,-0.15,-2.0298,7.2880,7.2630,,,,509.0000,713.2000,29,30,30,57.3276,72.9912,52.9412,72.5584,75.3929,313,153,72.5584,75.3929,66.8895,0,0,0,,,,29,30,30,
2012/07/11,7.20,7.38,7.20,7.34,0.10,1.3812,7.3080,7.2890,7.0990,,,773.0000,762.0000,29,30,30,65.5737,75.4569,80.0000,75.0390,75.2749,264,184,75.0390,75.2749,74.5670,0,0,0,,,,29,30,30,
2012/07/12,7.28,7.38,7.23,7.31,-0.03,-0.4087,7.3260,7.2980,7.1465,,,662.0000,749.6000,29,30,30,61.3086,73.2678,55.0000,68.3593,72.9697,111,185,68.3593,72.9697,59.1385,0,0,0,,,,29,30,30,
2012/07/13,7.01,7.14,7.01,7.02,-0.29,-3.9672,7.2600,7.2650,7.1650,,,625.0000,712.6000,29,30,30,34.9438,56.1039,2.5641,46.4276,64.1223,37,161,46.4276,64.1223,11.0380,0,0,0,,,,29,30,30,
2012/07/16,6.93,7.00,6.93,6.95,-0.07,-0.9972,7.1720,7.2310,7.1660,,,558.0000,675.0000,29,30,30,31.0733,52.8441,4.2553,32.3702,53.5383,67,158,32.3702,53.5383,-9.9661,0,0,0,,,,29,30,30,
2012/07/17,6.91,6.95,6.91,6.95,0.00,0.00,7.1140,7.2010,7.1685,,,558.0000,651.3000,29,30,30,31.0733,52.8441,8.1633,24.3012,43.7926,5,96,24.3012,43.7926,-14.6816,0,0,0,,,,29,30,30,
2012/07/18,6.95,6.95,6.76,6.80,-0.15,-2.1583,7.0060,7.1570,7.1560,,,378.0000,620.6000,29,30,30,23.1581,46.0246,6.2500,18.2841,35.2898,180,80,18.2841,35.2898,-15.7271,0,0,0,,,,29,30,30,
2012/07/19,6.80,6.90,6.71,6.80,0.00,0.00,6.9040,7.1150,7.1460,,,378.0000,600.2000,29,30,30,23.1581,46.0246,13.2353,16.6012,29.0602,201,98,16.6012,29.0602,-8.3169,0,0,0,,-0.0277,,29,30,30,
2012/07/20,6.93,7.00,6.81,7.00,0.20,2.9412,6.9000,7.0800,7.1470,,,431.0000,569.4000,29,30,30,48.3962,55.1987,42.6471,25.2831,27.8012,53,101,25.2831,27.8012,20.2470,0,0,0,,-0.0281,,29,30,30,
2012/07/23,6.80,7.10,6.80,6.85,-0.15,-2.1429,6.8800,7.0260,7.1365,,,371.0000,524.3000,29,30,30,37.3543,48.4596,20.8955,23.8206,26.4743,60,99,23.8206,26.4743,18.5131,0,0,0,,-0.0401,,29,30,30,
2012/07/24,6.95,6.95,6.81,6.83,-0.02,-0.292,6.8560,6.9850,7.1240,,,363.0000,509.7000,29,30,30,36.0387,47.6141,17.9104,21.8506,24.9331,8,100,21.8506,24.9331,15.6855,0,0,0,,-0.0506,,29,30,30,
2012/07/25,6.95,6.99,6.73,6.79,-0.04,-0.5857,6.8540,6.9300,7.1095,,,201.0000,452.5000,29,30,30,33.2300,45.8680,18.6047,20.7686,23.5449,162,96,20.7686,23.5449,15.2159,0,0,0,,-0.0614,,29,30,30,
2012/07/26,6.82,6.90,6.75,6.80,0.01,0.1473,6.8540,6.8790,7.0885,,,243.0000,410.6000,29,30,30,34.7555,46.4040,23.0769,21.5380,22.8760,42,65,21.5380,22.8760,18.8622,0,0,0,,-0.0684,,29,30,30,
2012/07/27,6.81,6.90,6.80,6.86,0.06,0.8824,6.8260,6.8630,7.0640,,,298.0000,377.9000,29,30,30,43.9721,49.6665,38.4615,27.1792,24.3104,55,65,27.1792,24.3104,32.9169,0,0,0,,-0.0684,,29,30,30,
2012/07/30,6.81,6.85,6.78,6.85,-0.01,-0.1458,6.8260,6.8530,7.0420,,,163.0000,338.4000,29,30,30,42.7639,49.1228,35.8974,30.0853,26.2353,135,80,30.0853,26.2353,37.7852,0,0,0,,-0.0683,,29,30,30,
2012/07/31,6.78,6.80,6.76,6.76,-0.09,-1.3139,6.8120,6.8340,7.0175,,,-2.0000,282.4000,29,30,30,32.9779,44.3557,12.8205,24.3304,25.6003,165,111,24.3304,25.6003,21.7904,0,0,0,-0.0410,-0.0747,-0.0542,29,30,30,
2012/08/01,6.78,6.82,6.78,6.80,0.04,0.5917,6.8140,6.8340,6.9955,,,194.0000,264.0000,29,30,30,40.2680,46.8562,18.9189,22.5265,24.5757,196,118,22.5265,24.5757,18.4281,0,0,0,-0.0343,-0.0756,-0.0585,29,30,30,
2012/08/03,6.81,6.81,6.80,6.80,0.00,0.00,6.8140,6.8340,6.9745,,,194.0000,245.6000,29,30,30,40.2680,46.8562,18.9189,21.3240,23.4918,97,129,21.3240,23.4918,16.9883,0,0,0,-0.0272,-0.0755,-0.0619,29,30,30,
2012/08/06,6.80,6.82,6.80,6.82,0.02,0.2941,6.8060,6.8160,6.9480,,,368.0000,239.3000,29,30,30,44.6062,48.2403,34.6154,25.7545,24.2460,174,153,25.7545,24.2460,28.7713,0,0,0,-0.0177,-0.0729,-0.0641,29,30,30,
2012/08/07,6.86,6.90,6.75,6.77,-0.05,-0.7331,6.7900,6.8080,6.9170,,,175.0000,219.7000,29,30,30,36.6260,45.0411,15.3846,22.2978,23.5966,193,165,22.2978,23.5966,19.7003,0,0,0,-0.0160,-0.0741,-0.0661,29,30,30,
2012/08/08,6.81,6.85,6.68,6.85,0.08,1.1817,6.8080,6.8100,6.8975,,,234.0000,206.8000,29,30,30,52.8290,50.7428,77.2727,40.6228,29.2720,59,143,40.6228,29.2720,63.3244,0,0,0,-0.0027,-0.0678,-0.0664,29,30,30,
2012/08/09,6.80,6.94,6.80,6.90,0.05,0.7299,6.8280,6.8210,6.8755,,,456.0000,232.3000,29,30,30,60.4188,53.9968,84.6154,55.2870,37.9437,222,149,55.2870,37.9437,89.9736,0,0,0,0.0134,-0.0581,-0.0648,29,30,30,
2012/08/10,6.90,7.08,6.90,7.00,0.10,1.4493,6.8680,6.8410,6.8600,,,523.0000,260.3000,29,30,30,71.4455,59.7922,80.0000,63.5247,46.4707,67,143,63.5247,46.4707,97.6326,0,0,0,0.0367,-0.0418,-0.0602,29,30,30,
2012/08/13,7.00,7.04,6.95,6.99,-0.01,-0.1429,6.9020,6.8540,6.8585,,,392.0000,269.7000,29,30,30,69.1343,58.9816,77.5000,68.1831,53.7082,131,134,68.1831,53.7082,97.1330,0,0,0,0.0492,-0.0294,-0.0540,29,30,30,
2012/08/14,7.09,7.09,6.98,6.98,-0.01,-0.1431,6.9440,6.8670,6.8600,,,225.0000,275.9000,29,30,30,66.5509,58.1220,73.1707,69.8457,59.0873,167,129,69.8457,59.0873,91.3623,0,0,0,0.0542,-0.0202,-0.0473,29,30,30,
2012/08/15,6.98,7.00,6.96,7.00,0.02,0.2865,6.9740,6.8910,6.8625,,,450.0000,321.1000,29,30,30,69.3038,59.4126,78.0488,72.5800,63.5849,225,162,72.5800,63.5849,90.5703,0,0,0,0.0579,-0.0111,-0.0400,29,30,30,
2012/08/16,7.00,7.08,7.00,7.00,0.00,0.00,6.9940,6.9110,6.8725,,,450.0000,346.7000,29,30,30,69.3038,59.4126,78.0488,74.4029,67.1909,105,139,74.4029,67.1909,88.8270,0,0,0,0.0579,-0.0038,-0.0328,29,30,30,
2012/08/17,7.01,7.09,7.00,7.09,0.09,1.2857,7.0120,6.9400,6.8870,,,499.0000,377.2000,29,30,30,79.9805,65.1621,100.0000,82.9353,72.4390,49,135,82.9353,72.4390,103.9278,0,0,0,0.0669,0.0091,-0.0244,29,30,30,
2012/08/20,7.09,7.09,7.00,7.01,-0.08,-1.1283,7.0160,6.9590,6.8875,,,391.0000,379.5000,29,30,30,58.3371,57.2922,80.4878,82.1195,75.6658,108,130,82.1195,75.6658,95.0267,0,0,0,0.0593,0.0127,-0.0170,29,30,30,
2012/08/21,7.09,7.20,7.09,7.10,0.09,1.2839,7.0400,6.9920,6.9000,,,729.0000,434.9000,29,30,30,69.4849,62.8053,75.0000,79.7463,77.0260,338,165,79.7463,77.0260,85.1869,0,0,0,0.0633,0.0225,-0.0091,29,30,30,
