ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2010/08/19,15.80,16.80,15.80,15.90,0.00,0.00,,,,,,0.0000,,48,,,,,,,,307,,,,,0,,,,,,48,,,
2010/08/20,15.80,16.60,15.40,16.60,0.70,4.4025,,,,,,255.0000,,48,,,,,,,,255,,,,,0,,,,,,48,,,
2010/08/23,16.60,16.85,15.90,16.30,-0.30,-1.8072,,,,,,141.0000,,48,,,,,,,,114,,,,,0,,,,,,48,,,
2010/08/24,16.30,16.30,15.70,15.90,-0.40,-2.454,,,,,,40.0000,,48,,,,,,,,101,,,,,0,,,,,,48,,,
2010/08/25,15.50,16.20,15.50,15.55,-0.35,-2.2013,16.0500,,,,,-75.0000,,48,49,,,,,,,115,178,,,,0,0,,,,,48,49,,
2010/08/26,15.80,15.80,15.50,15.80,0.25,1.6077,16.0300,,,,,6.0000,,48,49,,,,,,,81,133,,,,0,0,,,,,48,49,,
2010/08/27,15.50,15.80,15.30,15.80,0.00,0.00,15.8700,,,,,6.0000,,48,49,,47.5000,,,,,47,91,,,,0,0,,,,,48,49,,
2010/08/30,15.50,16.25,15.35,15.50,-0.30,-1.8987,15.7100,,,,,-44.0000,,48,49,,40.2542,,,,,50,78,,,,0,0,,,,,48,49,,
2010/08/31,15.35,15.35,14.45,14.45,-1.05,-6.7742,15.4200,,,,,-342.0000,,48,49,,24.5351,,0.0000,33.3333,44.4444,298,118,33.3333,44.4444,11.1111,0,0,,,,,48,49,,
2010/09/01,14.45,15.45,14.45,14.80,0.35,2.4221,15.2700,15.6600,,,,-254.0000,-26.7000,48,49,49,34.7302,,14.5833,27.0833,38.6574,88,112,27.0833,38.6574,3.9352,0,0,0,,,,48,49,49,
2010/09/02,14.80,15.70,14.60,14.60,-0.20,-1.3514,15.0300,15.5300,,,,-366.0000,-63.3000,48,49,49,31.7856,,6.2500,20.1389,32.4846,112,119,20.1389,32.4846,-4.5525,0,0,0,,,,48,49,49,
2010/09/03,14.60,15.25,14.60,15.25,0.65,4.4521,14.9200,15.3950,,,,-282.0000,-117.0000,48,49,49,48.7363,,43.2432,27.8403,30.9365,84,126,27.8403,30.9365,21.6480,0,0,0,,,,48,49,49,
2010/09/06,15.25,15.25,14.80,15.00,-0.25,-1.6393,14.8200,15.2650,,,,-354.0000,-166.5000,48,49,49,43.7219,40.6250,30.5556,28.7454,30.2061,72,130,28.7454,30.2061,25.8240,0,0,0,,,,48,49,49,
2010/09/07,14.70,15.00,14.65,14.75,-0.25,-1.6667,14.8800,15.1500,,,,-400.0000,-210.5000,48,49,49,38.9170,38.4409,16.6667,24.7192,28.3771,46,80,24.7192,28.3771,17.4032,0,0,0,,,,48,49,49,
2010/09/08,14.65,14.90,14.50,14.60,-0.15,-1.0169,14.8400,15.0550,,,,-468.0000,-249.8000,48,49,49,36.0634,37.1341,8.3333,19.2572,25.3372,68,76,19.2572,25.3372,7.0973,0,0,0,,,,48,49,49,
2010/09/09,14.80,14.80,14.60,14.65,0.05,0.3425,14.8500,14.9400,,,,-420.0000,-292.4000,48,49,49,37.8852,37.9017,11.1111,16.5419,22.4054,48,63,16.5419,22.4054,4.8148,0,0,0,,,,48,49,49,
2010/09/10,14.80,15.10,14.70,14.85,0.20,1.3652,14.7700,14.8450,,,,-370.0000,-330.0000,48,49,49,45.3586,41.0431,32.0000,21.6946,22.1685,50,56,21.6946,22.1685,20.7468,0,0,0,,,,48,49,49,
2010/09/13,14.85,15.40,14.85,15.00,0.15,1.0101,14.7700,14.7950,,,,-343.0000,-359.9000,48,49,49,50.6973,43.3863,44.0000,29.1297,24.4889,27,47,29.1297,24.4889,38.4114,0,0,0,,,,48,49,49,
2010/09/14,15.00,15.30,14.90,15.25,0.25,1.6667,14.8700,14.8750,,,,-304.0000,-356.1000,48,49,49,58.7566,47.2017,62.5000,40.2531,29.7436,39,46,40.2531,29.7436,61.2722,0,0,0,,,,48,49,49,
2010/09/15,14.90,15.00,14.90,14.95,-0.30,-1.9672,14.9400,14.8900,15.2750,,,-321.0000,-362.8000,48,49,49,47.5611,43.3750,50.0000,43.5021,34.3298,17,36,43.5021,34.3298,61.8467,0,0,0,,,,48,49,49,
2010/09/16,14.95,15.30,14.90,14.95,0.00,0.00,15.0000,14.9250,15.2275,,,-321.0000,-358.3000,48,49,49,47.5611,43.3750,50.0000,45.6681,38.1092,47,36,45.6681,38.1092,60.7858,0,0,0,,,,48,49,49,
2010/09/17,15.20,15.50,15.00,15.00,0.05,0.3344,15.0300,14.9000,15.1475,,,-292.0000,-359.3000,48,49,49,49.8543,44.2711,50.0000,47.1120,41.1102,29,31,47.1120,41.1102,59.1158,0,0,0,,,,48,49,49,
2010/09/20,14.90,15.20,14.55,15.00,0.00,0.00,15.0300,14.9000,15.0825,,,-292.0000,-353.1000,48,49,49,49.8543,44.2711,50.0000,48.0747,43.4317,38,34,48.0747,43.4317,57.3607,0,0,0,,,,48,49,49,
2010/09/21,14.90,15.40,14.60,14.90,-0.10,-0.6667,14.9600,14.9150,15.0325,,,-335.0000,-346.6000,48,49,49,44.2778,42.6641,36.8421,44.3305,43.7313,43,34,44.3305,43.7313,45.5289,0,0,0,,,,48,49,49,
2010/09/23,15.00,15.00,14.85,15.00,0.10,0.6711,14.9700,14.9550,15.0050,,,-308.0000,-330.6000,48,49,49,50.8721,44.8481,47.3684,45.3431,44.2686,27,36,45.3431,44.2686,47.4923,0,0,0,,,,48,49,49,
2010/09/24,14.65,15.00,14.65,14.85,-0.15,-1.00,14.9500,14.9750,14.9575,,,-362.0000,-324.8000,48,49,49,41.9386,42.2166,31.5789,40.7551,43.0974,54,38,40.7551,43.0974,36.0704,0,0,0,,-0.2325,,48,49,49,
2010/09/27,14.80,15.00,14.75,14.90,0.05,0.3367,14.9300,14.9800,14.9125,,,-301.0000,-317.9000,48,49,49,45.7493,43.4238,36.8421,39.4508,41.8819,61,44,39.4508,41.8819,34.5886,0,0,0,,-0.2230,,48,49,49,
2010/09/28,15.20,15.20,14.70,14.70,-0.20,-1.3423,14.8700,14.9500,14.8725,,,-343.0000,-317.9000,48,49,49,34.7894,39.7960,15.7895,31.5637,38.4425,42,45,31.5637,38.4425,17.8061,0,0,0,,-0.2290,,48,49,49,
2010/09/29,14.80,15.20,14.80,15.20,0.50,3.4014,14.9300,14.9450,14.9100,,,-300.0000,-317.5000,48,49,49,62.0580,50.9678,68.4211,43.8495,40.2448,43,45,43.8495,40.2448,51.0588,0,0,0,,-0.1912,,48,49,49,
