ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,6.85,7.00,6.81,6.89,0.00,0.00,,,,,,0.0000,,1139,,,,,,,,74,,,,,0,,,,,,1139,,,
2012/06/29,6.88,6.88,6.76,6.81,-0.08,-1.1611,,,,,,-106.0000,,1139,,,,,,,,106,,,,,0,,,,,,1139,,,
2012/07/02,6.88,6.97,6.80,6.95,0.14,2.0558,,,,,,-27.0000,,1139,,,,,,,,79,,,,,0,,,,,,1139,,,
2012/07/03,6.99,7.00,6.86,7.00,0.05,0.7194,,,,,,168.0000,,1139,,,,,,,,195,,,,,0,,,,,,1139,,,
2012/07/04,7.04,7.05,6.91,6.99,-0.01,-0.1429,6.9280,,,,,45.0000,,1139,1139,,,,,,,123,115,,,,0,0,,,,,1139,1139,,
2012/07/05,6.91,7.00,6.91,6.98,-0.01,-0.1431,6.9460,,,,,-6.0000,,1139,1139,,,,,,,51,110,,,,0,0,,,,,1139,1139,,
2012/07/06,7.00,7.00,6.90,6.95,-0.03,-0.4298,6.9740,,,,,-58.0000,,1139,1139,,59.3750,,,,,52,100,,,,0,0,,,,,1139,1139,,
2012/07/09,6.47,6.98,6.47,6.93,-0.02,-0.2878,6.9700,,,,,-152.0000,,1139,1139,,55.2326,,,,,94,103,,,,0,0,,,,,1139,1139,,
2012/07/10,6.85,6.97,6.82,6.92,-0.01,-0.1443,6.9540,,,,,-219.0000,,1139,1139,,53.0134,,77.5862,59.1954,53.0651,67,77,59.1954,53.0651,71.4559,0,0,,,,,1139,1139,,
2012/07/11,7.02,7.40,7.00,7.28,0.36,5.2023,7.0120,6.9700,,,,111.0000,-24.4000,1139,1139,1139,82.8247,,87.0968,68.4959,58.2087,330,118,68.4959,58.2087,89.0702,0,0,0,,,,1139,1139,1139,
2012/07/12,7.25,7.25,7.04,7.25,-0.03,-0.4121,7.0660,7.0060,,,,-99.0000,-34.3000,1139,1139,1139,77.8833,,83.8710,73.6209,63.3461,210,150,73.6209,63.3461,94.1705,0,0,0,,,,1139,1139,1139,
2012/07/13,7.14,7.19,7.07,7.19,-0.06,-0.8276,7.1140,7.0440,,,,-191.0000,-42.8000,1139,1139,1139,68.1282,,77.4194,74.8870,67.1931,92,158,74.8870,67.1931,90.2750,0,0,0,,,,1139,1139,1139,
2012/07/16,7.20,7.20,7.10,7.15,-0.04,-0.5563,7.1580,7.0640,,,,-274.0000,-67.5000,1139,1139,1139,61.9234,65.4762,73.1183,74.2975,69.5612,83,156,74.2975,69.5612,83.7700,0,0,0,,,,1139,1139,1139,
2012/07/17,7.10,7.18,7.06,7.15,0.00,0.00,7.2040,7.0790,,,,-274.0000,-111.7000,1139,1139,1139,61.9234,65.4762,73.1183,73.9044,71.0089,63,155,73.9044,71.0089,79.6953,0,0,0,,,,1139,1139,1139,
2012/07/18,7.15,7.15,7.05,7.12,-0.03,-0.4196,7.1720,7.0920,,,,-352.0000,-151.4000,1139,1139,1139,56.3780,62.8067,69.8925,72.5671,71.5283,78,105,72.5671,71.5283,74.6446,0,0,0,,,,1139,1139,1139,
2012/07/19,7.07,7.17,6.96,7.12,0.00,0.00,7.1460,7.1060,,,,-352.0000,-186.0000,1139,1139,1139,56.3780,62.8067,69.8925,71.6756,71.5774,187,100,71.6756,71.5774,71.8719,0,0,0,,,,1139,1139,1139,
2012/07/20,7.13,7.15,7.00,7.00,-0.12,-1.6854,7.1080,7.1110,,,,-571.0000,-237.3000,1139,1139,1139,37.1929,52.5985,31.0345,58.1285,67.0944,219,126,58.1285,67.0944,40.1967,0,0,0,,,,1139,1139,1139,
2012/07/23,7.08,7.08,6.85,6.92,-0.08,-1.1429,7.0620,7.1100,,,,-648.0000,-286.9000,1139,1139,1139,29.2343,47.0382,12.7273,42.9948,59.0612,77,124,42.9948,59.0612,10.8619,0,0,0,,,,1139,1139,1139,
2012/07/24,6.88,6.96,6.52,6.75,-0.17,-2.4566,6.9820,7.0930,,,,-798.0000,-344.8000,1139,1139,1139,18.9139,37.7799,31.5068,39.1655,52.4293,150,142,39.1655,52.4293,12.6378,0,0,0,,,,1139,1139,1139,
2012/07/25,6.69,6.72,6.56,6.60,-0.15,-2.2222,6.8780,7.0250,6.9975,,,-843.0000,-440.2000,1139,1139,1139,13.7676,31.7624,11.7647,30.0319,44.9635,45,135,30.0319,44.9635,0.1687,0,0,0,,,,1139,1139,1139,
2012/07/26,6.60,6.90,6.60,6.90,0.30,4.5455,6.8340,6.9900,6.9980,,,-766.0000,-506.9000,1139,1139,1139,47.8331,49.3606,55.8824,38.6487,42.8586,77,113,38.6487,42.8586,30.2290,0,0,0,,,,1139,1139,1139,
