ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/31,27.10,27.60,26.95,27.60,0.00,0.00,,,,,,0.0000,,153684,,,,,,,,4353,,,,,6324,,,,,,169873,,,
2012/06/01,27.60,27.60,26.40,26.45,-1.15,-4.1667,,,,,,-4628.0000,,153825,,,,,,,,4628,,,,,6312,,,,,,169997,,,
2012/06/04,25.10,25.55,24.80,25.05,-1.40,-5.293,,,,,,-10261.0000,,154097,,,,,,,,5633,,,,,5935,,,,,,169892,,,
2012/06/05,25.85,25.85,25.55,25.60,0.55,2.1956,,,,,,-7199.0000,,153448,,,,,,,,3062,,,,,5810,,,,,,169118,,,
2012/06/06,25.85,26.30,25.70,26.00,0.40,1.5625,26.1400,,,,,-3937.0000,,154326,153876,,,,,,,3262,4187,,,,5784,6033,,,,,169970,169771,,
2012/06/07,26.80,27.05,26.15,26.15,0.15,0.5769,25.8500,,,,,2019.0000,,155806,154301,,,,,,,5956,4508,,,,5817,5932,,,,,171475,170091,,
2012/06/08,26.55,26.85,26.20,26.55,0.40,1.5296,25.8700,,,,,4940.0000,,156797,154895,,37.0370,,,,,2921,4166,,,,5801,5830,,,,,172450,170582,,
2012/06/11,27.20,27.20,26.75,27.00,0.45,1.6949,26.2600,,,,,7939.0000,,157654,155607,,44.4444,,,,,2999,3640,,,,5907,5824,,,,,173413,171286,,
2012/06/12,26.80,26.95,26.55,26.90,-0.10,-0.3704,26.5200,,,,,6641.0000,,157822,156482,,43.0925,,75.0000,58.3333,52.7778,1298,3287,58.3333,52.7778,69.4444,5844,5831,,,,,173518,172166,,
2012/06/13,27.00,27.40,26.85,27.30,0.40,1.487,26.7800,26.4600,,,,10996.0000,651.0000,158132,157243,155559,50.3428,,89.2857,68.6508,58.0688,4355,3505,68.6508,58.0688,89.8148,6057,5885,5959,,,,174041,172980,171375,
2012/06/14,27.45,27.45,27.00,27.20,-0.10,-0.3663,26.9900,26.4200,,,,8673.0000,1518.3000,158498,157781,156041,48.4895,,90.5660,75.9559,64.0311,2323,2779,75.9559,64.0311,99.8053,6078,5937,5935,,,,174428,173570,171831,
2012/06/15,27.30,27.50,27.10,27.30,0.10,0.3676,27.1400,26.5050,,,,12074.0000,3188.5000,158952,158212,156554,50.6688,,89.7436,80.5518,69.5380,3401,2875,80.5518,69.5380,102.5793,6114,6000,5915,,,,174966,174074,172328,
2012/06/18,27.50,28.00,27.45,27.65,0.35,1.2821,27.2700,26.7650,,,,25178.0000,6732.4000,159401,158561,157084,58.1121,50.4505,84.7826,81.9621,73.6794,13104,4896,81.9621,73.6794,98.5274,6635,6146,5985,,,,175936,174578,172932,
