ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/03/05,3.75,3.85,3.61,3.80,0.00,0.00,,,,,,0.0000,,195,,,,,,,,2051,,,,,0,,,,,,195,,,
2012/03/06,3.78,4.06,3.54,4.06,0.26,6.8421,,,,,,4050.0000,,195,,,,,,,,4050,,,,,0,,,,,,195,,,
2012/03/07,3.98,4.19,3.81,3.95,-0.11,-2.7094,,,,,,1828.0000,,215,,,,,,,,2222,,,,,0,,,,,,215,,,
2012/03/08,3.90,4.05,3.81,3.90,-0.05,-1.2658,,,,,,521.0000,,195,,,,,,,,1307,,,,,0,,,,,,195,,,
2012/03/09,3.92,3.95,3.82,3.82,-0.08,-2.0513,3.9060,,,,,-354.0000,,195,199,,,,,,,875,2101,,,,0,0,,,,,195,199,,
2012/03/12,3.82,3.86,3.70,3.70,-0.12,-3.1414,3.8860,,,,,-1272.0000,,195,199,,,,,,,918,1874,,,,0,0,,,,,195,199,,
2012/03/13,3.75,3.85,3.75,3.80,0.10,2.7027,3.8340,,,,,-542.0000,,195,199,,50.0000,,,,,730,1210,,,,0,0,,,,,195,199,,
2012/03/14,3.86,3.88,3.75,3.76,-0.04,-1.0526,3.7960,,,,,-1132.0000,,195,195,,46.8750,,,,,590,884,,,,0,0,,,,,195,195,,
2012/03/15,3.85,3.96,3.71,3.90,0.14,3.7234,3.7960,,,,,-125.0000,,195,195,,57.9208,,55.3846,51.7949,50.5983,1007,824,51.7949,50.5983,54.1880,0,0,,,,,195,195,,
2012/03/16,3.85,3.94,3.81,3.82,-0.08,-2.0513,3.7960,3.8510,,,,-686.0000,228.8000,195,195,197,50.6932,,43.0769,48.8889,50.0285,561,761,48.8889,50.0285,46.6097,0,0,0,,,,195,195,197,
2012/03/19,3.85,3.85,3.66,3.66,-0.16,-4.1885,3.7880,3.8370,,,,-1282.0000,100.6000,195,195,197,39.0104,,0.0000,32.5926,44.2165,596,696,32.5926,44.2165,9.3447,0,0,0,,,,195,195,197,
