ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/15,18.40,18.65,18.40,18.60,0.00,0.00,,,,,,0.0000,,464,,,,,,,,287,,,,,0,,,,,,464,,,
2012/06/18,18.75,18.75,18.45,18.60,0.00,0.00,,,,,,0.0000,,464,,,,,,,,38,,,,,0,,,,,,464,,,
2012/06/19,18.70,18.95,18.70,18.75,0.15,0.8065,,,,,,36.0000,,464,,,,,,,,36,,,,,0,,,,,,464,,,
2012/06/20,18.90,19.00,18.60,18.80,0.05,0.2667,,,,,,178.0000,,464,,,,,,,,142,,,,,0,,,,,,464,,,
2012/06/21,18.95,18.95,18.70,18.80,0.00,0.00,18.7100,,,,,178.0000,,464,465,,,,,,,16,103,,,,0,0,,,,,464,465,,
2012/06/22,18.80,18.95,18.60,18.65,-0.15,-0.7979,18.7200,,,,,103.0000,,464,465,,,,,,,75,61,,,,0,0,,,,,464,465,,
2012/06/25,18.80,18.90,18.60,18.60,-0.05,-0.2681,18.7200,,,,,52.0000,,464,465,,50.0000,,,,,51,64,,,,0,0,,,,,464,465,,
2012/06/26,18.70,18.70,18.40,18.60,0.00,0.00,18.6900,,,,,52.0000,,464,465,,50.0000,,,,,33,63,,,,0,0,,,,,464,465,,
2012/06/27,18.70,18.75,18.65,18.75,0.15,0.8065,18.6800,,,,,77.0000,,464,465,,67.5325,,58.3333,52.7778,50.9259,25,40,52.7778,50.9259,56.4815,0,0,,,,,464,465,,
2012/06/28,18.70,18.75,18.70,18.75,0.00,0.00,18.6700,18.6900,,,,77.0000,75.3000,464,465,465,67.5325,,58.3333,54.6296,52.1605,7,38,54.6296,52.1605,59.5679,0,0,0,,,,464,465,465,
2012/06/29,18.75,18.90,18.75,18.85,0.10,0.5333,18.7100,18.7150,,,,93.0000,84.6000,464,465,465,75.7093,,75.0000,61.4198,55.2469,16,26,61.4198,55.2469,73.7654,0,0,0,,,,464,465,465,
2012/07/02,18.95,18.95,18.80,18.95,0.10,0.5305,18.7800,18.7500,,,,108.0000,95.4000,464,465,465,81.3466,,91.6667,71.5021,60.6653,15,19,71.5021,60.6653,93.1756,0,0,0,,,,464,465,465,
2012/07/03,18.95,19.00,18.75,18.75,-0.20,-1.0554,18.8100,18.7500,,,,91.0000,100.9000,464,465,465,52.2462,57.8947,58.3333,67.1125,62.8144,17,16,67.1125,62.8144,75.7087,0,0,0,,,,464,465,465,
2012/07/04,19.00,19.45,19.00,19.45,0.70,3.7333,18.9500,18.8150,,,,174.0000,100.5000,502,473,469,80.9174,76.6578,100.0000,78.0750,67.9012,83,27,78.0750,67.9012,98.4225,0,0,0,,,,502,473,469,
2012/07/05,19.45,19.55,19.30,19.50,0.05,0.2571,19.1000,18.8850,,,,211.0000,103.8000,502,480,473,81.8514,77.4412,95.6522,83.9341,73.2455,37,33,83.9341,73.2455,105.3111,0,0,0,,,,502,480,473,
2012/07/06,19.50,19.50,19.35,19.45,-0.05,-0.2564,19.2200,18.9650,,,,190.0000,112.5000,502,488,476,77.3107,74.7062,91.3043,86.3908,77.6273,21,34,86.3908,77.6273,103.9179,0,0,0,,,,502,488,476,
2012/07/09,19.45,19.55,19.45,19.45,0.00,0.00,19.3200,19.0500,,,,190.0000,126.3000,502,495,480,77.3107,74.7062,88.8889,87.2235,80.8260,8,33,87.2235,80.8260,100.0185,0,0,0,,,,502,495,480,
2012/07/10,19.40,19.95,19.40,19.45,0.00,0.00,19.4600,19.1350,,,,190.0000,140.1000,502,503,484,77.3107,74.7062,60.0000,78.1490,79.9337,248,79,78.1490,79.9337,74.5797,0,0,0,,,,502,503,484,
2012/07/11,19.40,19.70,19.40,19.50,0.05,0.2571,19.4700,19.2100,,,,224.0000,154.8000,502,503,488,79.2955,75.8151,62.5000,72.9327,77.6000,34,69,72.9327,77.6000,63.5980,0,0,0,,,,502,503,488,
2012/07/12,19.40,19.70,19.40,19.50,0.00,0.00,19.4700,19.2850,18.9875,,,224.0000,169.5000,504,503,492,79.2955,75.8151,62.5000,69.4551,74.8850,21,66,69.4551,74.8850,58.5952,0,0,0,,,,504,503,492,
2012/07/13,19.60,19.90,19.40,19.80,0.30,1.5385,19.5400,19.3800,19.0475,,,275.0000,187.7000,506,504,496,88.2078,81.5810,87.5000,75.4701,75.0801,51,72,75.4701,75.0801,76.2501,0,0,0,,,,506,504,496,
2012/07/16,20.00,20.10,19.75,19.75,-0.05,-0.2525,19.6000,19.4600,19.1050,,,200.0000,196.9000,506,505,500,81.2159,78.1916,68.1818,73.0407,74.4003,75,85,73.0407,74.4003,70.3215,0,0,0,,,,506,505,500,
2012/07/17,19.85,19.85,19.55,19.55,-0.20,-1.0127,19.6200,19.5400,19.1450,,,180.0000,205.8000,506,506,504,58.8317,66.1916,31.2500,59.1104,69.3036,20,40,59.1104,69.3036,38.7240,0,0,0,,,,506,506,504,
