ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/28,14.85,14.85,14.50,14.85,0.00,0.00,,,,,,0.0000,,4,,,,,,,,20,,,,,0,,,,,,4,,,
2012/05/29,14.80,15.30,14.80,14.95,0.10,0.6734,,,,,,104.0000,,4,,,,,,,,104,,,,,0,,,,,,4,,,
2012/05/30,14.95,15.00,14.75,15.00,0.05,0.3344,,,,,,161.0000,,4,,,,,,,,57,,,,,0,,,,,,4,,,
2012/05/31,15.00,15.00,14.90,14.95,-0.05,-0.3333,,,,,,139.0000,,4,,,,,,,,22,,,,,0,,,,,,4,,,
2012/06/01,14.90,14.95,14.60,14.95,0.00,0.00,14.9400,,,,,139.0000,,4,5,,,,,,,38,48,,,,0,0,,,,,4,5,,
2012/06/04,14.55,14.65,13.95,13.95,-1.00,-6.689,14.7600,,,,,112.0000,,4,5,,,,,,,27,49,,,,0,0,,,,,4,5,,
2012/06/05,14.00,14.35,13.70,14.20,0.25,1.7921,14.6100,,,,,196.0000,,4,5,,27.5862,,,,,84,45,,,,0,0,,,,,4,5,,
2012/06/06,14.35,14.35,13.90,13.90,-0.30,-2.1127,14.3900,,,,,174.0000,,4,5,,22.0994,,,,,22,38,,,,0,0,,,,,4,5,,
2012/06/07,14.00,14.20,13.90,14.00,0.10,0.7194,14.2000,,,,,213.0000,,4,5,,27.8403,,18.7500,39.5833,46.5278,39,42,39.5833,46.5278,25.6944,0,0,,,,,4,5,,
2012/06/08,13.95,14.20,13.95,14.20,0.20,1.4286,14.0500,14.4950,,,,220.0000,145.8000,4,5,5,38.6850,,31.2500,36.8056,43.2870,7,35,36.8056,43.2870,23.8426,0,0,0,,,,4,5,5,
2012/06/11,14.10,14.35,14.10,14.35,0.15,1.0563,14.1300,14.4450,,,,225.0000,168.3000,4,5,5,45.9903,,50.0000,41.2037,42.5926,5,31,41.2037,42.5926,38.4259,0,0,0,,,,4,5,5,
2012/06/12,14.20,14.20,14.20,14.20,-0.15,-1.0453,14.1300,14.3700,,,,222.0000,180.1000,4,5,5,40.2374,,38.4615,40.2896,41.8249,3,15,40.2896,41.8249,37.2191,0,0,0,,,,4,5,5,
2012/06/13,14.30,14.40,13.95,14.10,-0.10,-0.7042,14.1700,14.2800,,,,214.0000,185.4000,4,5,5,36.5772,34.6939,32.0000,37.5264,40.3921,8,12,37.5264,40.3921,31.7951,0,0,0,,,,4,5,5,
2012/06/14,14.10,14.20,13.75,13.75,-0.35,-2.4823,14.1200,14.1600,,,,182.0000,189.7000,4,5,5,26.4656,30.0161,5.2632,26.7720,35.8521,32,11,26.7720,35.8521,8.6119,0,0,0,,,,4,5,5,
2012/06/15,13.90,13.90,13.50,13.80,0.05,0.3636,14.0400,14.0450,,,,228.0000,198.6000,4,5,5,29.7928,31.4563,33.3333,28.9591,33.5544,46,18,28.9591,33.5544,19.7685,0,0,0,,,,4,5,5,
2012/06/18,13.90,13.95,13.70,13.75,-0.05,-0.3623,13.9200,14.0250,,,,195.0000,206.9000,4,5,5,28.2585,30.7656,27.7778,28.5653,31.8914,33,24,28.5653,31.8914,21.9132,0,0,0,,,,4,5,5,
2012/06/19,13.85,13.85,13.60,13.80,0.05,0.3636,13.8400,13.9850,,,,207.0000,208.0000,4,5,5,32.4340,32.3853,33.3333,30.1547,31.3125,12,26,30.1547,31.3125,27.8390,0,0,0,,,,4,5,5,
2012/06/20,13.90,14.25,13.80,13.80,0.00,0.00,13.7800,13.9750,,,,207.0000,211.3000,4,5,5,32.4340,32.3853,33.3333,31.2142,31.2797,58,36,31.2142,31.2797,31.0832,0,0,0,,,,4,5,5,
2012/06/21,14.00,14.05,13.70,13.90,0.10,0.7246,13.8100,13.9650,,,,239.0000,213.9000,4,5,5,42.1337,35.9516,44.4444,35.6243,32.7279,32,36,35.6243,32.7279,41.4171,0,0,0,,,,4,5,5,
2012/06/22,13.80,13.90,13.65,13.75,-0.15,-1.0791,13.8000,13.9200,14.2075,,,203.0000,212.2000,4,5,5,33.4818,33.0952,27.7778,33.0088,32.8215,36,34,33.0088,32.8215,33.3833,0,0,0,,,,4,5,5,
2012/06/25,13.80,13.80,13.55,13.55,-0.20,-1.4545,13.7600,13.8400,14.1425,,,190.0000,208.7000,4,5,5,25.2018,29.6667,5.5556,23.8577,29.8336,13,30,23.8577,29.8336,11.9059,0,0,0,,,,4,5,5,
2012/06/26,13.75,13.75,13.50,13.65,0.10,0.738,13.7300,13.7850,14.0775,,,196.0000,206.1000,4,5,5,34.8663,33.4284,20.0000,22.5718,27.4130,6,29,22.5718,27.4130,12.8894,0,0,0,,,,4,5,5,
2012/06/27,13.75,13.75,13.35,13.65,0.00,0.00,13.7000,13.7400,14.0100,,,196.0000,204.3000,4,5,5,34.8663,33.4284,33.3333,26.1590,26.9950,24,22,26.1590,26.9950,24.4870,0,0,0,,,,4,5,5,
2012/06/28,13.70,13.70,13.35,13.55,-0.10,-0.7326,13.6300,13.7200,13.9400,,,185.0000,204.6000,4,5,5,29.3967,31.4280,22.2222,24.8467,26.2789,11,18,24.8467,26.2789,21.9824,0,0,0,,,,4,5,5,
2012/06/29,13.55,13.70,13.55,13.60,0.05,0.369,13.6000,13.7000,13.8725,,,206.0000,202.4000,4,5,5,35.4705,33.5955,27.7778,25.8237,26.1272,21,15,25.8237,26.1272,25.2169,0,0,0,,,,4,5,5,
2012/07/02,13.65,13.65,13.35,13.35,-0.25,-1.8382,13.5600,13.6600,13.8425,,,180.0000,200.9000,4,5,5,23.3950,28.6550,0.0000,17.2158,23.1567,26,17,17.2158,23.1567,5.3340,0,0,0,,-0.3632,,4,5,5,
2012/07/03,13.40,13.45,13.20,13.35,0.00,0.00,13.5000,13.6150,13.8000,,,180.0000,198.2000,4,5,5,23.3950,28.6550,17.6471,17.3596,21.2243,20,20,17.3596,21.2243,9.6300,0,0,0,,-0.3644,,4,5,5,
2012/07/04,13.30,13.40,13.10,13.30,-0.05,-0.3745,13.4300,13.5650,13.7700,,,107.0000,188.2000,4,5,5,21.3060,27.6859,25.0000,19.9064,20.7850,73,30,19.9064,20.7850,18.1491,0,0,0,,-0.3651,,4,5,5,
2012/07/05,13.20,13.20,12.85,13.10,-0.20,-1.5038,13.3400,13.4850,13.7250,,,39.0000,168.2000,4,5,5,14.9139,24.1257,26.3158,22.0429,21.2043,68,41,22.0429,21.2043,23.7200,0,0,0,,-0.3775,,4,5,5,
2012/07/06,13.05,13.10,12.85,13.10,0.00,0.00,13.2400,13.4200,13.6700,,,39.0000,151.8000,4,5,5,14.9139,24.1257,27.7778,23.9545,22.1210,37,44,23.9545,22.1210,27.6214,0,0,0,,-0.3829,,4,5,5,
