ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,18.15,18.65,18.15,18.30,0.00,0.00,,,,,,0.0000,,8474,,,,,,,,2659,,,,,0,,,,,,8976,,,
2012/06/29,18.25,18.30,18.15,18.15,-0.15,-0.8197,,,,,,-1157.0000,,8486,,,,,,,,1157,,,,,0,,,,,,8988,,,
2012/07/02,18.20,18.25,17.95,18.25,0.10,0.551,,,,,,-128.0000,,8431,,,,,,,,1029,,,,,0,,,,,,9428,,,
2012/07/03,18.25,18.40,18.15,18.30,0.05,0.274,,,,,,1230.0000,,8452,,,,,,,,1358,,,,,0,,,,,,9449,,,
2012/07/04,18.30,18.30,17.80,18.15,-0.15,-0.8197,18.2300,,,,,231.0000,,8450,8459,,,,,,,999,1440,,,,0,0,,,,,9447,9258,,
2012/07/05,17.85,18.00,17.70,17.70,-0.45,-2.4793,18.1100,,,,,37.0000,,8467,8458,,,,,,,194,947,,,,0,0,,,,,9464,9355,,
2012/07/06,17.55,17.80,16.50,16.50,-1.20,-6.7797,17.7800,,,,,-1716.0000,,8547,8470,,7.1429,,,,,1753,1066,,,,0,0,,,,,9154,9389,,
2012/07/09,16.50,16.50,15.35,15.35,-1.15,-6.9697,17.2000,,,,,-4353.0000,,8523,8489,,4.3103,,,,,2637,1388,,,,0,0,,,,,9130,9329,,
2012/07/10,15.15,15.20,14.35,15.10,-0.25,-1.6287,16.5600,,,,,-7119.0000,,8583,8515,,3.9063,,17.4419,39.1473,46.3824,2766,1669,39.1473,46.3824,24.6770,0,0,,,,,8800,9199,,
2012/07/11,14.90,14.90,14.45,14.80,-0.30,-1.9868,15.8900,17.0600,,,,-8981.0000,-2195.6000,8576,8540,8500,3.4416,,11.1111,29.8019,40.8556,1862,1842,29.8019,40.8556,7.6945,0,0,0,,,,8576,9025,9142,
2012/07/12,14.70,14.75,14.45,14.75,-0.05,-0.3378,15.3000,16.7050,,,,-9898.0000,-3185.4000,8507,8548,8503,3.3617,,9.8765,23.1601,34.9571,917,1987,23.1601,34.9571,-0.4339,0,0,0,,,,8507,8834,9095,
