ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/22,21.50,21.50,21.50,21.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2012/06/25,21.60,21.60,21.20,21.25,-0.25,-1.1628,,,,,,-24.0000,,0,,,,,,,,24,,,,,0,,,,,,0,,,
2012/06/26,21.40,21.40,21.25,21.30,0.05,0.2353,,,,,,-16.0000,,0,,,,,,,,8,,,,,0,,,,,,0,,,
2012/06/27,21.30,21.45,21.30,21.45,0.15,0.7042,,,,,,4.0000,,0,,,,,,,,20,,,,,0,,,,,,0,,,
2012/06/28,21.45,21.45,21.20,21.45,0.00,0.00,21.3900,,,,,4.0000,,0,0,,,,,,,8,12,,,,0,0,,,,,0,0,,
2012/06/29,21.55,22.50,21.55,22.50,1.05,4.8951,21.5900,,,,,23.0000,,0,0,,,,,,,19,15,,,,0,0,,,,,0,0,,
2012/07/02,22.05,22.20,21.90,22.20,-0.30,-1.3333,21.7800,,,,,10.0000,,0,0,,69.4444,,,,,13,13,,,,0,0,,,,,0,0,,
2012/07/03,21.90,21.90,21.70,21.70,-0.50,-2.2523,21.8600,,,,,-2.0000,,0,0,,52.0833,,,,,12,14,,,,0,0,,,,,0,0,,
2012/07/04,22.00,22.00,22.00,22.00,0.30,1.3825,21.9700,,,,,0.0000,,0,0,,59.3927,,61.5385,53.8462,51.2821,2,10,53.8462,51.2821,58.9744,0,0,,,,,0,0,,
2012/07/05,21.90,21.90,21.70,21.75,-0.25,-1.1364,22.0300,21.7100,,,,-12.0000,-1.3000,0,0,0,51.5319,,42.3077,50.0000,50.8547,12,11,50.0000,50.8547,48.2906,0,0,0,,,,0,0,0,
2012/07/06,21.45,21.60,21.45,21.60,-0.15,-0.6897,21.8500,21.7200,,,,-35.0000,-4.8000,0,0,0,47.0484,,30.7692,43.5897,48.4330,23,12,43.5897,48.4330,33.9031,0,0,0,,,,0,0,0,
2012/07/09,21.60,21.60,21.60,21.60,0.00,0.00,21.7300,21.7550,,,,-35.0000,-5.9000,0,0,0,47.0484,,30.7692,39.3162,45.3941,2,10,39.3162,45.3941,27.1605,0,0,0,,,,0,0,0,
2012/07/10,21.00,21.50,21.00,21.35,-0.25,-1.1574,21.6600,21.7600,,,,-55.0000,-9.8000,0,0,0,38.9213,47.6923,23.3333,33.9886,41.5923,20,11,33.9886,41.5923,18.7813,0,0,0,,,,0,0,0,
2012/07/11,21.40,21.40,21.30,21.30,-0.05,-0.2342,21.5200,21.7450,,,,-57.0000,-15.9000,0,0,0,37.3720,46.9051,20.0000,29.3257,37.5034,2,11,29.3257,37.5034,12.9703,0,0,0,,,,0,0,0,
2012/07/12,21.20,21.50,21.10,21.50,0.20,0.939,21.4700,21.7500,,,,-46.0000,-20.9000,0,0,0,47.4189,50.4724,41.6667,33.4394,36.1487,11,11,33.4394,36.1487,28.0206,0,0,0,,,,0,0,0,
2012/07/13,21.40,21.60,21.40,21.60,0.10,0.4651,21.4700,21.6600,,,,-29.0000,-26.1000,0,0,0,52.0356,52.2233,60.0000,42.2929,38.1968,17,10,42.2929,38.1968,50.4852,21,4,2,,,,21,4,2,
2012/07/16,21.40,21.40,21.30,21.30,-0.30,-1.3889,21.4100,21.5700,,,,-33.0000,-30.4000,0,0,0,39.5381,46.8077,30.0000,38.1953,38.1963,4,10,38.1953,38.1963,38.1932,0,4,2,,,,0,4,2,
2012/07/17,22.20,22.20,21.00,21.45,0.15,0.7042,21.4300,21.5450,,,,-23.0000,-32.5000,0,0,0,47.1535,49.6554,37.5000,37.9635,38.1187,10,8,37.9635,38.1187,37.6532,0,4,2,,,,0,4,2,
2012/07/18,21.45,21.45,21.25,21.25,-0.20,-0.9324,21.4200,21.4700,,,,-39.0000,-36.4000,0,0,0,39.2447,46.0681,20.8333,32.2535,36.1636,16,11,32.2535,36.1636,24.4331,0,4,2,,,,0,4,2,
2012/07/19,21.65,21.65,21.65,21.65,0.40,1.8824,21.4500,21.4600,21.5850,,,-38.0000,-39.0000,0,0,0,56.6819,53.4116,54.1667,39.5579,37.2950,1,9,39.5579,37.2950,44.0835,0,4,2,,,,0,4,2,
2012/07/23,21.40,21.40,21.30,21.30,-0.35,-1.6166,21.3900,21.4300,21.5750,,,-57.0000,-41.2000,0,0,0,43.5560,47.2680,25.0000,34.7052,36.4318,19,10,34.7052,36.4318,31.2522,0,0,2,,,,0,0,2,
