ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,10.40,10.60,10.40,10.50,0.00,0.00,,,,,,0.0000,,12,,,,,,,,50,,,,,0,,,,,,12,,,
2012/06/28,10.70,10.70,10.40,10.40,-0.10,-0.9524,,,,,,-40.0000,,12,,,,,,,,40,,,,,0,,,,,,12,,,
2012/06/29,10.20,10.70,10.20,10.45,0.05,0.4808,,,,,,-1.0000,,12,,,,,,,,39,,,,,0,,,,,,12,,,
2012/07/02,10.45,10.50,10.45,10.45,0.00,0.00,,,,,,-1.0000,,12,,,,,,,,50,,,,,0,,,,,,12,,,
2012/07/03,10.50,10.60,10.45,10.45,0.00,0.00,10.4500,,,,,-1.0000,,12,12,,,,,,,25,40,,,,0,0,,,,,12,12,,
2012/07/04,10.65,10.65,10.45,10.45,0.00,0.00,10.4400,,,,,-1.0000,,12,12,,,,,,,138,58,,,,0,0,,,,,12,12,,
2012/07/05,10.50,10.55,10.20,10.20,-0.25,-2.3923,10.4000,,,,,-219.0000,,12,12,,12.5000,,,,,218,94,,,,0,0,,,,,12,12,,
2012/07/06,10.20,10.20,9.92,9.92,-0.28,-2.7451,10.2940,,,,,-263.0000,,12,12,,6.7935,,,,,44,95,,,,0,0,,,,,12,12,,
2012/07/09,9.86,10.20,9.76,9.88,-0.04,-0.4032,10.1800,,,,,-297.0000,,12,12,,6.3004,,12.7660,37.5887,45.8629,34,91,37.5887,45.8629,21.0402,0,0,,,,,12,12,,
2012/07/10,10.05,10.05,10.05,10.05,0.17,1.7206,10.1000,10.2750,,,,-294.0000,-111.7000,12,12,12,31.6142,,30.8511,35.3428,42.3562,3,87,35.3428,42.3562,21.3160,0,0,0,,,,12,12,12,
2012/07/11,10.05,10.05,9.77,9.77,-0.28,-2.7861,9.9640,10.2020,,,,-334.0000,-145.1000,12,12,12,20.6095,,1.0638,23.9165,36.2096,40,67,23.9165,36.2096,-0.6698,0,0,0,,,,12,12,12,
2012/07/12,9.80,9.81,9.56,9.58,-0.19,-1.9447,9.8400,10.1200,,,,-375.0000,-178.6000,12,12,12,16.0579,,1.8349,16.5559,29.6584,41,32,16.5559,29.6584,-9.6490,0,0,0,,,,12,12,12,
2012/07/13,9.58,10.25,9.58,10.25,0.67,6.9937,9.9060,10.1000,,,,-268.0000,-205.3000,12,12,12,56.6087,43.8424,63.3028,32.1382,30.4850,107,45,32.1382,30.4850,35.4446,0,0,0,,,,12,12,12,
2012/07/16,10.90,10.90,10.20,10.20,-0.05,-0.4878,9.9700,10.0750,,,,-438.0000,-249.0000,12,12,12,54.2613,42.6952,47.7612,37.3459,32.7720,170,72,37.3459,32.7720,46.4937,0,0,0,,,,12,12,12,
2012/07/17,10.15,10.15,9.81,9.95,-0.25,-2.451,9.9500,10.0250,,,,-476.0000,-296.5000,12,12,12,43.4507,37.3625,29.1045,34.5987,33.3809,38,79,34.5987,33.3809,37.0345,0,0,0,,,,12,12,12,
2012/07/18,9.80,9.98,9.80,9.86,-0.09,-0.9045,9.9680,9.9660,,,,-493.0000,-345.7000,12,12,12,40.0073,35.6155,22.3881,30.5285,32.4301,17,74,30.5285,32.4301,26.7254,0,0,0,,,,12,12,12,
2012/07/19,9.98,10.45,9.97,10.20,0.34,3.4483,10.0920,9.9660,,,,-448.0000,-368.6000,12,12,12,55.8636,46.0179,47.7612,36.2727,33.7110,45,75,36.2727,33.7110,41.3963,0,0,0,,,,12,12,12,
2012/07/20,10.15,10.15,9.70,9.70,-0.50,-4.902,9.9820,9.9440,,,,-516.0000,-393.9000,12,12,12,38.0953,36.5454,10.4478,27.6644,31.6955,68,67,27.6644,31.6955,19.6023,0,0,0,,,,12,12,12,
2012/07/23,9.56,9.60,9.40,9.41,-0.29,-2.9897,9.8240,9.8970,,,,-591.0000,-423.3000,12,12,12,31.1905,32.3341,0.6667,18.6652,27.3520,75,48,18.6652,27.3520,1.2914,0,0,0,,,,12,12,12,
2012/07/24,9.30,9.31,9.23,9.31,-0.10,-1.0627,9.6960,9.8230,10.0490,,,-607.0000,-454.6000,12,12,12,29.0144,30.9907,4.7904,14.0402,22.9148,16,44,14.0402,22.9148,-3.7088,0,0,0,,,,12,12,12,
2012/07/25,9.25,9.50,9.25,9.43,0.12,1.2889,9.6100,9.7890,9.9955,,,-565.0000,-477.7000,12,12,12,35.4949,34.5505,11.9760,13.3522,19.7272,42,49,13.3522,19.7272,0.6021,0,0,0,,,,12,12,12,
2012/07/26,9.35,9.53,9.35,9.40,-0.03,-0.3181,9.4500,9.7710,9.9455,,,-581.0000,-498.3000,12,12,12,34.5487,34.0712,10.1796,12.2947,17.2497,16,43,12.2947,17.2497,2.3846,0,0,0,,,,12,12,12,
2012/07/27,9.58,9.58,9.37,9.37,-0.03,-0.3191,9.3840,9.6830,9.8915,,,-594.0000,-530.9000,12,12,12,33.4778,33.5632,11.4754,12.0216,15.5070,13,32,12.0216,15.5070,5.0507,0,0,0,,,,12,12,12,
2012/07/30,9.32,9.47,9.32,9.37,0.00,0.00,9.3760,9.6000,9.8375,,,-594.0000,-546.5000,12,12,12,33.4778,33.5632,11.4754,11.8395,14.2845,25,22,11.8395,14.2845,6.9496,0,0,0,,,,12,12,12,
2012/07/31,9.40,9.50,9.40,9.43,0.06,0.6403,9.4000,9.5480,9.7865,,,-579.0000,-556.8000,12,12,12,38.9298,35.8399,16.3934,13.3575,13.9755,15,22,13.3575,13.9755,12.1215,0,0,0,,,,12,12,12,
2012/08/01,9.38,9.41,9.34,9.34,-0.09,-0.9544,9.3820,9.4960,9.7310,,,-611.0000,-568.6000,12,12,12,33.9250,33.9369,11.9565,12.8905,13.6138,32,20,12.8905,13.6138,11.4438,0,0,0,,-0.3640,,12,12,12,
2012/08/03,9.32,9.44,9.32,9.44,0.10,1.0707,9.3900,9.4200,9.6930,,,-604.0000,-584.2000,12,12,12,43.5937,37.9317,56.7568,27.5126,18.2468,7,18,27.5126,18.2468,46.0443,0,0,0,,-0.3468,,12,12,12,
2012/08/06,9.43,9.43,9.32,9.32,-0.12,-1.2712,9.3800,9.3820,9.6630,,,-614.0000,-594.0000,12,12,12,36.0066,35.1493,25.7143,26.9132,21.1356,10,17,26.9132,21.1356,38.4684,0,0,0,,-0.3390,,12,12,12,
2012/08/07,9.21,9.40,9.21,9.35,0.03,0.3219,9.3760,9.3760,9.6365,,,-598.0000,-594.7000,12,12,12,39.1820,36.4212,37.8378,30.5547,24.2753,16,16,30.5547,24.2753,43.1136,0,0,0,,-0.3266,,12,12,12,
2012/08/08,9.37,9.40,9.26,9.40,0.05,0.5348,9.3700,9.3850,9.6040,,,-584.0000,-592.4000,12,12,12,44.6728,38.6104,51.3514,37.4869,28.6792,14,15,37.4869,28.6792,55.1025,0,0,0,,-0.3091,,12,12,12,
2012/08/09,9.40,9.40,9.40,9.40,0.00,0.00,9.3820,9.3820,9.5855,,,-584.0000,-594.3000,12,12,12,44.6728,38.6104,51.3514,42.1084,33.1556,3,10,42.1084,33.1556,60.0141,0,0,0,,-0.2920,,12,12,12,
2012/08/13,9.49,9.82,9.49,9.82,0.42,4.4681,9.4580,9.4240,9.5975,,,-546.0000,-590.8000,12,12,12,73.5537,54.3305,100.0000,61.4056,42.5722,38,16,61.4056,42.5722,99.0723,0,0,0,,-0.2417,,12,12,12,
2012/08/14,10.00,10.20,9.82,9.82,0.00,0.00,9.5580,9.4690,9.5760,,,-546.0000,-586.0000,12,12,12,73.5537,54.3305,61.6162,61.4758,48.8734,41,22,61.4758,48.8734,86.6805,0,0,0,,-0.1995,,12,12,12,
2012/08/15,9.52,9.65,9.52,9.63,-0.19,-1.9348,9.6140,9.4950,9.5475,,,-549.0000,-581.5000,12,12,12,54.8889,47.7479,42.4242,55.1253,50.9574,3,19,55.1253,50.9574,63.4611,0,0,0,0.2186,-0.1794,-0.2887,12,12,12,
2012/08/16,9.88,9.88,9.55,9.55,-0.08,-0.8307,9.6440,9.5070,9.5275,,,-606.0000,-584.2000,12,12,12,48.6511,45.2307,34.3434,48.1980,50.0376,57,28,48.1980,50.0376,44.5188,0,0,0,0.1932,-0.1679,-0.2645,12,12,12,
2012/08/17,9.40,9.60,9.40,9.60,0.05,0.5236,9.6840,9.5330,9.5145,,,-573.0000,-580.4000,12,12,12,52.6840,47.1311,39.3939,45.2633,48.4462,33,34,45.2633,48.4462,38.8976,0,0,0,0.1783,-0.1531,-0.2422,12,12,12,
2012/08/20,9.57,9.60,9.56,9.60,0.00,0.00,9.6400,9.5490,9.4845,,,-573.0000,-577.3000,12,12,12,52.6840,47.1311,39.3939,43.3069,46.7331,4,27,43.3069,46.7331,36.4544,0,0,0,0.1641,-0.1397,-0.2217,12,12,12,
2012/08/21,9.60,9.85,9.60,9.85,0.25,2.6042,9.6460,9.6020,9.4920,,,-533.0000,-569.2000,12,12,12,69.7754,56.1785,62.7660,49.7932,47.7531,40,27,49.7932,47.7531,53.8734,0,0,0,0.1825,-0.1076,-0.1989,12,12,12,
2012/08/22,9.86,10.50,9.85,10.50,0.65,6.599,9.8200,9.7170,9.5465,,,-314.0000,-540.8000,12,12,12,85.7900,70.4982,100.0000,66.5288,54.0117,219,70,66.5288,54.0117,91.5631,0,0,0,0.2711,-0.0295,-0.1650,12,12,12,
2012/08/23,11.20,11.20,11.20,11.20,0.70,6.6667,10.1500,9.8970,9.6410,,,-170.0000,-499.4000,12,12,12,91.5654,78.6821,100.0000,77.6859,61.9031,144,88,77.6859,61.9031,109.2515,0,0,0,0.4047,0.0880,-0.1144,12,12,12,
2012/08/24,11.95,11.95,10.80,10.90,-0.30,-2.6786,10.4100,10.0470,9.7145,,,-712.0000,-512.2000,12,12,12,75.7350,69.6489,58.8235,71.3984,65.0682,542,189,71.3984,65.0682,84.0589,0,0,0,0.4311,0.1550,-0.0605,12,12,12,
2012/08/27,11.30,11.65,10.95,11.65,0.75,6.8807,10.8200,10.2300,9.8270,,,57.0000,-451.9000,12,12,12,84.0221,76.8861,88.2353,77.0107,69.0490,769,342,77.0107,69.0490,92.9341,0,0,0,0.5218,0.2656,0.0047,12,12,12,
2012/08/28,11.95,12.40,11.60,11.65,0.00,0.00,11.1800,10.4130,9.9410,,,57.0000,-391.6000,22,14,13,84.0221,76.8861,75.0000,76.3405,71.4795,1140,562,76.3405,71.4795,86.0624,0,0,0,0.5513,0.3493,0.0736,22,14,13,
2012/08/29,11.10,11.75,11.10,11.35,-0.30,-2.5751,11.3500,10.5850,10.0400,,,-302.0000,-366.9000,27,17,15,70.2105,69.0485,65.0000,72.5603,71.8398,359,590,72.5603,71.8398,74.0014,0,0,0,0.5012,0.3869,0.1363,27,17,15,
2012/08/30,11.15,11.85,11.15,11.40,0.05,0.4405,11.3900,10.7700,10.1385,,,-109.0000,-317.2000,12,17,15,71.1586,69.6117,64.7887,69.9698,71.2165,193,600,69.9698,71.2165,67.4765,0,0,0,0.4474,0.4159,0.1922,12,17,15,
2012/08/31,11.40,11.65,11.25,11.45,0.05,0.4386,11.5000,10.9550,10.2440,,,21.0000,-257.8000,12,17,15,72.2197,70.2032,66.0714,68.6703,70.3677,130,518,68.6703,70.3677,65.2755,0,0,0,0.3932,0.4379,0.2413,12,17,15,
2012/09/03,11.40,12.25,11.40,12.25,0.80,6.9869,11.6200,11.2200,10.3845,,,481.0000,-152.4000,12,17,15,83.7197,77.7594,94.1176,77.1528,72.6294,460,456,77.1528,72.6294,86.1995,14,3,1,0.4362,0.5140,0.2959,26,20,16,
2012/09/04,12.25,12.25,11.90,11.95,-0.30,-2.449,11.6800,11.4300,10.5160,,,224.0000,-76.7000,12,15,15,70.5731,70.4507,71.8750,75.3935,73.5508,257,279,75.3935,73.5508,79.0790,14,6,3,0.3967,0.5438,0.3455,26,21,18,
2012/09/05,11.90,12.75,11.75,12.75,0.80,6.6946,11.9600,11.6550,10.6860,,,783.0000,33.0000,12,12,15,80.4147,76.7955,100.0000,83.5957,76.8991,559,319,83.5957,76.8991,96.9889,14,8,4,0.4469,0.6248,0.4013,26,21,19,
2012/09/06,12.75,13.00,12.15,12.30,-0.45,-3.5294,12.1400,11.7650,10.8310,,,417.0000,91.7000,12,12,15,65.6046,67.8550,65.8537,77.6817,77.1599,366,354,77.6817,77.1599,78.7251,14,11,6,0.3902,0.6452,0.4501,26,23,20,
2012/09/07,12.50,12.60,12.30,12.30,0.00,0.00,12.3100,11.9050,10.9760,,,417.0000,204.6000,12,12,15,65.6046,67.8550,63.1579,72.8404,75.7201,182,364,72.8404,75.7201,67.0810,14,14,7,0.3260,0.6538,0.4908,26,26,22,
2012/09/10,12.30,12.45,12.10,12.10,-0.20,-1.626,12.2800,11.9500,11.0900,,,270.0000,225.9000,12,12,15,58.6871,63.9190,52.6316,66.1041,72.5148,147,302,66.1041,72.5148,53.2828,14,14,8,0.2342,0.6372,0.5201,26,26,23,
2012/09/11,12.90,12.90,12.90,12.90,0.80,6.6116,12.4700,12.0750,11.2440,,,529.0000,273.1000,12,12,14,72.5700,71.2070,94.5946,75.6010,73.5435,259,302,75.6010,73.5435,79.7159,14,14,10,0.2570,0.6807,0.5522,26,26,24,
2012/09/12,13.80,13.80,13.55,13.80,0.90,6.9767,12.6800,12.3200,11.4525,,,2133.0000,516.6000,12,12,12,81.1304,76.9267,100.0000,83.7340,76.9403,1604,511,83.7340,76.9403,97.3213,14,14,11,0.3626,0.7789,0.5976,26,26,23,
2012/09/13,13.60,13.90,13.35,13.50,-0.30,-2.1739,12.9200,12.5300,11.6500,,,1653.0000,692.8000,12,12,12,72.1266,71.7442,84.0000,83.8226,79.2344,480,534,83.8226,79.2344,92.9991,14,14,13,0.3606,0.8230,0.6426,26,26,25,
2012/09/14,13.80,14.40,13.65,14.40,0.90,6.6667,13.3400,12.8250,11.8900,,,2276.0000,918.3000,12,12,12,80.0837,76.8487,100.0000,89.2151,82.5613,623,622,89.2151,82.5613,102.5227,14,14,14,0.4436,0.9199,0.6981,26,26,26,
2012/09/17,15.00,15.40,14.60,15.40,1.00,6.9444,14.0000,13.1400,12.1800,,,3149.0000,1185.1000,12,12,12,85.5744,81.0075,100.0000,92.8101,85.9776,873,767,92.8101,85.9776,106.4751,14,14,14,0.5873,1.0652,0.7715,26,26,26,
2012/09/18,15.40,16.45,15.20,16.10,0.70,4.5455,14.6400,13.5550,12.4925,,,4472.0000,1609.9000,10,12,12,88.2869,83.2986,91.9540,92.5247,88.1600,1323,980,92.5247,88.1600,101.2542,14,14,14,0.7218,1.2227,0.8617,24,26,26,
2012/09/19,15.90,16.30,15.50,15.50,-0.60,-3.7267,14.9800,13.8300,12.7425,,,3977.0000,1929.3000,10,11,12,73.9789,74.8551,78.1609,87.7368,88.0189,495,758,87.7368,88.0189,87.1726,14,14,14,0.6760,1.2843,0.9463,24,25,26,
