ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/07,8.78,8.85,8.65,8.65,0.00,0.00,,,,,,0.0000,,202,,,,,,,,834,,,,,0,,,,,,203,,,
2012/06/08,8.65,9.00,8.61,8.91,0.26,3.0058,,,,,,3401.0000,,182,,,,,,,,3401,,,,,0,,,,,,183,,,
2012/06/11,8.92,9.13,8.92,9.06,0.15,1.6835,,,,,,5061.0000,,183,,,,,,,,1660,,,,,0,,,,,,184,,,
2012/06/12,8.96,9.03,8.85,8.85,-0.21,-2.3179,,,,,,4794.0000,,187,,,,,,,,267,,,,,0,,,,,,188,,,
2012/06/13,8.91,9.03,8.83,8.90,0.05,0.565,8.8740,,,,,6562.0000,,218,195,,,,,,,1768,1586,,,,0,0,,,,,219,196,,
2012/06/14,8.99,8.99,8.83,8.84,-0.06,-0.6742,8.9120,,,,,5979.0000,,241,203,,,,,,,583,1535,,,,0,0,,,,,242,204,,
2012/06/15,8.88,8.93,8.87,8.88,0.04,0.4525,8.9060,,,,,6541.0000,,268,220,,64.9351,,,,,562,968,,,,0,0,,,,,269,221,,
2012/06/18,9.01,9.18,8.95,9.10,0.22,2.4775,8.9140,,,,,7664.0000,,325,249,,73.8878,,,,,1123,860,,,,0,0,,,,,326,249,,
2012/06/19,9.12,9.12,8.97,8.98,-0.12,-1.3187,8.9400,,,,,7341.0000,,291,269,,63.3079,,64.9123,54.9708,51.6569,323,871,54.9708,51.6569,61.5984,0,0,,,,,292,270,,
2012/06/20,9.01,9.04,8.98,9.04,0.06,0.6682,8.9680,8.9210,,,,7724.0000,5506.7000,305,287,241,66.2109,,75.4386,61.7934,55.0357,383,594,61.7934,55.0357,75.3086,0,0,0,,,,306,287,242,
