ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/23,10.15,10.25,10.10,10.25,0.00,0.00,,,,,,0.0000,,0,,,,,,,,106,,,,,0,,,,,,0,,,
2012/05/24,10.00,10.25,10.00,10.15,-0.10,-0.9756,,,,,,-34.0000,,0,,,,,,,,34,,,,,0,,,,,,0,,,
2012/05/25,10.20,10.20,10.20,10.20,0.05,0.4926,,,,,,25.0000,,0,,,,,,,,59,,,,,0,,,,,,0,,,
2012/05/28,10.15,10.15,10.15,10.15,-0.05,-0.4902,,,,,,22.0000,,0,,,,,,,,3,,,,,0,,,,,,0,,,
2012/05/29,10.15,10.15,10.10,10.15,0.00,0.00,10.1800,,,,,22.0000,,0,0,,,,,,,74,55,,,,0,0,,,,,0,0,,
2012/05/30,10.15,10.30,10.15,10.30,0.15,1.4778,10.1900,,,,,33.0000,,0,0,,,,,,,11,36,,,,0,0,,,,,0,0,,
2012/05/31,10.10,10.25,10.10,10.25,-0.05,-0.4854,10.2100,,,,,-26.0000,,0,0,,50.0000,,,,,59,41,,,,0,0,,,,,0,0,,
2012/06/01,10.30,10.30,10.10,10.15,-0.10,-0.9756,10.2000,,,,,-138.0000,,0,0,,38.4615,,,,,112,51,,,,0,0,,,,,0,0,,
2012/06/04,10.15,10.15,10.10,10.10,-0.05,-0.4926,10.1900,,,,,-298.0000,,0,0,,33.7838,,33.3333,44.4444,48.1481,160,83,44.4444,48.1481,37.0370,0,0,,,,,0,0,,
2012/06/05,10.20,10.20,10.15,10.15,0.05,0.495,10.1900,10.1850,,,,-258.0000,-65.2000,0,0,0,42.2170,,50.0000,46.2963,47.5309,40,76,46.2963,47.5309,43.8272,0,0,0,,,,0,0,0,
