ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/02/17,14.45,14.55,14.25,14.35,0.00,0.00,,,,,,0.0000,,28,,,,,,,,96,,,,,0,,,,,,28,,,
2012/02/20,14.60,14.60,14.30,14.30,-0.05,-0.3484,,,,,,-44.0000,,28,,,,,,,,44,,,,,0,,,,,,28,,,
2012/02/21,14.30,14.30,14.30,14.30,0.00,0.00,,,,,,-44.0000,,28,,,,,,,,23,,,,,0,,,,,,28,,,
2012/02/22,14.25,14.45,14.25,14.45,0.15,1.049,,,,,,40.0000,,28,,,,,,,,84,,,,,0,,,,,,28,,,
2012/02/23,14.35,14.45,14.35,14.45,0.00,0.00,14.3700,,,,,40.0000,,28,28,,,,,,,22,53,,,,0,0,,,,,28,28,,
2012/02/24,14.30,14.35,14.30,14.35,-0.10,-0.692,14.3700,,,,,35.0000,,28,28,,,,,,,5,35,,,,0,0,,,,,28,28,,
2012/02/29,14.25,14.45,14.25,14.30,-0.05,-0.3484,14.3700,,,,,9.0000,,28,28,,42.8571,,,,,26,32,,,,0,0,,,,,28,28,,
2012/03/01,14.35,14.40,14.20,14.40,0.10,0.6993,14.3900,,,,,70.0000,,28,28,,57.4468,,,,,61,39,,,,0,0,,,,,28,28,,
2012/03/02,14.45,14.80,14.45,14.75,0.35,2.4306,14.4500,,,,,139.0000,,28,28,,79.4661,,91.6667,63.8889,54.6296,69,36,63.8889,54.6296,82.4074,0,0,,,,,28,28,,
2012/03/03,14.70,14.90,14.70,14.80,0.05,0.339,14.5200,14.4450,,,,248.0000,49.3000,28,28,28,81.1392,,85.7143,71.1640,60.1411,109,54,71.1640,60.1411,93.2099,0,0,0,,,,28,28,28,
2012/03/05,14.90,14.90,14.60,14.80,0.00,0.00,14.6100,14.4900,,,,248.0000,74.1000,28,28,28,81.1392,,85.7143,76.0141,65.4321,75,68,76.0141,65.4321,97.1781,0,0,0,,,,28,28,28,
2012/03/06,14.60,14.75,14.25,14.30,-0.50,-3.3784,14.6100,14.4900,,,,166.0000,95.1000,28,28,28,37.3347,,14.2857,55.4380,62.1007,82,79,55.4380,62.1007,42.1125,0,0,0,,,,28,28,28,
2012/03/07,14.20,14.45,14.20,14.30,0.00,0.00,14.5900,14.4900,,,,166.0000,116.1000,28,28,28,37.3347,48.1481,14.2857,41.7206,55.3073,53,77,41.7206,55.3073,14.5470,0,0,0,,,,28,28,28,
2012/03/08,14.30,14.45,14.30,14.35,0.05,0.3497,14.5100,14.4800,,,,232.0000,135.3000,28,28,28,41.8549,50.1618,21.4286,34.9566,48.5237,66,77,34.9566,48.5237,7.8222,0,0,0,,,,28,28,28,
2012/03/09,14.45,14.60,14.45,14.55,0.20,1.3937,14.4600,14.4900,,,,269.0000,158.2000,28,28,28,56.8093,57.3836,50.0000,39.9710,45.6728,37,62,39.9710,45.6728,28.5674,0,0,0,,,,28,28,28,
2012/03/12,14.55,14.55,14.35,14.35,-0.20,-1.3746,14.3700,14.4900,,,,257.0000,180.4000,28,28,28,43.4113,49.5507,21.4286,33.7902,41.7120,12,50,33.7902,41.7120,17.9467,0,0,0,,,,28,28,28,
2012/03/13,14.45,14.55,14.40,14.45,0.10,0.6969,14.4000,14.5050,,,,316.0000,211.1000,28,28,28,50.4262,53.0466,35.7143,34.4316,39.2852,59,45,34.4316,39.2852,24.7244,0,0,0,,,,28,28,28,
2012/03/14,14.20,14.45,14.20,14.30,-0.15,-1.0381,14.4000,14.4950,,,,274.0000,231.5000,28,28,28,41.2271,47.6441,14.2857,27.7163,35.4289,42,43,27.7163,35.4289,12.2911,0,0,0,,,,28,28,28,
2012/03/15,14.35,14.35,14.30,14.30,0.00,0.00,14.3900,14.4500,,,,274.0000,245.0000,28,28,28,41.2271,47.6441,14.2857,23.2394,31.3657,57,41,23.2394,31.3657,6.9868,0,0,0,,,,28,28,28,
2012/03/16,14.40,14.50,14.30,14.35,0.05,0.3497,14.3500,14.4050,14.4250,,,315.0000,251.7000,28,28,28,45.9592,49.6772,27.2727,24.5839,29.1051,41,42,24.5839,29.1051,15.5414,0,0,0,,,,28,28,28,
2012/03/19,14.35,14.50,14.30,14.30,-0.05,-0.3484,14.3400,14.3550,14.4225,,,268.0000,253.7000,28,28,28,41.9099,47.6583,25.0000,24.7226,27.6443,47,49,24.7226,27.6443,18.8792,0,0,0,,,,28,28,28,
2012/03/20,14.50,14.60,14.45,14.50,0.20,1.3986,14.3500,14.3750,14.4325,,,357.0000,272.8000,28,28,28,59.1751,55.5425,75.0000,41.4817,32.2567,89,55,41.4817,32.2567,59.9317,0,0,0,,,,28,28,28,
2012/03/21,14.40,14.40,14.30,14.30,-0.20,-1.3793,14.3500,14.3750,14.4325,,,328.0000,289.0000,28,28,28,43.6183,47.7037,25.0000,35.9878,33.5004,29,52,35.9878,33.5004,40.9626,0,0,0,,,,28,28,28,
2012/03/22,15.30,15.30,15.30,15.30,1.00,6.993,14.5500,14.4700,14.4750,,,835.0000,349.3000,28,28,28,78.1243,70.4509,100.0000,57.3252,41.4420,507,142,57.3252,41.4420,89.0916,0,0,0,,,,28,28,28,
2012/03/23,16.35,16.35,15.95,16.35,1.05,6.8627,14.9500,14.6500,14.5700,,,1685.0000,490.9000,28,28,28,87.6487,80.2774,100.0000,71.5501,51.4781,850,304,71.5501,51.4781,111.6943,0,0,0,,,,28,28,28,
2012/03/26,16.95,16.95,15.90,15.90,-0.45,-2.7523,15.2700,14.8050,14.6475,,,603.0000,525.5000,28,28,28,71.6135,69.4755,61.8182,68.3062,57.0874,1082,511,68.3062,57.0874,90.7436,0,0,0,,0.3741,,28,28,28,
2012/03/27,16.05,16.10,15.25,15.30,-0.60,-3.7736,15.4300,14.8900,14.6975,,,139.0000,507.8000,28,28,28,55.3976,58.1036,37.7358,58.1161,57.4303,464,586,58.1161,57.4303,59.4876,0,0,0,,0.3726,,28,28,28,
2012/03/28,15.50,15.80,15.40,15.60,0.30,1.9608,15.6900,15.0200,14.7575,,,296.0000,510.0000,28,28,28,60.7325,61.5376,49.0566,55.0962,56.6523,157,612,55.0962,56.6523,51.9841,0,0,0,,0.3911,,28,28,28,
2012/03/29,15.60,15.70,14.85,15.05,-0.55,-3.5256,15.6400,15.0950,14.7725,,,75.0000,490.1000,28,28,28,48.0804,52.8706,28.3019,46.1648,53.1564,221,554,46.1648,53.1564,32.1815,0,0,0,,0.3573,,28,28,28,
2012/03/30,15.05,16.10,14.90,15.70,0.65,4.3189,15.5100,15.2300,14.8175,,,391.0000,497.7000,20,26,27,59.9214,60.1132,52.8302,48.3866,51.5665,316,448,48.3866,51.5665,42.0268,0,0,0,,0.3786,,20,26,27,
2012/04/02,15.25,15.85,15.25,15.60,-0.10,-0.6369,15.4500,15.3600,14.8575,,,208.0000,491.7000,20,25,26,57.5004,58.6018,49.0566,48.6099,50.5810,183,268,48.6099,50.5810,44.6678,0,0,0,,0.3830,,20,25,26,
2012/04/03,15.60,15.70,15.40,15.50,-0.10,-0.641,15.4900,15.4600,14.9175,,,-6.0000,455.4000,20,23,26,54.8415,57.0373,30.9524,42.7241,47.9620,214,218,42.7241,47.9620,32.2482,0,0,0,,0.3741,,20,23,26,
2012/04/05,14.90,15.45,14.90,15.45,-0.05,-0.3226,15.4600,15.5750,14.9750,,,-105.0000,412.1000,20,22,25,53.3610,56.2187,28.5714,38.0065,44.6435,99,206,38.0065,44.6435,24.7326,0,0,0,,0.3588,,20,22,25,
2012/04/06,15.35,15.90,15.20,15.50,0.05,0.3236,15.5500,15.5950,15.0325,,,2.0000,328.8000,20,20,24,54.8244,56.8936,30.9524,35.6551,41.6474,107,183,35.6551,41.6474,23.6707,0,0,0,-0.0478,0.3468,0.3707,20,20,24,
2012/04/09,15.40,15.50,15.10,15.35,-0.15,-0.9677,15.4800,15.4950,15.0725,,,-63.0000,154.0000,20,20,23,49.2599,54.1610,40.0000,37.1034,40.1327,65,133,37.1034,40.1327,31.0448,0,0,0,-0.0788,0.3215,0.3609,20,20,23,
