ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,27.80,27.85,27.65,27.65,0.00,0.00,,,,,,0.0000,,11461,,,,,,,,150,,,,,0,,,,,,11461,,,
2012/06/29,28.00,28.05,27.60,27.60,-0.05,-0.1808,,,,,,-112.0000,,11467,,,,,,,,112,,,,,0,,,,,,11467,,,
2012/07/02,27.70,27.80,27.55,27.60,0.00,0.00,,,,,,-112.0000,,11467,,,,,,,,140,,,,,0,,,,,,11467,,,
2012/07/03,27.80,27.80,27.55,27.65,0.05,0.1812,,,,,,67.0000,,11467,,,,,,,,179,,,,,0,,,,,,11467,,,
2012/07/04,28.00,28.35,27.85,28.35,0.70,2.5316,27.7700,,,,,383.0000,,11469,11466,,,,,,,316,179,,,,0,0,,,,,11469,11467,,
2012/07/05,28.45,28.45,28.00,28.10,-0.25,-0.8818,27.8600,,,,,211.0000,,11470,11468,,,,,,,172,183,,,,0,0,,,,,11470,11468,,
2012/07/06,28.20,28.35,28.05,28.30,0.20,0.7117,28.0000,,,,,359.0000,,11465,11468,,76.0000,,,,,148,191,,,,0,0,,,,,11465,11468,,
2012/07/09,28.25,28.25,28.10,28.25,-0.05,-0.1767,28.1300,,,,,227.0000,,11465,11467,,72.5191,,,,,132,189,,,,0,0,,,,,11465,11468,,
2012/07/10,28.30,28.40,28.10,28.25,0.00,0.00,28.2500,,,,,227.0000,,11485,11471,,72.5191,,77.7778,59.2593,53.0864,144,182,59.2593,53.0864,71.6049,0,0,,,,,11485,11471,,
2012/07/11,28.10,28.10,27.80,28.00,-0.25,-0.885,28.1800,27.9750,,,,162.0000,141.2000,11485,11474,11470,54.5350,,50.0000,56.1728,54.1152,65,132,56.1728,54.1152,60.2881,0,0,0,,,,11485,11474,11470,
2012/07/12,28.00,28.05,27.65,27.70,-0.30,-1.0714,28.1000,27.9800,,,,73.0000,148.5000,11485,11477,11473,40.1848,,16.6667,43.0041,50.4115,89,115,43.0041,50.4115,28.1893,0,0,0,,,,11485,11477,11473,
2012/07/13,27.70,27.70,27.20,27.25,-0.45,-1.6245,27.8900,27.9450,,,,-55.0000,154.2000,11485,11481,11474,27.2689,,4.0000,30.0027,43.6086,128,111,30.0027,43.6086,2.7910,0,0,0,,,,11485,11481,11475,
